;,2025 Energy Code: Long-term System Cost (LSC) NEM3 Hourly Factors,,,,,,,,,,,,,,,
;,Source:,,E3 via CEC  ~4/5/23:  PV_Export_Factors_20221209.xlsx,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,Last modified:,,05/16/23 - SAC - converted into look-up table for CBECC(-Res) rulesets,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,Electricity TDV (CZ1; 30-yr PV$/kWh),Electricity TDV (CZ2; 30-yr PV$/kWh),Electricity TDV (CZ3; 30-yr PV$/kWh),Electricity TDV (CZ4; 30-yr PV$/kWh),Electricity TDV (CZ5; 30-yr PV$/kWh),Electricity TDV (CZ6; 30-yr PV$/kWh),Electricity TDV (CZ7; 30-yr PV$/kWh),Electricity TDV (CZ8; 30-yr PV$/kWh),Electricity TDV (CZ9; 30-yr PV$/kWh),Electricity TDV (CZ10; 30-yr PV$/kWh),Electricity TDV (CZ11; 30-yr PV$/kWh),Electricity TDV (CZ12; 30-yr PV$/kWh),Electricity TDV (CZ13; 30-yr PV$/kWh),Electricity TDV (CZ14; 30-yr PV$/kWh),Electricity TDV (CZ15; 30-yr PV$/kWh),Electricity TDV (CZ16; 30-yr PV$/kWh)
; MoDaHr,,,,,,,,,,,,,,,,
; CZ=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
10201,5.610636386,5.610636386,5.610636386,5.610636386,5.610636386,5.551837064,5.551837064,5.551837064,5.551837064,5.551837064,5.610636386,5.610636386,5.610636386,5.551837064,5.551837064,5.551837064
10202,4.900239524,4.900239524,4.900239524,4.900239524,4.900239524,4.827104445,4.827104445,4.827104445,4.827104445,4.827104445,4.900239524,4.900239524,4.900239524,4.827104445,4.827104445,4.827104445
10203,4.484731364,4.484731364,4.484731364,4.484731364,4.484731364,4.506686072,4.506686072,4.506686072,4.506686072,4.506686072,4.484731364,4.484731364,4.484731364,4.506686072,4.506686072,4.506686072
10204,3.479118568,3.479118568,3.479118568,3.479118568,3.479118568,3.486682783,3.486682783,3.486682783,3.486682783,3.486682783,3.479118568,3.479118568,3.479118568,3.486682783,3.486682783,3.486682783
10205,3.207576467,3.207576467,3.207576467,3.207576467,3.207576467,3.179220188,3.179220188,3.179220188,3.179220188,3.179220188,3.207576467,3.207576467,3.207576467,3.179220188,3.179220188,3.179220188
10206,3.482081767,3.482081767,3.482081767,3.482081767,3.482081767,3.476803225,3.476803225,3.476803225,3.476803225,3.476803225,3.482081767,3.482081767,3.482081767,3.476803225,3.476803225,3.476803225
10207,4.974255574,4.974255574,4.974255574,4.974255574,4.974255574,4.904935411,4.904935411,4.904935411,4.904935411,4.904935411,4.974255574,4.974255574,4.974255574,4.904935411,4.904935411,4.904935411
10208,3.426065308,3.426065308,3.426065308,3.426065308,3.426065308,3.284322143,3.284322143,3.284322143,3.284322143,3.284322143,3.426065308,3.426065308,3.426065308,3.284322143,3.284322143,3.284322143
10209,3.117330325,3.117330325,3.117330325,3.117330325,3.117330325,2.41542674,2.41542674,2.41542674,2.41542674,2.41542674,3.117330325,3.117330325,3.117330325,2.41542674,2.41542674,2.41542674
10210,3.130708321,3.130708321,3.130708321,3.130708321,3.130708321,2.398680808,2.398680808,2.398680808,2.398680808,2.398680808,3.130708321,3.130708321,3.130708321,2.398680808,2.398680808,2.398680808
10211,3.130977539,3.130977539,3.130977539,3.130977539,3.130977539,2.398059147,2.398059147,2.398059147,2.398059147,2.398059147,3.130977539,3.130977539,3.130977539,2.398059147,2.398059147,2.398059147
10212,2.535015777,2.535015777,2.535015777,2.535015777,2.535015777,2.394774071,2.394774071,2.394774071,2.394774071,2.394774071,2.535015777,2.535015777,2.535015777,2.394774071,2.394774071,2.394774071
10213,2.501297438,2.501297438,2.501297438,2.501297438,2.501297438,2.391735901,2.391735901,2.391735901,2.391735901,2.391735901,2.501297438,2.501297438,2.501297438,2.391735901,2.391735901,2.391735901
10214,2.507684094,2.507684094,2.507684094,2.507684094,2.507684094,2.398786238,2.398786238,2.398786238,2.398786238,2.398786238,2.507684094,2.507684094,2.507684094,2.398786238,2.398786238,2.398786238
