,MoDaHr,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy
,Fuel=,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane
,CZ=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,10107,4.680792239,4.680792239,4.680792239,4.680792239,4.680792239,4.721686053,4.708714275,4.721686053,4.721686053,4.721686053,4.680792239,4.680792239,4.680792239,4.721686053,4.721686053,4.721686053,87.58043176,87.58043176,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,86.34881867,86.34881867,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10108,4.671814325,4.671814325,4.671814325,4.671814325,4.671814325,4.712629704,4.699682806,4.712629704,4.712629704,4.712629704,4.671814325,4.671814325,4.671814325,4.712629704,4.712629704,4.712629704,87.58043176,87.58043176,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,86.34881867,86.34881867,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10109,4.58584743,4.58584743,4.58584743,4.58584743,4.58584743,4.625911757,4.613203097,4.625911757,4.625911757,4.625911757,4.58584743,4.58584743,4.58584743,4.625911757,4.625911757,4.625911757,87.58043176,87.58043176,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,86.34881867,86.34881867,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10110,3.845023794,3.845023794,3.845023794,3.845023794,3.845023794,3.878615904,3.867960273,3.878615904,3.878615904,3.878615904,3.845023794,3.845023794,3.845023794,3.878615904,3.878615904,3.878615904,87.58043176,87.58043176,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,86.34881867,86.34881867,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10111,3.497939962,3.497939962,3.497939962,3.497939962,3.497939962,3.528499769,3.518806003,3.528499769,3.528499769,3.528499769,3.497939962,3.497939962,3.497939962,3.528499769,3.528499769,3.528499769,87.58043176,87.58043176,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,86.34881867,86.34881867,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10112,3.219201817,3.219201817,3.219201817,3.219201817,3.219201817,3.247326424,3.23840512,3.247326424,3.247326424,3.247326424,3.219201817,3.219201817,3.219201817,3.247326424,3.247326424,3.247326424,87.58043176,87.58043176,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,86.34881867,86.34881867,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10113,3.037087471,3.037087471,3.037087471,3.037087471,3.037087471,3.063621033,3.055204418,3.063621033,3.063621033,3.063621033,3.037087471,3.037087471,3.037087471,3.063621033,3.063621033,3.063621033,87.58043176,87.58043176,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,86.34881867,86.34881867,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10114,3.131799252,3.131799252,3.131799252,3.131799252,3.131799252,3.159160265,3.150481178,3.159160265,3.159160265,3.159160265,3.131799252,3.131799252,3.131799252,3.159160265,3.159160265,3.159160265,87.58043176,87.58043176,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,86.34881867,86.34881867,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10115,3.140463416,3.140463416,3.140463416,3.140463416,3.140463416,3.167900124,3.159197025,3.167900124,3.167900124,3.167900124,3.140463416,3.140463416,3.140463416,3.167900124,3.167900124,3.167900124,87.58043176,87.58043176,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,86.34881867,86.34881867,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10116,3.753047049,3.753047049,3.753047049,3.753047049,3.753047049,3.785835603,3.775434865,3.785835603,3.785835603,3.785835603,3.753047049,3.753047049,3.753047049,3.785835603,3.785835603,3.785835603,87.58043176,87.58043176,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,86.34881867,86.34881867,87.58043176,87.58043176,87.58043176,86.34881867,86.34881867,86.34881867,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
