,MoDaHr,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV
,Fuel=,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane
,CZ=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,10105,6.437902285,6.450369196,6.446158592,6.432185047,6.446078229,6.504634156,5.963333283,6.492281192,6.492515482,6.489104347,6.430725681,6.437483843,6.430795348,6.486170527,6.484093166,6.49716093,61.87251599,61.87251599,61.87251599,61.87251599,61.87251599,62.69663831,63.13097111,62.69663831,62.69663831,62.69663831,61.87251599,61.87251599,61.87251599,62.69663831,62.69663831,62.69663831,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461
,10106,6.499560213,6.51209959,6.507864511,6.493809742,6.507783681,6.567715206,6.021754174,6.555286516,6.555522242,6.552090196,6.492341894,6.499139339,6.492411965,6.549138391,6.547048296,6.560196168,61.87251599,61.87251599,61.87251599,61.87251599,61.87251599,62.69663831,63.13097111,62.69663831,62.69663831,62.69663831,61.87251599,61.87251599,61.87251599,62.69663831,62.69663831,62.69663831,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461
,10107,7.553363838,7.567141737,7.562488357,7.547045389,7.562399543,7.524042932,6.907432481,7.510466206,7.510723706,7.506974643,7.545432561,7.552901394,7.545509554,7.50375018,7.501467023,7.515829361,61.87251599,61.87251599,61.87251599,61.87251599,61.87251599,62.69663831,63.13097111,62.69663831,62.69663831,62.69663831,61.87251599,61.87251599,61.87251599,62.69663831,62.69663831,62.69663831,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461
,10108,6.540277354,6.552864585,6.548613344,6.534504938,6.548532206,6.555914348,6.010825113,6.543499824,6.543735282,6.540307148,6.533031488,6.539854874,6.533101827,6.537358707,6.535270994,6.54840388,61.87251599,61.87251599,61.87251599,61.87251599,61.87251599,62.69663831,63.13097111,62.69663831,62.69663831,62.69663831,61.87251599,61.87251599,61.87251599,62.69663831,62.69663831,62.69663831,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461
,10109,6.137411674,6.149525422,6.145434096,6.131856394,6.14535601,5.698094921,5.216377732,5.686710178,5.686926104,5.683782332,6.130438369,6.137005086,6.130506062,5.681078463,5.679163925,5.691207444,61.87251599,61.87251599,61.87251599,61.87251599,61.87251599,62.69663831,63.13097111,62.69663831,62.69663831,62.69663831,61.87251599,61.87251599,61.87251599,62.69663831,62.69663831,62.69663831,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461
,10110,5.852995778,5.864775255,5.860796827,5.847593791,5.860720895,5.695118003,5.213620735,5.683736833,5.683952691,5.680809906,5.846214896,5.852600409,5.846280721,5.678106886,5.676192949,5.688232687,61.87251599,61.87251599,61.87251599,61.87251599,61.87251599,62.69663831,63.13097111,62.69663831,62.69663831,62.69663831,61.87251599,61.87251599,61.87251599,62.69663831,62.69663831,62.69663831,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461
,10111,6.25019398,6.262440279,6.258304185,6.244577912,6.258225244,5.697952181,5.216245537,5.686567609,5.686783532,5.683639808,6.243144371,6.249782942,6.243212805,5.680935979,5.67902147,5.691064807,61.87251599,61.87251599,61.87251599,61.87251599,61.87251599,62.69663831,63.13097111,62.69663831,62.69663831,62.69663831,61.87251599,61.87251599,61.87251599,62.69663831,62.69663831,62.69663831,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461
,10112,6.136393545,6.148506096,6.144415174,6.130838813,6.144337096,5.705497085,5.223233055,5.694103455,5.69431955,5.691173325,6.129420928,6.135986997,6.129488615,5.688467345,5.686551313,5.698604231,61.87251599,61.87251599,61.87251599,61.87251599,61.87251599,62.69663831,63.13097111,62.69663831,62.69663831,62.69663831,61.87251599,61.87251599,61.87251599,62.69663831,62.69663831,62.69663831,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461
,10113,6.254607775,6.266859262,6.262721416,6.248989329,6.262642442,5.701731636,5.219745781,5.690342526,5.690558535,5.687413558,6.24755518,6.254196564,6.247623643,5.684708653,5.68279338,5.694841517,61.87251599,61.87251599,61.87251599,61.87251599,61.87251599,62.69663831,63.13097111,62.69663831,62.69663831,62.69663831,61.87251599,61.87251599,61.87251599,62.69663831,62.69663831,62.69663831,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461
,10114,6.295269471,6.307568747,6.303414761,6.289629108,6.303335478,5.702185673,5.220166276,5.690796018,5.691012038,5.68786691,6.288189366,6.294856655,6.288258096,5.685161875,5.683246511,5.695295224,61.87251599,61.87251599,61.87251599,61.87251599,61.87251599,62.69663831,63.13097111,62.69663831,62.69663831,62.69663831,61.87251599,61.87251599,61.87251599,62.69663831,62.69663831,62.69663831,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461,89.45182461
