,MoDaHr,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV
,Fuel=,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane
,CZ=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,10106,28.65946373,28.3983198,28.58439141,28.44009533,28.68337623,28.40118176,28.45289341,28.04838631,28.01798859,28.01039284,28.44695492,28.44466665,28.36932981,27.85188351,27.9117456,28.98599128,376.246244,376.246244,376.246244,376.246244,376.246244,377.3764503,379.2223189,377.3764503,377.3764503,377.3764503,376.246244,376.246244,376.246244,377.3764503,377.3764503,377.3764503,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987
,10107,28.6864435,28.42522092,28.61134856,28.46700904,28.7103632,28.43372248,28.48541336,28.08079821,28.0503894,28.04279086,28.47387069,28.47158173,28.3962222,27.88422366,27.94410761,29.01874553,376.246244,376.246244,376.246244,376.246244,376.246244,377.3764503,379.2223189,377.3764503,377.3764503,377.3764503,376.246244,376.246244,376.246244,377.3764503,377.3764503,377.3764503,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987
,10108,28.67380746,28.41262172,28.59872311,28.45440394,28.69772378,28.41372392,28.46542736,28.06087881,28.03047682,28.02288,28.46126462,28.45897598,28.38362708,27.86434837,27.92421888,28.99861574,376.246244,376.246244,376.246244,376.246244,376.246244,377.3764503,379.2223189,377.3764503,377.3764503,377.3764503,376.246244,376.246244,376.246244,377.3764503,377.3764503,377.3764503,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987
,10109,28.6551238,28.39399251,28.58005511,28.43576602,28.67903513,28.17043726,28.22234374,27.81855524,27.78823623,27.78066014,28.44262528,28.44033711,28.36500393,27.62256123,27.68226832,28.75373262,376.246244,376.246244,376.246244,376.246244,376.246244,377.3764503,379.2223189,377.3764503,377.3764503,377.3764503,376.246244,376.246244,376.246244,377.3764503,377.3764503,377.3764503,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987
,10110,28.0542634,27.7948836,27.97969822,27.83637692,28.07801436,26.13346494,26.18689257,25.78964661,25.76002239,25.75261991,27.84319017,27.84091735,27.76608945,25.59814397,25.65648283,26.70339356,376.246244,376.246244,376.246244,376.246244,376.246244,377.3764503,379.2223189,377.3764503,377.3764503,377.3764503,376.246244,376.246244,376.246244,377.3764503,377.3764503,377.3764503,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987
,10111,27.74456542,27.48608837,27.67025976,27.52743728,27.76823372,25.40110448,25.455093,25.06018533,25.03081091,25.02347085,27.53422681,27.53196191,27.45739444,24.87029749,24.92814442,25.96622731,376.246244,376.246244,376.246244,376.246244,376.246244,377.3764503,379.2223189,377.3764503,377.3764503,377.3764503,376.246244,376.246244,376.246244,377.3764503,377.3764503,377.3764503,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987
,10112,27.24355791,26.98654127,27.16967208,27.02765655,27.26709248,24.89795955,24.95226552,24.55903217,24.52982937,24.5225322,27.03440773,27.03215562,26.95800946,24.37025374,24.4277627,25.45978071,376.246244,376.246244,376.246244,376.246244,376.246244,377.3764503,379.2223189,377.3764503,377.3764503,377.3764503,376.246244,376.246244,376.246244,377.3764503,377.3764503,377.3764503,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987
,10113,26.55987131,26.30484758,26.48655839,26.34564406,26.58322339,24.90827062,24.96256946,24.56930243,24.54009611,24.53279805,26.35234288,26.35010824,26.27653701,24.38050125,24.43801715,25.47015944,376.246244,376.246244,376.246244,376.246244,376.246244,377.3764503,379.2223189,377.3764503,377.3764503,377.3764503,376.246244,376.246244,376.246244,377.3764503,377.3764503,377.3764503,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987
,10114,27.10581939,26.84920425,27.03204898,26.8902553,27.12931719,24.89773099,24.95203686,24.55880452,24.5296018,24.52230464,26.89699593,26.89474734,26.82071701,24.37002659,24.4275354,25.45955066,376.246244,376.246244,376.246244,376.246244,376.246244,377.3764503,379.2223189,377.3764503,377.3764503,377.3764503,376.246244,376.246244,376.246244,377.3764503,377.3764503,377.3764503,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987
,10115,26.84236252,26.58651534,26.76881288,26.62744354,26.86579,25.06842857,25.12261818,24.72882636,24.69956542,24.69225371,26.634164,26.63192214,26.55811335,24.53967206,24.59729552,25.63136836,376.246244,376.246244,376.246244,376.246244,376.246244,377.3764503,379.2223189,377.3764503,377.3764503,377.3764503,376.246244,376.246244,376.246244,377.3764503,377.3764503,377.3764503,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987
,10116,27.90295193,27.64401319,27.82851354,27.68543596,27.9266625,25.95452097,26.0081108,25.61141102,25.58184784,25.57446061,27.69223762,27.68996867,27.61526801,25.42030294,25.4785216,26.52327535,376.246244,376.246244,376.246244,376.246244,376.246244,377.3764503,379.2223189,377.3764503,377.3764503,377.3764503,376.246244,376.246244,376.246244,377.3764503,377.3764503,377.3764503,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987
,10117,28.71394544,28.4526427,28.63882746,28.49444364,28.73787248,28.52819293,28.57981887,28.17489468,28.14445365,28.13684706,28.5013074,28.49901773,28.42363508,27.97811184,28.03805924,29.11383591,376.246244,376.246244,376.246244,376.246244,376.246244,377.3764503,379.2223189,377.3764503,377.3764503,377.3764503,376.246244,376.246244,376.246244,377.3764503,377.3764503,377.3764503,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987
,10118,28.72139439,28.46006993,28.64627017,28.50187434,28.74532342,28.54776128,28.59937129,28.19438556,28.16393785,28.1563296,28.50873867,28.50644882,28.4310599,27.99755957,28.05752012,29.13353266,376.246244,376.246244,376.246244,376.246244,376.246244,377.3764503,379.2223189,377.3764503,377.3764503,377.3764503,376.246244,376.246244,376.246244,377.3764503,377.3764503,377.3764503,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987
,10119,28.7204039,28.45908233,28.64528051,28.50088628,28.74433266,28.54781698,28.59942691,28.19444104,28.16399332,28.15638506,28.50775053,28.5054607,28.43007262,27.99761493,28.05757552,29.13358873,376.246244,376.246244,376.246244,376.246244,376.246244,377.3764503,379.2223189,377.3764503,377.3764503,377.3764503,376.246244,376.246244,376.246244,377.3764503,377.3764503,377.3764503,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987,686.8525987
