,MoDaHr,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV
,Fuel=,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane
,CZ=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,10106,7.557483095,7.560816131,7.559579555,7.550860301,7.560048755,7.624221504,7.0964002,7.607398984,7.607731439,7.60604904,7.551547562,7.552659498,7.546787474,7.600496075,7.591306392,7.636679049,126.6371237,126.6371237,126.6371237,126.6371237,126.6371237,126.9810847,127.5442138,126.9810847,126.9810847,126.9810847,126.6371237,126.6371237,126.6371237,126.9810847,126.9810847,126.9810847,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243
,10107,8.586084498,8.589621698,8.588309375,8.579056028,8.588807316,8.556085666,7.975244412,8.538296811,8.538648364,8.536869323,8.579785386,8.580965434,8.574733721,8.53099738,8.521279815,8.569258808,126.6371237,126.6371237,126.6371237,126.6371237,126.6371237,126.9810847,127.5442138,126.9810847,126.9810847,126.9810847,126.6371237,126.6371237,126.6371237,126.9810847,126.9810847,126.9810847,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243
,10108,7.597226466,7.600567391,7.599327888,7.590587998,7.599798198,7.612722521,7.08555547,7.595911924,7.596244144,7.594562938,7.591276885,7.592391453,7.586505531,7.589013909,7.579830739,7.625171236,126.6371237,126.6371237,126.6371237,126.6371237,126.6371237,126.9810847,127.5442138,126.9810847,126.9810847,126.9810847,126.6371237,126.6371237,126.6371237,126.9810847,126.9810847,126.9810847,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243
,10109,7.203995513,7.207258387,7.206047841,7.197512134,7.206507164,6.776846744,6.297238225,6.760902942,6.761218032,6.759623512,7.198184927,7.199273456,7.193525042,6.754360605,6.745650942,6.788653572,126.6371237,126.6371237,126.6371237,126.6371237,126.6371237,126.9810847,127.5442138,126.9810847,126.9810847,126.9810847,126.6371237,126.6371237,126.6371237,126.9810847,126.9810847,126.9810847,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243
,10110,6.92638156,6.929589331,6.928399229,6.92000767,6.928850795,6.773945977,6.294502502,6.758005183,6.758320214,6.756725995,6.920669102,6.921739248,6.916087911,6.751464081,6.742756061,6.785750578,126.6371237,126.6371237,126.6371237,126.6371237,126.6371237,126.9810847,127.5442138,126.9810847,126.9810847,126.9810847,126.6371237,126.6371237,126.6371237,126.9810847,126.9810847,126.9810847,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243
,10111,7.314080576,7.3173653,7.316146647,7.307553779,7.316609046,6.776707655,6.29710705,6.760763998,6.761079085,6.75948458,7.308231078,7.309326896,7.303539986,6.75422172,6.745512135,6.788514377,126.6371237,126.6371237,126.6371237,126.6371237,126.6371237,126.9810847,127.5442138,126.9810847,126.9810847,126.9810847,126.6371237,126.6371237,126.6371237,126.9810847,126.9810847,126.9810847,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243
,10112,7.203001733,7.206264409,7.205053937,7.196518745,7.205513232,6.784059554,6.304040651,6.768108273,6.768423511,6.766828243,7.197191498,7.198279961,7.192531894,6.761562867,6.752849118,6.795871922,126.6371237,126.6371237,126.6371237,126.6371237,126.6371237,126.9810847,127.5442138,126.9810847,126.9810847,126.9810847,126.6371237,126.6371237,126.6371237,126.9810847,126.9810847,126.9810847,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243
,10113,7.318388813,7.321674392,7.320455423,7.311860317,7.320917942,6.780390428,6.300580286,6.764442952,6.764758115,6.763163227,7.312537793,7.313633896,7.30784548,6.757899107,6.749187436,6.792199978,126.6371237,126.6371237,126.6371237,126.6371237,126.6371237,126.9810847,127.5442138,126.9810847,126.9810847,126.9810847,126.6371237,126.6371237,126.6371237,126.9810847,126.9810847,126.9810847,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243
,10114,7.358078065,7.361371521,7.360149629,7.351533915,7.360613257,6.780832851,6.300997536,6.764884916,6.765200087,6.763605154,7.352213015,7.353311747,7.347509452,6.758340883,6.749628961,6.792642741,126.6371237,126.6371237,126.6371237,126.6371237,126.6371237,126.9810847,127.5442138,126.9810847,126.9810847,126.9810847,126.6371237,126.6371237,126.6371237,126.9810847,126.9810847,126.9810847,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243
,10115,7.381998582,7.385296787,7.384073133,7.375444999,7.38453743,6.780956543,6.301114191,6.76500848,6.765323654,6.763728708,7.376125077,7.377225393,7.371414733,6.758464394,6.749752402,6.792766528,126.6371237,126.6371237,126.6371237,126.6371237,126.6371237,126.9810847,127.5442138,126.9810847,126.9810847,126.9810847,126.6371237,126.6371237,126.6371237,126.9810847,126.9810847,126.9810847,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243,110.6776243
