,MoDaHr,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV
,Fuel=,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane
,CZ=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,10105,9.553858768,9.544365441,9.555490426,9.542333467,9.534542625,19.31488724,15.46972713,13.70796867,9.366241863,18.26603868,9.52382641,9.521894394,9.520296097,9.390437689,14.14350518,9.353336119,148.0324497,148.0324497,148.0324497,148.0324497,148.0324497,150.1505469,150.564282,150.1505469,150.1505469,150.1505469,148.0324497,148.0324497,148.0324497,150.1505469,150.1505469,150.1505469,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973
,10106,9.504102164,9.494641182,9.505728263,9.492616131,9.484851833,19.78227823,15.45581875,13.82842142,13.8763546,18.81528662,9.474172129,9.472246695,9.470653844,13.92435709,18.91940039,9.305312983,148.0324497,148.0324497,148.0324497,148.0324497,148.0324497,150.1505469,150.564282,150.1505469,150.1505469,150.1505469,148.0324497,148.0324497,148.0324497,150.1505469,150.1505469,150.1505469,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973
,10107,9.553858768,9.544365441,9.555490426,9.542333467,9.534542625,21.12717392,16.35565171,18.83283809,19.09351086,20.10275026,9.52382641,9.521894394,9.520296097,19.05255603,19.96313787,9.353336119,148.0324497,148.0324497,148.0324497,148.0324497,148.0324497,150.1505469,150.564282,150.1505469,150.1505469,150.1505469,148.0324497,148.0324497,148.0324497,150.1505469,150.1505469,150.1505469,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973
,10108,12.11394168,12.07021878,12.14569898,12.15051884,12.08723901,21.54658921,16.61471831,19.26755362,19.30209016,20.56715162,9.52382641,9.521894394,9.520296097,19.08529444,19.25676402,14.29062618,148.0324497,148.0324497,148.0324497,148.0324497,148.0324497,150.1505469,150.564282,150.1505469,150.1505469,150.1505469,148.0324497,148.0324497,148.0324497,150.1505469,150.1505469,150.1505469,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973
,10109,11.2558754,11.56880247,11.38418269,11.61849212,11.36474979,18.73825551,12.06393546,12.87235133,13.25578672,13.65465934,10.9293216,8.607580324,8.606082312,13.12062158,13.17308328,12.9335508,148.0324497,148.0324497,148.0324497,148.0324497,148.0324497,150.1505469,150.564282,150.1505469,150.1505469,150.1505469,148.0324497,148.0324497,148.0324497,150.1505469,150.1505469,150.1505469,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973
,10110,6.564590731,11.54158062,11.50681608,9.459816501,9.206976624,10.39938385,8.495849615,5.573675676,5.562439031,5.589618848,6.540705714,6.539169163,6.537898023,5.580398645,5.611502483,5.552859603,148.0324497,148.0324497,148.0324497,148.0324497,148.0324497,150.1505469,150.564282,150.1505469,150.1505469,150.1505469,148.0324497,148.0324497,148.0324497,150.1505469,150.1505469,150.1505469,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973
,10111,13.94451467,9.557317507,9.378678168,9.196730292,8.898247629,5.576991534,5.676752476,5.501544213,5.490381481,5.517382513,8.884144981,6.464739142,6.463476165,5.508222959,5.5391222,5.480865066,148.0324497,148.0324497,148.0324497,148.0324497,148.0324497,150.1505469,150.564282,150.1505469,150.1505469,150.1505469,148.0324497,148.0324497,148.0324497,150.1505469,150.1505469,150.1505469,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973
,10112,6.496044813,9.498478968,9.470675593,6.486932729,9.067623838,5.582879822,5.682787543,5.507392001,5.496223277,5.523238803,8.916047525,6.470773277,6.469509638,5.514074332,5.54499016,5.486701753,148.0324497,148.0324497,148.0324497,148.0324497,148.0324497,150.1505469,150.564282,150.1505469,150.1505469,150.1505469,148.0324497,148.0324497,148.0324497,150.1505469,150.1505469,150.1505469,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973
,10113,8.92732806,11.95650628,9.180694583,8.96520157,6.482786126,5.584842424,5.684799067,5.509341103,5.498170382,5.525190739,8.775740031,6.47278449,6.471520631,5.516024629,5.546945986,5.488647156,148.0324497,148.0324497,148.0324497,148.0324497,148.0324497,150.1505469,150.564282,150.1505469,150.1505469,150.1505469,148.0324497,148.0324497,148.0324497,150.1505469,150.1505469,150.1505469,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973
,10114,6.787795133,9.402627845,9.405530367,6.7784528,6.772137595,5.866955335,5.973944285,5.789513592,5.778055778,5.805770572,6.763451103,6.761885023,6.760589454,5.796368889,5.82808494,5.7682878,148.0324497,148.0324497,148.0324497,148.0324497,148.0324497,150.1505469,150.564282,150.1505469,150.1505469,150.1505469,148.0324497,148.0324497,148.0324497,150.1505469,150.1505469,150.1505469,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973,114.1900973
