,MoDaHr,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh,tonnes CO2-e/kWh
,Fuel=,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec
,CZ=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,10121,0.000291115,0.000291115,0.000291115,0.000291115,0.000291115,0.000293658,0.000292851,0.000293658,0.000293658,0.000293658,0.000291115,0.000291115,0.000291115,0.000293658,0.000293658,0.000293658
,10122,0.000288691,0.000288691,0.000288691,0.000288691,0.000288691,0.000291213,0.000290413,0.000291213,0.000291213,0.000291213,0.000288691,0.000288691,0.000288691,0.000291213,0.000291213,0.000291213
,10123,0.000267719,0.000267719,0.000267719,0.000267719,0.000267719,0.000270057,0.000269316,0.000270057,0.000270057,0.000270057,0.000267719,0.000267719,0.000267719,0.000270057,0.000270057,0.000270057
,10124,0.000256065,0.000256065,0.000256065,0.000256065,0.000256065,0.000258302,0.000257592,0.000258302,0.000258302,0.000258302,0.000256065,0.000256065,0.000256065,0.000258302,0.000258302,0.000258302
,10201,0.000227027,0.000227027,0.000227027,0.000227027,0.000227027,0.00022901,0.000228381,0.00022901,0.00022901,0.00022901,0.000227027,0.000227027,0.000227027,0.00022901,0.00022901,0.00022901
,10202,0.00021876,0.00021876,0.00021876,0.00021876,0.00021876,0.000220671,0.000220065,0.000220671,0.000220671,0.000220671,0.00021876,0.00021876,0.00021876,0.000220671,0.000220671,0.000220671
,10203,0.000228512,0.000228512,0.000228512,0.000228512,0.000228512,0.000230508,0.000229875,0.000230508,0.000230508,0.000230508,0.000228512,0.000228512,0.000228512,0.000230508,0.000230508,0.000230508
,10204,0.000253129,0.000253129,0.000253129,0.000253129,0.000253129,0.00025534,0.000254639,0.00025534,0.00025534,0.00025534,0.000253129,0.000253129,0.000253129,0.00025534,0.00025534,0.00025534
,10205,0.00026889,0.00026889,0.00026889,0.00026889,0.00026889,0.000271239,0.000270494,0.000271239,0.000271239,0.000271239,0.00026889,0.00026889,0.00026889,0.000271239,0.000271239,0.000271239
,10206,0.000279209,0.000279209,0.000279209,0.000279209,0.000279209,0.000281648,0.000280874,0.000281648,0.000281648,0.000281648,0.000279209,0.000279209,0.000279209,0.000281648,0.000281648,0.000281648
,10207,0.000280451,0.000280451,0.000280451,0.000280451,0.000280451,0.000282901,0.000282124,0.000282901,0.000282901,0.000282901,0.000280451,0.000280451,0.000280451,0.000282901,0.000282901,0.000282901
,10208,0.000280254,0.000280254,0.000280254,0.000280254,0.000280254,0.000282703,0.000281926,0.000282703,0.000282703,0.000282703,0.000280254,0.000280254,0.000280254,0.000282703,0.000282703,0.000282703
,10209,0.000283029,0.000283029,0.000283029,0.000283029,0.000283029,0.000279672,0.00027938,0.000279672,0.000279672,0.000279672,0.000283029,0.000283029,0.000283029,0.000279672,0.000279672,0.000279672
,10210,0.000234481,0.000234481,0.000234481,0.000234481,0.000234481,0.0002317,0.000231458,0.0002317,0.0002317,0.0002317,0.000234481,0.000234481,0.000234481,0.0002317,0.0002317,0.0002317
,10211,0.000184466,0.000184466,0.000184466,0.000184466,0.000184466,0.000182278,0.000182088,0.000182278,0.000182278,0.000182278,0.000184466,0.000184466,0.000184466,0.000182278,0.000182278,0.000182278
,10212,0.000179762,0.000179762,0.000179762,0.000179762,0.000179762,0.00017763,0.000177445,0.00017763,0.00017763,0.00017763,0.000179762,0.000179762,0.000179762,0.00017763,0.00017763,0.00017763
,10213,0.000177169,0.000177169,0.000177169,0.000177169,0.000177169,0.000175068,0.000174885,0.000175068,0.000175068,0.000175068,0.000177169,0.000177169,0.000177169,0.000175068,0.000175068,0.000175068
,10214,0.000179664,0.000179664,0.000179664,0.000179664,0.000179664,0.000177533,0.000177348,0.000177533,0.000177533,0.000177533,0.000179664,0.000179664,0.000179664,0.000177533,0.000177533,0.000177533
,10215,0.000177016,0.000177016,0.000177016,0.000177016,0.000177016,0.000177016,0.000177016,0.000177016,0.000177016,0.000177016,0.000177016,0.000177016,0.000177016,0.000177016,0.000177016,0.000177016
,10216,0.000179341,0.000179341,0.000179341,0.000179341,0.000179341,0.000179341,0.000179341,0.000179341,0.000179341,0.000179341,0.000179341,0.000179341,0.000179341,0.000179341,0.000179341,0.000179341
,10217,0.000288757,0.000288757,0.000288757,0.000288757,0.000288757,0.000288757,0.000288757,0.000288757,0.000288757,0.000288757,0.000288757,0.000288757,0.000288757,0.000288757,0.000288757,0.000288757
,10218,0.000291587,0.000291587,0.000291587,0.000291587,0.000291587,0.000291587,0.000291587,0.000291587,0.000291587,0.000291587,0.000291587,0.000291587,0.000291587,0.000291587,0.000291587,0.000291587
,10219,0.000291596,0.000291596,0.000291596,0.000291596,0.000291596,0.000291596,0.000291596,0.000291596,0.000291596,0.000291596,0.000291596,0.000291596,0.000291596,0.000291596,0.000291596,0.000291596
,10220,0.00029158,0.00029158,0.00029158,0.00029158,0.00029158,0.00029158,0.00029158,0.00029158,0.00029158,0.00029158,0.00029158,0.00029158,0.00029158,0.00029158,0.00029158,0.00029158
,10221,0.000293474,0.000293474,0.000293474,0.000293474,0.000293474,0.000289993,0.000289691,0.000289993,0.000289993,0.000289993,0.000293474,0.000293474,0.000293474,0.000289993,0.000289993,0.000289993
,10222,0.000292605,0.000292605,0.000292605,0.000292605,0.000292605,0.000289134,0.000288833,0.000289134,0.000289134,0.000289134,0.000292605,0.000292605,0.000292605,0.000289134,0.000289134,0.000289134
,10223,0.000282349,0.000282349,0.000282349,0.000282349,0.000282349,0.000284816,0.000284034,0.000284816,0.000284816,0.000284816,0.000282349,0.000282349,0.000282349,0.000284816,0.000284816,0.000284816
,10224,0.000281713,0.000281713,0.000281713,0.000281713,0.000281713,0.000284174,0.000283394,0.000284174,0.000284174,0.000284174,0.000281713,0.000281713,0.000281713,0.000284174,0.000284174,0.000284174
,10301,0.000267089,0.000267089,0.000267089,0.000267089,0.000267089,0.000269422,0.000268682,0.000269422,0.000269422,0.000269422,0.000267089,0.000267089,0.000267089,0.000269422,0.000269422,0.000269422
,10302,0.000262201,0.000262201,0.000262201,0.000262201,0.000262201,0.000264491,0.000263765,0.000264491,0.000264491,0.000264491,0.000262201,0.000262201,0.000262201,0.000264491,0.000264491,0.000264491
,10303,0.000261804,0.000261804,0.000261804,0.000261804,0.000261804,0.000264091,0.000263366,0.000264091,0.000264091,0.000264091,0.000261804,0.000261804,0.000261804,0.000264091,0.000264091,0.000264091
,10304,0.000262201,0.000262201,0.000262201,0.000262201,0.000262201,0.000264491,0.000263765,0.000264491,0.000264491,0.000264491,0.000262201,0.000262201,0.000262201,0.000264491,0.000264491,0.000264491
,10305,0.000269339,0.000269339,0.000269339,0.000269339,0.000269339,0.000271692,0.000270946,0.000271692,0.000271692,0.000271692,0.000269339,0.000269339,0.000269339,0.000271692,0.000271692,0.000271692
,10306,0.000277788,0.000277788,0.000277788,0.000277788,0.000277788,0.000280214,0.000279445,0.000280214,0.000280214,0.000280214,0.000277788,0.000277788,0.000277788,0.000280214,0.000280214,0.000280214
,10307,0.000280003,0.000280003,0.000280003,0.000280003,0.000280003,0.00028245,0.000281674,0.00028245,0.00028245,0.00028245,0.000280003,0.000280003,0.000280003,0.00028245,0.00028245,0.00028245
,10308,0.000279942,0.000279942,0.000279942,0.000279942,0.000279942,0.000282388,0.000281612,0.000282388,0.000282388,0.000282388,0.000279942,0.000279942,0.000279942,0.000282388,0.000282388,0.000282388
