;,; Use with 2009 calendar year and updated CEC weather data,,,,,,,,,,,,,,,,
;,"; Version ID: 2019 TDV CARBON ONLY, Elec Non-Res (15 Year)",,,,,,,,,,,,,,,,
;,; MoDaHr,CZ1 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ2 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ3 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ4 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ5 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ6 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ7 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ8 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ9 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ10 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ11 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ12 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ13 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ14 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ15 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ16 Electricity Long-Run Carbon Emission Factors (ton/MWh)
TABLE C02ElecByCZ,,,,,,,,,,,,,,,,,
,MoDaHr,C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh)
,CZ=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,10124,0.263693666,0.263693666,0.263693666,0.263693666,0.263693666,0.260019929,0.260019929,0.260019929,0.260019929,0.260019929,0.263693666,0.263693666,0.263693666,0.260019929,0.260019929,0.260019929
,10201,0.247045722,0.247045722,0.247045722,0.247045722,0.247045722,0.223113263,0.223113263,0.223113263,0.223113263,0.223113263,0.247045722,0.247045722,0.247045722,0.223113263,0.223113263,0.223113263
,10202,0.221609186,0.221609186,0.221609186,0.221609186,0.221609186,0.194083217,0.194083217,0.194083217,0.194083217,0.194083217,0.221609186,0.221609186,0.221609186,0.194083217,0.194083217,0.194083217
,10203,0.220185299,0.220185299,0.220185299,0.220185299,0.220185299,0.192551356,0.192551356,0.192551356,0.192551356,0.192551356,0.220185299,0.220185299,0.220185299,0.192551356,0.192551356,0.192551356
,10204,0.220864369,0.220864369,0.220864369,0.220864369,0.220864369,0.176739297,0.176739297,0.176739297,0.176739297,0.176739297,0.220864369,0.220864369,0.220864369,0.176739297,0.176739297,0.176739297
,10205,0.242267205,0.242267205,0.242267205,0.242267205,0.242267205,0.196613948,0.196613948,0.196613948,0.196613948,0.196613948,0.242267205,0.242267205,0.242267205,0.196613948,0.196613948,0.196613948
,10206,0.251793814,0.251793814,0.251793814,0.251793814,0.251793814,0.228119567,0.228119567,0.228119567,0.228119567,0.228119567,0.251793814,0.251793814,0.251793814,0.228119567,0.228119567,0.228119567
,10207,0.253371991,0.253371991,0.253371991,0.253371991,0.253371991,0.254083956,0.254083956,0.254083956,0.254083956,0.254083956,0.253371991,0.253371991,0.253371991,0.254083956,0.254083956,0.254083956
,10208,0.25392142,0.25392142,0.25392142,0.25392142,0.25392142,0.254415023,0.254415023,0.254415023,0.254415023,0.254415023,0.25392142,0.25392142,0.25392142,0.254415023,0.254415023,0.254415023
,10209,0.251709831,0.251709831,0.251709831,0.251709831,0.251709831,0.229252144,0.229252144,0.229252144,0.229252144,0.229252144,0.251709831,0.251709831,0.251709831,0.229252144,0.229252144,0.229252144
,10210,0.231968593,0.231968593,0.231968593,0.231968593,0.231968593,0.206098458,0.206098458,0.206098458,0.206098458,0.206098458,0.231968593,0.231968593,0.231968593,0.206098458,0.206098458,0.206098458
,10211,0.231933977,0.231933977,0.231933977,0.231933977,0.231933977,0.088709068,0.088709068,0.088709068,0.088709068,0.088709068,0.231933977,0.231933977,0.231933977,0.088709068,0.088709068,0.088709068
,10212,0.232003278,0.232003278,0.232003278,0.232003278,0.232003278,0.209625674,0.209625674,0.209625674,0.209625674,0.209625674,0.232003278,0.232003278,0.232003278,0.209625674,0.209625674,0.209625674
,10213,0.232169095,0.232169095,0.232169095,0.232169095,0.232169095,0.209649475,0.209649475,0.209649475,0.209649475,0.209649475,0.232169095,0.232169095,0.232169095,0.209649475,0.209649475,0.209649475
,10214,0.231991892,0.231991892,0.231991892,0.231991892,0.231991892,0.088713796,0.088713796,0.088713796,0.088713796,0.088713796,0.231991892,0.231991892,0.231991892,0.088713796,0.088713796,0.088713796
,10215,0.231967455,0.231967455,0.231967455,0.231967455,0.231967455,0.210195755,0.210195755,0.210195755,0.210195755,0.210195755,0.231967455,0.231967455,0.231967455,0.210195755,0.210195755,0.210195755
,10216,0.252775827,0.252775827,0.252775827,0.252775827,0.252775827,0.249819445,0.249819445,0.249819445,0.249819445,0.249819445,0.252775827,0.252775827,0.252775827,0.249819445,0.249819445,0.249819445
,10217,0.256276253,0.256276253,0.256276253,0.256276253,0.256276253,0.25813173,0.25813173,0.25813173,0.25813173,0.25813173,0.256276253,0.256276253,0.256276253,0.25813173,0.25813173,0.25813173
,10218,0.263480744,0.263480744,0.263480744,0.263480744,0.263480744,0.269639543,0.269639543,0.269639543,0.269639543,0.269639543,0.263480744,0.263480744,0.263480744,0.269639543,0.269639543,0.269639543
,10219,0.26350562,0.26350562,0.26350562,0.26350562,0.26350562,0.278140947,0.278140947,0.278140947,0.278140947,0.278140947,0.26350562,0.26350562,0.26350562,0.278140947,0.278140947,0.278140947
,10220,0.263498157,0.263498157,0.263498157,0.263498157,0.263498157,0.276708377,0.276708377,0.276708377,0.276708377,0.276708377,0.263498157,0.263498157,0.263498157,0.276708377,0.276708377,0.276708377
,10221,0.263522983,0.263522983,0.263522983,0.263522983,0.263522983,0.2733311,0.2733311,0.2733311,0.2733311,0.2733311,0.263522983,0.263522983,0.263522983,0.2733311,0.2733311,0.2733311
,10222,0.257504191,0.257504191,0.257504191,0.257504191,0.257504191,0.260998503,0.260998503,0.260998503,0.260998503,0.260998503,0.257504191,0.257504191,0.257504191,0.260998503,0.260998503,0.260998503
,10223,0.256367244,0.256367244,0.256367244,0.256367244,0.256367244,0.256751432,0.256751432,0.256751432,0.256751432,0.256751432,0.256367244,0.256367244,0.256367244,0.256751432,0.256751432,0.256751432
,10224,0.253588242,0.253588242,0.253588242,0.253588242,0.253588242,0.248660591,0.248660591,0.248660591,0.248660591,0.248660591,0.253588242,0.253588242,0.253588242,0.248660591,0.248660591,0.248660591
,10301,0.251401198,0.251401198,0.251401198,0.251401198,0.251401198,0.227328066,0.227328066,0.227328066,0.227328066,0.227328066,0.251401198,0.251401198,0.251401198,0.227328066,0.227328066,0.227328066
,10302,0.226420016,0.226420016,0.226420016,0.226420016,0.226420016,0.199386782,0.199386782,0.199386782,0.199386782,0.199386782,0.226420016,0.226420016,0.226420016,0.199386782,0.199386782,0.199386782
,10303,0.221475933,0.221475933,0.221475933,0.221475933,0.221475933,0.194796521,0.194796521,0.194796521,0.194796521,0.194796521,0.221475933,0.221475933,0.221475933,0.194796521,0.194796521,0.194796521
,10304,0.219642015,0.219642015,0.219642015,0.219642015,0.219642015,0.079993504,0.079993504,0.079993504,0.079993504,0.079993504,0.219642015,0.219642015,0.219642015,0.079993504,0.079993504,0.079993504
,10305,0.239386917,0.239386917,0.239386917,0.239386917,0.239386917,0.081426067,0.081426067,0.081426067,0.081426067,0.081426067,0.239386917,0.239386917,0.239386917,0.081426067,0.081426067,0.081426067
,10306,0.249768503,0.249768503,0.249768503,0.249768503,0.249768503,0.224753706,0.224753706,0.224753706,0.224753706,0.224753706,0.249768503,0.249768503,0.249768503,0.224753706,0.224753706,0.224753706
,10307,0.262750146,0.262750146,0.262750146,0.262750146,0.262750146,0.257794641,0.257794641,0.257794641,0.257794641,0.257794641,0.262750146,0.262750146,0.262750146,0.257794641,0.257794641,0.257794641
,10308,0.269282991,0.269282991,0.269282991,0.269282991,0.269282991,0.265579482,0.265579482,0.265579482,0.265579482,0.265579482,0.269282991,0.269282991,0.269282991,0.265579482,0.265579482,0.265579482
,10309,0.257616924,0.257616924,0.257616924,0.257616924,0.257616924,0.229195786,0.229195786,0.229195786,0.229195786,0.229195786,0.257616924,0.257616924,0.257616924,0.229195786,0.229195786,0.229195786
,10310,0.223649326,0.223649326,0.223649326,0.223649326,0.223649326,0.105035339,0.105035339,0.105035339,0.105035339,0.105035339,0.223649326,0.223649326,0.223649326,0.105035339,0.105035339,0.105035339
,10311,0.222503878,0.222503878,0.222503878,0.222503878,0.222503878,0.10323944,0.10323944,0.10323944,0.10323944,0.10323944,0.222503878,0.222503878,0.222503878,0.10323944,0.10323944,0.10323944
,10312,0.107366507,0.107366507,0.107366507,0.107366507,0.107366507,0.086369542,0.086369542,0.086369542,0.086369542,0.086369542,0.107366507,0.107366507,0.107366507,0.086369542,0.086369542,0.086369542
,10313,0.10823258,0.10823258,0.10823258,0.10823258,0.10823258,0.087178935,0.087178935,0.087178935,0.087178935,0.087178935,0.10823258,0.10823258,0.10823258,0.087178935,0.087178935,0.087178935
,10314,0.221902039,0.221902039,0.221902039,0.221902039,0.221902039,0.064909672,0.064909672,0.064909672,0.064909672,0.064909672,0.221902039,0.221902039,0.221902039,0.064909672,0.064909672,0.064909672
,10315,0.222394002,0.222394002,0.222394002,0.222394002,0.222394002,0.086204417,0.086204417,0.086204417,0.086204417,0.086204417,0.222394002,0.222394002,0.222394002,0.086204417,0.086204417,0.086204417
,10316,0.25208462,0.25208462,0.25208462,0.25208462,0.25208462,0.245697624,0.245697624,0.245697624,0.245697624,0.245697624,0.25208462,0.25208462,0.25208462,0.245697624,0.245697624,0.245697624
,10317,0.273362075,0.273362075,0.273362075,0.273362075,0.273362075,0.272317194,0.272317194,0.272317194,0.272317194,0.272317194,0.273362075,0.273362075,0.273362075,0.272317194,0.272317194,0.272317194
,10318,0.273376539,0.273376539,0.273376539,0.273376539,0.273376539,0.277281422,0.277281422,0.277281422,0.277281422,0.277281422,0.273376539,0.273376539,0.273376539,0.277281422,0.277281422,0.277281422
,10319,0.27340437,0.27340437,0.27340437,0.27340437,0.27340437,0.279991566,0.279991566,0.279991566,0.279991566,0.279991566,0.27340437,0.27340437,0.27340437,0.279991566,0.279991566,0.279991566
,10320,0.273408152,0.273408152,0.273408152,0.273408152,0.273408152,0.28017386,0.28017386,0.28017386,0.28017386,0.28017386,0.273408152,0.273408152,0.273408152,0.28017386,0.28017386,0.28017386
,10321,0.273438938,0.273438938,0.273438938,0.273438938,0.273438938,0.279832183,0.279832183,0.279832183,0.279832183,0.279832183,0.273438938,0.273438938,0.273438938,0.279832183,0.279832183,0.279832183
,10322,0.273466252,0.273466252,0.273466252,0.273466252,0.273466252,0.277126924,0.277126924,0.277126924,0.277126924,0.277126924,0.273466252,0.273466252,0.273466252,0.277126924,0.277126924,0.277126924
,10323,0.273150727,0.273150727,0.273150727,0.273150727,0.273150727,0.273733865,0.273733865,0.273733865,0.273733865,0.273733865,0.273150727,0.273150727,0.273150727,0.273733865,0.273733865,0.273733865
,10324,0.270844946,0.270844946,0.270844946,0.270844946,0.270844946,0.267938434,0.267938434,0.267938434,0.267938434,0.267938434,0.270844946,0.270844946,0.270844946,0.267938434,0.267938434,0.267938434
,10401,0.254940202,0.254940202,0.254940202,0.254940202,0.254940202,0.250728178,0.250728178,0.250728178,0.250728178,0.250728178,0.254940202,0.254940202,0.254940202,0.250728178,0.250728178,0.250728178
,10402,0.227365344,0.227365344,0.227365344,0.227365344,0.227365344,0.202118809,0.202118809,0.202118809,0.202118809,0.202118809,0.227365344,0.227365344,0.227365344,0.202118809,0.202118809,0.202118809
,10403,0.224389124,0.224389124,0.224389124,0.224389124,0.224389124,0.199120608,0.199120608,0.199120608,0.199120608,0.199120608,0.224389124,0.224389124,0.224389124,0.199120608,0.199120608,0.199120608
,10404,0.22374989,0.22374989,0.22374989,0.22374989,0.22374989,0.198535085,0.198535085,0.198535085,0.198535085,0.198535085,0.22374989,0.22374989,0.22374989,0.198535085,0.198535085,0.198535085
,10405,0.22977461,0.22977461,0.22977461,0.22977461,0.22977461,0.204495943,0.204495943,0.204495943,0.204495943,0.204495943,0.22977461,0.22977461,0.22977461,0.204495943,0.204495943,0.204495943
,10406,0.257968562,0.257968562,0.257968562,0.257968562,0.257968562,0.232244724,0.232244724,0.232244724,0.232244724,0.232244724,0.257968562,0.257968562,0.257968562,0.232244724,0.232244724,0.232244724
,10407,0.270840871,0.270840871,0.270840871,0.270840871,0.270840871,0.268180991,0.268180991,0.268180991,0.268180991,0.268180991,0.270840871,0.270840871,0.270840871,0.268180991,0.268180991,0.268180991
,10408,0.272765613,0.272765613,0.272765613,0.272765613,0.272765613,0.269973222,0.269973222,0.269973222,0.269973222,0.269973222,0.272765613,0.272765613,0.272765613,0.269973222,0.269973222,0.269973222
,10409,0.259252287,0.259252287,0.259252287,0.259252287,0.259252287,0.234338823,0.234338823,0.234338823,0.234338823,0.234338823,0.259252287,0.259252287,0.259252287,0.234338823,0.234338823,0.234338823
,10410,0.224293604,0.224293604,0.224293604,0.224293604,0.224293604,0.203328102,0.203328102,0.203328102,0.203328102,0.203328102,0.224293604,0.224293604,0.224293604,0.203328102,0.203328102,0.203328102
,10411,0.217877747,0.217877747,0.217877747,0.217877747,0.217877747,0.081492647,0.081492647,0.081492647,0.081492647,0.081492647,0.217877747,0.217877747,0.217877747,0.081492647,0.081492647,0.081492647
,10412,0.218751202,0.218751202,0.218751202,0.218751202,0.218751202,0.081008084,0.081008084,0.081008084,0.081008084,0.081008084,0.218751202,0.218751202,0.218751202,0.081008084,0.081008084,0.081008084
,10413,0.218599272,0.218599272,0.218599272,0.218599272,0.218599272,0.081280906,0.081280906,0.081280906,0.081280906,0.081280906,0.218599272,0.218599272,0.218599272,0.081280906,0.081280906,0.081280906
,10414,0.100057083,0.100057083,0.100057083,0.100057083,0.100057083,0.059834217,0.059834217,0.059834217,0.059834217,0.059834217,0.100057083,0.100057083,0.100057083,0.059834217,0.059834217,0.059834217
,10415,0.215989278,0.215989278,0.215989278,0.215989278,0.215989278,0.060856391,0.060856391,0.060856391,0.060856391,0.060856391,0.215989278,0.215989278,0.215989278,0.060856391,0.060856391,0.060856391
,10416,0.252858738,0.252858738,0.252858738,0.252858738,0.252858738,0.227266942,0.227266942,0.227266942,0.227266942,0.227266942,0.252858738,0.252858738,0.252858738,0.227266942,0.227266942,0.227266942
