;,; Use with 2009 calendar year and updated CEC weather data,,,,,,,,,,,,,,,,
;,"; Version ID: 2019 TDV CARBON ONLY, Elec Non-Res (15 Year)",,,,,,,,,,,,,,,,
;,; MoDaHr,CZ1 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ2 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ3 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ4 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ5 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ6 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ7 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ8 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ9 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ10 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ11 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ12 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ13 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ14 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ15 Electricity Long-Run Carbon Emission Factors (ton/MWh),CZ16 Electricity Long-Run Carbon Emission Factors (ton/MWh)
TABLE C02ElecByCZ,,,,,,,,,,,,,,,,,
,MoDaHr,C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh),C02(ton/MWh)
,CZ=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,32605,0.262149379,0.262149379,0.262149379,0.262149379,0.262149379,0.255560773,0.255560773,0.255560773,0.255560773,0.255560773,0.262149379,0.262149379,0.262149379,0.255560773,0.255560773,0.255560773
,32606,0.263490989,0.263490989,0.263490989,0.263490989,0.263490989,0.258110612,0.258110612,0.258110612,0.258110612,0.258110612,0.263490989,0.263490989,0.263490989,0.258110612,0.258110612,0.258110612
,32607,0.26398515,0.26398515,0.26398515,0.26398515,0.26398515,0.264032097,0.264032097,0.264032097,0.264032097,0.264032097,0.26398515,0.26398515,0.26398515,0.264032097,0.264032097,0.264032097
,32608,0.264016055,0.264016055,0.264016055,0.264016055,0.264016055,0.25926152,0.25926152,0.25926152,0.25926152,0.25926152,0.264016055,0.264016055,0.264016055,0.25926152,0.25926152,0.25926152
,32609,0.253983846,0.253983846,0.253983846,0.253983846,0.253983846,0.123992841,0.123992841,0.123992841,0.123992841,0.123992841,0.253983846,0.253983846,0.253983846,0.123992841,0.123992841,0.123992841
,32610,0.126993641,0.126993641,0.126993641,0.126993641,0.126993641,0.067857122,0.067857122,0.067857122,0.067857122,0.067857122,0.126993641,0.126993641,0.126993641,0.067857122,0.067857122,0.067857122
,32611,0.107067691,0.107067691,0.107067691,0.107067691,0.107067691,0.067037222,0.067037222,0.067037222,0.067037222,0.067037222,0.107067691,0.107067691,0.107067691,0.067037222,0.067037222,0.067037222
,32612,0.088391246,0.088391246,0.088391246,0.088391246,0.088391246,0.066787671,0.066787671,0.066787671,0.066787671,0.066787671,0.088391246,0.088391246,0.088391246,0.066787671,0.066787671,0.066787671
,32613,0.087938394,0.087938394,0.087938394,0.087938394,0.087938394,0.066412505,0.066412505,0.066412505,0.066412505,0.066412505,0.087938394,0.087938394,0.087938394,0.066412505,0.066412505,0.066412505
,32614,0.070253694,0.070253694,0.070253694,0.070253694,0.070253694,0.066519496,0.066519496,0.066519496,0.066519496,0.066519496,0.070253694,0.070253694,0.070253694,0.066519496,0.066519496,0.066519496
,32615,0.192657501,0.192657501,0.192657501,0.192657501,0.192657501,0.066906282,0.066906282,0.066906282,0.066906282,0.066906282,0.192657501,0.192657501,0.192657501,0.066906282,0.066906282,0.066906282
,32616,0.252489941,0.252489941,0.252489941,0.252489941,0.252489941,0.105033283,0.105033283,0.105033283,0.105033283,0.105033283,0.252489941,0.252489941,0.252489941,0.105033283,0.105033283,0.105033283
,32617,0.263589523,0.263589523,0.263589523,0.263589523,0.263589523,0.258761917,0.258761917,0.258761917,0.258761917,0.258761917,0.263589523,0.263589523,0.263589523,0.258761917,0.258761917,0.258761917
,32618,0.276703907,0.276703907,0.276703907,0.276703907,0.276703907,0.27881741,0.27881741,0.27881741,0.27881741,0.27881741,0.276703907,0.276703907,0.276703907,0.27881741,0.27881741,0.27881741
,32619,0.282370124,0.282370124,0.282370124,0.282370124,0.282370124,0.312651061,0.312651061,0.312651061,0.312651061,0.312651061,0.282370124,0.282370124,0.282370124,0.312651061,0.312651061,0.312651061
,32620,0.28237256,0.28237256,0.28237256,0.28237256,0.28237256,0.325135825,0.325135825,0.325135825,0.325135825,0.325135825,0.28237256,0.28237256,0.28237256,0.325135825,0.325135825,0.325135825
,32621,0.282401492,0.282401492,0.282401492,0.282401492,0.282401492,0.318629924,0.318629924,0.318629924,0.318629924,0.318629924,0.282401492,0.282401492,0.282401492,0.318629924,0.318629924,0.318629924
,32622,0.281130074,0.281130074,0.281130074,0.281130074,0.281130074,0.289229081,0.289229081,0.289229081,0.289229081,0.289229081,0.281130074,0.281130074,0.281130074,0.289229081,0.289229081,0.289229081
,32623,0.268155721,0.268155721,0.268155721,0.268155721,0.268155721,0.268683858,0.268683858,0.268683858,0.268683858,0.268683858,0.268155721,0.268155721,0.268155721,0.268683858,0.268683858,0.268683858
,32624,0.263581906,0.263581906,0.263581906,0.263581906,0.263581906,0.262038808,0.262038808,0.262038808,0.262038808,0.262038808,0.263581906,0.263581906,0.263581906,0.262038808,0.262038808,0.262038808
,32701,0.270101291,0.270101291,0.270101291,0.270101291,0.270101291,0.26352985,0.26352985,0.26352985,0.26352985,0.26352985,0.270101291,0.270101291,0.270101291,0.26352985,0.26352985,0.26352985
,32702,0.261268836,0.261268836,0.261268836,0.261268836,0.261268836,0.254090724,0.254090724,0.254090724,0.254090724,0.254090724,0.261268836,0.261268836,0.261268836,0.254090724,0.254090724,0.254090724
,32703,0.258315178,0.258315178,0.258315178,0.258315178,0.258315178,0.25123956,0.25123956,0.25123956,0.25123956,0.25123956,0.258315178,0.258315178,0.258315178,0.25123956,0.25123956,0.25123956
,32704,0.257573022,0.257573022,0.257573022,0.257573022,0.257573022,0.25020204,0.25020204,0.25020204,0.25020204,0.25020204,0.257573022,0.257573022,0.257573022,0.25020204,0.25020204,0.25020204
,32705,0.260720606,0.260720606,0.260720606,0.260720606,0.260720606,0.253288016,0.253288016,0.253288016,0.253288016,0.253288016,0.260720606,0.260720606,0.260720606,0.253288016,0.253288016,0.253288016
,32706,0.270218434,0.270218434,0.270218434,0.270218434,0.270218434,0.264521924,0.264521924,0.264521924,0.264521924,0.264521924,0.270218434,0.270218434,0.270218434,0.264521924,0.264521924,0.264521924
,32707,0.273019066,0.273019066,0.273019066,0.273019066,0.273019066,0.269899158,0.269899158,0.269899158,0.269899158,0.269899158,0.273019066,0.273019066,0.273019066,0.269899158,0.269899158,0.269899158
,32708,0.272629991,0.272629991,0.272629991,0.272629991,0.272629991,0.246689992,0.246689992,0.246689992,0.246689992,0.246689992,0.272629991,0.272629991,0.272629991,0.246689992,0.246689992,0.246689992
,32709,0.239598501,0.239598501,0.239598501,0.239598501,0.239598501,0.183185313,0.183185313,0.183185313,0.183185313,0.183185313,0.239598501,0.239598501,0.239598501,0.183185313,0.183185313,0.183185313
,32710,0.212359872,0.212359872,0.212359872,0.212359872,0.212359872,0.043025882,0.043025882,0.043025882,0.043025882,0.043025882,0.212359872,0.212359872,0.212359872,0.043025882,0.043025882,0.043025882
,32711,0.185134111,0.185134111,0.185134111,0.185134111,0.185134111,0,0,0,0,0,0.185134111,0.185134111,0.185134111,0,0,0
,32712,0.188529933,0.188529933,0.188529933,0.188529933,0.188529933,0,0,0,0,0,0.188529933,0.188529933,0.188529933,0,0,0
,32713,0.149570382,0.149570382,0.149570382,0.149570382,0.149570382,0,0,0,0,0,0.149570382,0.149570382,0.149570382,0,0,0
,32714,0.024700199,0.024700199,0.024700199,0.024700199,0.024700199,0,0,0,0,0,0.024700199,0.024700199,0.024700199,0,0,0
,32715,0.043250873,0.043250873,0.043250873,0.043250873,0.043250873,0.022101903,0.022101903,0.022101903,0.022101903,0.022101903,0.043250873,0.043250873,0.043250873,0.022101903,0.022101903,0.022101903
,32716,0.088865026,0.088865026,0.088865026,0.088865026,0.088865026,0.063486863,0.063486863,0.063486863,0.063486863,0.063486863,0.088865026,0.088865026,0.088865026,0.063486863,0.063486863,0.063486863
,32717,0.264568296,0.264568296,0.264568296,0.264568296,0.264568296,0.238200062,0.238200062,0.238200062,0.238200062,0.238200062,0.264568296,0.264568296,0.264568296,0.238200062,0.238200062,0.238200062
,32718,0.276032629,0.276032629,0.276032629,0.276032629,0.276032629,0.276145921,0.276145921,0.276145921,0.276145921,0.276145921,0.276032629,0.276032629,0.276032629,0.276145921,0.276145921,0.276145921
,32719,0.276314023,0.276314023,0.276314023,0.276314023,0.276314023,0.28606308,0.28606308,0.28606308,0.28606308,0.28606308,0.276314023,0.276314023,0.276314023,0.28606308,0.28606308,0.28606308
,32720,0.27631422,0.27631422,0.27631422,0.27631422,0.27631422,0.298734453,0.298734453,0.298734453,0.298734453,0.298734453,0.27631422,0.27631422,0.27631422,0.298734453,0.298734453,0.298734453
,32721,0.276345529,0.276345529,0.276345529,0.276345529,0.276345529,0.289563999,0.289563999,0.289563999,0.289563999,0.289563999,0.276345529,0.276345529,0.276345529,0.289563999,0.289563999,0.289563999
,32722,0.276373359,0.276373359,0.276373359,0.276373359,0.276373359,0.279200453,0.279200453,0.279200453,0.279200453,0.279200453,0.276373359,0.276373359,0.276373359,0.279200453,0.279200453,0.279200453
,32723,0.273299423,0.273299423,0.273299423,0.273299423,0.273299423,0.271701371,0.271701371,0.271701371,0.271701371,0.271701371,0.273299423,0.273299423,0.273299423,0.271701371,0.271701371,0.271701371
,32724,0.265415106,0.265415106,0.265415106,0.265415106,0.265415106,0.263808245,0.263808245,0.263808245,0.263808245,0.263808245,0.265415106,0.265415106,0.265415106,0.263808245,0.263808245,0.263808245
,32801,0.258745407,0.258745407,0.258745407,0.258745407,0.258745407,0.252501763,0.252501763,0.252501763,0.252501763,0.252501763,0.258745407,0.258745407,0.258745407,0.252501763,0.252501763,0.252501763
,32802,0.252366349,0.252366349,0.252366349,0.252366349,0.252366349,0.246376838,0.246376838,0.246376838,0.246376838,0.246376838,0.252366349,0.252366349,0.252366349,0.246376838,0.246376838,0.246376838
,32803,0.249875064,0.249875064,0.249875064,0.249875064,0.249875064,0.244157538,0.244157538,0.244157538,0.244157538,0.244157538,0.249875064,0.249875064,0.249875064,0.244157538,0.244157538,0.244157538
,32804,0.249843094,0.249843094,0.249843094,0.249843094,0.249843094,0.243399334,0.243399334,0.243399334,0.243399334,0.243399334,0.249843094,0.249843094,0.249843094,0.243399334,0.243399334,0.243399334
,32805,0.25093896,0.25093896,0.25093896,0.25093896,0.25093896,0.245123847,0.245123847,0.245123847,0.245123847,0.245123847,0.25093896,0.25093896,0.25093896,0.245123847,0.245123847,0.245123847
,32806,0.259953315,0.259953315,0.259953315,0.259953315,0.259953315,0.254562697,0.254562697,0.254562697,0.254562697,0.254562697,0.259953315,0.259953315,0.259953315,0.254562697,0.254562697,0.254562697
,32807,0.270994307,0.270994307,0.270994307,0.270994307,0.270994307,0.265379802,0.265379802,0.265379802,0.265379802,0.265379802,0.270994307,0.270994307,0.270994307,0.265379802,0.265379802,0.265379802
,32808,0.26636058,0.26636058,0.26636058,0.26636058,0.26636058,0.25833285,0.25833285,0.25833285,0.25833285,0.25833285,0.26636058,0.26636058,0.26636058,0.25833285,0.25833285,0.25833285
,32809,0.104910943,0.104910943,0.104910943,0.104910943,0.104910943,0.044055382,0.044055382,0.044055382,0.044055382,0.044055382,0.104910943,0.104910943,0.104910943,0.044055382,0.044055382,0.044055382
,32810,0.083846765,0.083846765,0.083846765,0.083846765,0.083846765,0.022333219,0.022333219,0.022333219,0.022333219,0.022333219,0.083846765,0.083846765,0.083846765,0.022333219,0.022333219,0.022333219
,32811,0.058574373,0.058574373,0.058574373,0.058574373,0.058574373,0,0,0,0,0,0.058574373,0.058574373,0.058574373,0,0,0
,32812,0.01670059,0.01670059,0.01670059,0.01670059,0.01670059,0,0,0,0,0,0.01670059,0.01670059,0.01670059,0,0,0
,32813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,32814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,32815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,32816,0.045093001,0.045093001,0.045093001,0.045093001,0.045093001,0.022451161,0.022451161,0.022451161,0.022451161,0.022451161,0.045093001,0.045093001,0.045093001,0.022451161,0.022451161,0.022451161
,32817,0.253126666,0.253126666,0.253126666,0.253126666,0.253126666,0.225531624,0.225531624,0.225531624,0.225531624,0.225531624,0.253126666,0.253126666,0.253126666,0.225531624,0.225531624,0.225531624
,32818,0.274982663,0.274982663,0.274982663,0.274982663,0.274982663,0.275423578,0.275423578,0.275423578,0.275423578,0.275423578,0.274982663,0.274982663,0.274982663,0.275423578,0.275423578,0.275423578
,32819,0.276215117,0.276215117,0.276215117,0.276215117,0.276215117,0.281020601,0.281020601,0.281020601,0.281020601,0.281020601,0.276215117,0.276215117,0.276215117,0.281020601,0.281020601,0.281020601
,32820,0.27621995,0.27621995,0.27621995,0.27621995,0.27621995,0.282872067,0.282872067,0.282872067,0.282872067,0.282872067,0.27621995,0.27621995,0.27621995,0.282872067,0.282872067,0.282872067
,32821,0.276248821,0.276248821,0.276248821,0.276248821,0.276248821,0.281574167,0.281574167,0.281574167,0.281574167,0.281574167,0.276248821,0.276248821,0.276248821,0.281574167,0.281574167,0.281574167
,32822,0.276284232,0.276284232,0.276284232,0.276284232,0.276284232,0.278818869,0.278818869,0.278818869,0.278818869,0.278818869,0.276284232,0.276284232,0.276284232,0.278818869,0.278818869,0.278818869
,32823,0.274121768,0.274121768,0.274121768,0.274121768,0.274121768,0.273867635,0.273867635,0.273867635,0.273867635,0.273867635,0.274121768,0.274121768,0.274121768,0.273867635,0.273867635,0.273867635
,32824,0.270945242,0.270945242,0.270945242,0.270945242,0.270945242,0.266027856,0.266027856,0.266027856,0.266027856,0.266027856,0.270945242,0.270945242,0.270945242,0.266027856,0.266027856,0.266027856
,32901,0.253499862,0.253499862,0.253499862,0.253499862,0.253499862,0.209801903,0.209801903,0.209801903,0.209801903,0.209801903,0.253499862,0.253499862,0.253499862,0.209801903,0.209801903,0.209801903
,32902,0.253326385,0.253326385,0.253326385,0.253326385,0.253326385,0.208083134,0.208083134,0.208083134,0.208083134,0.208083134,0.253326385,0.253326385,0.253326385,0.208083134,0.208083134,0.208083134
,32903,0.252677271,0.252677271,0.252677271,0.252677271,0.252677271,0.206958686,0.206958686,0.206958686,0.206958686,0.206958686,0.252677271,0.252677271,0.252677271,0.206958686,0.206958686,0.206958686
,32904,0.252661008,0.252661008,0.252661008,0.252661008,0.252661008,0.206984118,0.206984118,0.206984118,0.206984118,0.206984118,0.252661008,0.252661008,0.252661008,0.206984118,0.206984118,0.206984118
,32905,0.253285107,0.253285107,0.253285107,0.253285107,0.253285107,0.207770838,0.207770838,0.207770838,0.207770838,0.207770838,0.253285107,0.253285107,0.253285107,0.207770838,0.207770838,0.207770838
,32906,0.254804913,0.254804913,0.254804913,0.254804913,0.254804913,0.209588157,0.209588157,0.209588157,0.209588157,0.209588157,0.254804913,0.254804913,0.254804913,0.209588157,0.209588157,0.209588157
,32907,0.257846889,0.257846889,0.257846889,0.257846889,0.257846889,0.213336426,0.213336426,0.213336426,0.213336426,0.213336426,0.257846889,0.257846889,0.257846889,0.213336426,0.213336426,0.213336426
,32908,0.237634549,0.237634549,0.237634549,0.237634549,0.237634549,0.21057272,0.21057272,0.21057272,0.21057272,0.21057272,0.237634549,0.237634549,0.237634549,0.21057272,0.21057272,0.21057272
,32909,0.213916989,0.213916989,0.213916989,0.213916989,0.213916989,0.044261453,0.044261453,0.044261453,0.044261453,0.044261453,0.213916989,0.213916989,0.213916989,0.044261453,0.044261453,0.044261453
,32910,0.192456813,0.192456813,0.192456813,0.192456813,0.192456813,0.021090243,0.021090243,0.021090243,0.021090243,0.021090243,0.192456813,0.192456813,0.192456813,0.021090243,0.021090243,0.021090243
,32911,0.150352814,0.150352814,0.150352814,0.150352814,0.150352814,0,0,0,0,0,0.150352814,0.150352814,0.150352814,0,0,0
,32912,0.119331313,0.119331313,0.119331313,0.119331313,0.119331313,0,0,0,0,0,0.119331313,0.119331313,0.119331313,0,0,0
,32913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,32914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,32915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,32916,0.044070133,0.044070133,0.044070133,0.044070133,0.044070133,0,0,0,0,0,0.044070133,0.044070133,0.044070133,0,0,0
,32917,0.236581374,0.236581374,0.236581374,0.236581374,0.236581374,0.1987563,0.1987563,0.1987563,0.1987563,0.1987563,0.236581374,0.236581374,0.236581374,0.1987563,0.1987563,0.1987563
,32918,0.276925476,0.276925476,0.276925476,0.276925476,0.276925476,0.258677348,0.258677348,0.258677348,0.258677348,0.258677348,0.276925476,0.276925476,0.276925476,0.258677348,0.258677348,0.258677348
,32919,0.278637482,0.278637482,0.278637482,0.278637482,0.278637482,0.263322863,0.263322863,0.263322863,0.263322863,0.263322863,0.278637482,0.278637482,0.278637482,0.263322863,0.263322863,0.263322863
,32920,0.278606472,0.278606472,0.278606472,0.278606472,0.278606472,0.264304606,0.264304606,0.264304606,0.264304606,0.264304606,0.278606472,0.278606472,0.278606472,0.264304606,0.264304606,0.264304606
,32921,0.278635665,0.278635665,0.278635665,0.278635665,0.278635665,0.264155429,0.264155429,0.264155429,0.264155429,0.264155429,0.278635665,0.278635665,0.278635665,0.264155429,0.264155429,0.264155429
,32922,0.278670714,0.278670714,0.278670714,0.278670714,0.278670714,0.262893005,0.262893005,0.262893005,0.262893005,0.262893005,0.278670714,0.278670714,0.278670714,0.262893005,0.262893005,0.262893005
,32923,0.27839849,0.27839849,0.27839849,0.27839849,0.27839849,0.259322391,0.259322391,0.259322391,0.259322391,0.259322391,0.27839849,0.27839849,0.27839849,0.259322391,0.259322391,0.259322391
,32924,0.261824143,0.261824143,0.261824143,0.261824143,0.261824143,0.243719245,0.243719245,0.243719245,0.243719245,0.243719245,0.261824143,0.261824143,0.261824143,0.243719245,0.243719245,0.243719245
,33001,0.265645307,0.265645307,0.265645307,0.265645307,0.265645307,0.22518247,0.22518247,0.22518247,0.22518247,0.22518247,0.265645307,0.265645307,0.265645307,0.22518247,0.22518247,0.22518247
,33002,0.262646367,0.262646367,0.262646367,0.262646367,0.262646367,0.221244303,0.221244303,0.221244303,0.221244303,0.221244303,0.262646367,0.262646367,0.262646367,0.221244303,0.221244303,0.221244303
,33003,0.260111829,0.260111829,0.260111829,0.260111829,0.260111829,0.218667165,0.218667165,0.218667165,0.218667165,0.218667165,0.260111829,0.260111829,0.260111829,0.218667165,0.218667165,0.218667165
,33004,0.259975695,0.259975695,0.259975695,0.259975695,0.259975695,0.218518536,0.218518536,0.218518536,0.218518536,0.218518536,0.259975695,0.259975695,0.259975695,0.218518536,0.218518536,0.218518536
,33005,0.26557776,0.26557776,0.26557776,0.26557776,0.26557776,0.224819444,0.224819444,0.224819444,0.224819444,0.224819444,0.26557776,0.26557776,0.26557776,0.224819444,0.224819444,0.224819444
,33006,0.273114711,0.273114711,0.273114711,0.273114711,0.273114711,0.233530596,0.233530596,0.233530596,0.233530596,0.233530596,0.273114711,0.273114711,0.273114711,0.233530596,0.233530596,0.233530596
,33007,0.275980204,0.275980204,0.275980204,0.275980204,0.275980204,0.236347941,0.236347941,0.236347941,0.236347941,0.236347941,0.275980204,0.275980204,0.275980204,0.236347941,0.236347941,0.236347941
,33008,0.273179555,0.273179555,0.273179555,0.273179555,0.273179555,0.23323037,0.23323037,0.23323037,0.23323037,0.23323037,0.273179555,0.273179555,0.273179555,0.23323037,0.23323037,0.23323037
,33009,0.107155096,0.107155096,0.107155096,0.107155096,0.107155096,0.083460133,0.083460133,0.083460133,0.083460133,0.083460133,0.107155096,0.107155096,0.107155096,0.083460133,0.083460133,0.083460133
,33010,0.087969204,0.087969204,0.087969204,0.087969204,0.087969204,0.065276722,0.065276722,0.065276722,0.065276722,0.065276722,0.087969204,0.087969204,0.087969204,0.065276722,0.065276722,0.065276722
,33011,0.06868249,0.06868249,0.06868249,0.06868249,0.06868249,0.04261079,0.04261079,0.04261079,0.04261079,0.04261079,0.06868249,0.06868249,0.06868249,0.04261079,0.04261079,0.04261079
,33012,0.067990606,0.067990606,0.067990606,0.067990606,0.067990606,0.043644875,0.043644875,0.043644875,0.043644875,0.043644875,0.067990606,0.067990606,0.067990606,0.043644875,0.043644875,0.043644875
,33013,0.067484484,0.067484484,0.067484484,0.067484484,0.067484484,0.044075418,0.044075418,0.044075418,0.044075418,0.044075418,0.067484484,0.067484484,0.067484484,0.044075418,0.044075418,0.044075418
,33014,0.069176406,0.069176406,0.069176406,0.069176406,0.069176406,0.065191375,0.065191375,0.065191375,0.065191375,0.065191375,0.069176406,0.069176406,0.069176406,0.065191375,0.065191375,0.065191375
,33015,0.069408868,0.069408868,0.069408868,0.069408868,0.069408868,0.065383235,0.065383235,0.065383235,0.065383235,0.065383235,0.069408868,0.069408868,0.069408868,0.065383235,0.065383235,0.065383235
,33016,0.206185586,0.206185586,0.206185586,0.206185586,0.206185586,0.08307615,0.08307615,0.08307615,0.08307615,0.08307615,0.206185586,0.206185586,0.206185586,0.08307615,0.08307615,0.08307615
,33017,0.248509084,0.248509084,0.248509084,0.248509084,0.248509084,0.226905753,0.226905753,0.226905753,0.226905753,0.226905753,0.248509084,0.248509084,0.248509084,0.226905753,0.226905753,0.226905753
,33018,0.277780434,0.277780434,0.277780434,0.277780434,0.277780434,0.245883568,0.245883568,0.245883568,0.245883568,0.245883568,0.277780434,0.277780434,0.277780434,0.245883568,0.245883568,0.245883568
,33019,0.278933254,0.278933254,0.278933254,0.278933254,0.278933254,0.304111449,0.304111449,0.304111449,0.304111449,0.304111449,0.278933254,0.278933254,0.278933254,0.304111449,0.304111449,0.304111449
,33020,0.278917671,0.278917671,0.278917671,0.278917671,0.278917671,0.331872336,0.331872336,0.331872336,0.331872336,0.331872336,0.278917671,0.278917671,0.278917671,0.331872336,0.331872336,0.331872336
,33021,0.27890922,0.27890922,0.27890922,0.27890922,0.27890922,0.322609931,0.322609931,0.322609931,0.322609931,0.322609931,0.27890922,0.27890922,0.27890922,0.322609931,0.322609931,0.322609931
,33022,0.277788594,0.277788594,0.277788594,0.277788594,0.277788594,0.291412966,0.291412966,0.291412966,0.291412966,0.291412966,0.277788594,0.277788594,0.277788594,0.291412966,0.291412966,0.291412966
,33023,0.27704219,0.27704219,0.27704219,0.27704219,0.27704219,0.258175115,0.258175115,0.258175115,0.258175115,0.258175115,0.27704219,0.27704219,0.27704219,0.258175115,0.258175115,0.258175115
,33024,0.276032204,0.276032204,0.276032204,0.276032204,0.276032204,0.23592006,0.23592006,0.23592006,0.23592006,0.23592006,0.276032204,0.276032204,0.276032204,0.23592006,0.23592006,0.23592006
,33101,0.241491946,0.241491946,0.241491946,0.241491946,0.241491946,0.235462872,0.235462872,0.235462872,0.235462872,0.235462872,0.241491946,0.241491946,0.241491946,0.235462872,0.235462872,0.235462872
,33102,0.241466534,0.241466534,0.241466534,0.241466534,0.241466534,0.235406911,0.235406911,0.235406911,0.235406911,0.235406911,0.241466534,0.241466534,0.241466534,0.235406911,0.235406911,0.235406911
,33103,0.241454971,0.241454971,0.241454971,0.241454971,0.241454971,0.235439667,0.235439667,0.235439667,0.235439667,0.235439667,0.241454971,0.241454971,0.241454971,0.235439667,0.235439667,0.235439667
,33104,0.241435522,0.241435522,0.241435522,0.241435522,0.241435522,0.235471272,0.235471272,0.235471272,0.235471272,0.235471272,0.241435522,0.241435522,0.241435522,0.235471272,0.235471272,0.235471272
,33105,0.241434248,0.241434248,0.241434248,0.241434248,0.241434248,0.235664512,0.235664512,0.235664512,0.235664512,0.235664512,0.241434248,0.241434248,0.241434248,0.235664512,0.235664512,0.235664512
,33106,0.24164256,0.24164256,0.24164256,0.24164256,0.24164256,0.240232408,0.240232408,0.240232408,0.240232408,0.240232408,0.24164256,0.24164256,0.24164256,0.240232408,0.240232408,0.240232408
,33107,0.242886926,0.242886926,0.242886926,0.242886926,0.242886926,0.243218457,0.243218457,0.243218457,0.243218457,0.243218457,0.242886926,0.242886926,0.242886926,0.243218457,0.243218457,0.243218457
,33108,0.241415062,0.241415062,0.241415062,0.241415062,0.241415062,0.236868602,0.236868602,0.236868602,0.236868602,0.236868602,0.241415062,0.241415062,0.241415062,0.236868602,0.236868602,0.236868602
,33109,0.231418336,0.231418336,0.231418336,0.231418336,0.231418336,0.087048165,0.087048165,0.087048165,0.087048165,0.087048165,0.231418336,0.231418336,0.231418336,0.087048165,0.087048165,0.087048165
,33110,0.107956445,0.107956445,0.107956445,0.107956445,0.107956445,0.066808195,0.066808195,0.066808195,0.066808195,0.066808195,0.107956445,0.107956445,0.107956445,0.066808195,0.066808195,0.066808195
,33111,0.107310939,0.107310939,0.107310939,0.107310939,0.107310939,0.046166152,0.046166152,0.046166152,0.046166152,0.046166152,0.107310939,0.107310939,0.107310939,0.046166152,0.046166152,0.046166152
,33112,0.107193472,0.107193472,0.107193472,0.107193472,0.107193472,0.046229329,0.046229329,0.046229329,0.046229329,0.046229329,0.107193472,0.107193472,0.107193472,0.046229329,0.046229329,0.046229329
,33113,0.090333745,0.090333745,0.090333745,0.090333745,0.090333745,0.046145196,0.046145196,0.046145196,0.046145196,0.046145196,0.090333745,0.090333745,0.090333745,0.046145196,0.046145196,0.046145196
,33114,0.090333617,0.090333617,0.090333617,0.090333617,0.090333617,0.046100501,0.046100501,0.046100501,0.046100501,0.046100501,0.090333617,0.090333617,0.090333617,0.046100501,0.046100501,0.046100501
,33115,0.226787845,0.226787845,0.226787845,0.226787845,0.226787845,0.046368825,0.046368825,0.046368825,0.046368825,0.046368825,0.226787845,0.226787845,0.226787845,0.046368825,0.046368825,0.046368825
,33116,0.232016502,0.232016502,0.232016502,0.232016502,0.232016502,0.205837319,0.205837319,0.205837319,0.205837319,0.205837319,0.232016502,0.232016502,0.232016502,0.205837319,0.205837319,0.205837319
,33117,0.241538162,0.241538162,0.241538162,0.241538162,0.241538162,0.24003855,0.24003855,0.24003855,0.24003855,0.24003855,0.241538162,0.241538162,0.241538162,0.24003855,0.24003855,0.24003855
,33118,0.246876966,0.246876966,0.246876966,0.246876966,0.246876966,0.251360021,0.251360021,0.251360021,0.251360021,0.251360021,0.246876966,0.246876966,0.246876966,0.251360021,0.251360021,0.251360021
,33119,0.267682812,0.267682812,0.267682812,0.267682812,0.267682812,0.308246259,0.308246259,0.308246259,0.308246259,0.308246259,0.267682812,0.267682812,0.267682812,0.308246259,0.308246259,0.308246259
,33120,0.26940657,0.26940657,0.26940657,0.26940657,0.26940657,0.374733985,0.374733985,0.374733985,0.374733985,0.374733985,0.26940657,0.26940657,0.26940657,0.374733985,0.374733985,0.374733985
,33121,0.268652219,0.268652219,0.268652219,0.268652219,0.268652219,0.348648463,0.348648463,0.348648463,0.348648463,0.348648463,0.268652219,0.268652219,0.268652219,0.348648463,0.348648463,0.348648463
,33122,0.264499699,0.264499699,0.264499699,0.264499699,0.264499699,0.289250989,0.289250989,0.289250989,0.289250989,0.289250989,0.264499699,0.264499699,0.264499699,0.289250989,0.289250989,0.289250989
