;,2025 Energy Code: Long-term System Cost (LSC) NEM3-ACC (Avoided Cost Calculator) Hourly Factors,,,,,,,,,,,,,,,
;,Source:,,from CEC/RJW via e-mail  7/15/24:  2025_LSCHourlyExportValuesACC.xlsx,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,Last modified:,,07/16/24 - SAC - converted into look-up table for CBECC(-Res) rulesets,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,Export LSC (CZ1; 30-yr PV$/kWh),Export LSC (CZ2; 30-yr PV$/kWh),Export LSC (CZ3; 30-yr PV$/kWh),Export LSC (CZ4; 30-yr PV$/kWh),Export LSC (CZ5; 30-yr PV$/kWh),Export LSC (CZ6; 30-yr PV$/kWh),Export LSC (CZ7; 30-yr PV$/kWh),Export LSC (CZ8; 30-yr PV$/kWh),Export LSC (CZ9; 30-yr PV$/kWh),Export LSC (CZ10; 30-yr PV$/kWh),Export LSC (CZ11; 30-yr PV$/kWh),Export LSC (CZ12; 30-yr PV$/kWh),Export LSC (CZ13; 30-yr PV$/kWh),Export LSC (CZ14; 30-yr PV$/kWh),Export LSC (CZ15; 30-yr PV$/kWh),Export LSC (CZ16; 30-yr PV$/kWh)
; MoDaHr,,,,,,,,,,,,,,,,
; CZ=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
10202,1.344264373,1.344264373,1.344264373,1.344264373,1.344264373,1.344264373,1.344258428,1.344264373,1.344264373,1.344264373,1.344264373,1.344264373,1.344264373,1.344264373,1.344264373,1.344264373
10203,1.329566394,1.329566394,1.329566394,1.329566394,1.329566394,1.329566394,1.32956797,1.329566394,1.329566394,1.329566394,1.329566394,1.329566394,1.329566394,1.329566394,1.329566394,1.329566394
10204,1.32415214,1.32415214,1.32415214,1.32415214,1.32415214,1.32415214,1.324183331,1.32415214,1.32415214,1.32415214,1.32415214,1.32415214,1.32415214,1.32415214,1.32415214,1.32415214
10205,1.342520692,1.342520692,1.342520692,1.342520692,1.342520692,1.342520692,1.342508596,1.342520692,1.342520692,1.342520692,1.342520692,1.342520692,1.342520692,1.342520692,1.342520692,1.342520692
10206,1.378760487,1.378760487,1.378760487,1.378760487,1.378760487,1.378760487,1.37875051,1.378760487,1.378760487,1.378760487,1.378760487,1.378760487,1.378760487,1.378760487,1.378760487,1.378760487
10207,1.490271363,1.490271363,1.490271363,1.490271363,1.490271363,1.490271363,1.490262382,1.490271363,1.490271363,1.490271363,1.490271363,1.490271363,1.490271363,1.490271363,1.490271363,1.490271363
10208,1.438393298,1.438393298,1.438393298,1.438393298,1.438393298,1.433663968,1.433662533,1.433663968,1.433663968,1.433663968,1.438393298,1.438393298,1.438393298,1.433663968,1.433663968,1.433663968
10209,1.291733433,1.291733433,1.291733433,1.291733433,1.291733433,1.279437029,1.279413547,1.279437029,1.279437029,1.279437029,1.291733433,1.291733433,1.291733433,1.279437029,1.279437029,1.279437029
10210,1.332538975,1.332538975,1.332538975,1.332538975,1.332538975,1.047363952,1.047367768,1.047363952,1.047363952,1.047363952,1.332538975,1.332538975,1.332538975,1.047363952,1.047363952,1.047363952
10211,1.291778725,1.291778725,1.291778725,1.291778725,1.291778725,0.914557637,0.91455602,0.914557637,0.914557637,0.914557637,1.291778725,1.291778725,1.291778725,0.914557637,0.914557637,0.914557637
10212,1.244722122,1.244722122,1.244722122,1.244722122,1.244722122,0.867780082,0.867764578,0.867780082,0.867780082,0.867780082,1.244722122,1.244722122,1.244722122,0.867780082,0.867780082,0.867780082
10213,1.193194547,1.193194547,1.193194547,1.193194547,1.193194547,0.851414304,0.851433112,0.851414304,0.851414304,0.851414304,1.193194547,1.193194547,1.193194547,0.851414304,0.851414304,0.851414304
10214,1.150135805,1.150135805,1.150135805,1.150135805,1.150135805,0.842495525,0.842484903,0.842495525,0.842495525,0.842495525,1.150135805,1.150135805,1.150135805,0.842495525,0.842495525,0.842495525
10215,1.068300726,1.068300726,1.068300726,1.068300726,1.068300726,0.791920006,0.791944988,0.791920006,0.791920006,0.791920006,1.068300726,1.068300726,1.068300726,0.791920006,0.791920006,0.791920006
10216,1.009357267,1.009357267,1.009357267,1.009357267,1.009357267,0.779056151,0.779068196,0.779056151,0.779056151,0.779056151,1.009357267,1.009357267,1.009357267,0.779056151,0.779056151,0.779056151
10217,1.499455259,1.499455259,1.499455259,1.499455259,1.499455259,1.43234445,1.432347181,1.43234445,1.43234445,1.43234445,1.499455259,1.499455259,1.499455259,1.43234445,1.43234445,1.43234445
10218,1.583565968,1.583565968,1.583565968,1.583565968,1.583565968,1.583565968,1.583560954,1.583565968,1.583565968,1.583565968,1.583565968,1.583565968,1.583565968,1.583565968,1.583565968,1.583565968
10219,1.581513194,1.581513194,1.581513194,1.581513194,1.581513194,1.581513194,1.581501539,1.581513194,1.581513194,1.581513194,1.581513194,1.581513194,1.581513194,1.581513194,1.581513194,1.581513194
10220,1.568060768,1.568060768,1.568060768,1.568060768,1.568060768,1.568060768,1.568048884,1.568060768,1.568060768,1.568060768,1.568060768,1.568060768,1.568060768,1.568060768,1.568060768,1.568060768
10221,1.5446037,1.5446037,1.5446037,1.5446037,1.5446037,1.5446037,1.544582843,1.5446037,1.5446037,1.5446037,1.5446037,1.5446037,1.5446037,1.5446037,1.5446037,1.5446037
10222,1.479959885,1.479959885,1.479959885,1.479959885,1.479959885,1.479954621,1.479930095,1.479954621,1.479954621,1.479954621,1.479959885,1.479959885,1.479959885,1.479954621,1.479954621,1.479954621
10223,1.418162074,1.418162074,1.418162074,1.418162074,1.418162074,1.418162074,1.418172425,1.418162074,1.418162074,1.418162074,1.418162074,1.418162074,1.418162074,1.418162074,1.418162074,1.418162074
10224,1.397585608,1.397585608,1.397585608,1.397585608,1.397585608,1.397585608,1.397606131,1.397585608,1.397585608,1.397585608,1.397585608,1.397585608,1.397585608,1.397585608,1.397585608,1.397585608
10301,1.346235483,1.346235483,1.346235483,1.346235483,1.346235483,1.346235483,1.346208984,1.346235483,1.346235483,1.346235483,1.346235483,1.346235483,1.346235483,1.346235483,1.346235483,1.346235483
10302,1.341824849,1.341824849,1.341824849,1.341824849,1.341824849,1.341824849,1.34184696,1.341824849,1.341824849,1.341824849,1.341824849,1.341824849,1.341824849,1.341824849,1.341824849,1.341824849
10303,1.323189012,1.323189012,1.323189012,1.323189012,1.323189012,1.323189012,1.323191334,1.323189012,1.323189012,1.323189012,1.323189012,1.323189012,1.323189012,1.323189012,1.323189012,1.323189012
10304,1.321652817,1.321652817,1.321652817,1.321652817,1.321652817,1.321652817,1.321645967,1.321652817,1.321652817,1.321652817,1.321652817,1.321652817,1.321652817,1.321652817,1.321652817,1.321652817
10305,1.321866853,1.321866853,1.321866853,1.321866853,1.321866853,1.321866853,1.321861921,1.321866853,1.321866853,1.321866853,1.321866853,1.321866853,1.321866853,1.321866853,1.321866853,1.321866853
10306,1.359982309,1.359982309,1.359982309,1.359982309,1.359982309,1.359982309,1.359985321,1.359982309,1.359982309,1.359982309,1.359982309,1.359982309,1.359982309,1.359982309,1.359982309,1.359982309
10307,1.443938744,1.443938744,1.443938744,1.443938744,1.443938744,1.443938744,1.443946111,1.443938744,1.443938744,1.443938744,1.443938744,1.443938744,1.443938744,1.443938744,1.443938744,1.443938744
10308,1.408386227,1.408386227,1.408386227,1.408386227,1.408386227,1.403804169,1.403788561,1.403804169,1.403804169,1.403804169,1.408386227,1.408386227,1.408386227,1.403804169,1.403804169,1.403804169
10309,1.183276011,1.183276011,1.183276011,1.183276011,1.183276011,1.150289193,1.150283268,1.150289193,1.150289193,1.150289193,1.183276011,1.183276011,1.183276011,1.150289193,1.150289193,1.150289193
10310,1.220032071,1.220032071,1.220032071,1.220032071,1.220032071,0.979973576,0.979969194,0.979973576,0.979973576,0.979973576,1.220032071,1.220032071,1.220032071,0.979973576,0.979973576,0.979973576
10311,1.157563975,1.157563975,1.157563975,1.157563975,1.157563975,0.87704891,0.877037485,0.87704891,0.87704891,0.87704891,1.157563975,1.157563975,1.157563975,0.87704891,0.87704891,0.87704891
10312,1.104424826,1.104424826,1.104424826,1.104424826,1.104424826,0.813737724,0.813714647,0.813737724,0.813737724,0.813737724,1.104424826,1.104424826,1.104424826,0.813737724,0.813737724,0.813737724
