,MoDaHr,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV
,Fuel=,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane
,CZ=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,10105,28.62459034,28.38787839,28.53748511,28.58266841,28.69414344,28.34803904,28.29933979,28.4629538,28.38514376,28.33066409,28.50300038,28.51149941,28.43925854,28.3208817,28.33493754,28.89130091,286.1004804,286.1004804,286.1004804,286.1004804,286.1004804,289.191387,290.8274286,289.191387,289.191387,289.191387,286.1004804,286.1004804,286.1004804,289.191387,289.191387,289.191387,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069
,10106,28.70862524,28.47170815,28.62144453,28.66666698,28.77823862,28.61464251,28.56542597,28.72987504,28.65184984,28.59721951,28.58692991,28.59543631,28.52313283,28.58741007,28.60150478,29.15940665,286.1004804,286.1004804,286.1004804,286.1004804,286.1004804,289.191387,290.8274286,289.191387,289.191387,289.191387,286.1004804,286.1004804,286.1004804,289.191387,289.191387,289.191387,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069
,10107,28.71728876,28.48035052,28.63010027,28.67532676,28.78690836,28.6339157,28.58466344,28.7491712,28.67113045,28.61648923,28.59558257,28.60408973,28.53177979,28.60667783,28.62077535,29.17878844,286.1004804,286.1004804,286.1004804,286.1004804,286.1004804,289.191387,290.8274286,289.191387,289.191387,289.191387,286.1004804,286.1004804,286.1004804,289.191387,289.191387,289.191387,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069
,10108,28.71840942,28.48146845,28.63121993,28.67644694,28.78802982,28.62253726,28.57330578,28.7377792,28.65974763,28.60511284,28.59670182,28.60520908,28.53289831,28.5953026,28.60939846,29.16734589,286.1004804,286.1004804,286.1004804,286.1004804,286.1004804,289.191387,290.8274286,289.191387,289.191387,289.191387,286.1004804,286.1004804,286.1004804,289.191387,289.191387,289.191387,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069
,10109,28.71622278,28.47928715,28.62903525,28.67426124,28.78584161,28.20409598,28.15566772,28.31883917,28.24114531,28.18674697,28.59451792,28.60302499,28.53071585,28.17697919,28.19101404,28.74654675,286.1004804,286.1004804,286.1004804,286.1004804,286.1004804,289.191387,290.8274286,289.191387,289.191387,289.191387,286.1004804,286.1004804,286.1004804,289.191387,289.191387,289.191387,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069
,10110,28.53182531,28.2953398,28.44480341,28.48994349,28.60131187,25.50976404,25.4663975,25.62129579,25.54577643,25.4929006,28.41035167,28.41884257,28.3466708,25.4834062,25.49704824,26.03703265,286.1004804,286.1004804,286.1004804,286.1004804,286.1004804,289.191387,290.8274286,289.191387,289.191387,289.191387,286.1004804,286.1004804,286.1004804,289.191387,289.191387,289.191387,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069
,10111,28.43834757,28.20209025,28.35140964,28.39650616,28.50776709,24.61407134,24.57243732,24.72453549,24.64973901,24.59736932,28.31699114,28.32547385,28.25337172,24.5879658,24.60147725,25.13629285,286.1004804,286.1004804,286.1004804,286.1004804,286.1004804,289.191387,290.8274286,289.191387,289.191387,289.191387,286.1004804,286.1004804,286.1004804,289.191387,289.191387,289.191387,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069
,10112,28.18014239,27.94451538,28.0934364,28.13841261,28.2493767,24.3553007,24.31414814,24.46545642,24.39086878,24.33864532,28.05910972,28.0675698,27.99566003,24.32926805,24.34274178,24.87606408,286.1004804,286.1004804,286.1004804,286.1004804,286.1004804,289.191387,290.8274286,289.191387,289.191387,289.191387,286.1004804,286.1004804,286.1004804,289.191387,289.191387,289.191387,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069
,10113,27.06641765,26.83350935,26.98071209,27.02516936,27.13485313,24.3675904,24.32641556,24.47776076,24.40316321,24.35093279,26.94678148,26.95514395,26.88406389,24.34155428,24.35502981,24.88842302,286.1004804,286.1004804,286.1004804,286.1004804,286.1004804,289.191387,290.8274286,289.191387,289.191387,289.191387,286.1004804,286.1004804,286.1004804,289.191387,289.191387,289.191387,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069
,10114,27.92320152,27.68820173,27.83672634,27.88158282,27.99225154,24.35715031,24.31599431,24.46730823,24.39271911,24.34049459,27.80249103,27.81092859,27.73921024,24.33111714,24.34459114,24.87792411,286.1004804,286.1004804,286.1004804,286.1004804,286.1004804,289.191387,290.8274286,289.191387,289.191387,289.191387,286.1004804,286.1004804,286.1004804,289.191387,289.191387,289.191387,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069,540.4062069
