;,,,,,,,,,,,,,
TABLE HRR10STrmlUnit,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,
PropSys2 CoilClg-13,BaseSys2 CoilClg-13,ChilledWater,BaseZnSys2-13,Apartment Unit 802 Thermal Zn,18958.31,18958.31,1.89511,-99996,-99996,-99996,,,
PropSys2 CoilClg-14,BaseSys2 CoilClg-14,ChilledWater,BaseZnSys2-14,Apartment Unit 803 Thermal Zn,19010.292,19010.292,1.90031,-99996,-99996,-99996,,,
PropSys2 CoilClg-15,BaseSys2 CoilClg-15,ChilledWater,BaseZnSys2-15,Apartment Unit 804 Thermal Zn,21303.847,21303.847,2.12958,-99996,-99996,-99996,,,
PropSys2 CoilClg-16,BaseSys2 CoilClg-16,ChilledWater,BaseZnSys2-16,Apartment Unit 805 Thermal Zn,20080.834,20080.834,2.00732,-99996,-99996,-99996,,,
PropSys2 CoilClg-17,BaseSys2 CoilClg-17,ChilledWater,BaseZnSys2-17,Apartment Unit 806 Thermal Zn,11356.775,11356.775,1.13525,-99996,-99996,-99996,,,
PropSys2 CoilClg-18,BaseSys2 CoilClg-18,ChilledWater,BaseZnSys2-18,Apartment Unit 807 Thermal Zn,11346.243,11346.243,1.13419,-99996,-99996,-99996,,,
PropSys2 CoilClg-19,BaseSys2 CoilClg-19,ChilledWater,BaseZnSys2-19,Apartment Unit 808 Thermal Zn,17155.751,17155.751,1.71492,-99996,-99996,-99996,,,
PropSys2 CoilClg-20,BaseSys2 CoilClg-20,ChilledWater,BaseZnSys2-20,Apartment Unit 1001 Thermal Zn,25114.96,25114.96,2.51054,-99996,-99996,-99996,,,
PropSys2 CoilClg-21,BaseSys2 CoilClg-21,ChilledWater,BaseZnSys2-21,Apartment Unit 1002 Thermal Zn,20766.64,20766.64,2.07588,-99996,-99996,-99996,,,
PropSys2 CoilClg-22,BaseSys2 CoilClg-22,ChilledWater,BaseZnSys2-22,Apartment Unit 1003 Thermal Zn,20805.614,20805.614,2.07977,-99996,-99996,-99996,,,
PropSys2 CoilClg-23,BaseSys2 CoilClg-23,ChilledWater,BaseZnSys2-23,Apartment Unit 1004 Thermal Zn,23484.447,23484.447,2.34755,-99996,-99996,-99996,,,
PropSys2 CoilClg-24,BaseSys2 CoilClg-24,ChilledWater,BaseZnSys2-24,Apartment Unit 1005 Thermal Zn,22620.955,22620.955,2.26124,-99996,-99996,-99996,,,
PropSys2 CoilClg-25,BaseSys2 CoilClg-25,ChilledWater,BaseZnSys2-25,Apartment Unit 1006 Thermal Zn,13613.391,13613.391,1.36082,-99996,-99996,-99996,,,
PropSys2 CoilClg-26,BaseSys2 CoilClg-26,ChilledWater,BaseZnSys2-26,Apartment Unit 1007 Thermal Zn,13597.901,13597.901,1.35927,-99996,-99996,-99996,,,
PropSys2 CoilClg-27,BaseSys2 CoilClg-27,ChilledWater,BaseZnSys2-27,Apartment Unit 1008 Thermal Zn,18723.335,18723.335,1.87162,-99996,-99996,-99996,,,
ENDTABLE,,,,,,,,,,,,,
TABLE HRR10SCoilHtg,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,FurnAFUE,FurnThrmlEff,,,,
