;,,,,,,,,,,,,,
TABLE HRR4STrmlUnit,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,,
PropVAVBox TrmlUnit,BaseVAVBox TrmlUnit,VAVReheatBox,BaseAirSys5,Thermal Zone: Corridor Level 1,1330.037,273.6,665.019,DualMaximum,,,,,
PropVAVBox TrmlUnit-2,BaseVAVBox TrmlUnit-2,VAVReheatBox,BaseAirSys5,Thermal Zone: Excercise Center,503.066,475,475,DualMaximum,,,,,
PropVAVBox TrmlUnit-3,BaseVAVBox TrmlUnit-3,VAVReheatBox,BaseAirSys5,Thermal Zone: Laundry,808.729,161.746,404.365,DualMaximum,,,,,
PropVAVBox TrmlUnit-4,BaseVAVBox TrmlUnit-4,VAVReheatBox,BaseAirSys5,Thermal Zone: Main Entry Lobby,1149.72,229.944,574.86,DualMaximum,,,,,
PropVAVBox TrmlUnit-5,BaseVAVBox TrmlUnit-5,VAVReheatBox,BaseAirSys5,Thermal Zone: Multipurpose Room Level 1,1071.374,214.275,535.687,DualMaximum,,,,,
PropVAVBox TrmlUnit-6,BaseVAVBox TrmlUnit-6,VAVReheatBox,BaseAirSys5,Thermal Zone: Office Level 1,794.35,159.6,397.175,DualMaximum,,,,,
PropVAVBox TrmlUnit-7,BaseVAVBox TrmlUnit-7,VAVReheatBox,BaseAirSys5-2,Thermal Zone: Corridor Level 2,1132.012,273.6,566.006,DualMaximum,,,,,
PropVAVBox TrmlUnit-8,BaseVAVBox TrmlUnit-8,VAVReheatBox,BaseAirSys5-3,Thermal Zone: Corridor Level 4,1192.261,273.6,596.13,DualMaximum,,,,,
ENDTABLE,,,,,,,,,,,,,
TABLE HRR4SCoilClg,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,
PropSys5 CoilClg,BaseSys5 CoilClg,DirectExpansion,BaseAirSys5,UNDEFINED,214554.077,223846.543,-99996,-99996,10.8,2,,,
PropSys5 CoilClg-2,BaseSys5 CoilClg-2,DirectExpansion,BaseAirSys5-2,UNDEFINED,36598.281,38183.374,-99996,13,10.845,2,,,
PropSys5 CoilClg-3,BaseSys5 CoilClg-3,DirectExpansion,BaseAirSys5-3,UNDEFINED,43262.837,45136.577,-99996,13,10.845,2,,,
Apartment Unit 100-SZAC CoilClg,BaseSys1 CoilClg,DirectExpansion,BaseZnSys1,Thermal Zone: Apartment Unit 100,19080.849,19907.252,-99996,14,12.2,-99996,,,
Apartment Unit 101-SZAC CoilClg,BaseSys1 CoilClg-2,DirectExpansion,BaseZnSys1-2,Thermal Zone: Apartment Unit 101,19116.326,19944.265,-99996,14,12.2,-99996,,,
Apartment Unit 102-SZAC CoilClg,BaseSys1 CoilClg-3,DirectExpansion,BaseZnSys1-3,Thermal Zone: Apartment Unit 102,19115.272,19943.166,-99996,14,12.2,-99996,,,
Apartment Unit 103-SZAC CoilClg,BaseSys1 CoilClg-4,DirectExpansion,BaseZnSys1-4,Thermal Zone: Apartment Unit 103,19115.082,19942.968,-99996,14,12.2,-99996,,,
Apartment Unit 104-SZAC CoilClg,BaseSys1 CoilClg-5,DirectExpansion,BaseZnSys1-5,Thermal Zone: Apartment Unit 104,19115.182,19943.072,-99996,14,12.2,-99996,,,
Apartment Unit 105-SZAC CoilClg,BaseSys1 CoilClg-6,DirectExpansion,BaseZnSys1-6,Thermal Zone: Apartment Unit 105,19118.047,19946.061,-99996,14,12.2,-99996,,,
Apartment Unit 106-SZAC CoilClg,BaseSys1 CoilClg-7,DirectExpansion,BaseZnSys1-7,Thermal Zone: Apartment Unit 106,19166.021,19996.113,-99996,14,12.2,-99996,,,
Apartment Unit 107-SZAC CoilClg,BaseSys1 CoilClg-8,DirectExpansion,BaseZnSys1-8,Thermal Zone: Apartment Unit 107,21701.977,22641.903,-99996,14,12.2,-99996,,,
Apartment Unit 108-SZAC CoilClg,BaseSys1 CoilClg-9,DirectExpansion,BaseZnSys1-9,Thermal Zone: Apartment Unit 108,16204.676,16906.51,-99996,14,12.2,-99996,,,
Apartment Unit 109-SZAC CoilClg,BaseSys1 CoilClg-10,DirectExpansion,BaseZnSys1-10,Thermal Zone: Apartment Unit 109,10328.564,10775.9,-99996,14,12.2,-99996,,,
Apartment Unit 110-SZAC CoilClg,BaseSys1 CoilClg-11,DirectExpansion,BaseZnSys1-11,Thermal Zone: Apartment Unit 110,10188.069,10629.321,-99996,14,12.2,-99996,,,
Apartment Unit 111-SZAC CoilClg,BaseSys1 CoilClg-12,DirectExpansion,BaseZnSys1-12,Thermal Zone: Apartment Unit 111,10180.556,10621.482,-99996,14,12.2,-99996,,,
Apartment Unit 112-SZAC CoilClg,BaseSys1 CoilClg-13,DirectExpansion,BaseZnSys1-13,Thermal Zone: Apartment Unit 112,10180.11,10621.017,-99996,14,12.2,-99996,,,
Apartment Unit 113-SZAC CoilClg,BaseSys1 CoilClg-14,DirectExpansion,BaseZnSys1-14,Thermal Zone: Apartment Unit 113,10177.014,10617.786,-99996,14,12.2,-99996,,,
Apartment Unit 114-SZAC CoilClg,BaseSys1 CoilClg-15,DirectExpansion,BaseZnSys1-15,Thermal Zone: Apartment Unit 114,10082.763,10519.453,-99996,14,12.2,-99996,,,
Apartment Unit 200-SZAC CoilClg,BaseSys1 CoilClg-16,DirectExpansion,BaseZnSys1-16,Thermal Zone: Apartment Unit 200,23172.231,24175.834,-99996,14,12.2,-99996,,,
Apartment Unit 201-SZAC CoilClg,BaseSys1 CoilClg-17,DirectExpansion,BaseZnSys1-17,Thermal Zone: Apartment Unit 201,19027.147,19851.225,-99996,14,12.2,-99996,,,
Apartment Unit 202-SZAC CoilClg,BaseSys1 CoilClg-18,DirectExpansion,BaseZnSys1-18,Thermal Zone: Apartment Unit 202,19033.03,19857.362,-99996,14,12.2,-99996,,,
Apartment Unit 203-SZAC CoilClg,BaseSys1 CoilClg-19,DirectExpansion,BaseZnSys1-19,Thermal Zone: Apartment Unit 203,19033.33,19857.675,-99996,14,12.2,-99996,,,
Apartment Unit 204-SZAC CoilClg,BaseSys1 CoilClg-20,DirectExpansion,BaseZnSys1-20,Thermal Zone: Apartment Unit 204,19033.341,19857.686,-99996,14,12.2,-99996,,,
Apartment Unit 205-SZAC CoilClg,BaseSys1 CoilClg-21,DirectExpansion,BaseZnSys1-21,Thermal Zone: Apartment Unit 205,19033.346,19857.692,-99996,14,12.2,-99996,,,
Apartment Unit 206-SZAC CoilClg,BaseSys1 CoilClg-22,DirectExpansion,BaseZnSys1-22,Thermal Zone: Apartment Unit 206,19033.463,19857.814,-99996,14,12.2,-99996,,,
Apartment Unit 207-SZAC CoilClg,BaseSys1 CoilClg-23,DirectExpansion,BaseZnSys1-23,Thermal Zone: Apartment Unit 207,19036.333,19860.808,-99996,14,12.2,-99996,,,
Apartment Unit 208-SZAC CoilClg,BaseSys1 CoilClg-24,DirectExpansion,BaseZnSys1-24,Thermal Zone: Apartment Unit 208,19084.113,19910.657,-99996,14,12.2,-99996,,,
Apartment Unit 209-SZAC CoilClg,BaseSys1 CoilClg-25,DirectExpansion,BaseZnSys1-25,Thermal Zone: Apartment Unit 209,21587.607,22522.58,-99996,14,12.2,-99996,,,
Apartment Unit 210-SZAC CoilClg,BaseSys1 CoilClg-26,DirectExpansion,BaseZnSys1-26,Thermal Zone: Apartment Unit 210,16150.441,16849.926,-99996,14,12.2,-99996,,,
Apartment Unit 211-SZAC CoilClg,BaseSys1 CoilClg-27,DirectExpansion,BaseZnSys1-27,Thermal Zone: Apartment Unit 211,10366.542,10815.523,-99996,14,12.2,-99996,,,
Apartment Unit 212-SZAC CoilClg,BaseSys1 CoilClg-28,DirectExpansion,BaseZnSys1-28,Thermal Zone: Apartment Unit 212,10226.932,10669.866,-99996,14,12.2,-99996,,,
Apartment Unit 213-SZAC CoilClg,BaseSys1 CoilClg-29,DirectExpansion,BaseZnSys1-29,Thermal Zone: Apartment Unit 213,10219.444,10662.055,-99996,14,12.2,-99996,,,
Apartment Unit 214-SZAC CoilClg,BaseSys1 CoilClg-30,DirectExpansion,BaseZnSys1-30,Thermal Zone: Apartment Unit 214,10219.061,10661.655,-99996,14,12.2,-99996,,,
Apartment Unit 215-SZAC CoilClg,BaseSys1 CoilClg-31,DirectExpansion,BaseZnSys1-31,Thermal Zone: Apartment Unit 215,10219.05,10661.643,-99996,14,12.2,-99996,,,
Apartment Unit 216-SZAC CoilClg,BaseSys1 CoilClg-32,DirectExpansion,BaseZnSys1-32,Thermal Zone: Apartment Unit 216,10219.183,10661.782,-99996,14,12.2,-99996,,,
Apartment Unit 217-SZAC CoilClg,BaseSys1 CoilClg-33,DirectExpansion,BaseZnSys1-33,Thermal Zone: Apartment Unit 217,10223.285,10666.062,-99996,14,12.2,-99996,,,
Apartment Unit 218-SZAC CoilClg,BaseSys1 CoilClg-34,DirectExpansion,BaseZnSys1-34,Thermal Zone: Apartment Unit 218,10372.419,10821.655,-99996,14,12.2,-99996,,,
Apartment Unit 219-SZAC CoilClg,BaseSys1 CoilClg-35,DirectExpansion,BaseZnSys1-35,Thermal Zone: Apartment Unit 219,19077.587,19903.849,-99996,14,12.2,-99996,,,
Apartment Unit 400-SZAC CoilClg,BaseSys1 CoilClg-36,DirectExpansion,BaseZnSys1-36,Thermal Zone: Apartment Unit 400,25575.603,26683.298,-99996,14,12.2,-99996,,,
Apartment Unit 401-SZAC CoilClg,BaseSys1 CoilClg-37,DirectExpansion,BaseZnSys1-37,Thermal Zone: Apartment Unit 401,20905.357,21810.781,-99996,14,12.2,-99996,,,
Apartment Unit 402-SZAC CoilClg,BaseSys1 CoilClg-38,DirectExpansion,BaseZnSys1-38,Thermal Zone: Apartment Unit 402,20906.034,21811.487,-99996,14,12.2,-99996,,,
Apartment Unit 403-SZAC CoilClg,BaseSys1 CoilClg-39,DirectExpansion,BaseZnSys1-39,Thermal Zone: Apartment Unit 403,20906.146,21811.604,-99996,14,12.2,-99996,,,
Apartment Unit 404-SZAC CoilClg,BaseSys1 CoilClg-40,DirectExpansion,BaseZnSys1-40,Thermal Zone: Apartment Unit 404,20906.146,21811.604,-99996,14,12.2,-99996,,,
Apartment Unit 405-SZAC CoilClg,BaseSys1 CoilClg-41,DirectExpansion,BaseZnSys1-41,Thermal Zone: Apartment Unit 405,20906.146,21811.604,-99996,14,12.2,-99996,,,
Apartment Unit 406-SZAC CoilClg,BaseSys1 CoilClg-42,DirectExpansion,BaseZnSys1-42,Thermal Zone: Apartment Unit 406,20906.235,21811.696,-99996,14,12.2,-99996,,,
Apartment Unit 407-SZAC CoilClg,BaseSys1 CoilClg-43,DirectExpansion,BaseZnSys1-43,Thermal Zone: Apartment Unit 407,20908.555,21814.118,-99996,14,12.2,-99996,,,
Apartment Unit 408-SZAC CoilClg,BaseSys1 CoilClg-44,DirectExpansion,BaseZnSys1-44,Thermal Zone: Apartment Unit 408,20959.571,21867.343,-99996,14,12.2,-99996,,,
Apartment Unit 409-SZAC CoilClg,BaseSys1 CoilClg-45,DirectExpansion,BaseZnSys1-45,Thermal Zone: Apartment Unit 409,24623.561,25690.022,-99996,14,12.2,-99996,,,
Apartment Unit 410-SZAC CoilClg,BaseSys1 CoilClg-46,DirectExpansion,BaseZnSys1-46,Thermal Zone: Apartment Unit 410,18433.915,19232.299,-99996,14,12.2,-99996,,,
Apartment Unit 411-SZAC CoilClg,BaseSys1 CoilClg-47,DirectExpansion,BaseZnSys1-47,Thermal Zone: Apartment Unit 411,13123.728,13692.125,-99996,14,12.2,-99996,,,
Apartment Unit 412-SZAC CoilClg,BaseSys1 CoilClg-48,DirectExpansion,BaseZnSys1-48,Thermal Zone: Apartment Unit 412,12978.052,13540.139,-99996,14,12.2,-99996,,,
Apartment Unit 413-SZAC CoilClg,BaseSys1 CoilClg-49,DirectExpansion,BaseZnSys1-49,Thermal Zone: Apartment Unit 413,12972.224,13534.059,-99996,14,12.2,-99996,,,
Apartment Unit 414-SZAC CoilClg,BaseSys1 CoilClg-50,DirectExpansion,BaseZnSys1-50,Thermal Zone: Apartment Unit 414,12971.98,13533.804,-99996,14,12.2,-99996,,,
Apartment Unit 415-SZAC CoilClg,BaseSys1 CoilClg-51,DirectExpansion,BaseZnSys1-51,Thermal Zone: Apartment Unit 415,12971.98,13533.804,-99996,14,12.2,-99996,,,
Apartment Unit 416-SZAC CoilClg,BaseSys1 CoilClg-52,DirectExpansion,BaseZnSys1-52,Thermal Zone: Apartment Unit 416,12972.057,13533.885,-99996,14,12.2,-99996,,,
Apartment Unit 417-SZAC CoilClg,BaseSys1 CoilClg-53,DirectExpansion,BaseZnSys1-53,Thermal Zone: Apartment Unit 417,12975.032,13536.989,-99996,14,12.2,-99996,,,
