; Tables for Std model AutoHardSize capacity look-up rules,,,,,,,,,,,,,
TABLE HighRiseRes10StoryCECStd190110012TrmlUnit,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,
TABLE HighRiseRes10StoryCECStd190110012CoilClg,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,
PropSys6 CoilClg,BaseSys6 CoilClg,ChilledWater,BaseAirSys6,UNDEFINED,457844.938,457844.938,45.7671,-99996,-99996,-99996,,,
PropSys6 CoilClg-2,BaseSys6 CoilClg-2,ChilledWater,BaseAirSys6-2,UNDEFINED,22259.156,22259.156,2.22507,-99996,-99996,-99996,,,
PropSys6 CoilClg-3,BaseSys6 CoilClg-3,ChilledWater,BaseAirSys6-3,UNDEFINED,25744.5,25744.5,2.57347,-99996,-99996,-99996,,,
CoilCooling 1,BaseSys1 CoilClg,DirectExpansion,BaseZnSys1,Thermal Zone: F2-9 1-Bed N,6946.16,7247.003,-99996,14,12.2,-99996,,,
CoilCooling 2,BaseSys1 CoilClg-2,DirectExpansion,BaseZnSys1-2,Thermal Zone: F2-9 1-Bed SE,11162.107,11645.544,-99996,14,12.2,-99996,,,
CoilCooling 3,BaseSys1 CoilClg-3,DirectExpansion,BaseZnSys1-3,Thermal Zone: F2-9 1-Bed SW,10991.322,11467.363,-99996,14,12.2,-99996,,,
CoilCooling 4,BaseSys1 CoilClg-4,DirectExpansion,BaseZnSys1-4,Thermal Zone: F2-9 2-Bed N Core,8794.369,9175.258,-99996,14,12.2,-99996,,,
CoilCooling 5,BaseSys1 CoilClg-5,DirectExpansion,BaseZnSys1-5,Thermal Zone: F2-9 2-Bed NE,13831.452,14430.5,-99996,14,12.2,-99996,,,
CoilCooling 6,BaseSys1 CoilClg-6,DirectExpansion,BaseZnSys1-6,Thermal Zone: F2-9 2-Bed NW,19377.773,20217.036,-99996,14,12.2,-99996,,,
CoilCooling 7,BaseSys1 CoilClg-7,DirectExpansion,BaseZnSys1-7,Thermal Zone: F2-9 2-Bed SE,17868.313,18642.201,-99996,14,12.2,-99996,,,
CoilCooling 8,BaseSys1 CoilClg-8,DirectExpansion,BaseZnSys1-8,Thermal Zone: F2-9 2-Bed SW,20987.604,21896.59,-99996,14,12.2,-99996,,,
CoilCooling 9,BaseSys1 CoilClg-9,DirectExpansion,BaseZnSys1-9,Thermal Zone: F2-9 Studio N,4742.779,4948.192,-99996,14,12.2,-99996,,,
CoilCooling 10,BaseSys1 CoilClg-10,DirectExpansion,BaseZnSys1-10,Thermal Zone: F10 1-Bed N,8242.535,8599.525,-99996,14,12.2,-99996,,,
CoilCooling 11,BaseSys1 CoilClg-11,DirectExpansion,BaseZnSys1-11,Thermal Zone: F10 1-Bed SE,12921.275,13480.903,-99996,14,12.2,-99996,,,
CoilCooling 12,BaseSys1 CoilClg-12,DirectExpansion,BaseZnSys1-12,Thermal Zone: F10 1-Bed SW,12770.833,13323.945,-99996,14,12.2,-99996,,,
CoilCooling 13,BaseSys1 CoilClg-13,DirectExpansion,BaseZnSys1-13,Thermal Zone: F10 2-Bed N Core,10774.595,11241.249,-99996,14,12.2,-99996,,,
CoilCooling 14,BaseSys1 CoilClg-14,DirectExpansion,BaseZnSys1-14,Thermal Zone: F10 2-Bed NE,16397.573,17107.762,-99996,14,12.2,-99996,,,
CoilCooling 15,BaseSys1 CoilClg-15,DirectExpansion,BaseZnSys1-15,Thermal Zone: F10 2-Bed NW,22967.156,23961.878,-99996,14,12.2,-99996,,,
CoilCooling 16,BaseSys1 CoilClg-16,DirectExpansion,BaseZnSys1-16,Thermal Zone: F10 2-Bed SE,19939.9,20803.509,-99996,14,12.2,-99996,,,
CoilCooling 17,BaseSys1 CoilClg-17,DirectExpansion,BaseZnSys1-17,Thermal Zone: F10 2-Bed SW,24400.861,25457.677,-99996,14,12.2,-99996,,,
CoilCooling 18,BaseSys1 CoilClg-18,DirectExpansion,BaseZnSys1-18,Thermal Zone: F10 Studio N,5810.676,6062.34,-99996,14,12.2,-99996,,,
ENDTABLE,,,,,,,,,,,,,
TABLE HighRiseRes10StoryCECStd190110012CoilHtg,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,FurnAFUE,FurnThrmlEff,,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,
PropSys6 CoilHtg,BaseSys6 CoilHtg,HotWater,BaseAirSys6,UNDEFINED,105838.05,105838.05,5.28989,-99996,-99996,,,,
PropSys6 CoilHtg-2,BaseSys6 CoilHtg-2,HotWater,BaseAirSys6-2,UNDEFINED,5498.441,5498.441,0.27482,-99996,-99996,,,,
PropSys6 CoilHtg-3,BaseSys6 CoilHtg-3,HotWater,BaseAirSys6-3,UNDEFINED,5158.063,5158.063,0.25781,-99996,-99996,,,,
CoilHtg 1,BaseSys1 CoilHtg,Furnace,BaseZnSys1,Thermal Zone: F2-9 1-Bed N,8283.34,8283.34,0,0.8,0.81,,,,
CoilHtg 2,BaseSys1 CoilHtg-2,Furnace,BaseZnSys1-2,Thermal Zone: F2-9 1-Bed SE,7471.499,7471.499,0,0.8,0.81,,,,
CoilHtg 3,BaseSys1 CoilHtg-3,Furnace,BaseZnSys1-3,Thermal Zone: F2-9 1-Bed SW,7451.488,7451.488,0,0.8,0.81,,,,
CoilHtg 4,BaseSys1 CoilHtg-4,Furnace,BaseZnSys1-4,Thermal Zone: F2-9 2-Bed N Core,10487.341,10487.341,0,0.8,0.81,,,,
CoilHtg 5,BaseSys1 CoilHtg-5,Furnace,BaseZnSys1-5,Thermal Zone: F2-9 2-Bed NE,14820.953,14820.953,0,0.8,0.81,,,,
CoilHtg 6,BaseSys1 CoilHtg-6,Furnace,BaseZnSys1-6,Thermal Zone: F2-9 2-Bed NW,14836.522,14836.522,0,0.8,0.81,,,,
CoilHtg 7,BaseSys1 CoilHtg-7,Furnace,BaseZnSys1-7,Thermal Zone: F2-9 2-Bed SE,14793.998,14793.998,0,0.8,0.81,,,,
CoilHtg 8,BaseSys1 CoilHtg-8,Furnace,BaseZnSys1-8,Thermal Zone: F2-9 2-Bed SW,14785.061,14785.061,0,0.8,0.81,,,,
CoilHtg 9,BaseSys1 CoilHtg-9,Furnace,BaseZnSys1-9,Thermal Zone: F2-9 Studio N,5655.795,5655.795,0,0.8,0.81,,,,
CoilHtg 10,BaseSys1 CoilHtg-10,Furnace,BaseZnSys1-10,Thermal Zone: F10 1-Bed N,9829.269,9829.269,0,0.8,0.81,,,,
CoilHtg 11,BaseSys1 CoilHtg-11,Furnace,BaseZnSys1-11,Thermal Zone: F10 1-Bed SE,8884.125,8884.125,0,0.8,0.81,,,,
CoilHtg 12,BaseSys1 CoilHtg-12,Furnace,BaseZnSys1-12,Thermal Zone: F10 1-Bed SW,8881.837,8881.837,0,0.8,0.81,,,,
CoilHtg 13,BaseSys1 CoilHtg-13,Furnace,BaseZnSys1-13,Thermal Zone: F10 2-Bed N Core,12848.763,12848.763,0,0.8,0.81,,,,
CoilHtg 14,BaseSys1 CoilHtg-14,Furnace,BaseZnSys1-14,Thermal Zone: F10 2-Bed NE,16063.5,16063.5,0,0.8,0.81,,,,
CoilHtg 15,BaseSys1 CoilHtg-15,Furnace,BaseZnSys1-15,Thermal Zone: F10 2-Bed NW,16071.588,16071.588,0,0.8,0.81,,,,
CoilHtg 16,BaseSys1 CoilHtg-16,Furnace,BaseZnSys1-16,Thermal Zone: F10 2-Bed SE,16042.587,16042.587,0,0.8,0.81,,,,
CoilHtg 17,BaseSys1 CoilHtg-17,Furnace,BaseZnSys1-17,Thermal Zone: F10 2-Bed SW,16040.563,16040.563,0,0.8,0.81,,,,
