;,,,,,,,,,,,,,
TABLE OffMedCECStd19030012STrmlUnit,,,,,,,,,,,,,
PerimeterBottom4ReheatCoil,BaseVAVBox CoilHtg-5,HotWater,BaseAirSys5,Perimeter_bot_ZN_4 Thermal Zone,23741.55,23741.55,1.18663,-99996,-99996,,,,
CoreMidReheatCoil,BaseVAVBox CoilHtg-6,HotWater,BaseAirSys5-2,Core_mid Thermal Zone,63499.912,63499.912,3.17379,-99996,-99996,,,,
PerimeterMid1ReheatCoil,BaseVAVBox CoilHtg-7,HotWater,BaseAirSys5-2,Perimeter_mid_ZN_1 Thermal Zone,39118.962,39118.962,1.95521,-99996,-99996,,,,
PerimeterMid2ReheatCoil,BaseVAVBox CoilHtg-8,HotWater,BaseAirSys5-2,Perimeter_mid_ZN_2 Thermal Zone,25771.262,25771.262,1.28807,-99996,-99996,,,,
PerimeterMid3ReheatCoil,BaseVAVBox CoilHtg-9,HotWater,BaseAirSys5-2,Perimeter_mid_ZN_3 Thermal Zone,39119.5,39119.5,1.95523,-99996,-99996,,,,
PerimeterMid4ReheatCoil,BaseVAVBox CoilHtg-10,HotWater,BaseAirSys5-2,Perimeter_mid_ZN_4 Thermal Zone,25728.275,25728.275,1.28593,-99996,-99996,,,,
CoreTopReheatCoil,BaseVAVBox CoilHtg-11,HotWater,BaseAirSys5-3,Core_top Thermal Zone,133807.388,133807.388,6.68783,-99996,-99996,,,,
PerimeterTop1ReheatCoil,BaseVAVBox CoilHtg-12,HotWater,BaseAirSys5-3,Perimeter_top_ZN_1 Thermal Zone,49527.163,49527.163,2.47542,-99996,-99996,,,,
PerimeterTop2ReheatCoil,BaseVAVBox CoilHtg-13,HotWater,BaseAirSys5-3,Perimeter_top_ZN_2 Thermal Zone,32542,32542,1.62648,-99996,-99996,,,,
PerimeterTop3ReheatCoil,BaseVAVBox CoilHtg-14,HotWater,BaseAirSys5-3,Perimeter_top_ZN_3 Thermal Zone,49524.075,49524.075,2.47526,-99996,-99996,,,,
PerimeterTop4ReheatCoil,BaseVAVBox CoilHtg-15,HotWater,BaseAirSys5-3,Perimeter_top_ZN_4 Thermal Zone,32566.737,32566.737,1.62772,-99996,-99996,,,,
ENDTABLE,,,,,,,,,,,,,
TABLE OffMedCECStd19030012SFan,,,,,,,,,,,,,
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrBHP,MtrHP,MtrPos,MtrEff
;,,,,,(cfm),(cfm),,,(inH2O),(hp),(hp),,
BottomVAV SupplyFan,BaseSys5 Fan,VariableSpeedDrive,BaseAirSys5,UNDEFINED,14298.376,2874.335,0.65,BrakeHorsePower,5.362,18.588,20,InAirStream,0.93
MidVAV SupplyFan,BaseSys5 Fan-2,VariableSpeedDrive,BaseAirSys5-2,UNDEFINED,14429.959,3073.774,0.65,BrakeHorsePower,5.362,18.759,20,InAirStream,0.93
TopVAV SupplyFan,BaseSys5 Fan-3,VariableSpeedDrive,BaseAirSys5-3,UNDEFINED,15088.793,3106.863,0.65,BrakeHorsePower,5.362,19.615,20,InAirStream,0.93
ENDTABLE,,,,,,,,,,,,,
TABLE OffMedCECStd19030012SOACtrl,,,,,,,,,,,,,
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration,,,,,,,,,
;,,,,,,,,,,,,,
BottomVAV Economizer,BaseSys5 OACtrl,DifferentialDryBulb,BaseAirSys5,Integrated,,,,,,,,,
MidVAV OACtrl,BaseSys5 OACtrl-2,DifferentialDryBulb,BaseAirSys5-2,Integrated,,,,,,,,,
Top VAV OACtrl,BaseSys5 OACtrl-3,DifferentialDryBulb,BaseAirSys5-3,Integrated,,,,,,,,,
ENDTABLE,,,,,,,,,,,,,
