;,CEC Title-24 Residential Compliance Ruleset,,,,,,,,,,,,,,,,,,,,
,,2022 Final,SingleFam,0,4,Proposed,Proposed,Electricity,Electricity,Gas,0,0,0,0,default,-1,-1,-1,,,
,,2022 Final,SingleFam,0,5,Proposed,Proposed,Gas,Gas,Electricity,0,0,0,0,default,-1,-1,-1,,,
,,2022 Final,SingleFam,0,6,Proposed,Proposed,Gas,Gas,Electricity,0,0,0,0,default,-1,-1,-1,,,
,,2022 Final,SingleFam,0,7,Proposed,Proposed,Gas,Gas,Electricity,0,0,0,0,default,-1,-1,-1,,,
,,2022 Final,SingleFam,0,8,Proposed,Proposed,Gas,Gas,Electricity,0,0,0,0,default,-1,-1,-1,,,
,,2022 Final,SingleFam,0,9,Proposed,Proposed,Gas,Gas,Electricity,0,0,0,0,default,-1,-1,-1,,,
,,2022 Final,SingleFam,0,10,Proposed,Proposed,Gas,Gas,Electricity,0,0,0,0,default,-1,-1,-1,,,
,,2022 Final,SingleFam,0,11,Proposed,Proposed,Gas,Gas,Electricity,0,0,0,0,default,-1,-1,-1,,,
,,2022 Final,SingleFam,0,12,Proposed,Proposed,Gas,Gas,Electricity,0,0,0,0,default,-1,-1,-1,,,
,,2022 Final,SingleFam,0,13,Proposed,Proposed,Electricity,Electricity,Gas,0,0,0,0,default,-1,-1,-1,,,
,,2022 Final,SingleFam,0,14,Proposed,Proposed,Electricity,Electricity,Gas,0,0,0,0,default,-1,-1,-1,,,
,,2022 Final,SingleFam,0,15,Proposed,Proposed,Gas,Gas,Electricity,0,0,0,0,default,-1,-1,-1,,,
,,2022 Final,SingleFam,0,16,Proposed,Proposed,Gas,Gas,Electricity,0.7,1,0,0,default,-1,-1,-1,,,
,,2022 Final,SingleFam,*,1,Proposed,Proposed,Gas,Gas,Electricity,0.7,0,0,0,default,-1,-1,-1,;,SFam models w/ HPWH(s) PRESENT in Proposed Design,
,,2022 Final,SingleFam,*,2,Proposed,Proposed,Gas,Gas,Electricity,0,0,0,0,default,-1,-1,-1,,,
,,2022 Final,SingleFam,*,3,Proposed,Proposed,Gas,Gas,Electricity,0,0,0,0,default,-1,-1,-1,,,
,,2022 Final,SingleFam,*,4,Proposed,Proposed,Gas,Gas,Electricity,0,0,0,0,default,-1,-1,-1,,,
,,2022 Final,SingleFam,*,5,Proposed,Proposed,Gas,Gas,Electricity,0,0,0,0,default,-1,-1,-1,,,
,,2022 Final,SingleFam,*,6,Proposed,Proposed,Gas,Gas,Electricity,0,0,0,0,default,-1,-1,-1,,,
,,2022 Final,SingleFam,*,7,Proposed,Proposed,Gas,Gas,Electricity,0,0,0,0,default,-1,-1,-1,,,
,,2022 Final,SingleFam,*,8,Proposed,Proposed,Gas,Gas,Electricity,0,0,0,0,default,-1,-1,-1,,,
,,2022 Final,SingleFam,*,9,Proposed,Proposed,Gas,Gas,Electricity,0,0,0,0,default,-1,-1,-1,,,
,,2022 Final,SingleFam,*,10,Proposed,Proposed,Gas,Gas,Electricity,0,0,0,0,default,-1,-1,-1,,,
,,2022 Final,SingleFam,*,11,Proposed,Proposed,Gas,Gas,Electricity,0,0,0,0,default,-1,-1,-1,,,
,,2022 Final,SingleFam,*,12,Proposed,Proposed,Gas,Gas,Electricity,0,0,0,0,default,-1,-1,-1,,,
,,2022 Final,SingleFam,*,13,Proposed,Proposed,Gas,Gas,Electricity,0,0,0,0,default,-1,-1,-1,,,
,,2022 Final,SingleFam,*,14,Proposed,Proposed,Gas,Gas,Electricity,0,0,0,0,default,-1,-1,-1,,,
,,2022 Final,SingleFam,*,15,Proposed,Proposed,Gas,Gas,Electricity,0,0,0,0,default,-1,-1,-1,,,
,,2022 Final,SingleFam,*,16,Proposed,Proposed,Gas,Gas,Electricity,0.7,1,0,0,default,-1,-1,-1,,,
,,2022 Final,*,*,1,Proposed,Proposed,Electricity,Electricity,Proposed,0,0,0,0,default,-1,-1,-1,;,All MFam models,
,,2022 Final,*,*,2,Proposed,Proposed,Electricity,Electricity,Proposed,0,0,0,0,default,-1,-1,-1,,,
,,2022 Final,*,*,3,Proposed,Proposed,Electricity,Electricity,Proposed,0,0,0,0,default,-1,-1,-1,,,
,,2022 Final,*,*,4,Proposed,Proposed,Electricity,Electricity,Proposed,0,0,0,0,Balanced,0.4,-1,-1,,,
,,2022 Final,*,*,5,Proposed,Proposed,Electricity,Electricity,Proposed,0,0,0,0,Balanced,0.4,-1,-1,,,
,,2022 Final,*,*,6,Proposed,Proposed,Electricity,Electricity,Proposed,0,0,0,0,Balanced,0.4,-1,-1,,,
,,2022 Final,*,*,7,Proposed,Proposed,Electricity,Electricity,Proposed,0,0,0,0,Balanced,0.4,-1,-1,,,
,,2022 Final,*,*,8,Proposed,Proposed,Electricity,Electricity,Proposed,0,0,0,0,Balanced,0.4,-1,-1,,,
,,2022 Final,*,*,9,Proposed,Proposed,Electricity,Electricity,Proposed,0,0,0,0,Balanced,0.4,-1,-1,,,
,,2022 Final,*,*,10,Proposed,Proposed,Electricity,Electricity,Proposed,0,0,0,0,Balanced,0.4,-1,-1,,,
,,2022 Final,*,*,11,Proposed,Proposed,Electricity,Electricity,Proposed,0,0,0,0,default,-1,-1,-1,,,
,,2022 Final,*,*,12,Proposed,Proposed,Electricity,Electricity,Proposed,0,0,0,0,default,-1,-1,-1,,,
,,2022 Final,*,*,13,Proposed,Proposed,Electricity,Electricity,Proposed,0,0,0,0,default,-1,-1,-1,,,
,,2022 Final,*,*,14,Proposed,Proposed,Electricity,Electricity,Proposed,0,0,0,0,Bal w/ Ht Recov,0.6,67,72,,,
,,2022 Final,*,*,15,Proposed,Proposed,Electricity,Electricity,Proposed,0,0,0,0,Bal w/ Ht Recov,0.6,67,72,,,
,,2022 Final,*,*,16,Proposed,Proposed,Gas,Gas,Proposed,0,0,0,0,default,-1,-1,-1,,,
,,*,*,*,*,Proposed,Proposed,Proposed,Proposed,Proposed,0,0,0,0,default,-1,-1,-1,;,error (no match found),
,ENDTABLE,,,,,,,,,,,,,,,,,,,,
