; Tables for Std model AutoHardSize capacity look-up rules,,,,,,,,,,,,,
TABLE SchSmlCECStd19010012TrmlUnit,,,,,,,,,,,,,
Wing2_Corridor_CoilHtg,BaseSys7 CoilHtg-8,Furnace,BaseAirSys7-8,n/a,30288.913,30288.913,0,0.78,0.8,,,,
Wing2_Side2_CoilHtg,BaseSys7 CoilHtg-9,Furnace,BaseAirSys7-9,n/a,25899.941,25899.941,0,0.78,0.8,,,,
Common_Office_CoilHtg,BaseSys7 CoilHtg-10,Furnace,BaseAirSys7-10,n/a,48754.738,48754.738,0,0.78,0.8,,,,
Common_Cafeteria_CoilHtg,BaseSys7 CoilHtg-11,Furnace,BaseAirSys7-11,n/a,121172.625,121172.625,0,0.78,0.8,,,,
ENDTABLE,,,,,,,,,,,,,
TABLE SchSmlCECStd19010012Fan,,,,,,,,,,,,,
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrBHP,MtrHP,MtrPos,MtrEff
;,,,,,(cfm),(cfm),,,(inH2O),(hp),(hp),,
Common_Mech/Elec_Fan,BaseSys7 Fan,ConstantVolume,BaseAirSys7,n/a,555.519,-99996,0.65,BrakeHorsePower,3.877,0.522,0.75,InAirStream,0.855
Wing1_Side1_Fan,BaseSys7 Fan-2,ConstantVolume,BaseAirSys7-2,n/a,957.96,-99996,0.65,BrakeHorsePower,3.877,0.9,1,InAirStream,0.855
Wing1_Corridor_Fan,BaseSys7 Fan-3,ConstantVolume,BaseAirSys7-3,n/a,1122.993,-99996,0.65,BrakeHorsePower,3.877,1.056,1.5,InAirStream,0.865
Wing1_Side2_Fan,BaseSys7 Fan-4,ConstantVolume,BaseAirSys7-4,n/a,736.767,-99996,0.65,BrakeHorsePower,3.877,0.693,0.75,InAirStream,0.855
Common_Lobby_Fan,BaseSys7 Fan-5,ConstantVolume,BaseAirSys7-5,n/a,668.35,-99996,0.65,BrakeHorsePower,3.877,0.628,0.75,InAirStream,0.855
Common_Corridor_Fan,BaseSys7 Fan-6,ConstantVolume,BaseAirSys7-6,n/a,1114.708,-99996,0.65,BrakeHorsePower,3.877,1.048,1.5,InAirStream,0.865
Wing2_Side1_Fan,BaseSys7 Fan-7,ConstantVolume,BaseAirSys7-7,n/a,940.451,-99996,0.65,BrakeHorsePower,3.877,0.884,1,InAirStream,0.855
Wing2_Corridor_Fan,BaseSys7 Fan-8,ConstantVolume,BaseAirSys7-8,n/a,1130.03,-99996,0.65,BrakeHorsePower,3.877,1.062,1.5,InAirStream,0.865
Wing2_Side2_Fan,BaseSys7 Fan-9,ConstantVolume,BaseAirSys7-9,n/a,748.098,-99996,0.65,BrakeHorsePower,3.877,0.703,0.75,InAirStream,0.855
Common_Office_Fan,BaseSys7 Fan-10,ConstantVolume,BaseAirSys7-10,n/a,2100.376,-99996,0.65,BrakeHorsePower,3.877,1.974,2,InAirStream,0.865
Common_Cafeteria_Fan,BaseSys7 Fan-11,VariableSpeedDrive,BaseAirSys7-11,n/a,3251.946,1625.973,0.65,BrakeHorsePower,3.877,3.057,5,InAirStream,0.895
ENDTABLE,,,,,,,,,,,,,
TABLE SchSmlCECStd19010012OACtrl,,,,,,,,,,,,,
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration,,,,,,,,,
;,,,,,,,,,,,,,
Common_Mech/Elec_OACtrl,BaseSys7 OACtrl,NoEconomizer,BaseAirSys7,UNDEFINED,,,,,,,,,
Wing1_Side1_OACtrl,BaseSys7 OACtrl-2,NoEconomizer,BaseAirSys7-2,UNDEFINED,,,,,,,,,
Wing1_Corridor_OACtrl,BaseSys7 OACtrl-3,NoEconomizer,BaseAirSys7-3,UNDEFINED,,,,,,,,,
Wing1_Side2_OACtrl,BaseSys7 OACtrl-4,NoEconomizer,BaseAirSys7-4,UNDEFINED,,,,,,,,,
Common_Lobby_OACtrl,BaseSys7 OACtrl-5,NoEconomizer,BaseAirSys7-5,UNDEFINED,,,,,,,,,
Common_Corridor_OACtrl,BaseSys7 OACtrl-6,NoEconomizer,BaseAirSys7-6,UNDEFINED,,,,,,,,,
Wing2_Side1_OACtrl,BaseSys7 OACtrl-7,NoEconomizer,BaseAirSys7-7,UNDEFINED,,,,,,,,,
Wing2_Corridor_OACtrl,BaseSys7 OACtrl-8,NoEconomizer,BaseAirSys7-8,UNDEFINED,,,,,,,,,
Wing2_Side2_OACtrl,BaseSys7 OACtrl-9,NoEconomizer,BaseAirSys7-9,UNDEFINED,,,,,,,,,
Common_Office_OACtrl,BaseSys7 OACtrl-10,DifferentialDryBulb,BaseAirSys7-10,Integrated,,,,,,,,,
Common_Cafeteria_OACtrl,BaseSys7 OACtrl-11,DifferentialDryBulb,BaseAirSys7-11,Integrated,,,,,,,,,
ENDTABLE,,,,,,,,,,,,,
