;,,,,,,,,,,,,,
TABLE RetlLrgCECStd19090012TrmlUnit,,,,,,,,,,,,,
Side_Entry_2_CoilHtg,BaseSys7 CoilHtg-7,Furnace,BaseAirSys7-7,n/a,324779.438,324779.438,0,-99996,0.8,,,,
Side_Shelving_East_CoilHtg,BaseSys7 CoilHtg-8,Furnace,BaseAirSys7-8,n/a,437315.1,437315.1,0,-99996,0.8,,,,
Side_Shelving_West_CoilHtg,BaseSys7 CoilHtg-9,Furnace,BaseAirSys7-9,n/a,436021.944,436021.944,0,-99996,0.8,,,,
Side_Storage_1_CoilHtg,BaseSys7 CoilHtg-10,Furnace,BaseAirSys7-10,n/a,239714.35,239714.35,0,-99996,0.8,,,,
Side_Storage_2_CoilHtg,BaseSys7 CoilHtg-11,Furnace,BaseAirSys7-11,n/a,111696.1,111696.1,0,0.78,0.8,,,,
ENDTABLE,,,,,,,,,,,,,
TABLE RetlLrgCECStd19090012Fan,,,,,,,,,,,,,
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrBHP,MtrHP,MtrPos,MtrEff
;,,,,,(cfm),(cfm),,,(inH2O),(hp),(hp),,
Back_Office_SupplyFan,BaseSys7 Fan,VariableSpeedDrive,BaseAirSys7,n/a,3576.547,1788.274,0.65,BrakeHorsePower,3.877,3.362,5,InAirStream,0.895
Back_Shelving/Refrig_SupplyFan,BaseSys7 Fan-2,VariableSpeedDrive,BaseAirSys7-2,n/a,12715.573,6357.787,0.65,BrakeHorsePower,3.877,11.953,15,InAirStream,0.924
Back_Storage_SupplyFan,BaseSys7 Fan-3,VariableSpeedDrive,BaseAirSys7-3,n/a,9961.004,4980.502,0.65,BrakeHorsePower,3.877,9.363,10,InAirStream,0.917
Main_Entry_SupplyFan,BaseSys7 Fan-4,VariableSpeedDrive,BaseAirSys7-4,n/a,9723.214,4861.607,0.65,BrakeHorsePower,3.877,9.14,10,InAirStream,0.917
Registers/Aisle_SupplyFan,BaseSys7 Fan-5,VariableSpeedDrive,BaseAirSys7-5,n/a,16348.885,8174.443,0.65,BrakeHorsePower,3.877,15.368,20,InAirStream,0.93
Side_Entry_1_SupplyFan,BaseSys7 Fan-6,VariableSpeedDrive,BaseAirSys7-6,n/a,9705.94,4852.97,0.65,BrakeHorsePower,3.877,9.124,10,InAirStream,0.917
Side_Entry_2_SupplyFan,BaseSys7 Fan-7,VariableSpeedDrive,BaseAirSys7-7,n/a,10052.357,5026.178,0.65,BrakeHorsePower,3.877,9.449,10,InAirStream,0.917
Side_Shelving_East_SupplyFan,BaseSys7 Fan-8,VariableSpeedDrive,BaseAirSys7-8,n/a,16162.042,8081.021,0.65,BrakeHorsePower,3.877,15.192,20,InAirStream,0.93
Side_Shelving_West_SupplyFan,BaseSys7 Fan-9,VariableSpeedDrive,BaseAirSys7-9,n/a,16067.644,8033.822,0.65,BrakeHorsePower,3.877,15.104,20,InAirStream,0.93
Side_Storage_1_SupplyFan,BaseSys7 Fan-10,VariableSpeedDrive,BaseAirSys7-10,n/a,9162.616,4581.308,0.65,BrakeHorsePower,3.877,8.613,10,InAirStream,0.917
Side_Storage_2_SupplyFan,BaseSys7 Fan-11,VariableSpeedDrive,BaseAirSys7-11,n/a,4759.421,2379.711,0.65,BrakeHorsePower,3.877,4.474,5,InAirStream,0.895
ENDTABLE,,,,,,,,,,,,,
TABLE RetlLrgCECStd19090012OACtrl,,,,,,,,,,,,,
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration,,,,,,,,,
;,,,,,,,,,,,,,
Back_Office_OACtrl,BaseSys7 OACtrl,DifferentialDryBulb,BaseAirSys7,Integrated,,,,,,,,,
Back_Shelving/Refrig_OACtrl,BaseSys7 OACtrl-2,DifferentialDryBulb,BaseAirSys7-2,Integrated,,,,,,,,,
Back_Storage_OACtrl,BaseSys7 OACtrl-3,DifferentialDryBulb,BaseAirSys7-3,Integrated,,,,,,,,,
Main_Entry_OACtrl,BaseSys7 OACtrl-4,DifferentialDryBulb,BaseAirSys7-4,Integrated,,,,,,,,,
Registers/Aisle_OACtrl,BaseSys7 OACtrl-5,DifferentialDryBulb,BaseAirSys7-5,Integrated,,,,,,,,,
Side_Entry_1_OACtrl,BaseSys7 OACtrl-6,DifferentialDryBulb,BaseAirSys7-6,Integrated,,,,,,,,,
Side_Entry_2_OACtrl,BaseSys7 OACtrl-7,DifferentialDryBulb,BaseAirSys7-7,Integrated,,,,,,,,,
Side_Shelving_East_OACtrl,BaseSys7 OACtrl-8,DifferentialDryBulb,BaseAirSys7-8,Integrated,,,,,,,,,
Side_Shelving_West_OACtrl,BaseSys7 OACtrl-9,DifferentialDryBulb,BaseAirSys7-9,Integrated,,,,,,,,,
Side_Storage_1_OACtrl,BaseSys7 OACtrl-10,DifferentialDryBulb,BaseAirSys7-10,Integrated,,,,,,,,,
Side_Storage_2_OACtrl,BaseSys7 OACtrl-11,DifferentialDryBulb,BaseAirSys7-11,Integrated,,,,,,,,,
ENDTABLE,,,,,,,,,,,,,
