;,,,,,,,,,,,,,
TABLE OffLrgCECStd19040012TrmlUnit,,,,,,,,,,,,,
BaseSys6 CoilClg-Top,BaseSys6 CoilClg-5,ChilledWater,BaseAirSys6-5,UNDEFINED,1208941.498,1208941.498,120.84823,-99996,-99996,-99996,,,
ENDTABLE,,,,,,,,,,,,,
TABLE OffLrgCECStd19040012CoilHtg,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,FurnAFUE,FurnThrmlEff,,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,
BaseSys6 CoilHtg,BaseSys6 CoilHtg,HotWater,BaseAirSys6,UNDEFINED,113672.675,113672.675,5.68147,-99996,-99996,,,,
BaseSys6 CoilHtg-Bot,BaseSys6 CoilHtg-2,HotWater,BaseAirSys6-2,UNDEFINED,100489.737,100489.737,5.02258,-99996,-99996,,,,
BaseSys6 CoilHtg-Mid,BaseSys6 CoilHtg-3,HotWater,BaseAirSys6-3,UNDEFINED,82671.333,82671.333,4.132,-99996,-99996,,,,
BaseSys6 CoilHtg-Hi,BaseSys6 CoilHtg-4,HotWater,BaseAirSys6-4,UNDEFINED,82966.167,82966.167,4.14673,-99996,-99996,,,,
BaseSys6 CoilHtg-Top,BaseSys6 CoilHtg-5,HotWater,BaseAirSys6-5,UNDEFINED,93073.913,93073.913,4.65193,-99996,-99996,,,,
BaseVAVReheatCoil,BaseVAVBox CoilHtg,HotWater,BaseAirSys6,Basement Thermal Zone,138232.1,138232.1,6.90898,-99996,-99996,,,,
BaseVAVReheatCoil-2,BaseVAVBox CoilHtg-2,HotWater,BaseAirSys6-2,Core_bottom Thermal Zone,130977.875,130977.875,6.54641,-99996,-99996,,,,
BaseVAVReheatCoil-3,BaseVAVBox CoilHtg-3,HotWater,BaseAirSys6-2,Perimeter_bot_ZN_1 Thermal Zone,54872.563,54872.563,2.74259,-99996,-99996,,,,
BaseVAVReheatCoil-4,BaseVAVBox CoilHtg-4,HotWater,BaseAirSys6-2,Perimeter_bot_ZN_2 Thermal Zone,36718.313,36718.313,1.83522,-99996,-99996,,,,
BaseVAVReheatCoil-5,BaseVAVBox CoilHtg-5,HotWater,BaseAirSys6-2,Perimeter_bot_ZN_3 Thermal Zone,54872.625,54872.625,2.74259,-99996,-99996,,,,
BaseVAVReheatCoil-6,BaseVAVBox CoilHtg-6,HotWater,BaseAirSys6-2,Perimeter_bot_ZN_4 Thermal Zone,36797.525,36797.525,1.83918,-99996,-99996,,,,
BaseVAVReheatCoil-7,BaseVAVBox CoilHtg-7,HotWater,BaseAirSys6-3,Core_mid Thermal Zone,152705.62,152705.62,7.63238,-99996,-99996,,,,
BaseVAVReheatCoil-8,BaseVAVBox CoilHtg-8,HotWater,BaseAirSys6-3,Perimeter_mid_ZN_1 Thermal Zone,62061.082,62061.082,3.10188,-99996,-99996,,,,
BaseVAVReheatCoil-9,BaseVAVBox CoilHtg-9,HotWater,BaseAirSys6-3,Perimeter_mid_ZN_2 Thermal Zone,40652.777,40652.777,2.03187,-99996,-99996,,,,
BaseVAVReheatCoil-10,BaseVAVBox CoilHtg-10,HotWater,BaseAirSys6-3,Perimeter_mid_ZN_3 Thermal Zone,62061.323,62061.323,3.10189,-99996,-99996,,,,
BaseVAVReheatCoil-11,BaseVAVBox CoilHtg-11,HotWater,BaseAirSys6-3,Perimeter_mid_ZN_4 Thermal Zone,40637.673,40637.673,2.03111,-99996,-99996,,,,
BaseVAVReheatCoil-12,BaseVAVBox CoilHtg-12,HotWater,BaseAirSys6-4,Core_hi Thermal Zone,153804.445,153804.445,7.6873,-99996,-99996,,,,
BaseVAVReheatCoil-13,BaseVAVBox CoilHtg-13,HotWater,BaseAirSys6-4,Perimeter_hi_ZN_1 Thermal Zone,62212.048,62212.048,3.10942,-99996,-99996,,,,
BaseVAVReheatCoil-14,BaseVAVBox CoilHtg-14,HotWater,BaseAirSys6-4,Perimeter_hi_ZN_2 Thermal Zone,40256.115,40256.115,2.01204,-99996,-99996,,,,
BaseVAVReheatCoil-15,BaseVAVBox CoilHtg-15,HotWater,BaseAirSys6-4,Perimeter_hi_ZN_3 Thermal Zone,62212.3,62212.3,3.10943,-99996,-99996,,,,
BaseVAVReheatCoil-16,BaseVAVBox CoilHtg-16,HotWater,BaseAirSys6-4,Perimeter_hi_ZN_4 Thermal Zone,40415.7,40415.7,2.02002,-99996,-99996,,,,
BaseVAVReheatCoil-17,BaseVAVBox CoilHtg-17,HotWater,BaseAirSys6-5,Core_top Thermal Zone,352740.9,352740.9,17.63035,-99996,-99996,,,,
BaseVAVReheatCoil-18,BaseVAVBox CoilHtg-18,HotWater,BaseAirSys6-5,Perimeter_top_ZN_1 Thermal Zone,83793.1,83793.1,4.18806,-99996,-99996,,,,
BaseVAVReheatCoil-19,BaseVAVBox CoilHtg-19,HotWater,BaseAirSys6-5,Perimeter_top_ZN_2 Thermal Zone,55242.712,55242.712,2.76109,-99996,-99996,,,,
BaseVAVReheatCoil-20,BaseVAVBox CoilHtg-20,HotWater,BaseAirSys6-5,Perimeter_top_ZN_3 Thermal Zone,83793.375,83793.375,4.18808,-99996,-99996,,,,
BaseVAVReheatCoil-21,BaseVAVBox CoilHtg-21,HotWater,BaseAirSys6-5,Perimeter_top_ZN_4 Thermal Zone,55309.45,55309.45,2.76442,-99996,-99996,,,,
ENDTABLE,,,,,,,,,,,,,
TABLE OffLrgCECStd19040012Fan,,,,,,,,,,,,,
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrBHP,MtrHP,MtrPos,MtrEff
;,,,,,(cfm),(cfm),,,(inH2O),(hp),(hp),,
