;,,,,,,,,,,,,,,
TABLE OffMedCECStd25030012TrmlUnit,,,,,,,,,,,,,,
PerimeterBottom4ReheatCoil,BaseVAVBox CoilHtg-5,HotWater,BaseAirSys15,Perimeter_bot_ZN_4 Thermal Zone,42958.962,42958.962,8.58853,-99996,-99996,,,,,
CoreMidReheatCoil,BaseVAVBox CoilHtg-6,HotWater,BaseAirSys15-2,Core_mid Thermal Zone,112064.112,112064.112,22.40431,-99996,-99996,,,,,
PerimeterMid1ReheatCoil,BaseVAVBox CoilHtg-7,HotWater,BaseAirSys15-2,Perimeter_mid_ZN_1 Thermal Zone,68088.25,68088.25,13.61248,-99996,-99996,,,,,
PerimeterMid2ReheatCoil,BaseVAVBox CoilHtg-8,HotWater,BaseAirSys15-2,Perimeter_mid_ZN_2 Thermal Zone,44755.162,44755.162,8.94763,-99996,-99996,,,,,
PerimeterMid3ReheatCoil,BaseVAVBox CoilHtg-9,HotWater,BaseAirSys15-2,Perimeter_mid_ZN_3 Thermal Zone,68095.275,68095.275,13.61388,-99996,-99996,,,,,
PerimeterMid4ReheatCoil,BaseVAVBox CoilHtg-10,HotWater,BaseAirSys15-2,Perimeter_mid_ZN_4 Thermal Zone,44758.25,44758.25,8.94825,-99996,-99996,,,,,
CoreTopReheatCoil,BaseVAVBox CoilHtg-11,HotWater,BaseAirSys15-3,Core_top Thermal Zone,210030.337,210030.337,41.99011,-99996,-99996,,,,,
PerimeterTop1ReheatCoil,BaseVAVBox CoilHtg-12,HotWater,BaseAirSys15-3,Perimeter_top_ZN_1 Thermal Zone,84264.775,84264.775,16.84655,-99996,-99996,,,,,
PerimeterTop2ReheatCoil,BaseVAVBox CoilHtg-13,HotWater,BaseAirSys15-3,Perimeter_top_ZN_2 Thermal Zone,55437.412,55437.412,11.08327,-99996,-99996,,,,,
PerimeterTop3ReheatCoil,BaseVAVBox CoilHtg-14,HotWater,BaseAirSys15-3,Perimeter_top_ZN_3 Thermal Zone,84289.65,84289.65,16.85153,-99996,-99996,,,,,
PerimeterTop4ReheatCoil,BaseVAVBox CoilHtg-15,HotWater,BaseAirSys15-3,Perimeter_top_ZN_4 Thermal Zone,55451.938,55451.938,11.08617,-99996,-99996,,,,,
ENDTABLE,,,,,,,,,,,,,,
TABLE OffMedCECStd25030012Fan,,,,,,,,,,,,,,
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrBHP,MtrHP,MtrPos,MtrEff,PwrIdx
;,,,,,(cfm),(cfm),,,(inH2O),(hp),(hp),,,
BottomVAV SupplyFan,BaseSys15 SupFan,VariableSpeedDrive,BaseAirSys15,UNDEFINED,11460.9,2681.39,0.65,PowerPerUnitFlow,4.835,13.436,15,InAirStream,0.924,0.946
MidVAV SupplyFan,BaseSys15 SupFan-2,VariableSpeedDrive,BaseAirSys15-2,UNDEFINED,11893.48,2681.39,0.65,PowerPerUnitFlow,4.835,13.943,15,InAirStream,0.924,0.946
TopVAV SupplyFan,BaseSys15 SupFan-3,VariableSpeedDrive,BaseAirSys15-3,UNDEFINED,12923.35,2681.39,0.65,PowerPerUnitFlow,4.867,15.249,20,InAirStream,0.93,0.946
PerimeterBottom3Fan,BasePFPB Fan,ConstantVolume,BaseAirSys15,Perimeter_bot_ZN_3 Thermal Zone,695.028,-99996,0.5,PowerPerUnitFlow,1.091,0.239,-99996,UNDEFINED,0.855,0.3
PerimeterMid1Fan,BasePFPB Fan-2,ConstantVolume,BaseAirSys15-2,Perimeter_mid_ZN_1 Thermal Zone,1167.011,-99996,0.5,PowerPerUnitFlow,1.091,0.401,-99996,UNDEFINED,0.855,0.3
PerimeterTop1Fan,BasePFPB Fan-3,ConstantVolume,BaseAirSys15-3,Perimeter_top_ZN_1 Thermal Zone,1195.671,-99996,0.5,PowerPerUnitFlow,1.091,0.411,-99996,UNDEFINED,0.855,0.3
ENDTABLE,,,,,,,,,,,,,,
TABLE OffMedCECStd25030012OACtrl,,,,,,,,,,,,,,
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration,,,,,,,,,,
;,,,,,,,,,,,,,,
BottomVAV Economizer,BaseSys15 OACtrl,FixedDryBulb,BaseAirSys15,Integrated,,,,,,,,,,
MidVAV OACtrl,BaseSys15 OACtrl-2,FixedDryBulb,BaseAirSys15-2,Integrated,,,,,,,,,,
Top VAV OACtrl,BaseSys15 OACtrl-3,FixedDryBulb,BaseAirSys15-3,Integrated,,,,,,,,,,
ENDTABLE,,,,,,,,,,,,,,
