;,,,,,,,,,,,,,,
TABLE HotSmlCECStd25070012TrmlUnit,,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,,
BaseSys5 CoilClg-3,BaseSys5 CoilClg-3,DirectExpansion,BaseAirSys5-3,UNDEFINED,23386.502,24399.386,-99996,14,11.407,2,,,,
BaseSys5 CoilClg-4,BaseSys5 CoilClg-4,DirectExpansion,BaseAirSys5-4,UNDEFINED,33200.679,34638.62,-99996,14,11.407,2,,,,
GuestRoom101_SZAC CoilClg,BaseSys1 CoilClg,DirectExpansion,BaseZnSys1,GuestRoom101 Thermal Zone,5968.115,6226.597,-99996,15.053,12.188,-99996,,,,
GuestRoom102_SZAC CoilClg,BaseSys1 CoilClg-2,DirectExpansion,BaseZnSys1-2,GuestRoom102 Thermal Zone,5984.501,6243.693,-99996,15.053,12.188,-99996,,,,
GuestRoom103_SZAC CoilClg,BaseSys1 CoilClg-3,DirectExpansion,BaseZnSys1-3,GuestRoom103 Thermal Zone,6017.595,6278.221,-99996,15.053,12.188,-99996,,,,
GuestRoom104_SZAC CoilClg,BaseSys1 CoilClg-4,DirectExpansion,BaseZnSys1-4,GuestRoom104 Thermal Zone,6015.431,6275.962,-99996,15.053,12.188,-99996,,,,
GuestRoom105_SZAC CoilClg,BaseSys1 CoilClg-5,DirectExpansion,BaseZnSys1-5,GuestRoom105 Thermal Zone,5981.013,6240.054,-99996,15.053,12.188,-99996,,,,
GuestRoom201_SZAC CoilClg,BaseSys1 CoilClg-6,DirectExpansion,BaseZnSys1-6,GuestRoom201 Thermal Zone,6581.043,6866.072,-99996,15.053,12.188,-99996,,,,
GuestRoom202_205_SZAC CoilClg,BaseSys1 CoilClg-7,DirectExpansion,BaseZnSys1-7,GuestRoom202_205 Thermal Zone,4952.406,5166.898,-99996,15.053,12.188,-99996,,,,
GuestRoom206_208_SZAC CoilClg,BaseSys1 CoilClg-8,DirectExpansion,BaseZnSys1-8,GuestRoom206_208 Thermal Zone,5166.165,5389.914,-99996,15.053,12.188,-99996,,,,
GuestRoom209_212_SZAC CoilClg,BaseSys1 CoilClg-9,DirectExpansion,BaseZnSys1-9,GuestRoom209_212 Thermal Zone,4664.047,4866.05,-99996,15.053,12.188,-99996,,,,
GuestRoom213_SZAC CoilClg,BaseSys1 CoilClg-10,DirectExpansion,BaseZnSys1-10,GuestRoom213 Thermal Zone,5090.181,5310.639,-99996,15.053,12.188,-99996,,,,
GuestRoom214_SZAC CoilClg,BaseSys1 CoilClg-11,DirectExpansion,BaseZnSys1-11,GuestRoom214 Thermal Zone,5100.422,5321.325,-99996,15.053,12.188,-99996,,,,
GuestRoom215_218_SZAC CoilClg,BaseSys1 CoilClg-12,DirectExpansion,BaseZnSys1-12,GuestRoom215_218 Thermal Zone,4615.918,4815.836,-99996,15.053,12.188,-99996,,,,
GuestRoom219_SZAC CoilClg,BaseSys1 CoilClg-13,DirectExpansion,BaseZnSys1-13,GuestRoom219 Thermal Zone,5027.931,5245.694,-99996,15.053,12.188,-99996,,,,
GuestRoom220_223_SZAC CoilClg,BaseSys1 CoilClg-14,DirectExpansion,BaseZnSys1-14,GuestRoom220_223 Thermal Zone,4568.635,4766.505,-99996,15.053,12.188,-99996,,,,
GuestRoom224_SZAC CoilClg,BaseSys1 CoilClg-15,DirectExpansion,BaseZnSys1-15,GuestRoom224 Thermal Zone,5013.032,5230.15,-99996,15.053,12.188,-99996,,,,
GuestRoom301_SZAC CoilClg,BaseSys1 CoilClg-16,DirectExpansion,BaseZnSys1-16,GuestRoom301 Thermal Zone,6751.285,7043.687,-99996,15.053,12.188,-99996,,,,
GuestRoom302_305_SZAC CoilClg,BaseSys1 CoilClg-17,DirectExpansion,BaseZnSys1-17,GuestRoom302_305 Thermal Zone,4761.166,4967.375,-99996,15.053,12.188,-99996,,,,
GuestRoom306_308_SZAC CoilClg,BaseSys1 CoilClg-18,DirectExpansion,BaseZnSys1-18,GuestRoom306_308 Thermal Zone,5194.133,5419.094,-99996,15.053,12.188,-99996,,,,
GuestRoom309_312_SZAC CoilClg,BaseSys1 CoilClg-19,DirectExpansion,BaseZnSys1-19,GuestRoom309_312 Thermal Zone,4738.216,4943.431,-99996,15.053,12.188,-99996,,,,
