;,,,,,,,,,,,,,,
TABLE OffMedCECStd25030012STrmlUnit,,,,,,,,,,,,,,
PerimeterBottom4ReheatCoil,BaseVAVBox CoilHtg-5,HotWater,BaseAirSys15,Perimeter_bot_ZN_4 Thermal Zone,42749.762,42749.762,8.5467,-99996,-99996,,,,,
CoreMidReheatCoil,BaseVAVBox CoilHtg-6,HotWater,BaseAirSys15-2,Core_mid Thermal Zone,112144.325,112144.325,22.42035,-99996,-99996,,,,,
PerimeterMid1ReheatCoil,BaseVAVBox CoilHtg-7,HotWater,BaseAirSys15-2,Perimeter_mid_ZN_1 Thermal Zone,67823,67823,13.55945,-99996,-99996,,,,,
PerimeterMid2ReheatCoil,BaseVAVBox CoilHtg-8,HotWater,BaseAirSys15-2,Perimeter_mid_ZN_2 Thermal Zone,44637.588,44637.588,8.92413,-99996,-99996,,,,,
PerimeterMid3ReheatCoil,BaseVAVBox CoilHtg-9,HotWater,BaseAirSys15-2,Perimeter_mid_ZN_3 Thermal Zone,67824.712,67824.712,13.55979,-99996,-99996,,,,,
PerimeterMid4ReheatCoil,BaseVAVBox CoilHtg-10,HotWater,BaseAirSys15-2,Perimeter_mid_ZN_4 Thermal Zone,44583.675,44583.675,8.91335,-99996,-99996,,,,,
CoreTopReheatCoil,BaseVAVBox CoilHtg-11,HotWater,BaseAirSys15-3,Core_top Thermal Zone,209491.438,209491.438,41.88237,-99996,-99996,,,,,
PerimeterTop1ReheatCoil,BaseVAVBox CoilHtg-12,HotWater,BaseAirSys15-3,Perimeter_top_ZN_1 Thermal Zone,84012.763,84012.763,16.79617,-99996,-99996,,,,,
PerimeterTop2ReheatCoil,BaseVAVBox CoilHtg-13,HotWater,BaseAirSys15-3,Perimeter_top_ZN_2 Thermal Zone,55322.725,55322.725,11.06034,-99996,-99996,,,,,
PerimeterTop3ReheatCoil,BaseVAVBox CoilHtg-14,HotWater,BaseAirSys15-3,Perimeter_top_ZN_3 Thermal Zone,84013.262,84013.262,16.79627,-99996,-99996,,,,,
PerimeterTop4ReheatCoil,BaseVAVBox CoilHtg-15,HotWater,BaseAirSys15-3,Perimeter_top_ZN_4 Thermal Zone,55333.763,55333.763,11.06255,-99996,-99996,,,,,
ENDTABLE,,,,,,,,,,,,,,
TABLE OffMedCECStd25030012SFan,,,,,,,,,,,,,,
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrBHP,MtrHP,MtrPos,MtrEff,PwrIdx
;,,,,,(cfm),(cfm),,,(inH2O),(hp),(hp),,(W/cfm),
BottomVAV SupplyFan,BaseSys15 SupFan,VariableSpeedDrive,BaseAirSys15,UNDEFINED,11456.19,2681.388,0.65,PowerPerUnitFlow,4.835,13.431,15,InAirStream,0.924,0.946
MidVAV SupplyFan,BaseSys15 SupFan-2,VariableSpeedDrive,BaseAirSys15-2,UNDEFINED,11890.57,2681.388,0.65,PowerPerUnitFlow,4.835,13.94,15,InAirStream,0.924,0.946
TopVAV SupplyFan,BaseSys15 SupFan-3,VariableSpeedDrive,BaseAirSys15-3,UNDEFINED,12907.37,2681.388,0.65,PowerPerUnitFlow,4.867,15.23,20,InAirStream,0.93,0.946
PerimeterBottom3Fan,BasePFPB Fan,ConstantVolume,BaseAirSys15,Perimeter_bot_ZN_3 Thermal Zone,694.018,-99996,0.5,PowerPerUnitFlow,1.091,0.239,-99996,UNDEFINED,0.855,0.3
PerimeterMid1Fan,BasePFPB Fan-2,ConstantVolume,BaseAirSys15-2,Perimeter_mid_ZN_1 Thermal Zone,1164.7,-99996,0.5,PowerPerUnitFlow,1.091,0.401,-99996,UNDEFINED,0.855,0.3
PerimeterTop1Fan,BasePFPB Fan-3,ConstantVolume,BaseAirSys15-3,Perimeter_top_ZN_1 Thermal Zone,1193.108,-99996,0.5,PowerPerUnitFlow,1.091,0.41,-99996,UNDEFINED,0.855,0.3
ENDTABLE,,,,,,,,,,,,,,
TABLE OffMedCECStd25030012SOACtrl,,,,,,,,,,,,,,
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration,,,,,,,,,,
;,,,,,,,,,,,,,,
BottomVAV Economizer,BaseSys15 OACtrl,FixedDryBulb,BaseAirSys15,Integrated,,,,,,,,,,
MidVAV OACtrl,BaseSys15 OACtrl-2,FixedDryBulb,BaseAirSys15-2,Integrated,,,,,,,,,,
Top VAV OACtrl,BaseSys15 OACtrl-3,FixedDryBulb,BaseAirSys15-3,Integrated,,,,,,,,,,
ENDTABLE,,,,,,,,,,,,,,
