;,,,,,,,,,,,,,,
TABLE RetlLrgCECStd25090012TrmlUnit,,,,,,,,,,,,,,
Registers/Aisle_CoilHtg,BaseSys7or3b CoilHtg-5,HeatPump,BaseAirSys7or3b-5,n/a,276978.372,265938.554,0,-99996,-99996,,,,,
Side_Entry_1_CoilHtg,BaseSys7or3b CoilHtg-6,HeatPump,BaseAirSys7or3b-6,n/a,143213.623,137505.407,0,-99996,-99996,,,,,
Side_Entry_2_CoilHtg,BaseSys7or3b CoilHtg-7,HeatPump,BaseAirSys7or3b-7,n/a,154137.442,147993.823,0,-99996,-99996,,,,,
Side_Shelving_East_CoilHtg,BaseSys7or3b CoilHtg-8,HeatPump,BaseAirSys7or3b-8,n/a,273466.899,262567.04,0,-99996,-99996,,,,,
Side_Shelving_West_CoilHtg,BaseSys7or3b CoilHtg-9,HeatPump,BaseAirSys7or3b-9,n/a,271853.387,261017.84,0,-99996,-99996,,,,,
Side_Storage_1_CoilHtg,BaseSys7or3b CoilHtg-10,HeatPump,BaseAirSys7or3b-10,n/a,119169.742,114419.868,0,-99996,-99996,,,,,
Side_Storage_2_CoilHtg,BaseSys7or3b CoilHtg-11,HeatPump,BaseAirSys7or3b-11,n/a,140527.37,134926.222,0,-99996,-99996,,,,,
Back_Office_SuppCoilHtg,BaseSys7or3b SuppCoilHtg,Resistance,BaseAirSys7or3b,n/a,75863.45,75863.45,0,-99996,-99996,,,,,
Back_Shelving/Refrig_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-2,Resistance,BaseAirSys7or3b-2,n/a,184721.512,184721.512,0,-99996,-99996,,,,,
Back_Storage_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-3,Resistance,BaseAirSys7or3b-3,n/a,122220.997,122220.997,0,-99996,-99996,,,,,
Main_Entry_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-4,Resistance,BaseAirSys7or3b-4,n/a,157567.806,157567.806,0,-99996,-99996,,,,,
Registers/Aisle_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-5,Resistance,BaseAirSys7or3b-5,n/a,236753.827,236753.827,0,-99996,-99996,,,,,
Side_Entry_1_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-6,Resistance,BaseAirSys7or3b-6,n/a,156110.5,156110.5,0,-99996,-99996,,,,,
Side_Entry_2_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-7,Resistance,BaseAirSys7or3b-7,n/a,158479.95,158479.95,0,-99996,-99996,,,,,
Side_Shelving_East_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-8,Resistance,BaseAirSys7or3b-8,n/a,235925.313,235925.313,0,-99996,-99996,,,,,
Side_Shelving_West_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-9,Resistance,BaseAirSys7or3b-9,n/a,235265.962,235265.962,0,-99996,-99996,,,,,
Side_Storage_1_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-10,Resistance,BaseAirSys7or3b-10,n/a,108963.069,108963.069,0,-99996,-99996,,,,,
Side_Storage_2_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-11,Resistance,BaseAirSys7or3b-11,n/a,109108.538,109108.538,0,-99996,-99996,,,,,
ENDTABLE,,,,,,,,,,,,,,
TABLE RetlLrgCECStd25090012Fan,,,,,,,,,,,,,,
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrBHP,MtrHP,MtrPos,MtrEff,PwrIdx
;,,,,,(cfm),(cfm),,,(inH2O),(hp),(hp),,(W/cfm),
Back_Office_SupplyFan,BaseSys7or3b SupFan,VariableSpeedDrive,BaseAirSys7or3b,n/a,3397.236,1698.618,0.65,PowerPerUnitFlow,3.674,3.026,5,InAirStream,0.895,0.742
Back_Shelving/Refrig_SupplyFan,BaseSys7or3b SupFan-2,VariableSpeedDrive,BaseAirSys7or3b-2,n/a,6904.493,3452.246,0.65,PowerPerUnitFlow,3.652,6.114,7.5,InAirStream,0.917,0.72
