;,,,,,,,,,,,,,,
TABLE OffMedCECStd22030012TrmlUnit,,,,,,,,,,,,,,
PerimeterBottom3ReheatCoil,BaseVAVBox CoilHtg-4,HotWater,BaseAirSys5,Perimeter_bot_ZN_3 Thermal Zone,48807.188,48807.188,2.43943,-99996,-99996,,,,,
PerimeterBottom4ReheatCoil,BaseVAVBox CoilHtg-5,HotWater,BaseAirSys5,Perimeter_bot_ZN_4 Thermal Zone,32074.788,32074.788,1.60313,-99996,-99996,,,,,
CoreMidReheatCoil,BaseVAVBox CoilHtg-6,HotWater,BaseAirSys5-2,Core_mid Thermal Zone,85416.9,85416.9,4.26922,-99996,-99996,,,,,
PerimeterMid1ReheatCoil,BaseVAVBox CoilHtg-7,HotWater,BaseAirSys5-2,Perimeter_mid_ZN_1 Thermal Zone,50485.288,50485.288,2.52331,-99996,-99996,,,,,
PerimeterMid2ReheatCoil,BaseVAVBox CoilHtg-8,HotWater,BaseAirSys5-2,Perimeter_mid_ZN_2 Thermal Zone,33116.25,33116.25,1.65518,-99996,-99996,,,,,
PerimeterMid3ReheatCoil,BaseVAVBox CoilHtg-9,HotWater,BaseAirSys5-2,Perimeter_mid_ZN_3 Thermal Zone,50490.137,50490.137,2.52355,-99996,-99996,,,,,
PerimeterMid4ReheatCoil,BaseVAVBox CoilHtg-10,HotWater,BaseAirSys5-2,Perimeter_mid_ZN_4 Thermal Zone,33118.188,33118.188,1.65528,-99996,-99996,,,,,
CoreTopReheatCoil,BaseVAVBox CoilHtg-11,HotWater,BaseAirSys5-3,Core_top Thermal Zone,168119.75,168119.75,8.40279,-99996,-99996,,,,,
PerimeterTop1ReheatCoil,BaseVAVBox CoilHtg-12,HotWater,BaseAirSys5-3,Perimeter_top_ZN_1 Thermal Zone,63242.275,63242.275,3.16091,-99996,-99996,,,,,
PerimeterTop2ReheatCoil,BaseVAVBox CoilHtg-13,HotWater,BaseAirSys5-3,Perimeter_top_ZN_2 Thermal Zone,41503.725,41503.725,2.0744,-99996,-99996,,,,,
PerimeterTop3ReheatCoil,BaseVAVBox CoilHtg-14,HotWater,BaseAirSys5-3,Perimeter_top_ZN_3 Thermal Zone,63258.962,63258.962,3.16175,-99996,-99996,,,,,
PerimeterTop4ReheatCoil,BaseVAVBox CoilHtg-15,HotWater,BaseAirSys5-3,Perimeter_top_ZN_4 Thermal Zone,41513.188,41513.188,2.07487,-99996,-99996,,,,,
ENDTABLE,,,,,,,,,,,,,,
TABLE OffMedCECStd22030012Fan,,,,,,,,,,,,,,
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrBHP,MtrHP,MtrPos,MtrEff,PwrIdx
;,,,,,(cfm),(cfm),,,(inH2O),(hp),(hp),,,
BottomVAV SupplyFan,BaseSys5 SupFan,VariableSpeedDrive,BaseAirSys5,UNDEFINED,13742.879,2681.39,0.65,PowerPerUnitFlow,4.959,16.525,20,InAirStream,0.93,0.964
MidVAV SupplyFan,BaseSys5 SupFan-2,VariableSpeedDrive,BaseAirSys5-2,UNDEFINED,13614.574,2681.39,0.65,PowerPerUnitFlow,4.959,16.37,20,InAirStream,0.93,0.964
TopVAV SupplyFan,BaseSys5 SupFan-3,VariableSpeedDrive,BaseAirSys5-3,UNDEFINED,15091.45,2681.39,0.65,PowerPerUnitFlow,4.959,18.146,20,InAirStream,0.93,0.964
ENDTABLE,,,,,,,,,,,,,,
TABLE OffMedCECStd22030012OACtrl,,,,,,,,,,,,,,
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration,,,,,,,,,,
;,,,,,,,,,,,,,,
BottomVAV Economizer,BaseSys5 OACtrl,FixedDryBulb,BaseAirSys5,Integrated,,,,,,,,,,
MidVAV OACtrl,BaseSys5 OACtrl-2,FixedDryBulb,BaseAirSys5-2,Integrated,,,,,,,,,,
Top VAV OACtrl,BaseSys5 OACtrl-3,FixedDryBulb,BaseAirSys5-3,Integrated,,,,,,,,,,
ENDTABLE,,,,,,,,,,,,,,
