;,,,,,,,,,,,,,,
TABLE OffLrgCECStd22040012TrmlUnit,,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,,
BaseSys6 CoilClg-Top,BaseSys6 CoilClg-5,ChilledWater,BaseAirSys6-5,UNDEFINED,1080229.839,1080229.839,107.98195,-99996,-99996,-99996,,,,
ENDTABLE,,,,,,,,,,,,,,
TABLE OffLrgCECStd22040012CoilHtg,,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,FurnAFUE,FurnThrmlEff,,,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,,
BaseSys6 CoilHtg,BaseSys6 CoilHtg,HotWater,BaseAirSys6,UNDEFINED,234440.363,234440.363,11.71757,-99996,-99996,,,,,
BaseSys6 CoilHtg-Bot,BaseSys6 CoilHtg-2,HotWater,BaseAirSys6-2,UNDEFINED,129855.263,129855.263,6.4903,-99996,-99996,,,,,
BaseSys6 CoilHtg-Mid,BaseSys6 CoilHtg-3,HotWater,BaseAirSys6-3,UNDEFINED,109236.478,109236.478,5.45975,-99996,-99996,,,,,
BaseSys6 CoilHtg-Hi,BaseSys6 CoilHtg-4,HotWater,BaseAirSys6-4,UNDEFINED,109718.4,109718.4,5.48384,-99996,-99996,,,,,
BaseSys6 CoilHtg-Top,BaseSys6 CoilHtg-5,HotWater,BaseAirSys6-5,UNDEFINED,121730.425,121730.425,6.08421,-99996,-99996,,,,,
BaseVAVReheatCoil,BaseVAVBox CoilHtg,HotWater,BaseAirSys6,Basement Thermal Zone,126536.85,126536.85,6.32444,-99996,-99996,,,,,
BaseVAVReheatCoil-2,BaseVAVBox CoilHtg-2,HotWater,BaseAirSys6-2,Core_bottom Thermal Zone,175759,175759,8.78461,-99996,-99996,,,,,
BaseVAVReheatCoil-3,BaseVAVBox CoilHtg-3,HotWater,BaseAirSys6-2,Perimeter_bot_ZN_1 Thermal Zone,72037.225,72037.225,3.60049,-99996,-99996,,,,,
BaseVAVReheatCoil-4,BaseVAVBox CoilHtg-4,HotWater,BaseAirSys6-2,Perimeter_bot_ZN_2 Thermal Zone,47621.425,47621.425,2.38017,-99996,-99996,,,,,
BaseVAVReheatCoil-5,BaseVAVBox CoilHtg-5,HotWater,BaseAirSys6-2,Perimeter_bot_ZN_3 Thermal Zone,72013.15,72013.15,3.59929,-99996,-99996,,,,,
BaseVAVReheatCoil-6,BaseVAVBox CoilHtg-6,HotWater,BaseAirSys6-2,Perimeter_bot_ZN_4 Thermal Zone,47604.875,47604.875,2.37934,-99996,-99996,,,,,
BaseVAVReheatCoil-7,BaseVAVBox CoilHtg-7,HotWater,BaseAirSys6-3,Core_mid Thermal Zone,223475.79,223475.79,11.16955,-99996,-99996,,,,,
BaseVAVReheatCoil-8,BaseVAVBox CoilHtg-8,HotWater,BaseAirSys6-3,Perimeter_mid_ZN_1 Thermal Zone,84137.952,84137.952,4.2053,-99996,-99996,,,,,
BaseVAVReheatCoil-9,BaseVAVBox CoilHtg-9,HotWater,BaseAirSys6-3,Perimeter_mid_ZN_2 Thermal Zone,55899.753,55899.753,2.79393,-99996,-99996,,,,,
BaseVAVReheatCoil-10,BaseVAVBox CoilHtg-10,HotWater,BaseAirSys6-3,Perimeter_mid_ZN_3 Thermal Zone,84221.53,84221.53,4.20948,-99996,-99996,,,,,
BaseVAVReheatCoil-11,BaseVAVBox CoilHtg-11,HotWater,BaseAirSys6-3,Perimeter_mid_ZN_4 Thermal Zone,55953.342,55953.342,2.7966,-99996,-99996,,,,,
BaseVAVReheatCoil-12,BaseVAVBox CoilHtg-12,HotWater,BaseAirSys6-4,Core_hi Thermal Zone,230373.263,230373.263,11.51429,-99996,-99996,,,,,
BaseVAVReheatCoil-13,BaseVAVBox CoilHtg-13,HotWater,BaseAirSys6-4,Perimeter_hi_ZN_1 Thermal Zone,86419.91,86419.91,4.31935,-99996,-99996,,,,,
BaseVAVReheatCoil-14,BaseVAVBox CoilHtg-14,HotWater,BaseAirSys6-4,Perimeter_hi_ZN_2 Thermal Zone,57337.78,57337.78,2.8658,-99996,-99996,,,,,
BaseVAVReheatCoil-15,BaseVAVBox CoilHtg-15,HotWater,BaseAirSys6-4,Perimeter_hi_ZN_3 Thermal Zone,86535.977,86535.977,4.32516,-99996,-99996,,,,,
BaseVAVReheatCoil-16,BaseVAVBox CoilHtg-16,HotWater,BaseAirSys6-4,Perimeter_hi_ZN_4 Thermal Zone,57406.758,57406.758,2.86925,-99996,-99996,,,,,
BaseVAVReheatCoil-17,BaseVAVBox CoilHtg-17,HotWater,BaseAirSys6-5,Core_top Thermal Zone,426197.75,426197.75,21.30179,-99996,-99996,,,,,
BaseVAVReheatCoil-18,BaseVAVBox CoilHtg-18,HotWater,BaseAirSys6-5,Perimeter_top_ZN_1 Thermal Zone,106012.775,106012.775,5.29863,-99996,-99996,,,,,
BaseVAVReheatCoil-19,BaseVAVBox CoilHtg-19,HotWater,BaseAirSys6-5,Perimeter_top_ZN_2 Thermal Zone,69903.788,69903.788,3.49386,-99996,-99996,,,,,
BaseVAVReheatCoil-20,BaseVAVBox CoilHtg-20,HotWater,BaseAirSys6-5,Perimeter_top_ZN_3 Thermal Zone,106116.813,106116.813,5.30383,-99996,-99996,,,,,
BaseVAVReheatCoil-21,BaseVAVBox CoilHtg-21,HotWater,BaseAirSys6-5,Perimeter_top_ZN_4 Thermal Zone,69965.95,69965.95,3.49697,-99996,-99996,,,,,
ENDTABLE,,,,,,,,,,,,,,
TABLE OffLrgCECStd22040012Fan,,,,,,,,,,,,,,
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrBHP,MtrHP,MtrPos,MtrEff,PwrIdx
;,,,,,(cfm),(cfm),,,(inH2O),(hp),(hp),,(W/cfm),
BaseSys6 Fan,BaseSys6 SupFan,VariableSpeedDrive,BaseAirSys6,UNDEFINED,26129.66,5752.946,0.65,PowerPerUnitFlow,2.785,17.642,20,InAirStream,0.93,0.5413
BaseSys6 Fan-Bot,BaseSys6 SupFan-2,VariableSpeedDrive,BaseAirSys6-2,UNDEFINED,27114.42,5752.946,0.65,PowerPerUnitFlow,2.77,18.213,20,InAirStream,0.93,0.5385
BaseSys6 Fan-Mid,BaseSys6 SupFan-3,VariableSpeedDrive,BaseAirSys6-3,UNDEFINED,30069.464,5752.946,0.65,PowerPerUnitFlow,4.93,35.938,40,InAirStream,0.941,0.947
BaseSys6 Fan-Hi,BaseSys6 SupFan-4,VariableSpeedDrive,BaseAirSys6-4,UNDEFINED,30002.08,5752.946,0.65,PowerPerUnitFlow,4.93,35.858,40,InAirStream,0.941,0.947
BaseSys6 Fan-Top,BaseSys6 SupFan-5,VariableSpeedDrive,BaseAirSys6-5,UNDEFINED,28296.66,5752.946,0.65,PowerPerUnitFlow,2.762,18.948,20,InAirStream,0.93,0.5368
BaseSys6 RetFan,BaseSys RetFan,VariableSpeedDrive,BaseAirSys6,UNDEFINED,23516.694,0,0.65,PowerPerUnitFlow,2.785,15.878,20,InAirStream,0.93,0.5413
BaseSys6 RetFan-Bot,BaseSys RetFan-2,VariableSpeedDrive,BaseAirSys6-2,UNDEFINED,24402.978,0,0.65,PowerPerUnitFlow,2.77,16.391,20,InAirStream,0.93,0.5385
BaseSys6 RetFan-Top,BaseSys RetFan-3,VariableSpeedDrive,BaseAirSys6-5,UNDEFINED,25466.994,0,0.65,PowerPerUnitFlow,2.762,17.053,20,InAirStream,0.93,0.5368
ENDTABLE,,,,,,,,,,,,,,
TABLE OffLrgCECStd22040012OACtrl,,,,,,,,,,,,,,
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration,,,,,,,,,,
;,,,,,,,,,,,,,,
BaseSys6 OACtrl,BaseSys6 OACtrl,FixedDryBulb,BaseAirSys6,Integrated,,,,,,,,,,
BaseSys6 OACtrl-Bot,BaseSys6 OACtrl-2,FixedDryBulb,BaseAirSys6-2,Integrated,,,,,,,,,,
BaseSys6 OACtrl-Mid,BaseSys6 OACtrl-3,FixedDryBulb,BaseAirSys6-3,Integrated,,,,,,,,,,
BaseSys6 OACtrl-Hi,BaseSys6 OACtrl-4,FixedDryBulb,BaseAirSys6-4,Integrated,,,,,,,,,,
BaseSys6 OACtrl-Top,BaseSys6 OACtrl-5,FixedDryBulb,BaseAirSys6-5,Integrated,,,,,,,,,,
ENDTABLE,,,,,,,,,,,,,,
