; Tables for Std model AutoHardSize capacity look-up rules,,,,,,,,,,,,,,
TABLE SchSmlCECStd22010012TrmlUnit,,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,,
Common_Office_CoilHtg,BaseSys7or3b CoilHtg-10,HeatPump,BaseAirSys7or3b-10,n/a,65539.065,62926.806,0,-99996,-99996,,,,,
Common_Cafeteria_CoilHtg,BaseSys7or3b CoilHtg-11,HeatPump,BaseAirSys7or3b-11,n/a,100862.939,96842.739,0,-99996,-99996,,,,,
Common_Mech/Elec_SuppCoilHtg,BaseSys7or3b SuppCoilHtg,Resistance,BaseAirSys7or3b,n/a,11852.825,11852.825,0,-99996,-99996,,,,,
Wing1_Side1_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-2,Resistance,BaseAirSys7or3b-2,n/a,28343.859,28343.859,0,-99996,-99996,,,,,
Wing1_Corridor_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-3,Resistance,BaseAirSys7or3b-3,n/a,28094.487,28094.487,0,-99996,-99996,,,,,
Wing1_Side2_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-4,Resistance,BaseAirSys7or3b-4,n/a,25714.016,25714.016,0,-99996,-99996,,,,,
Common_Lobby_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-5,Resistance,BaseAirSys7or3b-5,n/a,14204.875,14204.875,0,-99996,-99996,,,,,
Common_Corridor_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-6,Resistance,BaseAirSys7or3b-6,n/a,28183.188,28183.188,0,-99996,-99996,,,,,
Wing2_Side1_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-7,Resistance,BaseAirSys7or3b-7,n/a,28119.097,28119.097,0,-99996,-99996,,,,,
Wing2_Corridor_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-8,Resistance,BaseAirSys7or3b-8,n/a,28218.15,28218.15,0,-99996,-99996,,,,,
Wing2_Side2_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-9,Resistance,BaseAirSys7or3b-9,n/a,25845.944,25845.944,0,-99996,-99996,,,,,
Common_Office_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-10,Resistance,BaseAirSys7or3b-10,n/a,48049.3,48049.3,0,-99996,-99996,,,,,
Common_Cafeteria_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-11,Resistance,BaseAirSys7or3b-11,n/a,122316.612,122316.612,0,-99996,-99996,,,,,
ENDTABLE,,,,,,,,,,,,,,
TABLE SchSmlCECStd22010012Fan,,,,,,,,,,,,,,
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrBHP,MtrHP,MtrPos,MtrEff,PwrIdx
;,,,,,(cfm),(cfm),,,(inH2O),(hp),(hp),,,
Common_Mech/Elec_Fan,BaseSys7or3b SupFan,ConstantVolume,BaseAirSys7or3b,n/a,554.761,-99996,0.65,PowerPerUnitFlow,3.519,0.473,0.5,InAirStream,0.855,0.744
Wing1_Side1_Fan,BaseSys7or3b SupFan-2,ConstantVolume,BaseAirSys7or3b-2,n/a,904.518,-99996,0.65,PowerPerUnitFlow,3.519,0.772,1,InAirStream,0.855,0.744
Wing1_Corridor_Fan,BaseSys7or3b SupFan-3,ConstantVolume,BaseAirSys7or3b-3,n/a,982.751,-99996,0.65,PowerPerUnitFlow,3.519,0.838,1,InAirStream,0.855,0.744
Wing1_Side2_Fan,BaseSys7or3b SupFan-4,ConstantVolume,BaseAirSys7or3b-4,n/a,731.717,-99996,0.65,PowerPerUnitFlow,3.519,0.624,0.75,InAirStream,0.855,0.744
Common_Lobby_Fan,BaseSys7or3b SupFan-5,ConstantVolume,BaseAirSys7or3b-5,n/a,593.008,-99996,0.65,PowerPerUnitFlow,3.519,0.506,0.75,InAirStream,0.855,0.744
Common_Corridor_Fan,BaseSys7or3b SupFan-6,ConstantVolume,BaseAirSys7or3b-6,n/a,984.99,-99996,0.65,PowerPerUnitFlow,3.519,0.84,1,InAirStream,0.855,0.744
Wing2_Side1_Fan,BaseSys7or3b SupFan-7,ConstantVolume,BaseAirSys7or3b-7,n/a,889.78,-99996,0.65,PowerPerUnitFlow,3.519,0.759,1,InAirStream,0.855,0.744
