;,,,,,,,,,,,,,,
TABLE RetlLrgCECStd22090012TrmlUnit,,,,,,,,,,,,,,
Registers/Aisle_CoilHtg,BaseSys7or3b CoilHtg-5,HeatPump,BaseAirSys7or3b-5,n/a,249219.917,239286.497,0,-99996,-99996,,,,,
Side_Entry_1_CoilHtg,BaseSys7or3b CoilHtg-6,HeatPump,BaseAirSys7or3b-6,n/a,148292.702,142382.044,0,-99996,-99996,,,,,
Side_Entry_2_CoilHtg,BaseSys7or3b CoilHtg-7,HeatPump,BaseAirSys7or3b-7,n/a,153837.485,147705.822,0,-99996,-99996,,,,,
Side_Shelving_East_CoilHtg,BaseSys7or3b CoilHtg-8,HeatPump,BaseAirSys7or3b-8,n/a,246462.703,236639.18,0,-99996,-99996,,,,,
Side_Shelving_West_CoilHtg,BaseSys7or3b CoilHtg-9,HeatPump,BaseAirSys7or3b-9,n/a,244887.309,235126.578,0,-99996,-99996,,,,,
Side_Storage_1_CoilHtg,BaseSys7or3b CoilHtg-10,HeatPump,BaseAirSys7or3b-10,n/a,130917.08,125698.98,0,-99996,-99996,,,,,
Side_Storage_2_CoilHtg,BaseSys7or3b CoilHtg-11,HeatPump,BaseAirSys7or3b-11,n/a,145142.988,139357.871,0,-99996,-99996,,,,,
Back_Office_SuppCoilHtg,BaseSys7or3b SuppCoilHtg,Resistance,BaseAirSys7or3b,n/a,78544.438,78544.438,0,-99996,-99996,,,,,
Back_Shelving/Refrig_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-2,Resistance,BaseAirSys7or3b-2,n/a,173314.466,173314.466,0,-99996,-99996,,,,,
Back_Storage_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-3,Resistance,BaseAirSys7or3b-3,n/a,126127.866,126127.866,0,-99996,-99996,,,,,
Main_Entry_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-4,Resistance,BaseAirSys7or3b-4,n/a,157570.862,157570.862,0,-99996,-99996,,,,,
Registers/Aisle_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-5,Resistance,BaseAirSys7or3b-5,n/a,219277.258,219277.258,0,-99996,-99996,,,,,
Side_Entry_1_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-6,Resistance,BaseAirSys7or3b-6,n/a,156916.987,156916.987,0,-99996,-99996,,,,,
Side_Entry_2_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-7,Resistance,BaseAirSys7or3b-7,n/a,159813.475,159813.475,0,-99996,-99996,,,,,
Side_Shelving_East_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-8,Resistance,BaseAirSys7or3b-8,n/a,218307.797,218307.797,0,-99996,-99996,,,,,
Side_Shelving_West_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-9,Resistance,BaseAirSys7or3b-9,n/a,217598.447,217598.447,0,-99996,-99996,,,,,
Side_Storage_1_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-10,Resistance,BaseAirSys7or3b-10,n/a,114294.7,114294.7,0,-99996,-99996,,,,,
Side_Storage_2_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-11,Resistance,BaseAirSys7or3b-11,n/a,111107.95,111107.95,0,-99996,-99996,,,,,
ENDTABLE,,,,,,,,,,,,,,
TABLE RetlLrgCECStd22090012Fan,,,,,,,,,,,,,,
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrBHP,MtrHP,MtrPos,MtrEff,PwrIdx
;,,,,,(cfm),(cfm),,,(inH2O),(hp),(hp),,(W/cfm),
Back_Office_SupplyFan,BaseSys7or3b SupFan,VariableSpeedDrive,BaseAirSys7or3b,n/a,3586.856,1793.428,0.65,PowerPerUnitFlow,3.684,3.203,5,InAirStream,0.895,0.744
Back_Shelving/Refrig_SupplyFan,BaseSys7or3b SupFan-2,VariableSpeedDrive,BaseAirSys7or3b-2,n/a,6344.557,3172.279,0.65,PowerPerUnitFlow,3.652,5.618,7.5,InAirStream,0.917,0.72
Back_Storage_SupplyFan,BaseSys7or3b SupFan-3,VariableSpeedDrive,BaseAirSys7or3b-3,n/a,4636.345,2318.172,0.65,PowerPerUnitFlow,3.684,4.141,5,InAirStream,0.895,0.744
Main_Entry_SupplyFan,BaseSys7or3b SupFan-4,VariableSpeedDrive,BaseAirSys7or3b-4,n/a,4691.842,2345.921,0.65,PowerPerUnitFlow,3.684,4.19,5,InAirStream,0.895,0.744
Registers/Aisle_SupplyFan,BaseSys7or3b SupFan-5,VariableSpeedDrive,BaseAirSys7or3b-5,n/a,8115.798,4057.899,0.65,PowerPerUnitFlow,3.652,7.187,7.5,InAirStream,0.917,0.72
Side_Entry_1_SupplyFan,BaseSys7or3b SupFan-6,VariableSpeedDrive,BaseAirSys7or3b-6,n/a,4649.578,2324.789,0.65,PowerPerUnitFlow,3.684,4.152,5,InAirStream,0.895,0.744
Side_Entry_2_SupplyFan,BaseSys7or3b SupFan-7,VariableSpeedDrive,BaseAirSys7or3b-7,n/a,4836.171,2418.085,0.65,PowerPerUnitFlow,3.684,4.319,5,InAirStream,0.895,0.744
Side_Shelving_East_SupplyFan,BaseSys7or3b SupFan-8,VariableSpeedDrive,BaseAirSys7or3b-8,n/a,8026.01,4013.005,0.65,PowerPerUnitFlow,3.652,7.107,7.5,InAirStream,0.917,0.72
Side_Shelving_West_SupplyFan,BaseSys7or3b SupFan-9,VariableSpeedDrive,BaseAirSys7or3b-9,n/a,7974.708,3987.354,0.65,PowerPerUnitFlow,3.652,7.062,7.5,InAirStream,0.917,0.72
Side_Storage_1_SupplyFan,BaseSys7or3b SupFan-10,VariableSpeedDrive,BaseAirSys7or3b-10,n/a,4548.644,2274.322,0.65,PowerPerUnitFlow,3.684,4.062,5,InAirStream,0.895,0.744
Side_Storage_2_SupplyFan,BaseSys7or3b SupFan-11,VariableSpeedDrive,BaseAirSys7or3b-11,n/a,4711.505,2355.753,0.65,PowerPerUnitFlow,3.684,4.208,5,InAirStream,0.895,0.744
ENDTABLE,,,,,,,,,,,,,,
TABLE RetlLrgCECStd22090012OACtrl,,,,,,,,,,,,,,
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration,,,,,,,,,,
;,,,,,,,,,,,,,,
Back_Office_OACtrl,BaseSys7or3b OACtrl,FixedDryBulb,BaseAirSys7or3b,Integrated,,,,,,,,,,
Back_Shelving/Refrig_OACtrl,BaseSys7or3b OACtrl-2,FixedDryBulb,BaseAirSys7or3b-2,Integrated,,,,,,,,,,
Back_Storage_OACtrl,BaseSys7or3b OACtrl-3,FixedDryBulb,BaseAirSys7or3b-3,Integrated,,,,,,,,,,
Main_Entry_OACtrl,BaseSys7or3b OACtrl-4,FixedDryBulb,BaseAirSys7or3b-4,Integrated,,,,,,,,,,
Registers/Aisle_OACtrl,BaseSys7or3b OACtrl-5,FixedDryBulb,BaseAirSys7or3b-5,Integrated,,,,,,,,,,
Side_Entry_1_OACtrl,BaseSys7or3b OACtrl-6,FixedDryBulb,BaseAirSys7or3b-6,Integrated,,,,,,,,,,
Side_Entry_2_OACtrl,BaseSys7or3b OACtrl-7,FixedDryBulb,BaseAirSys7or3b-7,Integrated,,,,,,,,,,
Side_Shelving_East_OACtrl,BaseSys7or3b OACtrl-8,FixedDryBulb,BaseAirSys7or3b-8,Integrated,,,,,,,,,,
Side_Shelving_West_OACtrl,BaseSys7or3b OACtrl-9,FixedDryBulb,BaseAirSys7or3b-9,Integrated,,,,,,,,,,
Side_Storage_1_OACtrl,BaseSys7or3b OACtrl-10,FixedDryBulb,BaseAirSys7or3b-10,Integrated,,,,,,,,,,
Side_Storage_2_OACtrl,BaseSys7or3b OACtrl-11,FixedDryBulb,BaseAirSys7or3b-11,Integrated,,,,,,,,,,
ENDTABLE,,,,,,,,,,,,,,
