,,,,Number of,Conditioned,,,LSC Margins,,Source Margin,Peak Cooling,Proposed Model Site Electric Use,,,,,,,,,,,,,,,Proposed Model Site Fuel Use,,,,,,Proposed Model LSC,,,,,,,,,,,,,,Proposed Model Source Energy,,,,,,,,,,,,Proposed Model Electric Demand,,,,,,,,,,,,,,Standard Model Site Electric Use,,,,,,,,,,,,Standard Model Site Fuel Use,,,,,Standard Model LSC,,,,,,,,,,,Standard Model Source Energy,,,,,,,,,,Standard Model Electric Demand,,,,,,,,,,,Software Versions,,,,Savings Results,,,,Calculated SSFs,,Compliance Total LSC Results By Fuel ($/ft2-yr),,,,Source Energy Results By Fuel (kBtu/ft2-yr),,,,Proposed PV Scaling,,,Self Utilization Credit,,HVAC Systems,,HVAC Total Capacities (kBtuh),,,,Proposed Model Site Electric CO2 Emissions,,,,,,,,,,,,,Proposed Model Site Fuel CO2 Emissions,,,,,Standard Model Site Electric CO2 Emissions,,,,,,,,,,Standard Model Site Fuel CO2 Emissions,,,,Proposed Model PV,,,,Standard Model PV,,,,Proposed Model Battery,,
,Project,,Climate,Dwelling,Area,,Pass /,Efficiency,Total,Total,Elec Margin,Spc Heat,Spc Cool,IAQ Vent,Wtr Heat,Self Util. Credit,PV,Battery,Flexibility,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL Comp,Eff Total,PeakCool,Spc Heat,Wtr Heat,Flexibility,Appl & Cook,TOTAL Comp,Eff Total,Spc Heat,Spc Cool,IAQ Vent,Wtr Heat,Self Util. Credit,PV,Battery,Flexibility,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL Comp,Eff Total,Spc Heat,Spc Cool,IAQ Vent,Wtr Heat,PV,Battery,Flexibility,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL Comp,Spc Heat,Spc Cool,IAQ Vent,Wtr Heat,Self Util. Credit,PV,Battery,Flexibility,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL Comp,Eff Total,Spc Heat,Spc Cool,IAQ Vent,Wtr Heat,PV,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL Comp,Eff Total,PeakCool,Spc Heat,Wtr Heat,Appl & Cook,TOTAL Comp,Eff Total,Spc Heat,Spc Cool,IAQ Vent,Wtr Heat,PV,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL Comp,Eff Total,Spc Heat,Spc Cool,IAQ Vent,Wtr Heat,PV,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL Comp,Spc Heat,Spc Cool,IAQ Vent,Wtr Heat,PV,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL Comp,Eff Total,Compliance,,End User,Fuel,Total Demand,Compliance Demand,Total LSC,Efficiency LSC,Proposed,Standard,Proposed Model,,Standard Model,,Proposed Model,,Standard Model,,Max PV,PV Scale,Scaled PV,LSC Margin,Battery,# Systems,# Equipment,Proposed Design,,Standard Design,,Spc Heat,Spc Cool,IAQ Vent,Wtr Heat,Self Util. Credit,PV,Battery,Flexibility,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Wtr Heat,Flexibility,Appl & Cook,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Wtr Heat,PV,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Wtr Heat,Appl & Cook,TOTAL,Size,Generation,Export,Export,Size,Generation,Export,Export,Compliance Cap,Power,Control
Run Date/Time,Path/File,Run Title,Zone,Units,(ft2),Analysis Type,Fail,($/ft2-yr),($/ft2-yr),(kBtu/ft2-yr),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),($/ft2-yr),($/ft2-yr),($/ft2-yr),($/ft2-yr),($/ft2-yr),($/ft2-yr),($/ft2-yr),($/ft2-yr),($/ft2-yr),($/ft2-yr),($/ft2-yr),($/ft2-yr),($/ft2-yr),($/ft2-yr),(kBtu/ft2-yr),(kBtu/ft2-yr),(kBtu/ft2-yr),(kBtu/ft2-yr),(kBtu/ft2-yr),(kBtu/ft2-yr),(kBtu/ft2-yr),(kBtu/ft2-yr),(kBtu/ft2-yr),(kBtu/ft2-yr),(kBtu/ft2-yr),(kBtu/ft2-yr),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),($/ft2-yr),($/ft2-yr),($/ft2-yr),($/ft2-yr),($/ft2-yr),($/ft2-yr),($/ft2-yr),($/ft2-yr),($/ft2-yr),($/ft2-yr),($/ft2-yr),(kBtu/ft2-yr),(kBtu/ft2-yr),(kBtu/ft2-yr),(kBtu/ft2-yr),(kBtu/ft2-yr),(kBtu/ft2-yr),(kBtu/ft2-yr),(kBtu/ft2-yr),(kBtu/ft2-yr),(kBtu/ft2-yr),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),Ruleset,CSE,Application,Type,(kW),(kW),(%),(%),(frac),(frac),Electric,Gas,Electric,Gas,Electric,Gas,Electric,Gas,Ratio,Factor,Total kW,($/ft2-yr),Ratio,(count),(count),Heating,Cooling,Heating,Cooling,(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kg),(kWdc),(kWh/yr),(kWh/yr),(%),(kWdc),(kWh/yr),(kWh/yr),(%),(kWh),(kW),
"2025-11-05 19:27:08","R:/32185Wilcox/2025 CBECC Res/TDS/2025.2.0 Final Release/01 Base/W04R05.ribd25","",5,1,2100,"Proposed and Standard","PASS",0.64,0.67,4.48,n/a,851.535,0,275.223,1374.17,0,-3778.39,0,0,505.557,911.321,2025.88,119.621,2284.92,2500.93,,0,0,0,43.1492,43.1492,0,3.2,0,0.88,4.39,0,-5.14,0,0,1.78,5.34,6.7,0.42,17.57,8.47,1.28,0,0.22,1.07,-0.94,0,0,0.5,2.56,1.76,0.12,6.57,0.275588,0,0.0314275,0.127471,0,-0.0109659,0,0,0.0586259,0.0852235,0.245105,0.0202483,0.832723,0.434486,1006.03,0,275.223,1350.46,-3778.39,505.557,916.22,2025.88,119.621,2420.6,2631.71,,0,0,43.1492,43.1492,0,3.92,0,0.88,4.31,-5.12,1.78,5.35,6.7,0.42,18.24,9.11,1.58,0,0.22,5.25,-0.94,0.5,2.56,1.76,0.12,11.05,0.379555,0,0.0314275,0.12667,-0.0109659,0.0586259,0.0854399,0.245105,0.0202483,0.936106,0.537653,"BEMCmpMgr 2025.2.0 RC (520)","CSE 0.927.0 EXE","CBECC 2025.2.0 (1393)","Natural Gas",0.103383,0.103167,,,,,8.47,0,9.11,0,2.57,0,1.86,5.19,1,1,2.2885,,,1,1,29.503,29.921,29.4486,29.8659,284.535,0,49.6556,238.888,0,-314.99,0,0,110.404,154.757,391.385,27.6732,942.308,0,0,0,252.315,252.315,178.166,0,24.8278,116.987,-104.997,55.2018,77.6456,195.692,13.8366,557.361,0,0,252.315,252.315,2.2885,3779.5,1882.45,49.8069,2.2885,3779.5,1890.67,50.0244,0,0,"",
"2025-11-05 19:28:02","R:/32185Wilcox/2025 CBECC Res/TDS/2025.2.0 Final Release/01 Base/W04R06.ribd25","",6,1,2100,"Proposed and Standard","PASS",0.15,0.18,3.99,n/a,248.137,40.408,280.199,1040.58,0,-4161.79,0,0,505.557,949.787,2025.88,119.621,1048.39,1609.33,16.1728,0,0,0,43.1492,43.1492,0,1,0.17,0.9,3.28,0,-5.36,0,0,1.74,5.47,6.66,0.42,14.28,5.35,0.47,0.03,0.23,0.8,-1.06,0,0,0.5,2.58,1.76,0.12,5.43,0.0823389,0.00381284,0.0319958,0.100521,0,-0.0137137,0,0,0.0586259,0.0900673,0.245105,0.0202483,0.619001,0.218669,299.113,40.0549,280.199,1024.38,-4161.79,505.557,953.801,2025.88,119.621,1086.82,1643.74,17.2236,0,0,43.1492,43.1492,0,1.2,0.17,0.9,3.23,-5.34,1.74,5.48,6.66,0.42,14.46,5.5,0.55,0.03,0.23,4.71,-1.06,0.5,2.58,1.76,0.12,9.42,0.103879,0.00414206,0.0319958,0.100149,-0.0137137,0.0586259,0.0902141,0.245105,0.0202483,0.640645,0.240166,"BEMCmpMgr 2025.2.0 RC (520)","CSE 0.927.0 EXE","CBECC 2025.2.0 (1393)","Natural Gas",0.0216441,0.0214973,,,,,5.35,0,5.5,0,1.53,0,0.87,4.65,1,1,2.4774,,,1,1,28.103,28.493,27.8703,28.2554,104.319,5.70072,50.5535,177.487,0,-353.665,0,0,110.404,161.343,391.385,27.6732,675.2,0,0,0,252.315,252.315,62.3629,3.04268,25.2768,87.3811,-117.888,55.2018,80.9046,195.692,13.8366,405.811,0,0,252.315,252.315,2.4774,4163.01,2247.2,53.9803,2.4774,4163.01,2253.63,54.1346,0,0,"",
"2025-11-05 19:28:57","R:/32185Wilcox/2025 CBECC Res/TDS/2025.2.0 Final Release/01 Base/W04R07.ribd25","",7,1,2100,"Proposed and Standard","PASS",0.17,0.19,3.95,n/a,197.15,89.4881,279.635,1008.62,0,-3737.19,0,0,505.557,958.727,2025.88,119.621,1447.5,1574.9,40.7881,0,0,0,43.1492,43.1492,0,0.67,0.49,0.89,3.17,0,-4.9,0,0,1.8,5.54,6.71,0.42,14.79,5.22,0.32,0.06,0.23,0.78,-1,0,0,0.5,2.57,1.76,0.12,5.34,0.0304011,0.00473237,0.0319313,0.0981921,0,-0.0134549,0,0,0.0586259,0.0911333,0.245105,0.0202483,0.566914,0.165257,242.696,101.637,279.635,995.452,-3737.19,505.557,962.623,2025.88,119.621,1495.91,1619.42,49.8345,0,0,43.1492,43.1492,0,0.84,0.54,0.89,3.12,-4.89,1.8,5.55,6.71,0.42,14.98,5.39,0.39,0.07,0.23,4.64,-1,0.5,2.58,1.76,0.12,9.29,0.0507113,0.00526797,0.0319313,0.0970014,-0.0134549,0.0586259,0.0911628,0.245105,0.0202483,0.586599,0.184912,"BEMCmpMgr 2025.2.0 RC (520)","CSE 0.927.0 EXE","CBECC 2025.2.0 (1393)","Natural Gas",0.0196846,0.0196551,,,,,5.22,0,5.39,0,1.39,0,0.75,4.58,1,1,2.3512,,,1,1,28.53,28.929,28.4272,28.8237,71.8271,12.9812,50.4516,172.825,0,-333.601,0,0,110.404,162.835,391.385,27.6732,666.781,0,0,0,252.315,252.315,45.2361,7.38107,25.2258,85.0837,-111.2,55.2018,81.6333,195.692,13.8366,398.091,0,0,252.315,252.315,2.3512,3738.28,1867.49,49.9559,2.3512,3738.28,1868.67,49.9875,0,0,"",
"2025-11-05 19:29:50","R:/32185Wilcox/2025 CBECC Res/TDS/2025.2.0 Final Release/01 Base/W04R08.ribd25","",8,1,2100,"Proposed and Standard","PASS",0.45,0.41,3.90,80,217.305,373.303,280.731,967.054,0,-4216.05,0,0,505.557,970.807,2025.88,119.621,1244.21,1838.39,130.215,0,0,0,43.1492,43.1492,0,0.88,1.29,0.9,3.04,0,-5.49,0,0,1.73,5.52,6.63,0.42,14.92,6.11,0.42,0.24,0.23,0.76,-1.06,0,0,0.5,2.59,1.76,0.12,5.56,0.0782105,0.0193221,0.0320565,0.0975091,0,-0.0136254,0,0,0.0586259,0.0908358,0.245105,0.0202483,0.628288,0.227098,283.309,452.763,280.731,950.617,-4216.05,505.557,975.515,2025.88,119.621,1377.94,1967.42,174.905,0,0,43.1492,43.1492,0,1.15,1.52,0.9,2.99,-5.55,1.73,5.54,6.63,0.42,15.33,6.56,0.52,0.27,0.23,4.53,-1.06,0.5,2.59,1.76,0.12,9.46,0.109603,0.0201983,0.0320565,0.0966264,-0.0136254,0.0586259,0.0909088,0.245105,0.0202483,0.659746,0.258484,"BEMCmpMgr 2025.2.0 RC (520)","CSE 0.927.0 EXE","CBECC 2025.2.0 (1393)","Natural Gas",0.0314588,0.0313859,,,,,6.11,0,6.56,0,1.65,0,1.08,4.47,1,1,2.6006,,,1,1,24.353,24.666,24.2406,24.5516,92.2659,52.2888,50.6494,170.031,0,-354.899,0,0,110.404,163.675,391.385,27.6732,703.472,0,0,0,252.315,252.315,59.3701,29.9675,25.3247,83.5027,-118.3,55.2018,82.1007,195.692,13.8366,426.697,0,0,252.315,252.315,2.6006,4217.29,2241.37,53.1472,2.6006,4217.29,2214.77,52.5164,0,0,"",
"2025-11-05 19:30:43","R:/32185Wilcox/2025 CBECC Res/TDS/2025.2.0 Final Release/01 Base/W04R09.ribd25","",9,1,2100,"Proposed and Standard","PASS",0.53,0.45,3.96,85,367.003,362.096,279.34,992.158,0,-4460.36,0,0,505.557,963.034,2025.88,119.621,1154.33,2000.6,123.889,0,0,0,43.1492,43.1492,0,1.47,1.28,0.89,3.12,0,-5.69,0,0,1.72,5.5,6.63,0.42,15.34,6.76,0.68,0.23,0.23,0.79,-1.11,0,0,0.5,2.58,1.76,0.12,5.78,0.132448,0.0183982,0.0318976,0.101436,0,-0.016141,0,0,0.0586259,0.0901209,0.245105,0.0202483,0.682139,0.28418,436.271,459.656,279.34,976.201,-4460.36,505.557,967.718,2025.88,119.621,1309.88,2151.47,173.769,0,0,43.1492,43.1492,0,1.76,1.57,0.89,3.07,-5.78,1.72,5.51,6.63,0.42,15.79,7.29,0.8,0.27,0.23,4.58,-1.11,0.5,2.59,1.76,0.12,9.74,0.163922,0.0195619,0.0318976,0.0984047,-0.016141,0.0586259,0.0902984,0.245105,0.0202483,0.711923,0.313786,"BEMCmpMgr 2025.2.0 RC (520)","CSE 0.927.0 EXE","CBECC 2025.2.0 (1393)","Natural Gas",0.0297841,0.0296066,,,,,6.76,0,7.29,0,1.93,0,1.36,4.52,1,1,2.6473,,,1,1,24.103,24.411,24.0436,24.3507,151.872,50.5712,50.3984,175.74,0,-371.354,0,0,110.404,162.378,391.385,27.6732,749.067,0,0,0,252.315,252.315,90.1082,29.942,25.1992,86.3182,-123.785,55.2018,81.4623,195.692,13.8366,453.976,0,0,252.315,252.315,2.6473,4461.67,2419.49,54.2283,2.6473,4461.67,2381.94,53.3867,0,0,"",
"2025-11-05 19:31:39","R:/32185Wilcox/2025 CBECC Res/TDS/2025.2.0 Final Release/01 Base/W04R10.ribd25","",10,1,2100,"Proposed and Standard","PASS",0.62,0.50,3.88,110,386.099,568.196,278.413,972.6,0,-4566.66,0,0,505.557,968.641,2025.88,119.621,1258.34,2205.31,209.017,0,0,0,43.1492,43.1492,0,1.55,1.87,0.89,3.07,0,-5.91,0,0,1.73,5.51,6.63,0.42,15.76,7.38,0.7,0.31,0.23,0.78,-1.14,0,0,0.5,2.58,1.76,0.12,5.84,0.147489,0.0199866,0.0317918,0.105004,0,-0.0172325,0,0,0.0586259,0.0901356,0.245105,0.0202483,0.701153,0.304271,453.371,704.358,278.413,957.676,-4566.66,505.557,972.658,2025.88,119.621,1450.87,2393.82,266.201,0,0,43.1492,43.1492,0,1.84,2.25,0.89,3.02,-6.05,1.73,5.53,6.63,0.42,16.26,8,0.8,0.36,0.23,4.5,-1.14,0.5,2.59,1.76,0.12,9.72,0.192739,0.021164,0.0317918,0.0998994,-0.0172325,0.0586259,0.0902857,0.245105,0.0202483,0.742626,0.345594,"BEMCmpMgr 2025.2.0 RC (520)","CSE 0.927.0 EXE","CBECC 2025.2.0 (1393)","Natural Gas",0.0414731,0.041323,,,,,7.38,0,8,0,2.02,0,1.45,4.44,1,1,2.7267,,,1,1,26.033,26.381,25.9345,26.2801,154.493,69.7088,50.2312,173.655,0,-380.364,0,0,110.404,162.954,391.385,27.6732,760.139,0,0,0,252.315,252.315,90.5483,40.0017,25.1156,85.4165,-126.788,55.2018,81.7004,195.692,13.8366,460.725,0,0,252.315,252.315,2.7267,4568,2437.98,53.3708,2.7267,4568,2380.22,52.1063,0,0,"",
"2025-11-05 19:32:36","R:/32185Wilcox/2025 CBECC Res/TDS/2025.2.0 Final Release/01 Base/W04R11.ribd25","",11,1,2100,"Proposed and Standard","PASS",0.81,0.67,3.88,156,1438.65,1014.25,277.42,1189.04,0,-4881.23,0,0,505.557,958.589,2025.88,119.621,2647.77,3919.36,401.95,0,0,0,43.1492,43.1492,0,5.58,3.42,0.89,3.82,0,-6.15,0,0,1.75,5.49,6.65,0.42,21.87,13.71,2.31,0.52,0.23,1.05,-1.03,0,0,0.5,2.58,1.76,0.12,8.04,0.51272,0.0257984,0.0316784,0.138833,0,-0.00683779,0,0,0.0586259,0.0879555,0.245105,0.0202483,1.11413,0.709029,1565,1170.67,277.42,1158.32,-4881.23,505.557,962.769,2025.88,119.621,2904.01,4171.41,464.737,0,0,43.1492,43.1492,0,6.06,3.86,0.89,3.71,-6.3,1.75,5.5,6.65,0.42,22.54,14.52,2.49,0.59,0.23,4.68,-1.03,0.5,2.58,1.76,0.12,11.92,0.541994,0.0266677,0.0316784,0.128007,-0.00683779,0.0586259,0.0882284,0.245105,0.0202483,1.13372,0.728347,"BEMCmpMgr 2025.2.0 RC (520)","CSE 0.927.0 EXE","CBECC 2025.2.0 (1393)","Natural Gas",0.0195907,0.0193179,,,,,13.71,0,14.52,0,4.11,0,3.37,4.62,1,1,3.1956,,,1,1,27.668,28.049,27.654,28.0347,512.44,116.108,50.052,233.802,0,-343.638,0,0,110.404,159.572,391.385,27.6732,1257.8,0,0,0,252.315,252.315,278.031,64.7593,25.026,112.549,-114.546,55.2018,80.0663,195.692,13.8366,710.617,0,0,252.315,252.315,3.1956,4882.67,2539.4,52.0084,3.1956,4882.67,2473.64,50.6617,0,0,"",
"2025-11-05 19:33:32","R:/32185Wilcox/2025 CBECC Res/TDS/2025.2.0 Final Release/01 Base/W04R12.ribd25","",12,1,2100,"Proposed and Standard","PASS",0.58,0.54,4.05,50,1514.61,175.757,277.073,1304.79,0,-4222.14,0,0,505.557,934.98,2025.88,119.621,2636.12,3272.23,39.0702,0,0,0,43.1492,43.1492,0,5.81,0.6,0.88,4.18,0,-5.13,0,0,1.75,5.43,6.66,0.42,20.6,11.47,2.33,0.11,0.22,1.11,-0.87,0,0,0.5,2.57,1.76,0.12,7.85,0.522809,0.00897972,0.0316388,0.145725,0,-0.00698747,0,0,0.0586259,0.0864524,0.245105,0.0202483,1.1126,0.709152,1642.07,235.41,277.073,1271.28,-4222.14,505.557,940.847,2025.88,119.621,2795.6,3425.83,73.7752,0,0,43.1492,43.1492,0,6.27,0.83,0.88,4.07,-5.18,1.75,5.44,6.66,0.42,21.14,12.05,2.5,0.15,0.22,4.95,-0.87,0.5,2.57,1.76,0.12,11.9,0.546149,0.00908787,0.0316388,0.143613,-0.00698747,0.0586259,0.0868178,0.245105,0.0202483,1.1343,0.730489,"BEMCmpMgr 2025.2.0 RC (520)","CSE 0.927.0 EXE","CBECC 2025.2.0 (1393)","Natural Gas",0.0217023,0.0213369,,,,,11.47,0,12.05,0,3.77,0,2.93,4.89,1,1,2.6873,,,1,1,36,36.551,26.9893,27.3564,516.837,25.3239,49.9895,246.795,0,-288.58,0,0,110.404,156.884,391.385,27.6732,1236.71,0,0,0,252.315,252.315,280.071,16.9802,24.9947,119.75,-96.1934,55.2018,78.8353,195.692,13.8366,689.169,0,0,252.315,252.315,2.6873,4223.38,2270.65,53.7637,2.6873,4223.38,2248.14,53.2307,0,0,"",
"2025-11-05 19:34:29","R:/32185Wilcox/2025 CBECC Res/TDS/2025.2.0 Final Release/01 Base/W04R13.ribd25","",13,1,2100,"Proposed and Standard","PASS",0.71,0.55,3.81,165,1037.93,1351.38,278.413,1085.52,0,-5318.81,0,0,505.557,974.566,2025.88,119.621,2060.06,3753.24,491.334,0,0,0,43.1492,43.1492,0,4.09,4.69,0.89,3.46,0,-6.73,0,0,1.76,5.54,6.65,0.42,20.77,13.13,1.67,0.71,0.23,0.93,-1.12,0,0,0.5,2.59,1.76,0.12,7.39,0.418569,0.0450069,0.0317918,0.120502,0,-0.0107704,0,0,0.0586259,0.0889108,0.245105,0.0202483,1.01799,0.61587,1118.36,1526.22,278.413,1061.78,-5318.81,505.557,978.682,2025.88,119.621,2295.71,3984.78,546.69,0,0,43.1492,43.1492,0,4.39,5.17,0.89,3.39,-6.91,1.76,5.56,6.65,0.42,21.32,13.84,1.78,0.77,0.23,4.56,-1.12,0.5,2.6,1.76,0.12,11.2,0.437056,0.0463323,0.0317918,0.117996,-0.0107704,0.0586259,0.0891818,0.245105,0.0202483,1.03557,0.633175,"BEMCmpMgr 2025.2.0 RC (520)","CSE 0.927.0 EXE","CBECC 2025.2.0 (1393)","Natural Gas",0.0175761,0.017305,,,,,13.13,0,13.84,0,3.54,0,2.84,4.5,1,1,3.3874,,,1,1,28.354,28.749,28.3344,28.729,370.458,158.339,50.2312,206.865,0,-373.55,0,0,110.404,162.354,391.385,27.6732,1104.16,0,0,0,252.315,252.315,199.825,85.5732,25.1156,100.784,-124.517,55.2018,81.4418,195.692,13.8366,632.954,0,0,252.315,252.315,3.3874,5320.37,2765.85,51.986,3.3874,5320.37,2687.39,50.5114,0,0,"",
"2025-11-05 19:35:24","R:/32185Wilcox/2025 CBECC Res/TDS/2025.2.0 Final Release/01 Base/W04R14.ribd25","",14,1,2100,"Proposed and Standard","PASS",0.95,0.76,3.83,117,1460.26,884.578,275.608,1311.11,0,-5114.33,0,0,505.557,954.428,2025.88,119.621,2422.7,3931.55,298.648,0,0,0,43.1492,43.1492,0,5.72,2.74,0.88,4.23,0,-7.04,0,0,1.72,5.46,6.62,0.42,20.75,13.57,2.44,0.4,0.22,1.2,-1.36,0,0,0.5,2.56,1.76,0.12,7.84,0.550802,0.0172915,0.0314715,0.173199,0,-0.0176865,0,0,0.0586259,0.0866646,0.245105,0.0202483,1.16572,0.772764,1639.01,1053.4,275.608,1245.97,-5114.33,505.557,958.765,2025.88,119.621,2709.47,4213.98,346.295,0,0,43.1492,43.1492,0,6.43,3.2,0.88,4.01,-7.24,1.72,5.47,6.62,0.42,21.51,14.52,2.71,0.45,0.22,4.7,-1.36,0.5,2.57,1.76,0.12,11.67,0.632572,0.0182342,0.0314715,0.159375,-0.0176865,0.0586259,0.087048,0.245105,0.0202483,1.23499,0.841653,"BEMCmpMgr 2025.2.0 RC (520)","CSE 0.927.0 EXE","CBECC 2025.2.0 (1393)","Natural Gas",0.0692719,0.0688885,,,,,13.57,0,14.52,0,4.26,0,3.44,4.64,1,1,2.8161,,,1,1,32.134,32.606,32.1216,32.5935,541.378,88.7042,49.7251,266.686,0,-453.904,0,0,110.404,158.626,391.385,27.6732,1180.68,0,0,0,252.315,252.315,302.542,49.8099,24.8625,125.716,-151.301,55.2018,79.6341,195.692,13.8366,695.994,0,0,252.315,252.315,2.8161,5115.83,2575.92,50.3519,2.8161,5115.83,2487.94,48.6322,0,0,"",
"2025-11-05 19:36:17","R:/32185Wilcox/2025 CBECC Res/TDS/2025.2.0 Final Release/01 Base/W04R15.ribd25","",15,1,2100,"Proposed and Standard","PASS",0.56,0.39,3.16,215,78.2368,3855.76,277.42,678.879,0,-7993.85,0,0,505.557,1033.12,2025.88,119.621,580.624,4890.29,859.922,0,0,0,43.1492,43.1492,0,0.35,11.74,0.89,2.14,0,-10.73,0,0,1.72,5.7,6.61,0.42,18.84,15.12,0.18,1.7,0.23,0.58,-2.16,0,0,0.5,2.62,1.76,0.12,5.53,0.0397461,0.148574,0.0316784,0.073393,0,-0.0308045,0,0,0.0586259,0.0940946,0.245105,0.0202483,0.680661,0.293392,102.659,4050.56,277.42,666.27,-7993.85,505.557,1036.12,2025.88,119.621,790.232,5096.91,895.605,0,0,43.1492,43.1492,0,0.46,12.23,0.89,2.1,-10.91,1.72,5.71,6.61,0.42,19.23,15.68,0.23,1.74,0.23,3.64,-2.16,0.5,2.63,1.76,0.12,8.69,0.0562704,0.149661,0.0316784,0.0694763,-0.0308045,0.0586259,0.0941093,0.245105,0.0202483,0.69437,0.307086,"BEMCmpMgr 2025.2.0 RC (520)","CSE 0.927.0 EXE","CBECC 2025.2.0 (1393)","Natural Gas",0.013709,0.0136943,,,,,15.12,0,15.68,0,2.69,0,2.26,3.58,1,1,4.746,,,1,1,37.45,38.031,37.4461,38.0267,40.3802,377.32,50.052,128.288,0,-720.75,0,0,110.404,171.616,391.385,27.6732,576.367,0,0,0,252.315,252.315,25.6414,193.225,25.026,62.9614,-240.25,55.2018,86.0072,195.692,13.8366,417.342,0,0,252.315,252.315,4.746,7996.19,4109.55,51.3938,4.746,7996.19,4030.46,50.4048,0,0,"",
"2025-11-05 19:37:09","R:/32185Wilcox/2025 CBECC Res/TDS/2025.2.0 Final Release/01 Base/W04R16.ribd25","",16,1,2100,"Proposed and Standard","PASS",0.78,0.76,4.43,n/a,2941.57,18.9802,277.758,1378.79,0,-4061.59,0,0,505.557,906.9,2025.88,119.621,4113.46,4617.1,13.1982,0,0,0,43.1492,43.1492,0,10.96,0.05,0.89,4.58,0,-5.32,0,0,1.75,5.32,6.68,0.42,25.33,16.48,3.85,0.01,0.23,1.27,-0.94,0,0,0.5,2.53,1.76,0.12,9.33,0.705577,0,0.0317171,0.16412,0,-0.00935603,0,0,0.0586259,0.0834449,0.245105,0.0202483,1.29948,0.901414,3134.67,74.5826,277.758,1303.85,-4061.59,505.557,913.699,2025.88,119.621,4294.03,4790.86,48.1318,0,0,43.1492,43.1492,0,11.82,0.21,0.89,4.34,-5.36,1.75,5.34,6.68,0.42,26.09,17.26,4.23,0.04,0.23,5.28,-0.94,0.5,2.54,1.76,0.12,13.76,0.768649,6.37568e-06,0.0317171,0.165651,-0.00935603,0.0586259,0.0838967,0.245105,0.0202483,1.36454,0.966024,"BEMCmpMgr 2025.2.0 RC (520)","CSE 0.927.0 EXE","CBECC 2025.2.0 (1393)","Natural Gas",0.0650614,0.0646097,,,,,16.48,0,17.26,0,5.36,0,4.56,5.22,1,1,2.459,,,1,1,37.396,37.976,37.2666,37.8434,856.184,2.79389,50.1131,282.641,0,-312.07,0,0,110.404,152.053,391.385,27.6732,1561.18,0,0,0,252.315,252.315,470.917,4.46915,25.0566,133.39,-104.023,55.2018,76.4728,195.692,13.8366,871.013,0,0,252.315,252.315,2.459,4062.78,2123.17,52.259,2.459,4062.78,2105.12,51.8148,0,0,"",
