;,CEC Title-24 Residential Compliance Ruleset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Deman Response HPWH Schedule Library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Created:,,12/03/2020 - BL,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Last modified:,,07/26/23 - SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Source Data:,,…,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Mod history:,,07/26/23 - SAC - copied 2022 sched records to 2025 code vint as placeholder for now,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,06/24/21 - SAC - added CodeVint column and lookup records from BL for 2022 code / Basic sched,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,02/24/21 - SAC - updated table w/ values from BL in 'DR_HPWH_Schedule_Library_BasicTOU_combined.csv' (e-mailed 2/23/21),,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,02/02/21 - SAC - updated table w/ values from BL in 'DR_HPWH_Schedule_Library_BasicTOU1.csv',,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,12/03/2020 - SAC - mods for integration into Res ruleset,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE T24RDemandResponseHPWH_Sched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CodeVint,Schedule,ClimateZone,Month,DayType,Signal_Setpoint,Val,Val,Val,Val,Val,Val,Val,Val,Val,Val,Val,Val,Val,Val,Val,Val,Val,Val,Val,Val,Val,Val,Val,Val
,2019,Basic,1,11,Weekday,Setpoint,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,110,110,110,110,110,110,110
,2019,Basic,1,12,Weekday,Signal,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,TOOLOR,ON,ON,ON,ON,ON,ON,ON
,2019,Basic,1,12,Weekday,Setpoint,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,110,110,110,110,110,110,110
,2019,Basic,1,1,Weekend,Signal,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,TOOLOR,ON,ON,ON,ON,ON,ON,ON
,2019,Basic,1,1,Weekend,Setpoint,113.75,117.5,121.25,125,125,125,125,125,125,125,125,125,125,125,125,125,125,110,110,110,110,110,110,110
,2019,Basic,1,2,Weekend,Signal,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,TOOLOR,ON,ON,ON,ON,ON,ON,ON
,2019,Basic,1,2,Weekend,Setpoint,113.75,117.5,121.25,125,125,125,125,125,125,125,125,125,125,125,125,125,125,110,110,110,110,110,110,110
,2019,Basic,1,3,Weekend,Signal,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,TOOLOR,ON,ON,ON,ON,ON,ON,ON
,2019,Basic,1,3,Weekend,Setpoint,113.75,117.5,121.25,125,125,125,125,125,125,125,125,125,125,125,125,125,125,110,110,110,110,110,110,110
,2019,Basic,1,4,Weekend,Signal,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,TOOLOR,ON,ON,ON,ON,ON,ON,ON
,2019,Basic,1,4,Weekend,Setpoint,113.75,117.5,121.25,125,125,125,125,125,125,125,125,125,125,125,125,125,125,110,110,110,110,110,110,110
,2019,Basic,1,5,Weekend,Signal,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,TOOLOR,ON,ON,ON,ON,ON,ON,ON
,2019,Basic,1,5,Weekend,Setpoint,113.75,117.5,121.25,125,125,125,125,125,125,125,125,125,125,125,125,125,125,110,110,110,110,110,110,110
,2019,Basic,1,6,Weekend,Signal,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,TOOLOR,ON,ON,ON,ON,ON,ON
,2019,Basic,1,6,Weekend,Setpoint,110,113.75,117.5,121.25,125,125,125,125,125,125,125,125,125,125,125,125,125,125,110,110,110,110,110,110
,2019,Basic,1,7,Weekend,Signal,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,TOOLOR,ON,ON,ON,ON,ON,ON
,2019,Basic,1,7,Weekend,Setpoint,110,113.75,117.5,121.25,125,125,125,125,125,125,125,125,125,125,125,125,125,125,110,110,110,110,110,110
,2019,Basic,1,8,Weekend,Signal,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,TOOLOR,ON,ON,ON,ON,ON,ON
,2019,Basic,1,8,Weekend,Setpoint,110,113.75,117.5,121.25,125,125,125,125,125,125,125,125,125,125,125,125,125,125,110,110,110,110,110,110
,2019,Basic,1,9,Weekend,Signal,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,TOOLOR,ON,ON,ON,ON,ON,ON
,2019,Basic,1,9,Weekend,Setpoint,110,113.75,117.5,121.25,125,125,125,125,125,125,125,125,125,125,125,125,125,125,110,110,110,110,110,110
,2019,Basic,1,10,Weekend,Signal,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,TOOLOR,ON,ON,ON,ON,ON,ON
,2019,Basic,1,10,Weekend,Setpoint,110,113.75,117.5,121.25,125,125,125,125,125,125,125,125,125,125,125,125,125,125,110,110,110,110,110,110
,2019,Basic,1,11,Weekend,Signal,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,TOOLOR,ON,ON,ON,ON,ON,ON,ON
,2019,Basic,1,11,Weekend,Setpoint,113.75,117.5,121.25,125,125,125,125,125,125,125,125,125,125,125,125,125,125,110,110,110,110,110,110,110
,2019,Basic,1,12,Weekend,Signal,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,TOOLOR,ON,ON,ON,ON,ON,ON,ON
,2019,Basic,1,12,Weekend,Setpoint,113.75,117.5,121.25,125,125,125,125,125,125,125,125,125,125,125,125,125,125,110,110,110,110,110,110,110
,2019,Basic,2,1,Weekday,Signal,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,TOOLOR,ON,ON,ON,ON,ON,ON,ON
,2019,Basic,2,1,Weekday,Setpoint,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,110,110,110,110,110,110,110
,2019,Basic,2,2,Weekday,Signal,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,TOOLOR,ON,ON,ON,ON,ON,ON,ON
,2019,Basic,2,2,Weekday,Setpoint,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,110,110,110,110,110,110,110
,2019,Basic,2,3,Weekday,Signal,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,TOOLOR,ON,ON,ON,ON,ON,ON,ON
,2019,Basic,2,3,Weekday,Setpoint,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,110,110,110,110,110,110,110
,2019,Basic,2,4,Weekday,Signal,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,TOOLOR,ON,ON,ON,ON,ON,ON,ON
,2019,Basic,2,4,Weekday,Setpoint,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,110,110,110,110,110,110,110
,2019,Basic,2,5,Weekday,Signal,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,TOOLOR,ON,ON,ON,ON,ON,ON,ON
,2019,Basic,2,5,Weekday,Setpoint,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,110,110,110,110,110,110,110
,2019,Basic,2,6,Weekday,Signal,ON,ON,ON,ON,ON,ON,TOOLOR,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,TOOLOR,ON,ON,ON,ON,ON,ON
,2019,Basic,2,6,Weekday,Setpoint,110,114.1666667,118.3333333,122.5,125,125,125,110,110,113.5714286,117.1428571,120.7142857,125,125,125,125,125,125,110,110,110,110,110,110
,2019,Basic,2,7,Weekday,Signal,ON,ON,ON,ON,ON,ON,TOOLOR,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,TOOLOR,ON,ON,ON,ON,ON,ON
,2019,Basic,2,7,Weekday,Setpoint,110,114.1666667,118.3333333,122.5,125,125,125,110,110,113.5714286,117.1428571,120.7142857,125,125,125,125,125,125,110,110,110,110,110,110
