; MoDaHr,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy
; Fuel=,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; CZ=,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16
10107,5.431657313,84.80625858,100,5.431657313,84.80625858,100,5.431657313,84.80625858,100,5.431657313,84.80625858,100,5.431657313,84.80625858,100,5.431657313,84.26799017,100,5.431657313,83.96987228,100,5.431657313,84.26799017,100,5.431657313,84.26799017,100,5.431657313,84.26799017,100,5.431657313,84.80625858,100,5.431657313,84.80625858,100,5.431657313,84.80625858,100,5.431657313,84.26799017,100,5.431657313,84.26799017,100,5.431657313,84.26799017,100
10108,5.431657313,84.80625858,100,5.431657313,84.80625858,100,5.431657313,84.80625858,100,5.431657313,84.80625858,100,5.431657313,84.80625858,100,5.431657313,84.26799017,100,5.431657313,83.96987228,100,5.431657313,84.26799017,100,5.431657313,84.26799017,100,5.431657313,84.26799017,100,5.431657313,84.80625858,100,5.431657313,84.80625858,100,5.431657313,84.80625858,100,5.431657313,84.26799017,100,5.431657313,84.26799017,100,5.431657313,84.26799017,100
10109,4.068812344,84.80625858,100,4.068812344,84.80625858,100,4.068812344,84.80625858,100,4.068812344,84.80625858,100,4.068812344,84.80625858,100,4.068812344,84.26799017,100,4.068812344,83.96987228,100,4.068812344,84.26799017,100,4.068812344,84.26799017,100,4.068812344,84.26799017,100,4.068812344,84.80625858,100,4.068812344,84.80625858,100,4.068812344,84.80625858,100,4.068812344,84.26799017,100,4.068812344,84.26799017,100,4.068812344,84.26799017,100
10110,1.820226779,84.80625858,100,1.820226779,84.80625858,100,1.820226779,84.80625858,100,1.820226779,84.80625858,100,1.820226779,84.80625858,100,1.820226779,84.26799017,100,1.820226779,83.96987228,100,1.820226779,84.26799017,100,1.820226779,84.26799017,100,1.820226779,84.26799017,100,1.820226779,84.80625858,100,1.820226779,84.80625858,100,1.820226779,84.80625858,100,1.820226779,84.26799017,100,1.820226779,84.26799017,100,1.820226779,84.26799017,100
10111,1.821717243,84.80625858,100,1.821717243,84.80625858,100,1.821717243,84.80625858,100,1.821717243,84.80625858,100,1.821717243,84.80625858,100,1.821717243,84.26799017,100,1.821717243,83.96987228,100,1.821717243,84.26799017,100,1.821717243,84.26799017,100,1.821717243,84.26799017,100,1.821717243,84.80625858,100,1.821717243,84.80625858,100,1.821717243,84.80625858,100,1.821717243,84.26799017,100,1.821717243,84.26799017,100,1.821717243,84.26799017,100
10112,1.823464536,84.80625858,100,1.823464536,84.80625858,100,1.823464536,84.80625858,100,1.823464536,84.80625858,100,1.823464536,84.80625858,100,1.823464536,84.26799017,100,1.823464536,83.96987228,100,1.823464536,84.26799017,100,1.823464536,84.26799017,100,1.823464536,84.26799017,100,1.823464536,84.80625858,100,1.823464536,84.80625858,100,1.823464536,84.80625858,100,1.823464536,84.26799017,100,1.823464536,84.26799017,100,1.823464536,84.26799017,100
10113,1.824077718,84.80625858,100,1.824077718,84.80625858,100,1.824077718,84.80625858,100,1.824077718,84.80625858,100,1.824077718,84.80625858,100,1.824077718,84.26799017,100,1.824077718,83.96987228,100,1.824077718,84.26799017,100,1.824077718,84.26799017,100,1.824077718,84.26799017,100,1.824077718,84.80625858,100,1.824077718,84.80625858,100,1.824077718,84.80625858,100,1.824077718,84.26799017,100,1.824077718,84.26799017,100,1.824077718,84.26799017,100
10114,1.825113278,84.80625858,100,1.825113278,84.80625858,100,1.825113278,84.80625858,100,1.825113278,84.80625858,100,1.825113278,84.80625858,100,1.825113278,84.26799017,100,1.825113278,83.96987228,100,1.825113278,84.26799017,100,1.825113278,84.26799017,100,1.825113278,84.26799017,100,1.825113278,84.80625858,100,1.825113278,84.80625858,100,1.825113278,84.80625858,100,1.825113278,84.26799017,100,1.825113278,84.26799017,100,1.825113278,84.26799017,100
10115,1.824559534,84.80625858,100,1.824559534,84.80625858,100,1.824559534,84.80625858,100,1.824559534,84.80625858,100,1.824559534,84.80625858,100,1.824559534,84.26799017,100,1.824559534,83.96987228,100,1.824559534,84.26799017,100,1.824559534,84.26799017,100,1.824559534,84.26799017,100,1.824559534,84.80625858,100,1.824559534,84.80625858,100,1.824559534,84.80625858,100,1.824559534,84.26799017,100,1.824559534,84.26799017,100,1.824559534,84.26799017,100
10116,1.837247267,84.80625858,100,1.837247267,84.80625858,100,1.837247267,84.80625858,100,1.837247267,84.80625858,100,1.837247267,84.80625858,100,1.837247267,84.26799017,100,1.837247267,83.96987228,100,1.837247267,84.26799017,100,1.837247267,84.26799017,100,1.837247267,84.26799017,100,1.837247267,84.80625858,100,1.837247267,84.80625858,100,1.837247267,84.80625858,100,1.837247267,84.26799017,100,1.837247267,84.26799017,100,1.837247267,84.26799017,100
