;,B,B,B,C,C,C,D,D,D,E,E,E,F,F,F,G,G,G,H,H,H,I,I,I,J,J,J,K,K,K,L,L,L,M,M,M,N,N,N,O,O,O,P,P,P,Q,Q,Q
;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,CZ:,1,,CZ:,2,,CZ:,3,,CZ:,4,,CZ:,5,,CZ:,6,,CZ:,7,,CZ:,8,,CZ:,9,,CZ:,10,,CZ:,11,,CZ:,12,,CZ:,13,,CZ:,14,,CZ:,15,,CZ:,16,
;,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; MoDaHr,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm
10111,3.8788745,103.11,100,3.8788745,103.11,100,3.8788745,103.11,100,3.8788745,103.11,100,3.8788745,103.11,100,3.2860364,101.66,100,3.2860364,101.66,100,3.2860364,101.66,100,3.2860364,101.66,100,3.2860364,101.66,100,3.8788745,103.11,100,3.8788745,103.11,100,3.8788745,103.11,100,3.2860364,101.66,100,3.2860364,101.66,100,3.2860364,101.66,100
10112,3.8662464,103.11,100,3.8662464,103.11,100,3.8662464,103.11,100,3.8662464,103.11,100,3.8662464,103.11,100,3.0348396,101.66,100,3.0348396,101.66,100,3.0348396,101.66,100,3.0348396,101.66,100,3.0348396,101.66,100,3.8662464,103.11,100,3.8662464,103.11,100,3.8662464,103.11,100,3.0348396,101.66,100,3.0348396,101.66,100,3.0348396,101.66,100
10113,3.8659051,103.11,100,3.8659051,103.11,100,3.8659051,103.11,100,3.8659051,103.11,100,3.8659051,103.11,100,3.0280136,101.66,100,3.0280136,101.66,100,3.0280136,101.66,100,3.0280136,101.66,100,3.0280136,101.66,100,3.8659051,103.11,100,3.8659051,103.11,100,3.8659051,103.11,100,3.0280136,101.66,100,3.0280136,101.66,100,3.0280136,101.66,100
10114,3.8638573,103.11,100,3.8638573,103.11,100,3.8638573,103.11,100,3.8638573,103.11,100,3.8638573,103.11,100,3.0843281,101.66,100,3.0843281,101.66,100,3.0843281,101.66,100,3.0843281,101.66,100,3.0843281,101.66,100,3.8638573,103.11,100,3.8638573,103.11,100,3.8638573,103.11,100,3.0843281,101.66,100,3.0843281,101.66,100,3.0843281,101.66,100
10115,3.8594204,103.11,100,3.8594204,103.11,100,3.8594204,103.11,100,3.8594204,103.11,100,3.8594204,103.11,100,3.4194847,101.66,100,3.4194847,101.66,100,3.4194847,101.66,100,3.4194847,101.66,100,3.4194847,101.66,100,3.8594204,103.11,100,3.8594204,103.11,100,3.8594204,103.11,100,3.4194847,101.66,100,3.4194847,101.66,100,3.4194847,101.66,100
10116,4.4959449,103.11,100,4.4959449,103.11,100,4.4959449,103.11,100,4.4959449,103.11,100,4.4959449,103.11,100,4.6795643,101.66,100,4.6795643,101.66,100,4.6795643,101.66,100,4.6795643,101.66,100,4.6795643,101.66,100,4.4959449,103.11,100,4.4959449,103.11,100,4.4959449,103.11,100,4.6795643,101.66,100,4.6795643,101.66,100,4.6795643,101.66,100
10117,6.3321389,103.11,100,6.3321389,103.11,100,6.3321389,103.11,100,6.3321389,103.11,100,6.3321389,103.11,100,6.3881121,101.66,100,6.3881121,101.66,100,6.3881121,101.66,100,6.3881121,101.66,100,6.3881121,101.66,100,6.3321389,103.11,100,6.3321389,103.11,100,6.3321389,103.11,100,6.3881121,101.66,100,6.3881121,101.66,100,6.3881121,101.66,100
10118,6.327702,103.11,100,6.327702,103.11,100,6.327702,103.11,100,6.327702,103.11,100,6.327702,103.11,100,6.3949381,101.66,100,6.3949381,101.66,100,6.3949381,101.66,100,6.3949381,101.66,100,6.3949381,101.66,100,6.327702,103.11,100,6.327702,103.11,100,6.327702,103.11,100,6.3949381,101.66,100,6.3949381,101.66,100,6.3949381,101.66,100
10119,6.3270194,103.11,100,6.3270194,103.11,100,6.3270194,103.11,100,6.3270194,103.11,100,6.3270194,103.11,100,6.3966446,101.66,100,6.3966446,101.66,100,6.3966446,101.66,100,6.3966446,101.66,100,6.3966446,101.66,100,6.3270194,103.11,100,6.3270194,103.11,100,6.3270194,103.11,100,6.3966446,101.66,100,6.3966446,101.66,100,6.3966446,101.66,100
10120,6.3283846,103.11,100,6.3283846,103.11,100,6.3283846,103.11,100,6.3283846,103.11,100,6.3283846,103.11,100,6.3969859,101.66,100,6.3969859,101.66,100,6.3969859,101.66,100,6.3969859,101.66,100,6.3969859,101.66,100,6.3283846,103.11,100,6.3283846,103.11,100,6.3283846,103.11,100,6.3969859,101.66,100,6.3969859,101.66,100,6.3969859,101.66,100
10121,6.3280433,103.11,100,6.3280433,103.11,100,6.3280433,103.11,100,6.3280433,103.11,100,6.3280433,103.11,100,6.3983511,101.66,100,6.3983511,101.66,100,6.3983511,101.66,100,6.3983511,101.66,100,6.3983511,101.66,100,6.3280433,103.11,100,6.3280433,103.11,100,6.3280433,103.11,100,6.3983511,101.66,100,6.3983511,101.66,100,6.3983511,101.66,100
10122,6.3280433,103.11,100,6.3280433,103.11,100,6.3280433,103.11,100,6.3280433,103.11,100,6.3280433,103.11,100,6.4000576,101.66,100,6.4000576,101.66,100,6.4000576,101.66,100,6.4000576,101.66,100,6.4000576,101.66,100,6.3280433,103.11,100,6.3280433,103.11,100,6.3280433,103.11,100,6.4000576,101.66,100,6.4000576,101.66,100,6.4000576,101.66,100
10123,6.1621715,103.11,100,6.1621715,103.11,100,6.1621715,103.11,100,6.1621715,103.11,100,6.1621715,103.11,100,6.116096,101.66,100,6.116096,101.66,100,6.116096,101.66,100,6.116096,101.66,100,6.116096,101.66,100,6.1621715,103.11,100,6.1621715,103.11,100,6.1621715,103.11,100,6.116096,101.66,100,6.116096,101.66,100,6.116096,101.66,100
10124,5.7785503,103.11,100,5.7785503,103.11,100,5.7785503,103.11,100,5.7785503,103.11,100,5.7785503,103.11,100,5.8597797,101.66,100,5.8597797,101.66,100,5.8597797,101.66,100,5.8597797,101.66,100,5.8597797,101.66,100,5.7785503,103.11,100,5.7785503,103.11,100,5.7785503,103.11,100,5.8597797,101.66,100,5.8597797,101.66,100,5.8597797,101.66,100
10201,4.8051627,103.11,100,4.8051627,103.11,100,4.8051627,103.11,100,4.8051627,103.11,100,4.8051627,103.11,100,4.931785,101.66,100,4.931785,101.66,100,4.931785,101.66,100,4.931785,101.66,100,4.931785,101.66,100,4.8051627,103.11,100,4.8051627,103.11,100,4.8051627,103.11,100,4.931785,101.66,100,4.931785,101.66,100,4.931785,101.66,100
10202,4.6546494,103.11,100,4.6546494,103.11,100,4.6546494,103.11,100,4.6546494,103.11,100,4.6546494,103.11,100,4.8208625,101.66,100,4.8208625,101.66,100,4.8208625,101.66,100,4.8208625,101.66,100,4.8208625,101.66,100,4.6546494,103.11,100,4.6546494,103.11,100,4.6546494,103.11,100,4.8208625,101.66,100,4.8208625,101.66,100,4.8208625,101.66,100
