;,CEC Title-24 Residential Compliance Ruleset   ,,,,,,,,,,,
;,Solar Thermal Collector data table,,,,,,,,,,,
;,Source Data:,Solar Thermal Listing.xlsx files received from CEC 12/18/19 thru 1/8/20,,,,,,,,,,
;,Created:,1/14/20 - SAC,,,,,,,,,,
;,Last modified:,11/17/24 - RJH - Updated list from SRCC OG-100 Export_20241112-CEC.xlsx (leaving existing entries that may have been decertified),,,,,,,,,,
;,Mod history:,"04/13/21, 05/10/21,  05/11/21 & 05/12/21 - SAC - integrated updates from 2021 CBECC OG-100 Summary 20210324.xlsx",,,,,,,,,,
;,,,,,,,,,,,,
;,,,,,,,,,,,,
TABLE SolarThermalCollectors,,,,;,(m2),,(W/m2°C),,,,,
,SRCC_IAPMOnumber,Manufacturer,BrandName,ModelNumber,Area,YIntercept,Slope,,,,,
,ForceString,ForceString,ForceString,ForceString,0,0,0,; added to ensure proper/consistent table data classification,,,,
,2011077A,Dimas SA,Dimas SA,SOL+29,2.923,0.73,-4.597,; modified - RJH 11/13/24 - was,2.92,0.729,-3.705,
,10002182H,Dimas SA,Energy+,GEO 15,1.514,0.677,-5.062,; added RJH 11/13/24,,,,
,10002182G,Dimas SA,Energy+,GEO 17,1.694,0.676,-5.033,; added RJH 11/13/24,,,,
,10002182F,Dimas SA,Energy+,GEO 19,1.961,0.687,-5.097,; added RJH 11/13/24,,,,
,10002182E,Dimas SA,Energy+,GEO 20,2.02,0.682,-5.071,; added RJH 11/13/24,,,,
,10002182D,Dimas SA,Energy+,GEO 23,2.239,0.69,-5.102,; added RJH 11/13/24,,,,
,10002182C,Dimas SA,Energy+,GEO 25,2.522,0.693,-5.113,; added RJH 11/13/24,,,,
,10002182B,Dimas SA,Energy+,GEO 27,2.239,0.69,-5.102,; added RJH 11/13/24,,,,
,10002182A,Dimas SA,Energy+,GEO 29,2.923,0.694,-5.101,; added RJH 11/13/24,,,,
,10002193,Dimas SA,Supreme Energy,25,2.52,0.748,-3.536,; added RJH 11/13/24,,,,
,10002194,Dimas SA,Supreme Energy,29,2.92,0.774,-4.753,; added RJH 11/13/24,,,,
,10002163,Dimas SA,TERRA+,EVO 29,2.923,0.752,-4.288,; added RJH 11/13/24,,,,
,2009051A,Dimplex North America Ltd.,Dimplex,DSCA-2M,2.022,0.688,-4.273,,,,,
,10001877,Duda Energy,Duda Solar,SC5815,2.342,0.42,-0.786,,,,,
,10001878,Duda Energy,Duda Solar,SC5820,2.944,0.42,-0.786,; modified - RJH 11/13/24 - was,3.083,,,
,10001879,Duda Energy,Duda Solar,SC5825,3.685,0.42,-0.786,; modified - RJH 11/13/24 - was,3.824,,,
,10001880,Duda Energy,Duda Solar,SC5830,4.426,0.42,-0.786,; modified - RJH 11/13/24 - was,4.565,,,
,2009035A,EarthNet Energy,EarthNet Energy,ENE 16,4.144,0.451,-1.581,,,,,
,2009035B,EarthNet Energy,EarthNet Energy,ENE 24,6.233,0.451,-1.581,,,,,
,2007064A,EchoFirst Inc.,Cleanline-Thermal,CL-T-370,34.495,0.515,-6.363,,,,,
,10001767,EchoFirst Inc.,Echo Building Integrated,ECHO BI 2PV1T,5.089,0.273,-3.432,,,,,
,2012029A,EchoFirst Inc.,Echo Building Integrated,ECHO BI 4PV2T,10.177,0.273,-2.969,,,,,
,10001768,EchoFirst Inc.,Echo Stanchioned,ECHO SM 2PV1T,5.089,0.261,-3.207,,,,,
,2012030A,EchoFirst Inc.,Echo Stanchioned,ECHO SM 4PV2T,10.177,0.261,-2.743,,,,,
,10002013,Energetyka Solarna Ensol Sp. z O.O.,Ensol Flat Plate Solar Collector,"ES2V/2,65 Cu-Al",2.65,0.838,-4.792,,,,,
,10002013,Energetyka Solarna Ensol Sp. z O.O.,Ensol Flat Plate Solar Collector,"ES2V/2,65 Cu-Al",2.65,0.838,-4.792,,,,,
,2006004A,Energy Conservation Products and Services,Solarway,6000,3.001,0.422,-6.01,,,,,
,2006006A,"EnerWorks, Inc.",Commercial Collector,COL-4X8-NL-SG1-SH10US,2.873,0.768,-4.035,,,,,
,10001739,"EnerWorks, Inc.",EnerWorks,FH2500,2.515,0.687,-4.033,,,,,
,2005014A,"EnerWorks, Inc.",Residential Collector,COL-4x8-TL-SG1-SD10US,2.874,0.726,-5.113,,,,,
,2010074A,"EnerWorks, Inc.",S-Power,HP 30/3000/R,4.74,0.562,-1.328,; modified - RJH 11/13/24 - was,5.03,0.477,-1.5,S-Power
,2009062A,"EnerWorks, Inc.",S-Power,S-Power 10/1000 TPS Inside,1.617,0.49,-1.716,,,,,
,2009062B,"EnerWorks, Inc.",S-Power,S-Power 20/2000 TPS Inside,3.184,0.49,-1.716,,,,,
,2009062C,"EnerWorks, Inc.",S-Power,S-Power 30/3000 TPS Inside,4.792,0.49,-1.716,,,,,
,2006002A,Environmental Solar Systems,Sun Mate,SM-14,1.742,0.58,-5.138,,,,,
,10001807,"ergSol, Inc.",ergSol,ergSol 100-6 df,1.59,0.626,-1.398,,,,,
,2011112A,"ergSol, Inc.",ergSol,ergSol 101 hp,5.03,0.477,-1.5,; renamed was: ergSol 303 Dhp - SAC 05/11/21,,,,
,2011110B,"ergSol, Inc.",ergSol,ergSol 202 df,3.184,0.49,-1.716,,,,,
,2011111B,"ergSol, Inc.",ergSol,ergSol 202 hp,3.246,0.43,-1.546,,,,,
,2011111A,"ergSol, Inc.",ergSol,ergSol 303 hp,4.961,0.43,-1.546,,,,,
,2011110C,"ergSol, Inc.",ergSol,ergSol 303df,4.792,0.49,-1.716,,,,,
,2008034C,Ezinc Metal Sanayi ve Ticaret A.S.,EZINC,Superline 3XL USB,3.554,0.74,-4.198,,,,,
,10001742,Ezinc Metal Sanayi ve Ticaret A.S.,EZINC,Superline 3XL USB-1,3.554,0.74,-4.198,,,,,
,2008034B,Ezinc Metal Sanayi ve Ticaret A.S.,EZINC,Superline L USB,2.279,0.737,-4.204,,,,,
,10001741,Ezinc Metal Sanayi ve Ticaret A.S.,EZINC,Superline L USB-1,2.279,0.737,-4.204,,,,,
,2008034A,Ezinc Metal Sanayi ve Ticaret A.S.,EZINC,Superline XXL USB,2.9,0.718,-4.082,,,,,
,10001732,Ezinc Metal Sanayi ve Ticaret A.S.,EZINC,Superline XXL USB-1,2.9,0.718,-4.082,,,,,
,2010066B,"First Solar Products, Inc.",SUNCHASER,FSC016B,2.393,0.333,-1.377,,,,,
,2010066A,"First Solar Products, Inc.",SUNCHASER,FSC020B,2.964,0.333,-1.377,,,,,
,2010066C,"First Solar Products, Inc.",SUNCHASER,FSC030B,4.393,0.333,-1.377,,,,,
,2009091B,Gear Solar,GEAR Solar,Solarpac TP12,1.76,0.375,-1.922,,,,,
,2009091A,Gear Solar,GEAR Solar,Solarpac TP24,3.57,0.375,-1.922,,,,,
,10002072,GreenBase Inc,GreenBase,SMP 2.1,2,0.704,-4.394,,,,,
,2010091B,GREENoneTEC Solarindustrie GmbH,GREENoneTEC,FK 9251N,2.58,0.698,-4.256,; added RJH 11/13/24,,,,
,10002098,GREENoneTEC Solarindustrie GmbH,GREENoneTEC,SUNPAD,2.07,0.466,-2.108,; added RJH 11/13/24,,,,
,10001930,GREENoneTEC Solarindustrie GmbH,Solpal Plus,Solpal Plus L,2.384,0.736,-4.16,; added RJH 11/13/24,,,,
,10002048,GREENoneTEC Solarindustrie GmbH,FK8209 TSA,"FK8209N 3H TSA , FK8209N 4H TSA",2.03,0.675,-4.125,,,,,
,2010091A,GREENoneTEC Solarindustrie GmbH,GREENoneTEC,FK 9251 N / L,2.58,0.709,-3.942,"; updated performance - was: 2.185, 0.626, -3.782 - SAC 05/11/21",,,,
,2006030B,GREENoneTEC Solarindustrie GmbH,GREENoneTEC,FK7250L,2.571,0.686,-3.593,,,,,
,2006030A,GREENoneTEC Solarindustrie GmbH,GREENoneTEC,FK7250N,2.571,0.686,-3.593,,,,,
,10001764,GREENoneTEC Solarindustrie GmbH,GREENoneTEC,GK 3102 FL,10.05,0.733,-3.547,,,,,
,10001765,GREENoneTEC Solarindustrie GmbH,GREENoneTEC,GK 3102 FL-AR,10.05,0.764,-3.502,,,,,
,10001988,GREENoneTEC Solarindustrie GmbH,GREENoneTEC,GK 3133,13.166,0.799,-4.294,,,,,
,10001989,GREENoneTEC Solarindustrie GmbH,GREENoneTEC,GK 3133 S,13.166,0.747,-2.039,; modified - RJH 11/13/24 - was,,0.799,-4.294,
,10001762,GREENoneTEC Solarindustrie GmbH,GREENoneTEC,GK 3502 FL,5.045,0.731,-3.909,,,,,
,10001763,GREENoneTEC Solarindustrie GmbH,GREENoneTEC,GK 3502 FL-AR,5.045,0.761,-3.869,,,,,
,10001986,GREENoneTEC Solarindustrie GmbH,GREENoneTEC,GK 3803,7.911,0.796,-4.311,,,,,
,10001987,GREENoneTEC Solarindustrie GmbH,GREENoneTEC,GK 3803 S,7.91,0.786,-3.723,,,,,
,2012042A,"Guangdong Fivestar Solar Energy Co., Ltd",Fivestar,FP3.0-E,2,0.684,-4.587,,,,,
,2012043A,"Guangdong Fivestar Solar Energy Co., Ltd",Fivestar,FS-PTY95-2.0,2,0.678,-4.426,,,,,
,2007066A,Gull Industries,Gull,5000,2.98,0.651,-6.132,,,,,
,2011041B,"Haining Meilu Solar Energy Water Heater Co., Ltd.",HSMSC,HSMSC58/1800-15,2.325,0.319,-1.262,,,,,
,2011041C,"Haining Meilu Solar Energy Water Heater Co., Ltd.",HSMSC,HSMSC58/1800-18,2.768,0.319,-1.262,,,,,
,2011041D,"Haining Meilu Solar Energy Water Heater Co., Ltd.",HSMSC,HSMSC58/1800-20,3.063,0.319,-1.262,,,,,
,2011041E,"Haining Meilu Solar Energy Water Heater Co., Ltd.",HSMSC,HSMSC58/1800-24,3.654,0.319,-1.262,,,,,
,2011041A,"Haining Meilu Solar Energy Water Heater Co., Ltd.",HSMSC,HSMSC58/1800-30,4.541,0.319,-1.262,,,,,
,2009105B,"Haining Oupairineng Solar Water Heater Co., Ltd",ONOSI,ONS58-15,2.299,0.361,-1.917,,,,,
,2009105C,"Haining Oupairineng Solar Water Heater Co., Ltd",ONOSI,ONS58-18,2.732,0.361,-1.917,,,,,
,2009105D,"Haining Oupairineng Solar Water Heater Co., Ltd",ONOSI,ONS58-20,3.021,0.361,-1.917,,,,,
,2009105A,"Haining Oupairineng Solar Water Heater Co., Ltd",ONOSI,ONS58-24,3.598,0.361,-1.917,,,,,
,2010052A,"Haining Xianke New Material Technology Co., Ltd.",Xianke,XKPH58-15,2.342,0.42,-0.786,"; renamed manufacturer, was: Haining Xianke Solar Energy Technology Co., Ltd. - SAC 05/11/21",,,,
,2010052B,"Haining Xianke New Material Technology Co., Ltd.",Xianke,XKPH58-20,2.944,0.42,-0.786,; modified - RJH 11/13/24 - was,3.083,,,
,2010052C,"Haining Xianke New Material Technology Co., Ltd.",Xianke,XKPH58-25,3.685,0.42,-0.786,; modified - RJH 11/13/24 - was,3.824,,,
,2010052D,"Haining Xianke New Material Technology Co., Ltd.",Xianke,XKPH58-30,4.426,0.42,-0.786,; modified - RJH 11/13/24 - was,4.565,,,
,2011001B,Helioakmi S.A.,Megasun,ST 2000 SELECTIVE,2.031,0.67,-4.404,,,,,
,2011001A,Helioakmi S.A.,Megasun,ST 2500 SELECTIVE,2.638,0.6,-3.707,,,,,
,10002030,"Heliodyne, Inc.",HICS,200 000 000,2.39,0.61,-3.916,; added RJH 11/13/24,,,,
,2007027A,"Heliodyne, Inc.",GOBI,336 001,2.487,0.731,-4.03,,,,,
,2010115B,"Heliodyne, Inc.",GOBI,404 001,1.521,0.732,-3.958,,,,,
,2010115C,"Heliodyne, Inc.",GOBI,406 001,2.503,0.76,-4.322,,,,,
,2010116B,"Heliodyne, Inc.",GOBI,406 002,2.513,0.686,-6.54,; modified - RJH 11/13/24 - was,2.503,0.718,-5.173,
,2010115D,"Heliodyne, Inc.",GOBI,408 001,2.993,0.766,-4.348,,,,,
,2010116C,"Heliodyne, Inc.",GOBI,408 002,2.993,0.722,-5.192,,,,,
,2010115A,"Heliodyne, Inc.",GOBI,410 001,3.74,0.766,-4.342,,,,,
,10001912,"Heliodyne, Inc.",GOBI,410 001 Plus,3.913,0.767,-4.345,,,,,
,2010116A,"Heliodyne, Inc.",GOBI,410 002,3.732,0.724,-5.201,,,,,
,2012027A,"Heliodyne, Inc.",GOBI HT,406 003,2.503,0.767,-3.072,,,,,
,2012027B,"Heliodyne, Inc.",GOBI HT,410 003,3.73,0.774,-3.079,,,,,
,2011116B,"Heliodyne, Inc.",VELUX,CLI M08 5000,1.162,0.634,-2.84,,,,,
,2011116A,"Heliodyne, Inc.",VELUX,CLI S06 5000,1.418,0.655,-2.88,,,,,
,2010063A,"Heliodyne, Inc.",VELUX,CLI U12 5000,2.513,0.686,-3.359,,,,,
,2011120C,HEWALEX Sp.z o.o. Sp.k.,Hewalex,KS2000 TP AC / TLP AC,2.091,0.718,-4.266,,,,,
,2011120B,HEWALEX Sp.z o.o. Sp.k.,Hewalex,KS2300 TP AC / TLP AC,2.307,0.719,-4.245,,,,,
,2011120A,HEWALEX Sp.z o.o. Sp.k.,Hewalex,KS2500 TP AC / TLP AC,2.515,0.687,-4.033,,,,,
,2009097A,"HTP, Inc.",HTP Evacuated Tube,HP-30SC,4.158,0.458,-1.579,,,,,
,2007040A,"HTP, Inc.",North Star,NSC-21,1.997,0.706,-4.91,,,,,
,2007040B,"HTP, Inc.",North Star,NSC-24,2.276,0.706,-4.91,,,,,
,2007040C,"HTP, Inc.",North Star,NSC-26,2.416,0.706,-4.91,,,,,
,10001975,"HTP, Inc.",North Star,NSC-26,2.416,0.727,-5.971,,,,,
,2007040D,"HTP, Inc.",North Star,NSC-28,2.663,0.706,-4.91,,,,,
,2007040E,"HTP, Inc.",North Star,NSC-32,3.035,0.706,-4.91,,,,,
,10001976,"HTP, Inc.",North Star,NSC-32,3.035,0.733,-6.007,,,,,
,2007040F,"HTP, Inc.",North Star,NSC-40,3.916,0.706,-4.91,,,,,
,10001977,"HTP, Inc.",North Star,NSC-40,3.777,0.737,-6.029,,,,,
,2007039A,"HTP, Inc.",Solar Skies,SS-21,1.931,0.706,-4.91,,,,,
,2007039B,"HTP, Inc.",Solar Skies,SS-24,2.212,0.706,-4.91,,,,,
,2007039C,"HTP, Inc.",Solar Skies,SS-26,2.355,0.706,-4.91,,,,,
,10001978,"HTP, Inc.",Solar Skies,SS-26,2.351,0.753,-6.189,,,,,
,10001926,"HTP, Inc.",Solar Skies,SS-26-FP,2.357,0.702,-4.544,,,,,
,2007039D,"HTP, Inc.",Solar Skies,SS-28,2.599,0.706,-4.91,,,,,
,2007039E,"HTP, Inc.",Solar Skies,SS-32,2.965,0.706,-4.91,,,,,
,10001973,"HTP, Inc.",Solar Skies,SS-32,2.96,0.757,-6.204,,,,,
,10001918,"HTP, Inc.",Solar Skies,SS-32-FP,2.967,0.706,-4.556,,,,,
,2007039F,"HTP, Inc.",Solar Skies,SS-40,3.696,0.706,-4.91,,,,,
,10001974,"HTP, Inc.",Solar Skies,SS-40,3.689,0.76,-6.215,,,,,
,10001927,"HTP, Inc.",Solar Skies,SS-40-FP,3.7,0.709,-4.564,,,,,
,2007039G,"HTP, Inc.",Solar Skies,SS-50,4.664,0.706,-4.91,,,,,
,2009039C,"HTP, Inc.",Solar Spectrum,FP-26SC,2.355,0.706,-4.91,,,,,
,2009039E,"HTP, Inc.",Solar Spectrum,FP-32SC,2.965,0.706,-4.91,,,,,
,2009039F,"HTP, Inc.",Solar Spectrum,FP-40SC,3.696,0.706,-4.91,,,,,
,2011050J,"HTP, Inc.",SS Series,SS-16,1.438,0.703,-4.902,,,,,
,2011050K,"HTP, Inc.",SS Series,SS-18,1.752,0.704,-4.907,,,,,
,2010059A,HUCU Solar Espana SL,HUCUSOL,10844 VP,2.294,0.644,-3.536,,,,,
,2009036A,"Innosolar Energy Co., Ltd.",Innosolar,CT Black,2.025,0.72,-4.969,,,,,
,2010025B,Integrated Solar LLC,Architectural Series,AS406C,2.227,0.796,-6.425,,,,,
,2010026B,Integrated Solar LLC,Architectural Series,AS406P,2.229,0.791,-7.544,,,,,
,2010025A,Integrated Solar LLC,Architectural Series,AS408C,2.95,0.798,-6.434,,,,,
,2010026A,Integrated Solar LLC,Architectural Series,AS408P,2.96,0.795,-7.566,,,,,
,2010025C,Integrated Solar LLC,Architectural Series,AS410C,3.686,0.803,-6.459,,,,,
,2010026C,Integrated Solar LLC,Architectural Series,AS410P,3.69,0.8,-7.602,,,,,
,2010025D,Integrated Solar LLC,Architectural Series,AS412C,4.454,0.795,-6.392,,,,,
,2010026D,Integrated Solar LLC,Architectural Series,AS412P,4.458,0.792,-7.517,,,,,
,10002047,IREX Energy Stock Joint Company,SolarBK,CFP-C-200,2.36,0.646,-4.985,"; no direct changes, but prior Bach Koha Invest… model mapped into this one - SAC 05/11/21",,,,
,2011059A,"Jiangsu Micoe Solar Energy Co., Ltd.",Micoe,FPC1200A,2,0.705,-5.101,,,,,
,10001898,"Jiangsu Micoe Solar Energy Co., Ltd.",Micoe,FPC1200D,2,0.679,-4.653,,,,,
,2010082B,"Jiangsu Micoe Solar Energy Co., Ltd.",Micoe,SMG100-10,2.765,0.455,-1.073,,,,,
,2010082C,"Jiangsu Micoe Solar Energy Co., Ltd.",Micoe,SMG100-12,3.323,0.455,-1.073,,,,,
,2010082D,"Jiangsu Micoe Solar Energy Co., Ltd.",Micoe,SMG100-16,4.439,0.455,-1.073,,,,,
,2010082A,"Jiangsu Micoe Solar Energy Co., Ltd.",Micoe,SMG100-8,2.21,0.455,-1.073,,,,,
,10001894,"Jiangsu Micoe Solar Energy Co., Ltd.",Micoe,SZ58/1800-10HA,1.738,0.426,-1.254,,,,,
,10001895,"Jiangsu Micoe Solar Energy Co., Ltd.",Micoe,SZ58/1800-15HA,2.518,0.426,-1.254,,,,,
,10001896,"Jiangsu Micoe Solar Energy Co., Ltd.",Micoe,SZ58/1800-20HA,3.23,0.419,-1.369,; modified - RJH 11/13/24 - was,3.298,0.426,-1.254,
,10001897,"Jiangsu Micoe Solar Energy Co., Ltd.",Micoe,SZ58/1800-25HA,4.078,0.426,-1.254,,,,,
,10001893,"Jiangsu Micoe Solar Energy Co., Ltd.",Micoe,SZ58/1800-30HA,4.816,0.419,-1.369,; modified - RJH 11/13/24 - was,4.858,0.426,-1.254,
,10001791,"Jiangsu Sunpower Solar Technology Co., Ltd",Sunpower,SPA-58/1800-12,1.953,0.383,-2.037,,,,,
,10001792,"Jiangsu Sunpower Solar Technology Co., Ltd",Sunpower,SPA-58/1800-15,2.416,0.383,-2.037,,,,,
,10001793,"Jiangsu Sunpower Solar Technology Co., Ltd",Sunpower,SPA-58/1800-18,2.88,0.383,-2.037,,,,,
,10001794,"Jiangsu Sunpower Solar Technology Co., Ltd",Sunpower,SPA-58/1800-20,3.188,0.383,-2.037,,,,,
,10001945,"Jiangsu Sunpower Solar Technology Co., Ltd",Sunpower,SPA-58/1800-24,3.806,0.383,-2.037,,,,,
,10001795,"Jiangsu Sunpower Solar Technology Co., Ltd",Sunpower,SPA-58/1800-30,4.732,0.383,-2.037,,,,,
,10002152,Jiangsu Sunrain Solar Energy Co. Ltd.,Sunrain,FPC1500C,15.02,0.83,-3.844,; added RJH 11/13/24,,,,
,10001892,Jiangsu Sunrain Solar Energy Co. Ltd.,Sunrain,FPC1200D,2,0.679,-4.653,,,,,
,2011132B,Jiangsu Sunrain Solar Energy Co. Ltd.,Sunrain,TZ47/1500-10U,1.069,0.674,-2.026,; modified - RJH 11/13/24 - was,1.355,0.416,-1.076,
,2011132C,Jiangsu Sunrain Solar Energy Co. Ltd.,Sunrain,TZ47/1500-12U,1.582,0.416,-1.076,,,,,
,2011132A,Jiangsu Sunrain Solar Energy Co. Ltd.,Sunrain,TZ47/1500-15U,1.656,0.674,-2.026,; modified - RJH 11/13/24 - was,1.929,0.416,-1.076,
,2011132D,Jiangsu Sunrain Solar Energy Co. Ltd.,Sunrain,TZ47/1500-16U,2.045,0.416,-1.076,,,,,
,2011132E,Jiangsu Sunrain Solar Energy Co. Ltd.,Sunrain,TZ47/1500-18U,2.274,0.416,-1.076,,,,,
,2011132F,Jiangsu Sunrain Solar Energy Co. Ltd.,Sunrain,TZ47/1500-20U,2.214,0.674,-2.026,; modified - RJH 11/13/24 - was,2.504,0.416,-1.076,
,2011132G,Jiangsu Sunrain Solar Energy Co. Ltd.,Sunrain,TZ47/1500-25U,2.773,0.674,-2.026,; modified - RJH 11/13/24 - was,3.079,0.416,-1.076,
,2011132H,Jiangsu Sunrain Solar Energy Co. Ltd.,Sunrain,TZ47/1500-30U,3.331,0.674,-2.026,; modified - RJH 11/13/24 - was,3.654,0.416,-1.076,
,2009042E,Jiangsu Sunrain Solar Energy Co. Ltd.,Sunrain,TZ58/1800-10R,1.715,0.429,-1.793,; modified - RJH 11/13/24 - was,1.712,0.406,-1.753,
,2011092B,Jiangsu Sunrain Solar Energy Co. Ltd.,Sunrain,TZ58/1800-10R2,1.74,0.373,-2.265,,,,,
,2009042D,Jiangsu Sunrain Solar Energy Co. Ltd.,Sunrain,TZ58/1800-15R,2.489,0.43,-1.797,; modified - RJH 11/13/24 - was,2.594,0.406,-1.753,
,2011092A,Jiangsu Sunrain Solar Energy Co. Ltd.,Sunrain,TZ58/1800-15R2,2.521,0.373,-2.265,,,,,
,2009042A,Jiangsu Sunrain Solar Energy Co. Ltd.,Sunrain,TZ58/1800-20R,3.327,0.43,-1.797,; modified - RJH 11/13/24 - was,3.476,0.406,-1.753,
,2011092C,Jiangsu Sunrain Solar Energy Co. Ltd.,Sunrain,TZ58/1800-20R2,3.301,0.373,-2.265,,,,,
,2009042C,Jiangsu Sunrain Solar Energy Co. Ltd.,Sunrain,TZ58/1800-25R,4.165,0.43,-1.797,; modified - RJH 11/13/24 - was,4.359,0.406,-1.753,
,2011092D,Jiangsu Sunrain Solar Energy Co. Ltd.,Sunrain,TZ58/1800-25R2,4.082,0.373,-2.265,,,,,
,2009042B,Jiangsu Sunrain Solar Energy Co. Ltd.,Sunrain,TZ58/1800-30R,5,0.43,-1.797,; modified - RJH 11/13/24 - was,5.241,0.406,-1.753,
,2011092E,Jiangsu Sunrain Solar Energy Co. Ltd.,Sunrain,TZ58/1800-30R2,4.863,0.373,-2.265,,,,,
,2011126B,"Jiaxing Tjsun New Energy Co., Ltd.",Tjsun,TJ-ZRG58/18A-12,1.917,0.401,-1.465,,,,,
,2011126C,"Jiaxing Tjsun New Energy Co., Ltd.",Tjsun,TJ-ZRG58/18A-15,2.358,0.401,-1.465,,,,,
,2011126D,"Jiaxing Tjsun New Energy Co., Ltd.",Tjsun,TJ-ZRG58/18A-18,2.799,0.401,-1.465,,,,,
,2011126E,"Jiaxing Tjsun New Energy Co., Ltd.",Tjsun,TJ-ZRG58/18A-20,3.093,0.401,-1.465,,,,,
,2011126F,"Jiaxing Tjsun New Energy Co., Ltd.",Tjsun,TJ-ZRG58/18A-24,3.681,0.401,-1.465,,,,,
,2011126A,"Jiaxing Tjsun New Energy Co., Ltd.",Tjsun,TJ-ZRG58/18A-30,4.563,0.401,-1.465,,,,,
,2012012A,"Kangnam Co., Ltd.",Kangnam,KNSC-003.1,2.03,0.589,-3.405,,,,,
,2010118A,KBB Kollektorbau,KBB,K420-MS-AL,2.151,0.73,-4.183,,,,,
,10002031,KBB Kollektorbau,KBB,K420-MS-Al,2.17,0.747,-4.38,,,,,
,10001990,KBB Kollektorbau,KBB,K423-MS-AL,2.493,0.728,-4.158,,,,,
,10002032,KBB Kollektorbau,KBB,K423-MS-Al,2.51,0.747,-4.38,,,,,
,10002033,KBB Kollektorbau,KBB,K425-MS-Al,2.74,0.747,-4.38,,,,,
,10002042,KBB Kollektorbau,KBB,K5-3Giga,7.45,0.78,-3.149,,,,,
,10002041,KBB Kollektorbau,KBB,K5-3Giga+,7.45,0.744,-3.035,,,,,
,2009121A,KBB Kollektorbau,KBB Kollektorbau,K423-DH,2.511,0.714,-3.997,,,,,
,10001913,"K-Cor, Inc.",K-cor Rocket Dome,6-stc,2.62,0.573,-6.562,,,,,
,10001770,Kingspan Environmental Ltd.,Kingspan Solar,FPW18U,1.79,0.691,-3.63,,,,,
,10001771,Kingspan Environmental Ltd.,Kingspan Solar,FPW25U,2.421,0.705,-3.64,,,,,
,2011060A,Kingspan Environmental Ltd.,Kinspan Solar Flat Plate,FP200,1.99,0.743,-4.089,,,,,
,2011060B,Kingspan Environmental Ltd.,Kinspan Solar Flat Plate,FP240,2.41,0.747,-4.098,,,,,
,2003004A,Kingspan Environmental Ltd.,Solamax,AST20,2.849,0.574,-3.049,,,,,
,2003004B,Kingspan Environmental Ltd.,Solamax,AST30,4.28,0.574,-3.049,,,,,
,2003004C,Kingspan Environmental Ltd.,Solamax,AST50,7.129,0.574,-3.049,,,,,
,2003004D,Kingspan Environmental Ltd.,Solamax,AST70,9.978,0.574,-3.049,,,,,
,2003004E,Kingspan Environmental Ltd.,Solamax,AST80,11.408,0.574,-3.049,,,,,
,2010058C,Kingspan Environmental Ltd.,Thermomax,CS-40,4.253,0.55,-1.709,,,,,
,2009049A,Kingspan Environmental Ltd.,Thermomax,DF100-10,2.849,0.603,-1.58,,,,,
,2009049B,Kingspan Environmental Ltd.,Thermomax,DF100-20,1.424,0.55,-1.709,,,,,
,2009049C,Kingspan Environmental Ltd.,Thermomax,DF100-30,4.268,0.603,-1.58,,,,,
,10001963,Kingspan Environmental Ltd.,Thermomax,DF400-20,2.767,0.589,-1.188,,,,,
,10001964,Kingspan Environmental Ltd.,Thermomax,DF400-30,4.152,0.589,-1.188,,,,,
,2009050A,Kingspan Environmental Ltd.,Thermomax,HP250-10,1.424,0.55,-1.709,,,,,
,2009050B,Kingspan Environmental Ltd.,Thermomax,HP250-20,2.838,0.55,-1.709,,,,,
,2009050C,Kingspan Environmental Ltd.,Thermomax,HP250-30,4.253,0.55,-1.709,,,,,
,2009050D,Kingspan Environmental Ltd.,Thermomax,HP250-50,7.081,0.55,-1.709,,,,,
,2009050E,Kingspan Environmental Ltd.,Thermomax,HP250-70,9.91,0.55,-1.709,,,,,
,2009050F,Kingspan Environmental Ltd.,Thermomax,HP250-80,11.325,0.55,-1.709,,,,,
,10002023,Kingspan Environmental Ltd.,Thermomax,HP450RF-20,2.782,0.56,-1.877,,,,,
,10001778,Kingspan Solar Inc.,Flat Plate,FPW30U,2.967,0.701,-3.601,,,,,
,2012014A,Kingspan Solar Inc.,KINGSPAN SOLAR,FP200H,2.019,0.721,-4.413,,,,,
,2012014B,Kingspan Solar Inc.,KINGSPAN SOLAR,FP240H,2.378,0.747,-4.558,,,,,
,10001870,Kingspan Solar Inc.,Kingspan Solar,FPW18,1.799,0.711,-4.005,,,,,
,10001871,Kingspan Solar Inc.,Kingspan Solar,FPW25,2.421,0.727,-4.021,,,,,
,10001872,Kingspan Solar Inc.,Kingspan Solar,FPW30,2.967,0.727,-3.994,,,,,
,10001723,Kingspan Solar Inc.,Thermomax,HP450-20,2.782,0.56,-1.877,,,,,
,10001725,Kingspan Solar Inc.,Thermomax,HP450-30,4.178,0.56,-1.877,,,,,
,10001724,Kingspan Solar Inc.,Varisol,Varisol DF,2.793,0.599,-1.994,,,,,
,2009077A,KIOTO Clear Energy S.A. de C.V.,KIOTO Clear Energy,FP 1.20.0 HE sc,2.031,0.68,-3.754,,,,,
,2009076A,KIOTO Clear Energy S.A. de C.V.,KIOTO Clear Energy,FP 1.20.0 LE sc,2.031,0.67,-4.404,,,,,
,2009046B,KIOTO Clear Energy S.A. de C.V.,Kioto Clear Energy,FP 7.25.0 H,2.571,0.686,-3.593,,,,,
,2009046A,KIOTO Clear Energy S.A. de C.V.,Kioto Clear Energy,FP 7.25.0 V,2.571,0.686,-3.593,,,,,
