// This table pasted into App5-4A_SpaceBySpace-T24N_2019.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE SpaceFunctionData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FuncType,VentSpcFuncDef,OccDens,OccVentFrac,OccSensHtRt,OccLatHtRt,RecptPwrDens,HotWtrHrlyUsePerPers,BaseWtrHtrType,IntLPDReg,AllowType1,AllowArea1,AllowType2,AllowArea2,ClgUMLHLimit,HtgUMLHLimit,GasEqpPwrDens,CommRfrgEPD,IllumSetptMin,IllumSetptMax,IllumSetptAdjFacPri,IllumSetptAdjFacSec,FuncSchGrp,OccSchRef,RecptSchRef,HotWtrHtgSchRef,IntLtgRegSchRef,GasEqpSchRef,CommRfrgEqpSchRef,InfSchRef,AvailSchRef,HtgTstatSchRef,ClgTstatSchRef,ElevSchRef,EscalSchRef,WtrHtrTempSetptSchRef,SpcFuncIdx,HlthCareEligible,; 
,//SpaceBySpace,,# per 1000 ft²,,Btu / occupant,Btu / occupant,Load W/ft²,Gal/h per person,,W/ft²,,W/ft²,,W/ft²,Hrs,Hrs,Btu/h-ft2,W/ft2,lux,lux,,,,Occupancy Schedule,Receptacle Schedule,Hot Water Schedule,Regulated Lighting Schedule,Gas Equipment Schedule,Refrigeration Schedule,Infiltration Schedule,Availability Sched,Heating Setpoint Schedule (F),Cooling Setpoint Schedule (F),Elevator Schedule,Escalator Schedule,Water Heater Temperature Setpoint Schedule,Space Function Index,Is Eligible for Healthcare Exemption,; 
,Museum Area (Restoration Room),Misc - General manufacturing (excludes heavy industrial and process using chemicals),10,0.5,250,250,1.5,0.18,Electric,0.75,Detailed Task Work (Note 7),0.2,0,0,150,150,0,0,150,500,1.5,2,Assembly,AssemblyOccupancy,AssemblyReceptacle,AssemblyServiceHotWater,AssemblyLights,AssemblyGasEquip,AssemblyRefrigeration,AssemblyInfiltration,AssemblyHVACAvail,AssemblyHtgSetpt,AssemblyClgSetpt,AssemblyElevator,AssemblyEscalator,AssemblyWtrHtrSetpt,238,1,; 
,Office Area (<250 square feet),Office - Office space,10,0.5,250,200,1.5,0.18,Electric,0.7,Portable lighting for office areas (Note 6),0.2,0,0,150,150,0,0,75,500,1.5,2,Office,OfficeOccupancy,OfficeReceptacle,OfficeServiceHotWater,OfficeLights,OfficeGasEquip,OfficeRefrigeration,OfficeInfiltration,OfficeHVACAvail,OfficeHtgSetpt,OfficeClgSetpt,OfficeElevator,OfficeEscalator,OfficeWtrHtrSetpt,239,1,; 
,Office Area (>250 square feet),Office - Office space,10,0.5,250,200,1.5,0.18,Electric,0.65,Portable lighting for office areas (Note 6),0.2,0,0,150,150,0,0,75,500,1,4,Office,OfficeOccupancy,OfficeReceptacle,OfficeServiceHotWater,OfficeLights,OfficeGasEquip,OfficeRefrigeration,OfficeInfiltration,OfficeHVACAvail,OfficeHtgSetpt,OfficeClgSetpt,OfficeElevator,OfficeEscalator,OfficeWtrHtrSetpt,240,1,; 
,Office Area (Open plan office),Office - Office space,10,0.5,250,200,1.5,0.18,Electric,0.6,Portable lighting for office areas (Note 6),0.2,0,0,150,150,0,0,75,500,1,4,Office,OfficeOccupancy,OfficeReceptacle,OfficeServiceHotWater,OfficeLights,OfficeGasEquip,OfficeRefrigeration,OfficeInfiltration,OfficeHVACAvail,OfficeHtgSetpt,OfficeClgSetpt,OfficeElevator,OfficeEscalator,OfficeWtrHtrSetpt,241,1,; 
,Parking Garage Area (Daylight Adaptation Zones),Exhaust - Parking garages,5,0.5,250,200,0,0,Electric,0.5,0,0,0,0,8760,8760,0,0,10,40,1.5,2,Parking,ParkingOccupancy,ParkingReceptacle,ParkingServiceHotWater,ParkingLights,ParkingGasEquip,ParkingRefrigeration,ParkingInfiltration,ParkingHVACAvail,ParkingHtgSetpt,ParkingClgSetpt,ParkingElevator,ParkingEscalator,ParkingWtrHtrSetpt,242,1,; 
,Parking Garage Area (Dedicated Ramps),Exhaust - Parking garages,5,0.5,250,200,0,0,Electric,0.25,0,0,0,0,8760,8760,0,0,10,40,1.5,2,Parking,ParkingOccupancy,ParkingReceptacle,ParkingServiceHotWater,ParkingLights,ParkingGasEquip,ParkingRefrigeration,ParkingInfiltration,ParkingHVACAvail,ParkingHtgSetpt,ParkingClgSetpt,ParkingElevator,ParkingEscalator,ParkingWtrHtrSetpt,243,1,; 
,Parking Garage Area (Parking Zone),Exhaust - Parking garages,5,0.5,250,200,0,0,Electric,0.1,First ATM (W),100,Additional ATM (50 W each),50,8760,8760,0,0,10,40,1.5,2,Parking,ParkingOccupancy,ParkingReceptacle,ParkingServiceHotWater,ParkingLights,ParkingGasEquip,ParkingRefrigeration,ParkingInfiltration,ParkingHVACAvail,ParkingHtgSetpt,ParkingClgSetpt,ParkingElevator,ParkingEscalator,ParkingWtrHtrSetpt,244,1,; 
,Pharmacy Area,Misc - Pharmacy (preparation area),10,0.5,250,200,5,0.18,Electric,1.1,Specialized Task Work (Note 8),0.35,0,0,150,150,0,1,100,1000,1.5,2,Retail,RetailOccupancy,RetailReceptacle,RetailServiceHotWater,RetailLights,RetailGasEquip,RetailRefrigeration,RetailInfiltration,RetailHVACAvail,RetailHtgSetpt,RetailClgSetpt,RetailElevator,RetailEscalator,RetailWtrHtrSetpt,245,1,; 
,Religious Worship Area,Assembly - Places of religious worship,142.86,0.5,245,105,0.5,0.09,Electric,0.95,Ornamental,0.3,0,0,150,150,0,0,200,1500,1.5,2,Assembly,AssemblyOccupancy,AssemblyReceptacle,AssemblyServiceHotWater,AssemblyLights,AssemblyGasEquip,AssemblyRefrigeration,AssemblyInfiltration,AssemblyHVACAvail,AssemblyHtgSetpt,AssemblyClgSetpt,AssemblyElevator,AssemblyEscalator,AssemblyWtrHtrSetpt,246,1,; 
,Restrooms,"Exhaust - Toilets, public",10,0.5,250,250,0,0,Gas,0.65,"Accent, display and feature (Note 3)",0.2,Decorative,0.15,8760,8760,0,0,50,100,1.5,2,Office,OfficeOccupancy,OfficeReceptacle,OfficeServiceHotWater,OfficeLights,OfficeGasEquip,OfficeRefrigeration,OfficeInfiltration,OfficeHVACAvail,OfficeHtgSetpt,OfficeClgSetpt,OfficeElevator,OfficeEscalator,OfficeWtrHtrSetpt,247,1,; 
,Retail Sales Area (Fitting Room),Retail - Sales,16.67,0.5,250,200,1,0.18,Electric,0.6,External Illuminated Mirror (Note5),40,Internal Illuminated Mirror (Note 5),120,150,150,0,0,100,1000,1.5,2,Retail,RetailOccupancy,RetailReceptacle,RetailServiceHotWater,RetailLights,RetailGasEquip,RetailRefrigeration,RetailInfiltration,RetailHVACAvail,RetailHtgSetpt,RetailClgSetpt,RetailElevator,RetailEscalator,RetailWtrHtrSetpt,248,1,; 
,Retail Sales Area (Grocery Sales),Retail - Supermarket,16.67,0.5,250,200,1,0.18,Gas,1.05,"Accent, display and feature (Note 3)",0.2,Decorative,0.15,150,150,0,5,100,1000,1.5,2,Retail,RetailOccupancy,RetailReceptacle,RetailServiceHotWater,RetailLights,RetailGasEquip,RetailRefrigeration,RetailInfiltration,RetailHVACAvail,RetailHtgSetpt,RetailClgSetpt,RetailElevator,RetailEscalator,RetailWtrHtrSetpt,249,1,; 
,Retail Sales Area (Retail Merchandise Sales),Retail - Sales,16.67,0.5,250,200,1,0.18,Electric,1,"Accent, display and feature (Note 3)",0.2,Decorative,0.15,150,150,0,0,100,1000,1.5,2,Retail,RetailOccupancy,RetailReceptacle,RetailServiceHotWater,RetailLights,RetailGasEquip,RetailRefrigeration,RetailInfiltration,RetailHVACAvail,RetailHtgSetpt,RetailClgSetpt,RetailElevator,RetailEscalator,RetailWtrHtrSetpt,250,1,; 
,Scientific Laboratory Area,Education - University/college laboratories,10,0.5,250,200,2,0.18,Gas,1,Specialized Task Work (Note 8),0.35,0,0,150,150,12.69264,0.28,500,1000,1.5,2,Laboratory,LaboratoryOccupancy,LaboratoryReceptacle,LaboratoryServiceHotWater,LaboratoryLights,LaboratoryGasEquip,LaboratoryRefrigeration,LaboratoryInfiltration,LaboratoryHVACAvail,LaboratoryHtgSetpt,LaboratoryClgSetpt,LaboratoryElevator,LaboratoryEscalator,LaboratoryWtrHtrSetpt,251,1,; 
,"Sports Arena - Playing Area (> 5,000 Spectators)","Sports/Entertainment - Gym, sports arena (play area)",80,0.5,255,875,0.5,0.18,Gas,2.25,0,0,0,0,150,150,0,0,150,400,1.5,2,Retail,RetailOccupancy,RetailReceptacle,RetailServiceHotWater,RetailLights,RetailGasEquip,RetailRefrigeration,RetailInfiltration,RetailHVACAvail,RetailHtgSetpt,RetailClgSetpt,RetailElevator,RetailEscalator,RetailWtrHtrSetpt,252,0,; 
,"Sports Arena - Playing Area (2,000 - 5,000 Spectators)","Sports/Entertainment - Gym, sports arena (play area)",66.67,0.5,255,875,0.5,0.18,Gas,1.45,0,0,0,0,150,150,0,0,150,400,1.5,2,Retail,RetailOccupancy,RetailReceptacle,RetailServiceHotWater,RetailLights,RetailGasEquip,RetailRefrigeration,RetailInfiltration,RetailHVACAvail,RetailHtgSetpt,RetailClgSetpt,RetailElevator,RetailEscalator,RetailWtrHtrSetpt,253,0,; 
,"Sports Arena - Playing Area (< 2,000 Spectators)","Sports/Entertainment - Gym, sports arena (play area)",50,0.5,255,875,0.5,0.18,Gas,1.1,0,0,0,0,150,150,0,0,150,400,1.5,2,Retail,RetailOccupancy,RetailReceptacle,RetailServiceHotWater,RetailLights,RetailGasEquip,RetailRefrigeration,RetailInfiltration,RetailHVACAvail,RetailHtgSetpt,RetailClgSetpt,RetailElevator,RetailEscalator,RetailWtrHtrSetpt,254,0,; 
,Sports Arena - Playing Area (Recreational),"Sports/Entertainment - Gym, sports arena (play area)",20,0.5,255,875,0.2,0.9,Gas,0.75,0,0,0,0,150,150,0,0,150,400,1.5,2,Retail,RetailOccupancy,RetailReceptacle,RetailServiceHotWater,RetailLights,RetailGasEquip,RetailRefrigeration,RetailInfiltration,RetailHVACAvail,RetailHtgSetpt,RetailClgSetpt,RetailElevator,RetailEscalator,RetailWtrHtrSetpt,255,1,; 
,Stairwell,General - Corridors,10,0.5,250,250,0,0,Electric,0.5,"Accent, display and feature (Note 3)",0.2,Decorative (Note 4),0.15,8760,8760,0,0,50,100,1.5,2,Office,OfficeOccupancy,OfficeReceptacle,OfficeServiceHotWater,OfficeLights,OfficeGasEquip,OfficeRefrigeration,OfficeInfiltration,OfficeHVACAvail,OfficeHtgSetpt,OfficeClgSetpt,OfficeElevator,OfficeEscalator,OfficeWtrHtrSetpt,256,1,; 
,Theater Area (Motion Picture),Assembly - Auditorium seating area ,142.86,0.5,245,105,0.5,0.09,Electric,0.6,Ornamental,0.3,0,0,150,150,0,0,2,50,1.5,2,Assembly,AssemblyOccupancy,AssemblyReceptacle,AssemblyServiceHotWater,AssemblyLights,AssemblyGasEquip,AssemblyRefrigeration,AssemblyInfiltration,AssemblyHVACAvail,AssemblyHtgSetpt,AssemblyClgSetpt,AssemblyElevator,AssemblyEscalator,AssemblyWtrHtrSetpt,257,1,; 
,Theater Area (Performance),"Sports/Entertainment - Stages, studios",142.86,0.5,245,105,0.5,0.09,Gas,1,Ornamental,0.3,0,0,150,150,0,0,2,200,1.5,2,Assembly,AssemblyOccupancy,AssemblyReceptacle,AssemblyServiceHotWater,AssemblyLights,AssemblyGasEquip,AssemblyRefrigeration,AssemblyInfiltration,AssemblyHVACAvail,AssemblyHtgSetpt,AssemblyClgSetpt,AssemblyElevator,AssemblyEscalator,AssemblyWtrHtrSetpt,258,1,; 
,Transportation Function (Baggage Area),Misc - Transportation waiting,33.33,0.5,250,250,0.5,0.18,Electric,0.4,0,0,0,0,150,150,0,0,50,500,1.5,2,Assembly,AssemblyOccupancy,AssemblyReceptacle,AssemblyServiceHotWater,AssemblyLights,AssemblyGasEquip,AssemblyRefrigeration,AssemblyInfiltration,AssemblyHVACAvail,AssemblyHtgSetpt,AssemblyClgSetpt,AssemblyElevator,AssemblyEscalator,AssemblyWtrHtrSetpt,259,0,; 
,Transportation Function (Ticketing Area),Misc - Transportation waiting,33.33,0.5,250,250,0.5,0.18,Electric,0.45,"Accent, display and feature (Note 3)",0.2,0,0,150,150,0,0,50,500,1.5,2,Assembly,AssemblyOccupancy,AssemblyReceptacle,AssemblyServiceHotWater,AssemblyLights,AssemblyGasEquip,AssemblyRefrigeration,AssemblyInfiltration,AssemblyHVACAvail,AssemblyHtgSetpt,AssemblyClgSetpt,AssemblyElevator,AssemblyEscalator,AssemblyWtrHtrSetpt,260,0,; 
,Unleased Tenant Area,Office - Office space,10,0.5,250,200,1.5,0.18,Electric,0.4,0,0,0,0,150,150,0,0,75,500,1,4,Office,OfficeOccupancy,OfficeReceptacle,OfficeServiceHotWater,OfficeLights,OfficeGasEquip,OfficeRefrigeration,OfficeInfiltration,OfficeHVACAvail,OfficeHtgSetpt,OfficeClgSetpt,OfficeElevator,OfficeEscalator,OfficeWtrHtrSetpt,261,1,; 
,Unoccupied-Exclude from Gross Floor Area,NA,0,0.5,250,250,0,0,Gas,0,0,0,0,0,8760,8760,0,0,0,0,0,0,Unoccupied,UnoccupiedOccupancy,UnoccupiedReceptacle,UnoccupiedServiceHotWater,UnoccupiedLights,UnoccupiedGasEquip,UnoccupiedRefrigeration,UnoccupiedInfiltration,UnoccupiedHVACAvail,UnoccupiedHtgSetpt,UnoccupiedClgSetpt,UnoccupiedElevator,UnoccupiedEscalator,UnoccupiedWtrHtrSetpt,262,1,; 
,Unoccupied-Include in Gross Floor Area,NA,0,0.5,250,250,0,0,Gas,0,0,0,0,0,8760,8760,0,0,0,0,0,0,Unoccupied,UnoccupiedOccupancy,UnoccupiedReceptacle,UnoccupiedServiceHotWater,UnoccupiedLights,UnoccupiedGasEquip,UnoccupiedRefrigeration,UnoccupiedInfiltration,UnoccupiedHVACAvail,UnoccupiedHtgSetpt,UnoccupiedClgSetpt,UnoccupiedElevator,UnoccupiedEscalator,UnoccupiedWtrHtrSetpt,263,1,; 
,Videoconferencing Studio,General - Conference/meeting,10,0.5,250,200,1.5,0.18,Electric,0.9,Videoconferencing,1,0,0,150,150,0,0,300,300,1.5,2,Office,OfficeOccupancy,OfficeReceptacle,OfficeServiceHotWater,OfficeLights,OfficeGasEquip,OfficeRefrigeration,OfficeInfiltration,OfficeHVACAvail,OfficeHtgSetpt,OfficeClgSetpt,OfficeElevator,OfficeEscalator,OfficeWtrHtrSetpt,264,1,; 
,Aging Eye/Low-vision (Corridor Area),General - Corridors,10,0.5,250,250,0,0,Electric,0.8,Decorative (Note 4),0.15,0,0,150,150,0,0,50,100,1.5,2,Office,OfficeOccupancy,OfficeReceptacle,OfficeServiceHotWater,OfficeLights,OfficeGasEquip,OfficeRefrigeration,OfficeInfiltration,OfficeHVACAvail,OfficeHtgSetpt,OfficeClgSetpt,OfficeElevator,OfficeEscalator,OfficeWtrHtrSetpt,269,1,; 
,Aging Eye/Low-vision (Dining),Food Service - Cafeteria/fast-food dining,66.67,0.5,275,275,0.5,0.578,Gas,0.8,Ornamental,0.3,0,0,150,150,0,0.25,50,200,1.5,2,Restaurant,RestaurantOccupancy,RestaurantReceptacle,RestaurantServiceHotWater,RestaurantLights,RestaurantGasEquip,RestaurantRefrigeration,RestaurantInfiltration,RestaurantHVACAvail,RestaurantHtgSetpt,RestaurantClgSetpt,RestaurantElevator,RestaurantEscalator,RestaurantWtrHtrSetpt,270,1,; 
,Aging Eye/Low-vision (Lounge/Waiting Area),General - Break rooms,66.67,0.5,275,275,1,0.09,Gas,0.75,Ornamental,0.3,0,0,150,150,0,0,40,300,1.5,2,Assembly,AssemblyOccupancy,AssemblyReceptacle,AssemblyServiceHotWater,AssemblyLights,AssemblyGasEquip,AssemblyRefrigeration,AssemblyInfiltration,AssemblyHVACAvail,AssemblyHtgSetpt,AssemblyClgSetpt,AssemblyElevator,AssemblyEscalator,AssemblyWtrHtrSetpt,271,1,; 
,Aging Eye/Low-vision (Main Entry Lobby),Office - Main entry lobbies,66.67,0.5,250,250,0.5,0.09,Electric,0.85,Ornamental,0.3,Transition Lighitng OFF at night (Note 12),0.95,150,150,0,0,50,200,1.5,2,Assembly,AssemblyOccupancy,AssemblyReceptacle,AssemblyServiceHotWater,AssemblyLights,AssemblyGasEquip,AssemblyRefrigeration,AssemblyInfiltration,AssemblyHVACAvail,AssemblyHtgSetpt,AssemblyClgSetpt,AssemblyElevator,AssemblyEscalator,AssemblyWtrHtrSetpt,272,1,; 
,Aging Eye/Low-vision (Multipurpose Room),General - Conference/meeting,66.67,0.5,245,155,1,0.09,Electric,0.95,Ornamental,0.3,0,0,150,150,0,0,30,300,1.5,2,Assembly,AssemblyOccupancy,AssemblyReceptacle,AssemblyServiceHotWater,AssemblyLights,AssemblyGasEquip,AssemblyRefrigeration,AssemblyInfiltration,AssemblyHVACAvail,AssemblyHtgSetpt,AssemblyClgSetpt,AssemblyElevator,AssemblyEscalator,AssemblyWtrHtrSetpt,273,1,; 
,Aging Eye/Low-vision (Religious Worship Area),Assembly - Places of religious worship,142.86,0.5,245,105,0.5,0.09,Electric,1,Ornamental,0.3,0,0,150,150,0,0,200,1500,1.5,2,Assembly,AssemblyOccupancy,AssemblyReceptacle,AssemblyServiceHotWater,AssemblyLights,AssemblyGasEquip,AssemblyRefrigeration,AssemblyInfiltration,AssemblyHVACAvail,AssemblyHtgSetpt,AssemblyClgSetpt,AssemblyElevator,AssemblyEscalator,AssemblyWtrHtrSetpt,274,1,; 
,Aging Eye/Low-vision (Restroom),"Exhaust - Toilets, public",10,0.5,250,250,0,0,Gas,0.8,"Accent, display and feature (Note 3)",0.2,0,0,150,150,0,0,50,100,1.5,2,Office,OfficeOccupancy,OfficeReceptacle,OfficeServiceHotWater,OfficeLights,OfficeGasEquip,OfficeRefrigeration,OfficeInfiltration,OfficeHVACAvail,OfficeHtgSetpt,OfficeClgSetpt,OfficeElevator,OfficeEscalator,OfficeWtrHtrSetpt,275,1,; 
,Aging Eye/Low-vision (Stairwell),General - Corridors,10,0.5,250,250,0,0,Electric,0.8,0,0,0,0,150,150,0,0,50,100,1.5,2,Office,OfficeOccupancy,OfficeReceptacle,OfficeServiceHotWater,OfficeLights,OfficeGasEquip,OfficeRefrigeration,OfficeInfiltration,OfficeHVACAvail,OfficeHtgSetpt,OfficeClgSetpt,OfficeElevator,OfficeEscalator,OfficeWtrHtrSetpt,276,1,; 
,All other,Misc - All others,10,0.5,250,200,1,0.18,Gas,0.4,0,0,0,0,150,150,0,0,100,300,1.5,2,Office,OfficeOccupancy,OfficeReceptacle,OfficeServiceHotWater,OfficeLights,OfficeGasEquip,OfficeRefrigeration,OfficeInfiltration,OfficeHVACAvail,OfficeHtgSetpt,OfficeClgSetpt,OfficeElevator,OfficeEscalator,OfficeWtrHtrSetpt,201,1,; 
,"_Invalid from 2016 - Corridors, Restrooms, Stairs, and Support Areas",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0Occupancy,0Receptacle,0ServiceHotWater,0Lights,0GasEquip,0Refrigeration,0Infiltration,0HVACAvail,0HtgSetpt,0ClgSetpt,0Elevator,0Escalator,0WtrHtrSetpt,265,0,; 
,_Invalid from 2016 - Police Station and Fire Station,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0Occupancy,0Receptacle,0ServiceHotWater,0Lights,0GasEquip,0Refrigeration,0Infiltration,0HVACAvail,0HtgSetpt,0ClgSetpt,0Elevator,0Escalator,0WtrHtrSetpt,266,0,; 
,"_Invalid from 2016 - Housing, Public and Common Areas: Multi-family, Dormitory",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0Occupancy,0Receptacle,0ServiceHotWater,0Lights,0GasEquip,0Refrigeration,0Infiltration,0HVACAvail,0HtgSetpt,0ClgSetpt,0Elevator,0Escalator,0WtrHtrSetpt,267,0,; 
,"_Invalid from 2016 - Housing, Public and Common Areas: Senior Housing",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0Occupancy,0Receptacle,0ServiceHotWater,0Lights,0GasEquip,0Refrigeration,0Infiltration,0HVACAvail,0HtgSetpt,0ClgSetpt,0Elevator,0Escalator,0WtrHtrSetpt,268,0,; 
ENDTABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//,,,,,,,,,,,,,,,,,,,,,,,,Occupancy,Receptacle,ServiceHotWater,Lights,GasEquip,Refrigeration,Infiltration,HVACAvail,HtgSetpt,ClgSetpt,Elevator,Escalator,WtrHtrSetpt,,,
