,,draft,SingleFam,*,7,Proposed,Proposed,Gas,Electricity,0,0,0,0,default,-1,-1,-1,,,
,,draft,SingleFam,*,8,Proposed,Proposed,Gas,Electricity,0,0,0,0,default,-1,-1,-1,,,
,,draft,SingleFam,*,9,Proposed,Proposed,Gas,Electricity,0,0,0,0,default,-1,-1,-1,,,
,,draft,SingleFam,*,10,Proposed,Proposed,Gas,Electricity,0,0,0,0,default,-1,-1,-1,,,
,,draft,SingleFam,*,11,Proposed,Proposed,Gas,Electricity,0,0,0,0,default,-1,-1,-1,,,
,,draft,SingleFam,*,12,Proposed,Proposed,Gas,Electricity,0,0,0,0,default,-1,-1,-1,,,
,,draft,SingleFam,*,13,Proposed,Proposed,Gas,Electricity,0,0,0,0,default,-1,-1,-1,,,
,,draft,SingleFam,*,14,Proposed,Proposed,Gas,Electricity,0,0,0,0,default,-1,-1,-1,,,
,,draft,SingleFam,*,15,Proposed,Proposed,Gas,Electricity,0,0,0,0,default,-1,-1,-1,,,
,,draft,SingleFam,*,16,Proposed,Proposed,Gas,Electricity,0.7,1,0,0,default,-1,-1,-1,,,
,,draft,MultiFam,*,1,Proposed,Proposed,Electricity,Proposed,0,0,0,0,default,-1,-1,-1,;,All MFam models,
,,draft,MultiFam,*,2,Proposed,Proposed,Electricity,Proposed,0,0,0,0,default,-1,-1,-1,,,
,,draft,MultiFam,*,3,Proposed,Proposed,Electricity,Proposed,0,0,0,0,default,-1,-1,-1,,,
,,draft,MultiFam,*,4,Proposed,Proposed,Electricity,Proposed,0,0,0,0,Balanced,0.4,-1,-1,,,
,,draft,MultiFam,*,5,Proposed,Proposed,Electricity,Proposed,0,0,0,0,Balanced,0.4,-1,-1,,,
,,draft,MultiFam,*,6,Proposed,Proposed,Electricity,Proposed,0,0,0,0,Balanced,0.4,-1,-1,,,
,,draft,MultiFam,*,7,Proposed,Proposed,Electricity,Proposed,0,0,0,0,Balanced,0.4,-1,-1,,,
,,draft,MultiFam,*,8,Proposed,Proposed,Electricity,Proposed,0,0,0,0,Balanced,0.4,-1,-1,,,
,,draft,MultiFam,*,9,Proposed,Proposed,Electricity,Proposed,0,0,0,0,Balanced,0.4,-1,-1,,,
,,draft,MultiFam,*,10,Proposed,Proposed,Electricity,Proposed,0,0,0,0,Balanced,0.4,-1,-1,,,
,,draft,MultiFam,*,11,Proposed,Proposed,Electricity,Proposed,0,0,0,0,default,-1,-1,-1,,,
,,draft,MultiFam,*,12,Proposed,Proposed,Electricity,Proposed,0,0,0,0,default,-1,-1,-1,,,
,,draft,MultiFam,*,13,Proposed,Proposed,Electricity,Proposed,0,0,0,0,default,-1,-1,-1,,,
,,draft,MultiFam,*,14,Proposed,Proposed,Electricity,Proposed,0,0,0,0,Bal w/ Ht Recov,0.6,67,72,,,
,,draft,MultiFam,*,15,Proposed,Proposed,Electricity,Proposed,0,0,0,0,Bal w/ Ht Recov,0.6,67,72,,,
,,draft,MultiFam,*,16,Proposed,Proposed,Gas,Proposed,0,0,0,0,default,-1,-1,-1,,,
,,*,*,*,*,Proposed,Proposed,Proposed,Proposed,0,0,0,0,default,-1,-1,-1,;,error (no match found),
,ENDTABLE,,,,,,,,,,,,,,,,,,,
