; Use with 2009 calendar year and updated CEC weather data,,,,,,,,,,,,,,,,
; Version ID: 2019 TDV RESOLVE GHG Only,,,,,,,,,,,,,,,,
; MoDaHr,Electricity TDV (CZ1; kBtu/kWh),Electricity TDV (CZ2; kBtu/kWh),Electricity TDV (CZ3; kBtu/kWh),Electricity TDV (CZ4; kBtu/kWh),Electricity TDV (CZ5; kBtu/kWh),Electricity TDV (CZ6; kBtu/kWh),Electricity TDV (CZ7; kBtu/kWh),Electricity TDV (CZ8; kBtu/kWh),Electricity TDV (CZ9; kBtu/kWh),Electricity TDV (CZ10; kBtu/kWh),Electricity TDV (CZ11; kBtu/kWh),Electricity TDV (CZ12; kBtu/kWh),Electricity TDV (CZ13; kBtu/kWh),Electricity TDV (CZ14; kBtu/kWh),Electricity TDV (CZ15; kBtu/kWh),Electricity TDV (CZ16; kBtu/kWh)
10206,4.503765555,4.503765555,4.503765555,4.503765555,4.503765555,4.430945777,4.430945777,4.430945777,4.430945777,4.430945777,4.503765555,4.503765555,4.503765555,4.430945777,4.430945777,4.430945777
10207,4.527694475,4.527694475,4.527694475,4.527694475,4.527694475,4.623455863,4.623455863,4.623455863,4.623455863,4.623455863,4.527694475,4.527694475,4.527694475,4.623455863,4.623455863,4.623455863
10208,4.530052672,4.530052672,4.530052672,4.530052672,4.530052672,4.624012018,4.624012018,4.624012018,4.624012018,4.624012018,4.530052672,4.530052672,4.530052672,4.624012018,4.624012018,4.624012018
10209,4.502492093,4.502492093,4.502492093,4.502492093,4.502492093,4.440521786,4.440521786,4.440521786,4.440521786,4.440521786,4.502492093,4.502492093,4.502492093,4.440521786,4.440521786,4.440521786
10210,4.472222913,4.472222913,4.472222913,4.472222913,4.472222913,4.183593609,4.183593609,4.183593609,4.183593609,4.183593609,4.472222913,4.472222913,4.472222913,4.183593609,4.183593609,4.183593609
10211,4.47241053,4.47241053,4.47241053,4.47241053,4.47241053,0.062360832,0.062360832,0.062360832,0.062360832,0.062360832,4.47241053,4.47241053,4.47241053,0.062360832,0.062360832,0.062360832
10212,4.472957211,4.472957211,4.472957211,4.472957211,4.472957211,4.309039222,4.309039222,4.309039222,4.309039222,4.309039222,4.472957211,4.472957211,4.472957211,4.309039222,4.309039222,4.309039222
10213,4.473698502,4.473698502,4.473698502,4.473698502,4.473698502,4.311987574,4.311987574,4.311987574,4.311987574,4.311987574,4.473698502,4.473698502,4.473698502,4.311987574,4.311987574,4.311987574
10214,4.473072236,4.473072236,4.473072236,4.473072236,4.473072236,0.06278784,0.06278784,0.06278784,0.06278784,0.06278784,4.473072236,4.473072236,4.473072236,0.06278784,0.06278784,0.06278784
10215,4.472393302,4.472393302,4.472393302,4.472393302,4.472393302,4.331560427,4.331560427,4.331560427,4.331560427,4.331560427,4.472393302,4.472393302,4.472393302,4.331560427,4.331560427,4.331560427
10216,4.526864229,4.526864229,4.526864229,4.526864229,4.526864229,4.496340485,4.496340485,4.496340485,4.496340485,4.496340485,4.526864229,4.526864229,4.526864229,4.496340485,4.496340485,4.496340485
10217,4.533145986,4.533145986,4.533145986,4.533145986,4.533145986,4.641528973,4.641528973,4.641528973,4.641528973,4.641528973,4.533145986,4.533145986,4.533145986,4.641528973,4.641528973,4.641528973
10218,4.760158361,4.760158361,4.760158361,4.760158361,4.760158361,4.87135408,4.87135408,4.87135408,4.87135408,4.87135408,4.760158361,4.760158361,4.760158361,4.87135408,4.87135408,4.87135408
10219,4.760573369,4.760573369,4.760573369,4.760573369,4.760573369,4.936924888,4.936924888,4.936924888,4.936924888,4.936924888,4.760573369,4.760573369,4.760573369,4.936924888,4.936924888,4.936924888
10220,4.760409297,4.760409297,4.760409297,4.760409297,4.760409297,4.938067663,4.938067663,4.938067663,4.938067663,4.938067663,4.760409297,4.760409297,4.760409297,4.938067663,4.938067663,4.938067663
10221,4.760900905,4.760900905,4.760900905,4.760900905,4.760900905,4.883536209,4.883536209,4.883536209,4.883536209,4.883536209,4.760900905,4.760900905,4.760900905,4.883536209,4.883536209,4.883536209
10222,4.552582159,4.552582159,4.552582159,4.552582159,4.552582159,4.643100591,4.643100591,4.643100591,4.643100591,4.643100591,4.552582159,4.552582159,4.552582159,4.643100591,4.643100591,4.643100591
10223,4.534766803,4.534766803,4.534766803,4.534766803,4.534766803,4.617072215,4.617072215,4.617072215,4.617072215,4.617072215,4.534766803,4.534766803,4.534766803,4.617072215,4.617072215,4.617072215
10224,4.529658338,4.529658338,4.529658338,4.529658338,4.529658338,4.454397882,4.454397882,4.454397882,4.454397882,4.454397882,4.529658338,4.529658338,4.529658338,4.454397882,4.454397882,4.454397882
10301,4.611002232,4.611002232,4.611002232,4.611002232,4.611002232,4.461898795,4.461898795,4.461898795,4.461898795,4.461898795,4.611002232,4.611002232,4.611002232,4.461898795,4.461898795,4.461898795
10302,4.383024455,4.383024455,4.383024455,4.383024455,4.383024455,4.293118538,4.293118538,4.293118538,4.293118538,4.293118538,4.383024455,4.383024455,4.383024455,4.293118538,4.293118538,4.293118538
10303,4.249188619,4.249188619,4.249188619,4.249188619,4.249188619,4.178660842,4.178660842,4.178660842,4.178660842,4.178660842,4.249188619,4.249188619,4.249188619,4.178660842,4.178660842,4.178660842
10304,4.167141542,4.167141542,4.167141542,4.167141542,4.167141542,0.126050366,0.126050366,0.126050366,0.126050366,0.126050366,4.167141542,4.167141542,4.167141542,0.126050366,0.126050366,0.126050366
10305,4.253644565,4.253644565,4.253644565,4.253644565,4.253644565,0.127253356,0.127253356,0.127253356,0.127253356,0.127253356,4.253644565,4.253644565,4.253644565,0.127253356,0.127253356,0.127253356
10306,4.500427286,4.500427286,4.500427286,4.500427286,4.500427286,4.34496159,4.34496159,4.34496159,4.34496159,4.34496159,4.500427286,4.500427286,4.500427286,4.34496159,4.34496159,4.34496159
10307,4.797772827,4.797772827,4.797772827,4.797772827,4.797772827,4.75144173,4.75144173,4.75144173,4.75144173,4.75144173,4.797772827,4.797772827,4.797772827,4.75144173,4.75144173,4.75144173
10308,5.007537809,5.007537809,5.007537809,5.007537809,5.007537809,4.962257891,4.962257891,4.962257891,4.962257891,4.962257891,5.007537809,5.007537809,5.007537809,4.962257891,4.962257891,4.962257891
10309,4.676440869,4.676440869,4.676440869,4.676440869,4.676440869,4.366025283,4.366025283,4.366025283,4.366025283,4.366025283,4.676440869,4.676440869,4.676440869,4.366025283,4.366025283,4.366025283
10310,4.166275245,4.166275245,4.166275245,4.166275245,4.166275245,0.123462709,0.123462709,0.123462709,0.123462709,0.123462709,4.166275245,4.166275245,4.166275245,0.123462709,0.123462709,0.123462709
10311,4.16492476,4.16492476,4.16492476,4.16492476,4.16492476,0.121005871,0.121005871,0.121005871,0.121005871,0.121005871,4.16492476,4.16492476,4.16492476,0.121005871,0.121005871,0.121005871
10312,0.123596323,0.123596323,0.123596323,0.123596323,0.123596323,0.027851598,0.027851598,0.027851598,0.027851598,0.027851598,0.123596323,0.123596323,0.123596323,0.027851598,0.027851598,0.027851598
10313,0.125189449,0.125189449,0.125189449,0.125189449,0.125189449,0.029653304,0.029653304,0.029653304,0.029653304,0.029653304,0.125189449,0.125189449,0.125189449,0.029653304,0.029653304,0.029653304
10314,4.164292633,4.164292633,4.164292633,4.164292633,4.164292633,0.029465297,0.029465297,0.029465297,0.029465297,0.029465297,4.164292633,4.164292633,4.164292633,0.029465297,0.029465297,0.029465297
10315,4.164103083,4.164103083,4.164103083,4.164103083,4.164103083,0.029581701,0.029581701,0.029581701,0.029581701,0.029581701,4.164103083,4.164103083,4.164103083,0.029581701,0.029581701,0.029581701
10316,4.499821882,4.499821882,4.499821882,4.499821882,4.499821882,4.403475391,4.403475391,4.403475391,4.403475391,4.403475391,4.499821882,4.499821882,4.499821882,4.403475391,4.403475391,4.403475391
10317,5.086342875,5.086342875,5.086342875,5.086342875,5.086342875,5.122255786,5.122255786,5.122255786,5.122255786,5.122255786,5.086342875,5.086342875,5.086342875,5.122255786,5.122255786,5.122255786
