,,Year,InsDp,InsDp,InsDp,InsDp,InsDp,InsDp,InsDp,InsDp,InsDp,InsDp,InsDp,InsDp,InsDp,InsDp,InsDp,InsDp,;,CZ 1,CZ 2,CZ 3,CZ 4,CZ 5,CZ 6,CZ 7,CZ 8,CZ 9,CZ 10,CZ 11,CZ 12,CZ 13,CZ 14,CZ 15,CZ 16,,,CZ 1,CZ 2,CZ 3,CZ 4,CZ 5,CZ 6,CZ 7,CZ 8,CZ 9,CZ 10,CZ 11,CZ 12,CZ 13,CZ 14,CZ 15,CZ 16,,,,,
,,<=2000,12.67,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,12.67,12.67,12.67,12.67,12.67,12.67,;,38,30,30,30,30,30,30,30,30,30,38,38,38,38,38,38,R-value,,38,30,30,30,30,30,30,30,30,30,38,38,38,38,38,38,R-value,,,Roof data ->,Attic:Construction:CavityLayer
,,<=2003,12.67,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,12.67,12.67,12.67,12.67,12.67,12.67,;,38,30,30,30,30,30,30,30,30,30,38,38,38,38,38,38,R-value,,38,30,30,30,30,30,30,30,30,30,38,38,38,38,38,38,R-value,,,,CathedralCeiling:Construction:CavityLayer
,,<=2005,12.67,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,12.67,12.67,12.67,12.67,12.67,12.67,;,38,30,30,30,30,30,30,30,30,30,38,38,38,38,38,38,R-value,,38,30,30,30,30,30,30,30,30,30,38,38,38,38,38,38,R-value,,,ExtFlr data ->,ExtWall:Construction:CavityLayer
,,*,12.67,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,12.67,12.67,12.67,12.67,12.67,12.67,;,38,30,30,30,30,30,30,30,30,30,38,38,38,38,38,38,R-value,,38,30,30,30,30,30,30,30,30,30,38,38,38,38,38,38,R-value,,,,FloorOverCrawl:Construction:CavityLayer
,ENDTABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TABLE ExEDR_ExtWallCavityRValue,,,,,,,,,,,,,,,,,,;,Cavity R-value (Using JA 4.2 Table 4.3.1),,,,,,,,,,,,,,,,,,Source data: cavity U-value,,,,,,,,,,,,,,,,,,,,
,,Year,CavRVal,CavRVal,CavRVal,CavRVal,CavRVal,CavRVal,CavRVal,CavRVal,CavRVal,CavRVal,CavRVal,CavRVal,CavRVal,CavRVal,CavRVal,CavRVal,;,CZ 1,CZ 2,CZ 3,CZ 4,CZ 5,CZ 6,CZ 7,CZ 8,CZ 9,CZ 10,CZ 11,CZ 12,CZ 13,CZ 14,CZ 15,CZ 16,,,CZ 1,CZ 2,CZ 3,CZ 4,CZ 5,CZ 6,CZ 7,CZ 8,CZ 9,CZ 10,CZ 11,CZ 12,CZ 13,CZ 14,CZ 15,CZ 16,,,,,
,,ClimZone =,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,<=1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R-value,,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,U-value,,,Year for EWall & ExtFlr  =>  Proj:YearEnvelope,
,,<=1983,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,;,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,R-value,,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,U-value,,,Year for Roof/CathClg  =>  Proj:YearRoof,
,,<=1991,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,;,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,R-value,,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,U-value,,,,
