;,B,B,B,C,C,C,D,D,D,E,E,E,F,F,F,G,G,G,H,H,H,I,I,I,J,J,J,K,K,K,L,L,L,M,M,M,N,N,N,O,O,O,P,P,P,Q,Q,Q
;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,CZ:,1,,CZ:,2,,CZ:,3,,CZ:,4,,CZ:,5,,CZ:,6,,CZ:,7,,CZ:,8,,CZ:,9,,CZ:,10,,CZ:,11,,CZ:,12,,CZ:,13,,CZ:,14,,CZ:,15,,CZ:,16,
;,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; MoDaHr,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm
10109,27.0490489,268.71,435.87,26.8138932,268.71,435.87,26.9876149,268.71,435.87,26.8248148,268.71,435.87,26.9603109,268.71,435.87,23.3442374,270.99,435.87,23.9425363,264.31,435.87,23.0101047,270.99,435.87,22.8855302,270.99,435.87,22.9090799,270.99,435.87,26.7469984,268.71,435.87,26.7756676,268.71,435.87,26.9254983,268.71,435.87,23.0575454,270.99,435.87,23.1456008,270.99,435.87,24.1773507,270.99,435.87
10110,24.1152341,268.71,435.87,23.8800784,268.71,435.87,24.0538001,268.71,435.87,23.891,268.71,435.87,24.0261548,268.71,435.87,21.7694792,270.99,435.87,22.3698259,264.31,435.87,21.4353465,270.99,435.87,21.310772,270.99,435.87,21.3339804,270.99,435.87,23.8131836,268.71,435.87,23.8418528,268.71,435.87,23.9916835,268.71,435.87,21.4824459,270.99,435.87,21.5708426,270.99,435.87,22.6022512,270.99,435.87
10111,24.1381012,268.71,435.87,23.9032868,268.71,435.87,24.0770085,268.71,435.87,23.9142084,268.71,435.87,24.0493632,268.71,435.87,21.3923427,270.99,435.87,21.993372,264.31,435.87,21.05821,270.99,435.87,20.9336355,270.99,435.87,20.9568439,270.99,435.87,23.8360507,268.71,435.87,23.8650612,268.71,435.87,24.0145506,268.71,435.87,21.1053094,270.99,435.87,21.1937061,270.99,435.87,22.2251147,270.99,435.87
10112,24.1121624,268.71,435.87,23.8770067,268.71,435.87,24.0507284,268.71,435.87,23.8879283,268.71,435.87,24.0230831,268.71,435.87,20.4756109,270.99,435.87,21.0783467,264.31,435.87,20.1414782,270.99,435.87,20.0169037,270.99,435.87,20.0401121,270.99,435.87,23.8101119,268.71,435.87,23.8387811,268.71,435.87,23.9886118,268.71,435.87,20.1885776,270.99,435.87,20.2769743,270.99,435.87,21.3083829,270.99,435.87
10113,24.1012408,268.71,435.87,23.8660851,268.71,435.87,24.0398068,268.71,435.87,23.8770067,268.71,435.87,24.0121615,268.71,435.87,20.5278298,270.99,435.87,21.1302243,264.31,435.87,20.1936971,270.99,435.87,20.0687813,270.99,435.87,20.092331,270.99,435.87,23.7991903,268.71,435.87,23.8278595,268.71,435.87,23.9776902,268.71,435.87,20.2407965,270.99,435.87,20.3288519,270.99,435.87,21.3606018,270.99,435.87
10114,24.0916844,268.71,435.87,23.85687,268.71,435.87,24.0305917,268.71,435.87,23.8677916,268.71,435.87,24.0029464,268.71,435.87,20.7073536,270.99,435.87,21.3094068,264.31,435.87,20.3732209,270.99,435.87,20.2486464,270.99,435.87,20.2718548,270.99,435.87,23.7896339,268.71,435.87,23.8186444,268.71,435.87,23.9681338,268.71,435.87,20.4203203,270.99,435.87,20.508717,270.99,435.87,21.5401256,270.99,435.87
10115,24.0947561,268.71,435.87,23.8596004,268.71,435.87,24.0333221,268.71,435.87,23.870522,268.71,435.87,24.0060181,268.71,435.87,21.7295471,270.99,435.87,22.3298938,264.31,435.87,21.3954144,270.99,435.87,21.2708399,270.99,435.87,21.2940483,270.99,435.87,23.7927056,268.71,435.87,23.8213748,268.71,435.87,23.9712055,268.71,435.87,21.4425138,270.99,435.87,21.5309105,270.99,435.87,22.5623191,270.99,435.87
10116,25.4640517,268.71,435.87,25.2292373,268.71,435.87,25.402959,268.71,435.87,25.2401589,268.71,435.87,25.3753137,268.71,435.87,24.7667758,270.99,435.87,25.3626856,264.31,435.87,24.4326431,270.99,435.87,24.3077273,270.99,435.87,24.331277,270.99,435.87,25.1620012,268.71,435.87,25.1910117,268.71,435.87,25.3405011,268.71,435.87,24.4797425,270.99,435.87,24.5681392,270.99,435.87,25.5995478,270.99,435.87
10117,28.5691991,268.71,435.87,28.3340434,268.71,435.87,28.5077651,268.71,435.87,28.344965,268.71,435.87,28.4801198,268.71,435.87,27.6603172,270.99,435.87,28.2531553,264.31,435.87,27.3261845,270.99,435.87,27.20161,270.99,435.87,27.2248184,270.99,435.87,28.2671486,268.71,435.87,28.2958178,268.71,435.87,28.4456485,268.71,435.87,27.3732839,270.99,435.87,27.4616806,270.99,435.87,28.4930892,270.99,435.87
10118,28.5620318,268.71,435.87,28.3268761,268.71,435.87,28.5005978,268.71,435.87,28.3377977,268.71,435.87,28.4729525,268.71,435.87,27.6821604,270.99,435.87,28.2749985,264.31,435.87,27.3480277,270.99,435.87,27.2234532,270.99,435.87,27.2466616,270.99,435.87,28.2599813,268.71,435.87,28.2886505,268.71,435.87,28.4384812,268.71,435.87,27.3951271,270.99,435.87,27.4835238,270.99,435.87,28.5149324,270.99,435.87
