;,B,B,B,C,C,C,D,D,D,E,E,E,F,F,F,G,G,G,H,H,H,I,I,I,J,J,J,K,K,K,L,L,L,M,M,M,N,N,N,O,O,O,P,P,P,Q,Q,Q
;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,CZ:,1,,CZ:,2,,CZ:,3,,CZ:,4,,CZ:,5,,CZ:,6,,CZ:,7,,CZ:,8,,CZ:,9,,CZ:,10,,CZ:,11,,CZ:,12,,CZ:,13,,CZ:,14,,CZ:,15,,CZ:,16,
;,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; MoDaHr,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm
21224,26.9446111,268.88,435.9,26.7094554,268.88,435.9,26.8831771,268.88,435.9,26.720377,268.88,435.9,26.8555318,268.88,435.9,26.2108161,271.15,435.9,26.8046781,264.48,435.9,25.8766834,271.15,435.9,25.7517676,271.15,435.9,25.7753173,271.15,435.9,26.6425606,268.88,435.9,26.6712298,268.88,435.9,26.8210605,268.88,435.9,25.9237828,271.15,435.9,26.0118382,271.15,435.9,27.0435881,271.15,435.9
21301,26.4749823,268.88,435.9,26.2398266,268.88,435.9,26.4135483,268.88,435.9,26.2507482,268.88,435.9,26.3862443,268.88,435.9,25.7463068,271.15,435.9,26.3411927,264.48,435.9,25.4121741,271.15,435.9,25.2875996,271.15,435.9,25.310808,271.15,435.9,26.1729318,268.88,435.9,26.2019423,268.88,435.9,26.3514317,268.88,435.9,25.4596148,271.15,435.9,25.5476702,271.15,435.9,26.5790788,271.15,435.9
21302,26.8343712,268.88,435.9,26.5992155,268.88,435.9,26.7729372,268.88,435.9,26.6101371,268.88,435.9,26.7456332,268.88,435.9,26.1190064,271.15,435.9,26.713551,264.48,435.9,25.7848737,271.15,435.9,25.6602992,271.15,435.9,25.6835076,271.15,435.9,26.5323207,268.88,435.9,26.5613312,268.88,435.9,26.7108206,268.88,435.9,25.8323144,271.15,435.9,25.9203698,271.15,435.9,26.9517784,271.15,435.9
21303,26.9176484,268.88,435.9,26.682834,268.88,435.9,26.8565557,268.88,435.9,26.6937556,268.88,435.9,26.8289104,268.88,435.9,26.2360723,271.15,435.9,26.8302756,264.48,435.9,25.9019396,271.15,435.9,25.7773651,271.15,435.9,25.8005735,271.15,435.9,26.6155979,268.88,435.9,26.6446084,268.88,435.9,26.7940978,268.88,435.9,25.949039,271.15,435.9,26.0374357,271.15,435.9,27.0688443,271.15,435.9
21304,26.9811302,268.88,435.9,26.7463158,268.88,435.9,26.9200375,268.88,435.9,26.7572374,268.88,435.9,26.8923922,268.88,435.9,26.2418744,271.15,435.9,26.8360777,264.48,435.9,25.9077417,271.15,435.9,25.7831672,271.15,435.9,25.8067169,271.15,435.9,26.6790797,268.88,435.9,26.7080902,268.88,435.9,26.8575796,268.88,435.9,25.9551824,271.15,435.9,26.0432378,271.15,435.9,27.0749877,271.15,435.9
21305,28.9463356,268.88,435.9,28.7111799,268.88,435.9,28.8849016,268.88,435.9,28.7221015,268.88,435.9,28.8572563,268.88,435.9,27.1773777,271.15,435.9,27.7705571,264.48,435.9,26.843245,271.15,435.9,26.7186705,271.15,435.9,26.7418789,271.15,435.9,28.6442851,268.88,435.9,28.6729543,268.88,435.9,28.822785,268.88,435.9,26.8903444,271.15,435.9,26.9787411,271.15,435.9,28.0101497,271.15,435.9
21306,29.027565,268.88,435.9,28.7924093,268.88,435.9,28.966131,268.88,435.9,28.8033309,268.88,435.9,28.938827,268.88,435.9,28.1886496,271.15,435.9,28.7808051,264.48,435.9,27.8545169,271.15,435.9,27.7299424,271.15,435.9,27.7531508,271.15,435.9,28.7255145,268.88,435.9,28.7541837,268.88,435.9,28.9040144,268.88,435.9,27.9019576,271.15,435.9,27.990013,271.15,435.9,29.0217629,271.15,435.9
21307,29.0227868,268.88,435.9,28.7879724,268.88,435.9,28.9616941,268.88,435.9,28.798894,268.88,435.9,28.9340488,268.88,435.9,28.2067385,271.15,435.9,28.7985527,264.48,435.9,27.8726058,271.15,435.9,27.7480313,271.15,435.9,27.7712397,271.15,435.9,28.7207363,268.88,435.9,28.7497468,268.88,435.9,28.8995775,268.88,435.9,27.9197052,271.15,435.9,28.0081019,271.15,435.9,29.0395105,271.15,435.9
21308,29.020739,268.88,435.9,28.7855833,268.88,435.9,28.959305,268.88,435.9,28.7965049,268.88,435.9,28.932001,268.88,435.9,28.201619,271.15,435.9,28.7934332,264.48,435.9,27.8674863,271.15,435.9,27.7429118,271.15,435.9,27.7661202,271.15,435.9,28.7186885,268.88,435.9,28.7473577,268.88,435.9,28.8971884,268.88,435.9,27.9145857,271.15,435.9,28.0029824,271.15,435.9,29.034391,271.15,435.9
21309,24.5544872,268.88,435.9,24.3193315,268.88,435.9,24.4930532,268.88,435.9,24.3302531,268.88,435.9,24.4654079,268.88,435.9,23.8275182,271.15,435.9,24.4329844,264.48,435.9,23.4930442,271.15,435.9,23.3684697,271.15,435.9,23.3920194,271.15,435.9,24.2524367,268.88,435.9,24.2811059,268.88,435.9,24.4309366,268.88,435.9,23.5404849,271.15,435.9,23.6285403,271.15,435.9,24.6602902,271.15,435.9
21310,22.2418384,268.88,435.9,22.007024,268.88,435.9,22.1807457,268.88,435.9,22.0179456,268.88,435.9,22.1531004,268.88,435.9,21.0193018,271.15,435.9,21.6264745,264.48,435.9,20.6851691,271.15,435.9,20.5605946,271.15,435.9,20.583803,271.15,435.9,21.9397879,268.88,435.9,21.9687984,268.88,435.9,22.1182878,268.88,435.9,20.7322685,271.15,435.9,20.8206652,271.15,435.9,21.8520738,271.15,435.9
21311,22.0756253,268.88,435.9,21.8408109,268.88,435.9,22.0145326,268.88,435.9,21.8517325,268.88,435.9,21.9868873,268.88,435.9,20.8650342,271.15,435.9,21.4722069,264.48,435.9,20.5309015,271.15,435.9,20.406327,271.15,435.9,20.4295354,271.15,435.9,21.7735748,268.88,435.9,21.8025853,268.88,435.9,21.9520747,268.88,435.9,20.5783422,271.15,435.9,20.6663976,271.15,435.9,21.6978062,271.15,435.9
21312,21.9094122,268.88,435.9,21.6742565,268.88,435.9,21.8479782,268.88,435.9,21.6851781,268.88,435.9,21.8203329,268.88,435.9,20.7445553,271.15,435.9,21.351728,264.48,435.9,20.4104226,271.15,435.9,20.2858481,271.15,435.9,20.3090565,271.15,435.9,21.6070204,268.88,435.9,21.6360309,268.88,435.9,21.7858616,268.88,435.9,20.457522,271.15,435.9,20.5459187,271.15,435.9,21.5773273,271.15,435.9
21313,21.8913233,268.88,435.9,21.6565089,268.88,435.9,21.8302306,268.88,435.9,21.6674305,268.88,435.9,21.8025853,268.88,435.9,20.754453,271.15,435.9,21.3616257,264.48,435.9,20.4203203,271.15,435.9,20.2957458,271.15,435.9,20.3189542,271.15,435.9,21.5892728,268.88,435.9,21.6182833,268.88,435.9,21.7677727,268.88,435.9,20.4674197,271.15,435.9,20.5558164,271.15,435.9,21.587225,271.15,435.9
21314,22.0268194,268.88,435.9,21.7916637,268.88,435.9,21.9653854,268.88,435.9,21.8025853,268.88,435.9,21.9380814,268.88,435.9,20.8213478,271.15,435.9,21.4285205,264.48,435.9,20.4872151,271.15,435.9,20.3626406,271.15,435.9,20.385849,271.15,435.9,21.7247689,268.88,435.9,21.7537794,268.88,435.9,21.9032688,268.88,435.9,20.5343145,271.15,435.9,20.6227112,271.15,435.9,21.6541198,271.15,435.9
21315,22.0862056,268.88,435.9,21.8513912,268.88,435.9,22.0251129,268.88,435.9,21.8623128,268.88,435.9,21.9974676,268.88,435.9,20.9018946,271.15,435.9,21.5124803,264.48,435.9,20.5677619,271.15,435.9,20.4431874,271.15,435.9,20.4663958,271.15,435.9,21.7841551,268.88,435.9,21.8131656,268.88,435.9,21.9629963,268.88,435.9,20.6148613,271.15,435.9,20.703258,271.15,435.9,21.7346666,271.15,435.9
21316,23.747654,268.88,435.9,23.5128396,268.88,435.9,23.6865613,268.88,435.9,23.5237612,268.88,435.9,23.658916,268.88,435.9,23.4292211,271.15,435.9,24.0398068,264.48,435.9,23.0950884,271.15,435.9,22.9705139,271.15,435.9,22.9937223,271.15,435.9,23.4456035,268.88,435.9,23.474614,268.88,435.9,23.6241034,268.88,435.9,23.1421878,271.15,435.9,23.2305845,271.15,435.9,24.2619931,271.15,435.9
21317,29.1524808,268.88,435.9,28.9173251,268.88,435.9,29.0910468,268.88,435.9,28.9282467,268.88,435.9,29.0634015,268.88,435.9,27.2910306,271.15,435.9,27.9016163,264.48,435.9,26.9568979,271.15,435.9,26.8323234,271.15,435.9,26.8555318,271.15,435.9,28.8504303,268.88,435.9,28.8790995,268.88,435.9,29.0289302,268.88,435.9,27.0039973,271.15,435.9,27.092394,271.15,435.9,28.1238026,271.15,435.9
21318,29.2210821,268.88,435.9,28.9859264,268.88,435.9,29.1596481,268.88,435.9,28.996848,268.88,435.9,29.1320028,268.88,435.9,28.3644191,271.15,435.9,28.9750048,264.48,435.9,28.0302864,271.15,435.9,27.9057119,271.15,435.9,27.9289203,271.15,435.9,28.9190316,268.88,435.9,28.9477008,268.88,435.9,29.0975315,268.88,435.9,28.0773858,271.15,435.9,28.1657825,271.15,435.9,29.1971911,271.15,435.9
21319,48.9379831,268.88,435.9,28.9862677,268.88,435.9,29.1599894,268.88,435.9,28.9971893,268.88,435.9,29.1323441,268.88,435.9,28.3749994,271.15,435.9,28.9859264,264.48,435.9,28.0408667,271.15,435.9,27.9162922,271.15,435.9,27.9398419,271.15,435.9,28.9190316,268.88,435.9,28.9480421,268.88,435.9,29.0975315,268.88,435.9,28.0883074,271.15,435.9,28.1763628,271.15,435.9,48.1799558,271.15,435.9
21320,71.8269263,268.88,435.9,28.9835373,268.88,435.9,29.157259,268.88,435.9,28.9944589,268.88,435.9,29.129955,268.88,435.9,28.358617,271.15,435.9,28.9692027,264.48,435.9,28.0244843,271.15,435.9,27.8999098,271.15,435.9,27.9231182,271.15,435.9,28.9166425,268.88,435.9,28.9453117,268.88,435.9,29.0951424,268.88,435.9,28.071925,271.15,435.9,28.1599804,271.15,435.9,54.4117525,271.15,435.9
21321,72.976766,268.88,435.9,28.9548681,268.88,435.9,29.1285898,268.88,435.9,28.9657897,268.88,435.9,29.1009445,268.88,435.9,28.2548618,271.15,435.9,28.8582802,264.48,435.9,27.9207291,271.15,435.9,27.7961546,271.15,435.9,27.819363,271.15,435.9,28.887632,268.88,435.9,28.9166425,268.88,435.9,29.0661319,268.88,435.9,27.9678285,271.15,435.9,28.0562252,271.15,435.9,49.6837236,271.15,435.9
21322,29.1872934,268.88,435.9,28.9521377,268.88,435.9,29.1258594,268.88,435.9,28.9630593,268.88,435.9,29.0985554,268.88,435.9,28.1449632,271.15,435.9,28.7483816,264.48,435.9,27.8108305,271.15,435.9,27.686256,271.15,435.9,27.7094644,271.15,435.9,28.8852429,268.88,435.9,28.9139121,268.88,435.9,29.0637428,268.88,435.9,27.8579299,271.15,435.9,27.9463266,271.15,435.9,28.9777352,271.15,435.9
21323,28.9992371,268.88,435.9,28.7640814,268.88,435.9,28.9378031,268.88,435.9,28.775003,268.88,435.9,28.9101578,268.88,435.9,28.0360885,271.15,435.9,28.628244,264.48,435.9,27.7019558,271.15,435.9,27.5773813,271.15,435.9,27.6005897,271.15,435.9,28.6971866,268.88,435.9,28.7258558,268.88,435.9,28.8756865,268.88,435.9,27.7493965,271.15,435.9,27.8374519,271.15,435.9,28.8692018,271.15,435.9
21324,27.6244807,268.88,435.9,27.3896663,268.88,435.9,27.563388,268.88,435.9,27.4005879,268.88,435.9,27.5357427,268.88,435.9,26.8347125,271.15,435.9,27.4285745,264.48,435.9,26.5005798,271.15,435.9,26.3760053,271.15,435.9,26.3992137,271.15,435.9,27.3224302,268.88,435.9,27.3514407,268.88,435.9,27.5009301,268.88,435.9,26.5480205,271.15,435.9,26.6360759,271.15,435.9,27.6674845,271.15,435.9
21401,26.8838597,268.88,435.9,26.6490453,268.88,435.9,26.822767,268.88,435.9,26.6599669,268.88,435.9,26.7951217,268.88,435.9,26.1278802,271.15,435.9,26.7220835,264.48,435.9,25.7937475,271.15,435.9,25.669173,271.15,435.9,25.6923814,271.15,435.9,26.5818092,268.88,435.9,26.6108197,268.88,435.9,26.7603091,268.88,435.9,25.8408469,271.15,435.9,25.9292436,271.15,435.9,26.9606522,271.15,435.9
21402,27.7500791,268.88,435.9,27.5149234,268.88,435.9,27.6886451,268.88,435.9,27.525845,268.88,435.9,27.6613411,268.88,435.9,26.8886379,271.15,435.9,27.4818173,264.48,435.9,26.5545052,271.15,435.9,26.4299307,271.15,435.9,26.4531391,271.15,435.9,27.4480286,268.88,435.9,27.4766978,268.88,435.9,27.6265285,268.88,435.9,26.6016046,271.15,435.9,26.6900013,271.15,435.9,27.7214099,271.15,435.9
21403,27.2033165,268.88,435.9,26.9681608,268.88,435.9,27.1418825,268.88,435.9,26.9790824,268.88,435.9,27.1142372,268.88,435.9,26.413207,271.15,435.9,27.007069,264.48,435.9,26.0790743,271.15,435.9,25.9541585,271.15,435.9,25.9777082,271.15,435.9,26.901266,268.88,435.9,26.9299352,268.88,435.9,27.0797659,268.88,435.9,26.1261737,271.15,435.9,26.2142291,271.15,435.9,27.245979,271.15,435.9
21404,26.4664498,268.88,435.9,26.2312941,268.88,435.9,26.4050158,268.88,435.9,26.2422157,268.88,435.9,26.3773705,268.88,435.9,25.7998909,271.15,435.9,26.3947768,264.48,435.9,25.4657582,271.15,435.9,25.3411837,271.15,435.9,25.3643921,271.15,435.9,26.164058,268.88,435.9,26.1930685,268.88,435.9,26.3428992,268.88,435.9,25.5131989,271.15,435.9,25.6012543,271.15,435.9,26.6326629,271.15,435.9
21405,27.7753353,268.88,435.9,27.5405209,268.88,435.9,27.7142426,268.88,435.9,27.5514425,268.88,435.9,27.6865973,268.88,435.9,26.9627,271.15,435.9,27.5562207,264.48,435.9,26.6285673,271.15,435.9,26.5039928,271.15,435.9,26.5272012,271.15,435.9,27.4732848,268.88,435.9,27.5022953,268.88,435.9,27.6517847,268.88,435.9,26.6756667,271.15,435.9,26.7640634,271.15,435.9,27.795472,271.15,435.9
21406,28.6463329,268.88,435.9,28.4115185,268.88,435.9,28.5852402,268.88,435.9,28.4224401,268.88,435.9,28.5575949,268.88,435.9,27.7466661,271.15,435.9,28.3391629,264.48,435.9,27.4125334,271.15,435.9,27.2879589,271.15,435.9,27.3115086,271.15,435.9,28.3442824,268.88,435.9,28.3732929,268.88,435.9,28.5227823,268.88,435.9,27.4599741,271.15,435.9,27.5480295,271.15,435.9,28.5797794,271.15,435.9
21407,29.239171,268.88,435.9,29.0040153,268.88,435.9,29.1780783,268.88,435.9,29.0152782,268.88,435.9,29.150433,268.88,435.9,28.3183436,271.15,435.9,28.9101578,264.48,435.9,27.9842109,271.15,435.9,27.8596364,271.15,435.9,27.8828448,271.15,435.9,28.9371205,268.88,435.9,28.966131,268.88,435.9,29.1156204,268.88,435.9,28.0313103,271.15,435.9,28.119707,271.15,435.9,29.1511156,271.15,435.9
21408,28.6924084,268.88,435.9,28.4572527,268.88,435.9,28.6309744,268.88,435.9,28.4681743,268.88,435.9,28.6036704,268.88,435.9,27.6429109,271.15,435.9,28.2354077,264.48,435.9,27.3087782,271.15,435.9,27.1842037,271.15,435.9,27.2074121,271.15,435.9,28.3903579,268.88,435.9,28.4193684,268.88,435.9,28.5688578,268.88,435.9,27.3562189,271.15,435.9,27.4442743,271.15,435.9,28.4756829,271.15,435.9
21409,23.484853,268.88,435.9,23.2496973,268.88,435.9,23.423419,268.88,435.9,23.2606189,268.88,435.9,23.3957737,268.88,435.9,21.7220385,271.15,435.9,22.3223852,264.48,435.9,21.3879058,271.15,435.9,21.2633313,271.15,435.9,21.2865397,271.15,435.9,23.1824612,268.88,435.9,23.2114717,268.88,435.9,23.3613024,268.88,435.9,21.4350052,271.15,435.9,21.5234019,271.15,435.9,22.5548105,271.15,435.9
21410,20.9107684,268.88,435.9,20.6756127,268.88,435.9,20.8493344,268.88,435.9,20.6865343,268.88,435.9,20.8216891,268.88,435.9,19.085496,271.15,435.9,19.6899383,264.48,435.9,18.7513633,271.15,435.9,18.6267888,271.15,435.9,18.6499972,271.15,435.9,20.6083766,268.88,435.9,20.6373871,268.88,435.9,20.7872178,268.88,435.9,18.7984627,271.15,435.9,18.8868594,271.15,435.9,19.918268,271.15,435.9
21411,20.7950677,268.88,435.9,20.559912,268.88,435.9,20.7336337,268.88,435.9,20.5708336,268.88,435.9,20.7059884,268.88,435.9,18.5032382,271.15,435.9,19.1090457,264.48,435.9,18.1691055,271.15,435.9,18.044531,271.15,435.9,18.0677394,271.15,435.9,20.4930172,268.88,435.9,20.5216864,268.88,435.9,20.6715171,268.88,435.9,18.2165462,271.15,435.9,18.3046016,271.15,435.9,19.3360102,271.15,435.9
21412,20.7899482,268.88,435.9,20.5547925,268.88,435.9,20.7285142,268.88,435.9,20.5657141,268.88,435.9,20.7008689,268.88,435.9,17.8970894,271.15,435.9,18.5032382,264.48,435.9,17.5626154,271.15,435.9,17.4380409,271.15,435.9,17.4615906,271.15,435.9,20.4878977,268.88,435.9,20.5165669,268.88,435.9,20.6663976,268.88,435.9,17.6100561,271.15,435.9,17.6981115,271.15,435.9,18.7298614,271.15,435.9
21413,20.7728832,268.88,435.9,20.5380688,268.88,435.9,20.7117905,268.88,435.9,20.5489904,268.88,435.9,20.6841452,268.88,435.9,17.8605703,271.15,435.9,18.4667191,264.48,435.9,17.5264376,271.15,435.9,17.4018631,271.15,435.9,17.4250715,271.15,435.9,20.4708327,268.88,435.9,20.4998432,268.88,435.9,20.6493326,268.88,435.9,17.573537,271.15,435.9,17.6619337,271.15,435.9,18.6933423,271.15,435.9
21414,20.7663985,268.88,435.9,20.5312428,268.88,435.9,20.7049645,268.88,435.9,20.5421644,268.88,435.9,20.6776605,268.88,435.9,18.0486266,271.15,435.9,18.6547754,264.48,435.9,17.7144939,271.15,435.9,17.5899194,271.15,435.9,17.6134691,271.15,435.9,20.464348,268.88,435.9,20.4930172,268.88,435.9,20.6428479,268.88,435.9,17.7619346,271.15,435.9,17.84999,271.15,435.9,18.8817399,271.15,435.9
21415,20.7619616,268.88,435.9,20.5271472,268.88,435.9,20.7008689,268.88,435.9,20.5380688,268.88,435.9,20.6732236,268.88,435.9,18.7209876,271.15,435.9,19.3264538,264.48,435.9,18.3868549,271.15,435.9,18.2622804,271.15,435.9,18.2858301,271.15,435.9,20.4599111,268.88,435.9,20.4889216,268.88,435.9,20.638411,268.88,435.9,18.4342956,271.15,435.9,18.522351,271.15,435.9,19.5541009,271.15,435.9
21416,21.7070213,268.88,435.9,21.4722069,268.88,435.9,21.6459286,268.88,435.9,21.4831285,268.88,435.9,21.6182833,268.88,435.9,19.9810672,271.15,435.9,20.583803,264.48,435.9,19.6469345,271.15,435.9,19.5220187,271.15,435.9,19.5455684,271.15,435.9,21.4049708,268.88,435.9,21.4339813,268.88,435.9,21.5834707,268.88,435.9,19.6940339,271.15,435.9,19.7820893,271.15,435.9,20.8138392,271.15,435.9
21417,26.7981934,268.88,435.9,26.5630377,268.88,435.9,26.7367594,268.88,435.9,26.5739593,268.88,435.9,26.7091141,268.88,435.9,25.0019315,271.15,435.9,25.5975,264.48,435.9,24.6677988,271.15,435.9,24.5432243,271.15,435.9,24.5664327,271.15,435.9,26.4961429,268.88,435.9,26.5248121,268.88,435.9,26.6746428,268.88,435.9,24.7148982,271.15,435.9,24.8032949,271.15,435.9,25.8347035,271.15,435.9
21418,30.6344054,268.88,435.9,30.3992497,268.88,435.9,30.5729714,268.88,435.9,30.4101713,268.88,435.9,30.5453261,268.88,435.9,29.6125532,271.15,435.9,30.2030022,264.48,435.9,29.2784205,271.15,435.9,29.153846,271.15,435.9,29.1770544,271.15,435.9,30.3323549,268.88,435.9,30.3610241,268.88,435.9,30.5108548,268.88,435.9,29.3258612,271.15,435.9,29.4139166,271.15,435.9,30.4456665,271.15,435.9
21419,30.6344054,268.88,435.9,30.399591,268.88,435.9,30.5733127,268.88,435.9,30.4105126,268.88,435.9,30.5456674,268.88,435.9,29.6330312,271.15,435.9,30.2234802,264.48,435.9,29.2988985,271.15,435.9,29.174324,271.15,435.9,29.1975324,271.15,435.9,30.3323549,268.88,435.9,30.3613654,268.88,435.9,30.5108548,268.88,435.9,29.3459979,271.15,435.9,29.4343946,271.15,435.9,56.4786653,271.15,435.9
21420,30.6320163,268.88,435.9,30.3968606,268.88,435.9,30.5705823,268.88,435.9,30.4077822,268.88,435.9,30.542937,268.88,435.9,29.6412224,271.15,435.9,30.2313301,264.48,435.9,29.3070897,271.15,435.9,29.1825152,271.15,435.9,29.2057236,271.15,435.9,30.3299658,268.88,435.9,30.358635,268.88,435.9,30.5084657,268.88,435.9,29.3541891,271.15,435.9,29.4425858,271.15,435.9,64.7947811,271.15,435.9
21421,30.6320163,268.88,435.9,30.3972019,268.88,435.9,30.5709236,268.88,435.9,30.4081235,268.88,435.9,30.5432783,268.88,435.9,29.6470245,271.15,435.9,30.2371322,264.48,435.9,29.3128918,271.15,435.9,29.187976,271.15,435.9,29.2115257,271.15,435.9,30.3299658,268.88,435.9,30.3589763,268.88,435.9,30.5084657,268.88,435.9,29.3599912,271.15,435.9,29.4480466,271.15,435.9,64.6824934,271.15,435.9
21422,30.5364523,268.88,435.9,30.3012966,268.88,435.9,30.4750183,268.88,435.9,30.3122182,268.88,435.9,30.447373,268.88,435.9,29.6514614,271.15,435.9,30.2415691,264.48,435.9,29.3173287,271.15,435.9,29.1927542,271.15,435.9,29.2159626,271.15,435.9,30.2344018,268.88,435.9,30.263071,268.88,435.9,30.4129017,268.88,435.9,29.3644281,271.15,435.9,29.4528248,271.15,435.9,30.4842334,271.15,435.9
21423,29.6500962,268.88,435.9,29.4152818,268.88,435.9,29.5890035,268.88,435.9,29.4262034,268.88,435.9,29.5613582,268.88,435.9,28.819372,271.15,435.9,29.4105036,264.48,435.9,28.4852393,271.15,435.9,28.3606648,271.15,435.9,28.3838732,271.15,435.9,29.3480457,268.88,435.9,29.3770562,268.88,435.9,29.5268869,268.88,435.9,28.5323387,271.15,435.9,28.6207354,271.15,435.9,29.652144,271.15,435.9
21424,28.9497486,268.88,435.9,28.7145929,268.88,435.9,28.8883146,268.88,435.9,28.7255145,268.88,435.9,28.8606693,268.88,435.9,28.1855779,271.15,435.9,28.7777334,264.48,435.9,27.8514452,271.15,435.9,27.7268707,271.15,435.9,27.7500791,271.15,435.9,28.6476981,268.88,435.9,28.6763673,268.88,435.9,28.826198,268.88,435.9,27.8988859,271.15,435.9,27.9869413,271.15,435.9,29.0183499,271.15,435.9
21501,28.269879,268.88,435.9,28.0347233,268.88,435.9,28.208445,268.88,435.9,28.0456449,268.88,435.9,28.1807997,268.88,435.9,27.5828421,271.15,435.9,28.1756802,264.48,435.9,27.2487094,271.15,435.9,27.1241349,271.15,435.9,27.1473433,271.15,435.9,27.9678285,268.88,435.9,27.9964977,268.88,435.9,28.1463284,268.88,435.9,27.2961501,271.15,435.9,27.3842055,271.15,435.9,28.4156141,271.15,435.9
21502,28.2965004,268.88,435.9,28.0613447,268.88,435.9,28.2350664,268.88,435.9,28.0722663,268.88,435.9,28.2074211,268.88,435.9,27.6012723,271.15,435.9,28.1937691,264.48,435.9,27.2671396,271.15,435.9,27.1422238,271.15,435.9,27.1657735,271.15,435.9,27.9944499,268.88,435.9,28.0231191,268.88,435.9,28.1729498,268.88,435.9,27.314239,271.15,435.9,27.4026357,271.15,435.9,28.4340443,271.15,435.9
21503,28.3057155,268.88,435.9,28.0705598,268.88,435.9,28.2442815,268.88,435.9,28.0814814,268.88,435.9,28.2166362,268.88,435.9,27.7022971,271.15,435.9,28.2947939,264.48,435.9,27.3681644,271.15,435.9,27.2435899,271.15,435.9,27.2667983,271.15,435.9,28.003665,268.88,435.9,28.0323342,268.88,435.9,28.1821649,268.88,435.9,27.4152638,271.15,435.9,27.5036605,271.15,435.9,28.5350691,271.15,435.9
21504,28.9050383,268.88,435.9,28.6698826,268.88,435.9,28.8436043,268.88,435.9,28.6808042,268.88,435.9,28.815959,268.88,435.9,28.1627108,271.15,435.9,28.754525,264.48,435.9,27.8285781,271.15,435.9,27.7040036,271.15,435.9,27.727212,271.15,435.9,28.6029878,268.88,435.9,28.631657,268.88,435.9,28.7814877,268.88,435.9,27.8756775,271.15,435.9,27.9640742,271.15,435.9,28.9954828,271.15,435.9
21505,29.2343928,268.88,435.9,28.9992371,268.88,435.9,29.1729588,268.88,435.9,29.0101587,268.88,435.9,29.1453135,268.88,435.9,28.539506,271.15,435.9,29.1309789,264.48,435.9,28.2053733,271.15,435.9,28.0807988,271.15,435.9,28.1040072,271.15,435.9,28.9323423,268.88,435.9,28.9610115,268.88,435.9,29.1108422,268.88,435.9,28.2524727,271.15,435.9,28.3408694,271.15,435.9,29.372278,271.15,435.9
21506,29.5504366,268.88,435.9,29.3152809,268.88,435.9,29.4890026,268.88,435.9,29.3262025,268.88,435.9,29.4613573,268.88,435.9,28.8087917,271.15,435.9,29.3999233,264.48,435.9,28.474659,271.15,435.9,28.3500845,271.15,435.9,28.3732929,271.15,435.9,29.2483861,268.88,435.9,29.2770553,268.88,435.9,29.426886,268.88,435.9,28.5217584,271.15,435.9,28.6101551,271.15,435.9,29.6415637,271.15,435.9
21507,29.5514605,268.88,435.9,29.3163048,268.88,435.9,29.4900265,268.88,435.9,29.3272264,268.88,435.9,29.4623812,268.88,435.9,28.8118634,271.15,435.9,29.402995,264.48,435.9,28.4777307,271.15,435.9,28.3531562,271.15,435.9,28.3763646,271.15,435.9,29.24941,268.88,435.9,29.2780792,268.88,435.9,29.4279099,268.88,435.9,28.5248301,271.15,435.9,28.6132268,271.15,435.9,29.6446354,271.15,435.9
21508,28.9606702,268.88,435.9,28.7258558,268.88,435.9,28.8995775,268.88,435.9,28.7367774,268.88,435.9,28.8719322,268.88,435.9,28.1207309,271.15,435.9,28.7128864,264.48,435.9,27.7865982,271.15,435.9,27.6620237,271.15,435.9,27.6852321,271.15,435.9,28.6586197,268.88,435.9,28.6876302,268.88,435.9,28.8374609,268.88,435.9,27.8336976,271.15,435.9,27.9220943,271.15,435.9,28.9535029,271.15,435.9
