; Use with 2009 calendar year and updated CEC weather data,,,,,,,,,,,,,,,,
; Version ID: 2019 TDV RESOLVE 42 MMT,,,,,,,,,,,,,,,,
; MoDaHr,Electricity TDV (CZ1; kBtu/kWh),Electricity TDV (CZ2; kBtu/kWh),Electricity TDV (CZ3; kBtu/kWh),Electricity TDV (CZ4; kBtu/kWh),Electricity TDV (CZ5; kBtu/kWh),Electricity TDV (CZ6; kBtu/kWh),Electricity TDV (CZ7; kBtu/kWh),Electricity TDV (CZ8; kBtu/kWh),Electricity TDV (CZ9; kBtu/kWh),Electricity TDV (CZ10; kBtu/kWh),Electricity TDV (CZ11; kBtu/kWh),Electricity TDV (CZ12; kBtu/kWh),Electricity TDV (CZ13; kBtu/kWh),Electricity TDV (CZ14; kBtu/kWh),Electricity TDV (CZ15; kBtu/kWh),Electricity TDV (CZ16; kBtu/kWh)
10208,1.713406104,1.713406104,1.713406104,1.713406104,1.713406104,1.751583965,1.751583965,1.751583965,1.751583965,1.751583965,1.713406104,1.713406104,1.713406104,1.751583965,1.751583965,1.751583965
10209,1.704874072,1.704874072,1.704874072,1.704874072,1.704874072,1.692641789,1.692641789,1.692641789,1.692641789,1.692641789,1.704874072,1.704874072,1.704874072,1.692641789,1.692641789,1.692641789
10210,1.705054332,1.705054332,1.705054332,1.705054332,1.705054332,1.628686744,1.628686744,1.628686744,1.628686744,1.628686744,1.705054332,1.705054332,1.705054332,1.628686744,1.628686744,1.628686744
10211,1.705196614,1.705196614,1.705196614,1.705196614,1.705196614,0,0,0,0,0,1.705196614,1.705196614,1.705196614,0,0,0
10212,1.705338064,1.705338064,1.705338064,1.705338064,1.705338064,1.678162766,1.678162766,1.678162766,1.678162766,1.678162766,1.705338064,1.705338064,1.705338064,1.678162766,1.678162766,1.678162766
10213,1.705411132,1.705411132,1.705411132,1.705411132,1.705411132,1.679117243,1.679117243,1.679117243,1.679117243,1.679117243,1.705411132,1.705411132,1.705411132,1.679117243,1.679117243,1.679117243
10214,1.70539345,1.70539345,1.70539345,1.70539345,1.70539345,0,0,0,0,0,1.70539345,1.70539345,1.70539345,0,0,0
10215,1.70512959,1.70512959,1.70512959,1.70512959,1.70512959,1.687033076,1.687033076,1.687033076,1.687033076,1.687033076,1.70512959,1.70512959,1.70512959,1.687033076,1.687033076,1.687033076
10216,1.713681548,1.713681548,1.713681548,1.713681548,1.713681548,1.702103439,1.702103439,1.702103439,1.702103439,1.702103439,1.713681548,1.713681548,1.713681548,1.702103439,1.702103439,1.702103439
10217,1.713602086,1.713602086,1.713602086,1.713602086,1.713602086,1.755302716,1.755302716,1.755302716,1.755302716,1.755302716,1.713602086,1.713602086,1.713602086,1.755302716,1.755302716,1.755302716
10218,1.803060702,1.803060702,1.803060702,1.803060702,1.803060702,1.842724863,1.842724863,1.842724863,1.842724863,1.842724863,1.803060702,1.803060702,1.803060702,1.842724863,1.842724863,1.842724863
10219,1.803217351,1.803217351,1.803217351,1.803217351,1.803217351,1.863908982,1.863908982,1.863908982,1.863908982,1.863908982,1.803217351,1.803217351,1.803217351,1.863908982,1.863908982,1.863908982
10220,1.803154356,1.803154356,1.803154356,1.803154356,1.803154356,1.864485053,1.864485053,1.864485053,1.864485053,1.864485053,1.803154356,1.803154356,1.803154356,1.864485053,1.864485053,1.864485053
10221,1.80334102,1.80334102,1.80334102,1.80334102,1.80334102,1.843787993,1.843787993,1.843787993,1.843787993,1.843787993,1.80334102,1.80334102,1.80334102,1.843787993,1.843787993,1.843787993
10222,1.721003409,1.721003409,1.721003409,1.721003409,1.721003409,1.754404136,1.754404136,1.754404136,1.754404136,1.754404136,1.721003409,1.721003409,1.721003409,1.754404136,1.754404136,1.754404136
10223,1.714215122,1.714215122,1.714215122,1.714215122,1.714215122,1.746644621,1.746644621,1.746644621,1.746644621,1.746644621,1.714215122,1.714215122,1.714215122,1.746644621,1.746644621,1.746644621
10224,1.714004971,1.714004971,1.714004971,1.714004971,1.714004971,1.684299995,1.684299995,1.684299995,1.684299995,1.684299995,1.714004971,1.714004971,1.714004971,1.684299995,1.684299995,1.684299995
10301,1.745815789,1.745815789,1.745815789,1.745815789,1.745815789,1.712876222,1.712876222,1.712876222,1.712876222,1.712876222,1.745815789,1.745815789,1.745815789,1.712876222,1.712876222,1.712876222
10302,1.681722551,1.681722551,1.681722551,1.681722551,1.681722551,1.647132575,1.647132575,1.647132575,1.647132575,1.647132575,1.681722551,1.681722551,1.681722551,1.647132575,1.647132575,1.647132575
10303,1.629109047,1.629109047,1.629109047,1.629109047,1.629109047,1.602530485,1.602530485,1.602530485,1.602530485,1.602530485,1.629109047,1.629109047,1.629109047,1.602530485,1.602530485,1.602530485
10304,1.595790821,1.595790821,1.595790821,1.595790821,1.595790821,0,0,0,0,0,1.595790821,1.595790821,1.595790821,0,0,0
10305,1.605377256,1.605377256,1.605377256,1.605377256,1.605377256,0,0,0,0,0,1.605377256,1.605377256,1.605377256,0,0,0
10306,1.701215027,1.701215027,1.701215027,1.701215027,1.701215027,1.665782328,1.665782328,1.665782328,1.665782328,1.665782328,1.701215027,1.701215027,1.701215027,1.665782328,1.665782328,1.665782328
10307,1.815948086,1.815948086,1.815948086,1.815948086,1.815948086,1.798634691,1.798634691,1.798634691,1.798634691,1.798634691,1.815948086,1.815948086,1.815948086,1.798634691,1.798634691,1.798634691
10308,1.898324592,1.898324592,1.898324592,1.898324592,1.898324592,1.881087291,1.881087291,1.881087291,1.881087291,1.881087291,1.898324592,1.898324592,1.898324592,1.881087291,1.881087291,1.881087291
10309,1.77056643,1.77056643,1.77056643,1.77056643,1.77056643,1.673635597,1.673635597,1.673635597,1.673635597,1.673635597,1.77056643,1.77056643,1.77056643,1.673635597,1.673635597,1.673635597
10310,1.597128627,1.597128627,1.597128627,1.597128627,1.597128627,0,0,0,0,0,1.597128627,1.597128627,1.597128627,0,0,0
10311,1.597290706,1.597290706,1.597290706,1.597290706,1.597290706,0,0,0,0,0,1.597290706,1.597290706,1.597290706,0,0,0
10312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10314,1.596972705,1.596972705,1.596972705,1.596972705,1.596972705,0,0,0,0,0,1.596972705,1.596972705,1.596972705,0,0,0
10315,1.596711315,1.596711315,1.596711315,1.596711315,1.596711315,0,0,0,0,0,1.596711315,1.596711315,1.596711315,0,0,0
10316,1.701825506,1.701825506,1.701825506,1.701825506,1.701825506,1.66575505,1.66575505,1.66575505,1.66575505,1.66575505,1.701825506,1.701825506,1.701825506,1.66575505,1.66575505,1.66575505
10317,1.928292265,1.928292265,1.928292265,1.928292265,1.928292265,1.942592521,1.942592521,1.942592521,1.942592521,1.942592521,1.928292265,1.928292265,1.928292265,1.942592521,1.942592521,1.942592521
10318,1.928389506,1.928389506,1.928389506,1.928389506,1.928389506,1.974641384,1.974641384,1.974641384,1.974641384,1.974641384,1.928389506,1.928389506,1.928389506,1.974641384,1.974641384,1.974641384
10319,1.928582474,1.928582474,1.928582474,1.928582474,1.928582474,1.978853191,1.978853191,1.978853191,1.978853191,1.978853191,1.928582474,1.928582474,1.928582474,1.978853191,1.978853191,1.978853191
10320,1.928615041,1.928615041,1.928615041,1.928615041,1.928615041,1.979065955,1.979065955,1.979065955,1.979065955,1.979065955,1.928615041,1.928615041,1.928615041,1.979065955,1.979065955,1.979065955
10321,1.928806223,1.928806223,1.928806223,1.928806223,1.928806223,1.97925935,1.97925935,1.97925935,1.97925935,1.97925935,1.928806223,1.928806223,1.928806223,1.97925935,1.97925935,1.97925935
10322,1.928987646,1.928987646,1.928987646,1.928987646,1.928987646,1.972945642,1.972945642,1.972945642,1.972945642,1.972945642,1.928987646,1.928987646,1.928987646,1.972945642,1.972945642,1.972945642
10323,1.929042761,1.929042761,1.929042761,1.929042761,1.929042761,1.965695329,1.965695329,1.965695329,1.965695329,1.965695329,1.929042761,1.929042761,1.929042761,1.965695329,1.965695329,1.965695329
10324,1.928812938,1.928812938,1.928812938,1.928812938,1.928812938,1.927635169,1.927635169,1.927635169,1.927635169,1.927635169,1.928812938,1.928812938,1.928812938,1.927635169,1.927635169,1.927635169
10401,1.786424459,1.786424459,1.786424459,1.786424459,1.786424459,1.764921904,1.764921904,1.764921904,1.764921904,1.764921904,1.786424459,1.786424459,1.786424459,1.764921904,1.764921904,1.764921904
10402,1.745880883,1.745880883,1.745880883,1.745880883,1.745880883,1.714285626,1.714285626,1.714285626,1.714285626,1.714285626,1.745880883,1.745880883,1.745880883,1.714285626,1.714285626,1.714285626
10403,1.722338898,1.722338898,1.722338898,1.722338898,1.722338898,1.688383747,1.688383747,1.688383747,1.688383747,1.688383747,1.722338898,1.722338898,1.722338898,1.688383747,1.688383747,1.688383747
10404,1.722240745,1.722240745,1.722240745,1.722240745,1.722240745,1.690957855,1.690957855,1.690957855,1.690957855,1.690957855,1.722240745,1.722240745,1.722240745,1.690957855,1.690957855,1.690957855
10405,1.78587015,1.78587015,1.78587015,1.78587015,1.78587015,1.757751592,1.757751592,1.757751592,1.757751592,1.757751592,1.78587015,1.78587015,1.78587015,1.757751592,1.757751592,1.757751592
