;,CEC Title-24 Residential Compliance Ruleset,,,,,
;,Collection of tables based on Prescriptive Additions requirements,,,,,
;,,,,,,
;,,,,,,
,TABLE  PrescripAdditions_RadiantBarrier,,,,,
,,CodeBase,ClimateZone,AdditionSize,RadiantBarrier,
,,2013,1,*,0,;  no addition size dependence in 2013
,,2013,16,*,0,
,,2013,*,*,1,
,,2016,1,<=700,0,
,,2016,16,<=700,0,
,,2016,*,<=700,1,
,,2016,2,*,1,
,,2016,3,*,1,
,,2016,5,*,1,
,,2016,6,*,1,
,,2016,7,*,1,
,,2016,*,*,0,
,,2019,1,<=700,0,
,,2019,16,<=700,0,
,,2019,*,<=700,1,
,,2019,2,*,1,
,,2019,3,*,1,
,,2019,5,*,1,
,,2019,6,*,1,
,,2019,7,*,1,
,,2019,*,*,0,
,,2022,1,<=700,0,
,,2022,16,<=700,0,
,,2022,*,<=700,1,
,,2022,2,*,1,
,,2022,3,*,1,
,,2022,5,*,1,
,,2022,6,*,1,
,,2022,7,*,1,
,,2022,*,*,0,
,,2025,1,<=700,0,
,,2025,16,<=700,0,
,,2025,*,<=700,1,
,,2025,2,*,1,
,,2025,3,*,1,
,,2025,5,*,1,
,,2025,6,*,1,
,,2025,7,*,1,
,,2025,*,*,0,
,ENDTABLE,,,,,
;,,,,,,
;,,,,,,
,TABLE  PrescripAdditions_MaxGlazingArea,,,,,
,,AdditionSize,MaxWinArea,MaxFracWinArea,,
,,>700,175,0.2,,
,,>400,120,0.25,,
,,*,75,0.3,,
,ENDTABLE,,,,,
