; MoDaHr,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy
; Fuel=,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; CZ=,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16
10105,5.035686958,93.13284291,100,5.035686958,93.13284291,100,5.035686958,93.13284291,100,5.035686958,93.13284291,100,5.035686958,93.13284291,100,5.079681315,91.8231482,100,5.065726025,91.8231482,100,5.079681315,91.8231482,100,5.079681315,91.8231482,100,5.079681315,91.8231482,100,5.035686958,93.13284291,100,5.035686958,93.13284291,100,5.035686958,93.13284291,100,5.079681315,91.8231482,100,5.079681315,91.8231482,100,5.079681315,91.8231482,100
10106,5.112686994,93.13284291,100,5.112686994,93.13284291,100,5.112686994,93.13284291,100,5.112686994,93.13284291,100,5.112686994,93.13284291,100,5.157354063,91.8231482,100,5.143185385,91.8231482,100,5.157354063,91.8231482,100,5.157354063,91.8231482,100,5.157354063,91.8231482,100,5.112686994,93.13284291,100,5.112686994,93.13284291,100,5.112686994,93.13284291,100,5.157354063,91.8231482,100,5.157354063,91.8231482,100,5.157354063,91.8231482,100
10107,5.119041203,93.13284291,100,5.119041203,93.13284291,100,5.119041203,93.13284291,100,5.119041203,93.13284291,100,5.119041203,93.13284291,100,5.163763786,91.8231482,100,5.149577498,91.8231482,100,5.163763786,91.8231482,100,5.163763786,91.8231482,100,5.163763786,91.8231482,100,5.119041203,93.13284291,100,5.119041203,93.13284291,100,5.119041203,93.13284291,100,5.163763786,91.8231482,100,5.163763786,91.8231482,100,5.163763786,91.8231482,100
10108,5.116114468,93.13284291,100,5.116114468,93.13284291,100,5.116114468,93.13284291,100,5.116114468,93.13284291,100,5.116114468,93.13284291,100,5.160811482,91.8231482,100,5.146633304,91.8231482,100,5.160811482,91.8231482,100,5.160811482,91.8231482,100,5.160811482,91.8231482,100,5.116114468,93.13284291,100,5.116114468,93.13284291,100,5.116114468,93.13284291,100,5.160811482,91.8231482,100,5.160811482,91.8231482,100,5.160811482,91.8231482,100
10109,5.007384588,93.13284291,100,5.007384588,93.13284291,100,5.007384588,93.13284291,100,5.007384588,93.13284291,100,5.007384588,93.13284291,100,5.051131681,91.8231482,100,5.037254825,91.8231482,100,5.051131681,91.8231482,100,5.051131681,91.8231482,100,5.051131681,91.8231482,100,5.007384588,93.13284291,100,5.007384588,93.13284291,100,5.007384588,93.13284291,100,5.051131681,91.8231482,100,5.051131681,91.8231482,100,5.051131681,91.8231482,100
10110,4.187346029,93.13284291,100,4.187346029,93.13284291,100,4.187346029,93.13284291,100,4.187346029,93.13284291,100,4.187346029,93.13284291,100,4.223928842,91.8231482,100,4.212324541,91.8231482,100,4.223928842,91.8231482,100,4.223928842,91.8231482,100,4.223928842,91.8231482,100,4.187346029,93.13284291,100,4.187346029,93.13284291,100,4.187346029,93.13284291,100,4.223928842,91.8231482,100,4.223928842,91.8231482,100,4.223928842,91.8231482,100
10111,3.87375172,93.13284291,100,3.87375172,93.13284291,100,3.87375172,93.13284291,100,3.87375172,93.13284291,100,3.87375172,93.13284291,100,3.907594812,91.8231482,100,3.896859568,91.8231482,100,3.907594812,91.8231482,100,3.907594812,91.8231482,100,3.907594812,91.8231482,100,3.87375172,93.13284291,100,3.87375172,93.13284291,100,3.87375172,93.13284291,100,3.907594812,91.8231482,100,3.907594812,91.8231482,100,3.907594812,91.8231482,100
10112,3.735049548,93.13284291,100,3.735049548,93.13284291,100,3.735049548,93.13284291,100,3.735049548,93.13284291,100,3.735049548,93.13284291,100,3.767680867,91.8231482,100,3.757330005,91.8231482,100,3.767680867,91.8231482,100,3.767680867,91.8231482,100,3.767680867,91.8231482,100,3.735049548,93.13284291,100,3.735049548,93.13284291,100,3.735049548,93.13284291,100,3.767680867,91.8231482,100,3.767680867,91.8231482,100,3.767680867,91.8231482,100
10113,3.416826844,93.13284291,100,3.416826844,93.13284291,100,3.416826844,93.13284291,100,3.416826844,93.13284291,100,3.416826844,93.13284291,100,3.446678005,91.8231482,100,3.437209027,91.8231482,100,3.446678005,91.8231482,100,3.446678005,91.8231482,100,3.446678005,91.8231482,100,3.416826844,93.13284291,100,3.416826844,93.13284291,100,3.416826844,93.13284291,100,3.446678005,91.8231482,100,3.446678005,91.8231482,100,3.446678005,91.8231482,100
10114,3.582164299,93.13284291,100,3.582164299,93.13284291,100,3.582164299,93.13284291,100,3.582164299,93.13284291,100,3.582164299,93.13284291,100,3.613459933,91.8231482,100,3.603532758,91.8231482,100,3.613459933,91.8231482,100,3.613459933,91.8231482,100,3.613459933,91.8231482,100,3.582164299,93.13284291,100,3.582164299,93.13284291,100,3.582164299,93.13284291,100,3.613459933,91.8231482,100,3.613459933,91.8231482,100,3.613459933,91.8231482,100
10115,3.464429605,93.13284291,100,3.464429605,93.13284291,100,3.464429605,93.13284291,100,3.464429605,93.13284291,100,3.464429605,93.13284291,100,3.494696648,91.8231482,100,3.485095749,91.8231482,100,3.494696648,91.8231482,100,3.494696648,91.8231482,100,3.494696648,91.8231482,100,3.464429605,93.13284291,100,3.464429605,93.13284291,100,3.464429605,93.13284291,100,3.494696648,91.8231482,100,3.494696648,91.8231482,100,3.494696648,91.8231482,100
10116,4.004354516,93.13284291,100,4.004354516,93.13284291,100,4.004354516,93.13284291,100,4.004354516,93.13284291,100,4.004354516,93.13284291,100,4.039338621,91.8231482,100,4.02824144,91.8231482,100,4.039338621,91.8231482,100,4.039338621,91.8231482,100,4.039338621,91.8231482,100,4.004354516,93.13284291,100,4.004354516,93.13284291,100,4.004354516,93.13284291,100,4.039338621,91.8231482,100,4.039338621,91.8231482,100,4.039338621,91.8231482,100
10117,5.158284821,93.13284291,100,5.158284821,93.13284291,100,5.158284821,93.13284291,100,5.158284821,93.13284291,100,5.158284821,93.13284291,100,5.203350257,91.8231482,100,5.189055214,91.8231482,100,5.203350257,91.8231482,100,5.203350257,91.8231482,100,5.203350257,91.8231482,100,5.158284821,93.13284291,100,5.158284821,93.13284291,100,5.158284821,93.13284291,100,5.203350257,91.8231482,100,5.203350257,91.8231482,100,5.203350257,91.8231482,100
