;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,CZ:,1,,CZ:,2,,CZ:,3,,CZ:,4,,CZ:,5,,CZ:,6,,CZ:,7,,CZ:,8,,CZ:,9,,CZ:,10,,CZ:,11,,CZ:,12,,CZ:,13,,CZ:,14,,CZ:,15,,CZ:,16,
;,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; MoDaHr,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu
10109,7.6272,2.2311,4.9261,7.5585,2.2311,4.9261,7.6082,2.2311,4.9261,7.5637,2.2311,4.9261,7.6027,2.2311,4.9261,7.3696,2.2526,4.9261,7.5048,2.1891,4.9261,7.2780,2.2526,4.9261,7.2445,2.2526,4.9261,7.2498,2.2526,4.9261,7.5437,2.2311,4.9261,7.5516,2.2311,4.9261,7.5926,2.2311,4.9261,7.2932,2.2526,4.9261,7.3169,2.2526,4.9261,7.6048,2.2526,4.9261
10110,7.1692,2.2311,4.9261,7.1005,2.2311,4.9261,7.1501,2.2311,4.9261,7.1056,2.2311,4.9261,7.1446,2.2311,4.9261,6.9503,2.2526,4.9261,7.0863,2.1891,4.9261,6.8586,2.2526,4.9261,6.8251,2.2526,4.9261,6.8304,2.2526,4.9261,7.0856,2.2311,4.9261,7.0936,2.2311,4.9261,7.1345,2.2311,4.9261,6.8738,2.2526,4.9261,6.8976,2.2526,4.9261,7.1854,2.2526,4.9261
10111,7.1367,2.2311,4.9261,7.0680,2.2311,4.9261,7.1176,2.2311,4.9261,7.0732,2.2311,4.9261,7.1122,2.2311,4.9261,6.9155,2.2526,4.9261,7.0516,2.1891,4.9261,6.8238,2.2526,4.9261,6.7903,2.2526,4.9261,6.7956,2.2526,4.9261,7.0532,2.2311,4.9261,7.0611,2.2311,4.9261,7.1021,2.2311,4.9261,6.8391,2.2526,4.9261,6.8628,2.2526,4.9261,7.1506,2.2526,4.9261
10112,7.1078,2.2311,4.9261,7.0391,2.2311,4.9261,7.0888,2.2311,4.9261,7.0443,2.2311,4.9261,7.0833,2.2311,4.9261,6.8646,2.2526,4.9261,7.0009,2.1891,4.9261,6.7730,2.2526,4.9261,6.7395,2.2526,4.9261,6.7448,2.2526,4.9261,7.0243,2.2311,4.9261,7.0322,2.2311,4.9261,7.0732,2.2311,4.9261,6.7882,2.2526,4.9261,6.8119,2.2526,4.9261,7.0998,2.2526,4.9261
10113,7.1305,2.2311,4.9261,7.0618,2.2311,4.9261,7.1114,2.2311,4.9261,7.0670,2.2311,4.9261,7.1060,2.2311,4.9261,6.8579,2.2526,4.9261,6.9942,2.1891,4.9261,6.7663,2.2526,4.9261,6.7328,2.2526,4.9261,6.7381,2.2526,4.9261,7.0470,2.2311,4.9261,7.0549,2.2311,4.9261,7.0959,2.2311,4.9261,6.7815,2.2526,4.9261,6.8052,2.2526,4.9261,7.0931,2.2526,4.9261
10114,7.1294,2.2311,4.9261,7.0607,2.2311,4.9261,7.1103,2.2311,4.9261,7.0658,2.2311,4.9261,7.1048,2.2311,4.9261,6.8675,2.2526,4.9261,7.0038,2.1891,4.9261,6.7759,2.2526,4.9261,6.7424,2.2526,4.9261,6.7477,2.2526,4.9261,7.0458,2.2311,4.9261,7.0538,2.2311,4.9261,7.0947,2.2311,4.9261,6.7911,2.2526,4.9261,6.8148,2.2526,4.9261,7.1027,2.2526,4.9261
10115,7.1728,2.2311,4.9261,7.1041,2.2311,4.9261,7.1537,2.2311,4.9261,7.1093,2.2311,4.9261,7.1483,2.2311,4.9261,6.9279,2.2526,4.9261,7.0640,2.1891,4.9261,6.8362,2.2526,4.9261,6.8027,2.2526,4.9261,6.8080,2.2526,4.9261,7.0893,2.2311,4.9261,7.0972,2.2311,4.9261,7.1382,2.2311,4.9261,6.8515,2.2526,4.9261,6.8752,2.2526,4.9261,7.1630,2.2526,4.9261
10116,7.5877,2.2311,4.9261,7.5190,2.2311,4.9261,7.5686,2.2311,4.9261,7.5242,2.2311,4.9261,7.5632,2.2311,4.9261,7.3403,2.2526,4.9261,7.4754,2.1891,4.9261,7.2486,2.2526,4.9261,7.2151,2.2526,4.9261,7.2204,2.2526,4.9261,7.5042,2.2311,4.9261,7.5121,2.2311,4.9261,7.5531,2.2311,4.9261,7.2639,2.2526,4.9261,7.2876,2.2526,4.9261,7.5754,2.2526,4.9261
10117,7.6958,2.2311,4.9261,7.6271,2.2311,4.9261,7.6767,2.2311,4.9261,7.6323,2.2311,4.9261,7.6713,2.2311,4.9261,7.5127,2.2526,4.9261,7.6475,2.1891,4.9261,7.4211,2.2526,4.9261,7.3875,2.2526,4.9261,7.3929,2.2526,4.9261,7.6123,2.2311,4.9261,7.6202,2.2311,4.9261,7.6612,2.2311,4.9261,7.4363,2.2526,4.9261,7.4600,2.2526,4.9261,7.7479,2.2526,4.9261
10118,7.6993,2.2311,4.9261,7.6306,2.2311,4.9261,7.6802,2.2311,4.9261,7.6358,2.2311,4.9261,7.6748,2.2311,4.9261,7.5514,2.2526,4.9261,7.6861,2.1891,4.9261,7.4597,2.2526,4.9261,7.4262,2.2526,4.9261,7.4315,2.2526,4.9261,7.6158,2.2311,4.9261,7.6237,2.2311,4.9261,7.6647,2.2311,4.9261,7.4750,2.2526,4.9261,7.4987,2.2526,4.9261,7.7865,2.2526,4.9261
