; Use with 2009 calendar year and updated CEC weather data      - source file: 2022_TDV_Emissions_Factor_Policy_Comp_20191011.xlsx,,,,,,,,,,,,,,,,
; Version ID: Long Run Marginal Emissions Factors Deep_Decarb,,,,,,,,,,,,,,,,
; MoDaHr,Electricity Long Run Emissions (CZ1; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ2; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ3; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ4; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ5; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ6; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ7; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ8; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ9; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ10; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ11; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ12; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ13; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ14; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ15; tonnes CO2-e/kWh),Electricity Long Run Emissions (CZ16; tonnes CO2-e/kWh)
10202,0.000188519,0.000188519,0.000188519,0.000188519,0.000188519,0.000190166,0.000189643,0.000190166,0.000190166,0.000190166,0.000188519,0.000188519,0.000188519,0.000190166,0.000190166,0.000190166
10203,0.000196922,0.000196922,0.000196922,0.000196922,0.000196922,0.000198643,0.000198097,0.000198643,0.000198643,0.000198643,0.000196922,0.000196922,0.000196922,0.000198643,0.000198643,0.000198643
10204,0.000218136,0.000218136,0.000218136,0.000218136,0.000218136,0.000220042,0.000219437,0.000220042,0.000220042,0.000220042,0.000218136,0.000218136,0.000218136,0.000220042,0.000220042,0.000220042
10205,0.000231719,0.000231719,0.000231719,0.000231719,0.000231719,0.000233743,0.000233101,0.000233743,0.000233743,0.000233743,0.000231719,0.000231719,0.000231719,0.000233743,0.000233743,0.000233743
10206,0.000240611,0.000240611,0.000240611,0.000240611,0.000240611,0.000242713,0.000242046,0.000242713,0.000242713,0.000242713,0.000240611,0.000240611,0.000240611,0.000242713,0.000242713,0.000242713
10207,0.000241682,0.000241682,0.000241682,0.000241682,0.000241682,0.000243793,0.000243123,0.000243793,0.000243793,0.000243793,0.000241682,0.000241682,0.000241682,0.000243793,0.000243793,0.000243793
10208,0.000241512,0.000241512,0.000241512,0.000241512,0.000241512,0.000243622,0.000242952,0.000243622,0.000243622,0.000243622,0.000241512,0.000241512,0.000241512,0.000243622,0.000243622,0.000243622
10209,0.000243903,0.000243903,0.000243903,0.000243903,0.000243903,0.00024101,0.000240759,0.00024101,0.00024101,0.00024101,0.000243903,0.000243903,0.000243903,0.00024101,0.00024101,0.00024101
10210,0.000202066,0.000202066,0.000202066,0.000202066,0.000202066,0.000199669,0.000199461,0.000199669,0.000199669,0.000199669,0.000202066,0.000202066,0.000202066,0.000199669,0.000199669,0.000199669
10211,0.000158965,0.000158965,0.000158965,0.000158965,0.000158965,0.00015708,0.000156916,0.00015708,0.00015708,0.00015708,0.000158965,0.000158965,0.000158965,0.00015708,0.00015708,0.00015708
10212,0.000154912,0.000154912,0.000154912,0.000154912,0.000154912,0.000153075,0.000152915,0.000153075,0.000153075,0.000153075,0.000154912,0.000154912,0.000154912,0.000153075,0.000153075,0.000153075
10213,0.000152677,0.000152677,0.000152677,0.000152677,0.000152677,0.000150866,0.000150709,0.000150866,0.000150866,0.000150866,0.000152677,0.000152677,0.000152677,0.000150866,0.000150866,0.000150866
10214,0.000154827,0.000154827,0.000154827,0.000154827,0.000154827,0.000152991,0.000152831,0.000152991,0.000152991,0.000152991,0.000154827,0.000154827,0.000154827,0.000152991,0.000152991,0.000152991
10215,0.000152545,0.000152545,0.000152545,0.000152545,0.000152545,0.000152545,0.000152545,0.000152545,0.000152545,0.000152545,0.000152545,0.000152545,0.000152545,0.000152545,0.000152545,0.000152545
10216,0.000154549,0.000154549,0.000154549,0.000154549,0.000154549,0.000154549,0.000154549,0.000154549,0.000154549,0.000154549,0.000154549,0.000154549,0.000154549,0.000154549,0.000154549,0.000154549
10217,0.000248839,0.000248839,0.000248839,0.000248839,0.000248839,0.000248839,0.000248839,0.000248839,0.000248839,0.000248839,0.000248839,0.000248839,0.000248839,0.000248839,0.000248839,0.000248839
10218,0.000251278,0.000251278,0.000251278,0.000251278,0.000251278,0.000251278,0.000251278,0.000251278,0.000251278,0.000251278,0.000251278,0.000251278,0.000251278,0.000251278,0.000251278,0.000251278
10219,0.000251286,0.000251286,0.000251286,0.000251286,0.000251286,0.000251286,0.000251286,0.000251286,0.000251286,0.000251286,0.000251286,0.000251286,0.000251286,0.000251286,0.000251286,0.000251286
10220,0.000251272,0.000251272,0.000251272,0.000251272,0.000251272,0.000251272,0.000251272,0.000251272,0.000251272,0.000251272,0.000251272,0.000251272,0.000251272,0.000251272,0.000251272,0.000251272
10221,0.000252904,0.000252904,0.000252904,0.000252904,0.000252904,0.000249905,0.000249644,0.000249905,0.000249905,0.000249905,0.000252904,0.000252904,0.000252904,0.000249905,0.000249905,0.000249905
10222,0.000252155,0.000252155,0.000252155,0.000252155,0.000252155,0.000249164,0.000248904,0.000249164,0.000249164,0.000249164,0.000252155,0.000252155,0.000252155,0.000249164,0.000249164,0.000249164
10223,0.000243317,0.000243317,0.000243317,0.000243317,0.000243317,0.000245443,0.000244769,0.000245443,0.000245443,0.000245443,0.000243317,0.000243317,0.000243317,0.000245443,0.000245443,0.000245443
10224,0.000242769,0.000242769,0.000242769,0.000242769,0.000242769,0.00024489,0.000244217,0.00024489,0.00024489,0.00024489,0.000242769,0.000242769,0.000242769,0.00024489,0.00024489,0.00024489
10301,0.000230166,0.000230166,0.000230166,0.000230166,0.000230166,0.000232177,0.000231539,0.000232177,0.000232177,0.000232177,0.000230166,0.000230166,0.000230166,0.000232177,0.000232177,0.000232177
10302,0.000225954,0.000225954,0.000225954,0.000225954,0.000225954,0.000227928,0.000227302,0.000227928,0.000227928,0.000227928,0.000225954,0.000225954,0.000225954,0.000227928,0.000227928,0.000227928
10303,0.000225612,0.000225612,0.000225612,0.000225612,0.000225612,0.000227583,0.000226958,0.000227583,0.000227583,0.000227583,0.000225612,0.000225612,0.000225612,0.000227583,0.000227583,0.000227583
10304,0.000225954,0.000225954,0.000225954,0.000225954,0.000225954,0.000227928,0.000227302,0.000227928,0.000227928,0.000227928,0.000225954,0.000225954,0.000225954,0.000227928,0.000227928,0.000227928
10305,0.000232106,0.000232106,0.000232106,0.000232106,0.000232106,0.000234134,0.00023349,0.000234134,0.000234134,0.000234134,0.000232106,0.000232106,0.000232106,0.000234134,0.000234134,0.000234134
10306,0.000239386,0.000239386,0.000239386,0.000239386,0.000239386,0.000241478,0.000240814,0.000241478,0.000241478,0.000241478,0.000239386,0.000239386,0.000239386,0.000241478,0.000241478,0.000241478
10307,0.000241296,0.000241296,0.000241296,0.000241296,0.000241296,0.000243404,0.000242735,0.000243404,0.000243404,0.000243404,0.000241296,0.000241296,0.000241296,0.000243404,0.000243404,0.000243404
10308,0.000241243,0.000241243,0.000241243,0.000241243,0.000241243,0.00024335,0.000242682,0.00024335,0.00024335,0.00024335,0.000241243,0.000241243,0.000241243,0.00024335,0.00024335,0.00024335
10309,5.57343E-05,5.57343E-05,5.57343E-05,5.57343E-05,5.57343E-05,5.62212E-05,5.60668E-05,5.62212E-05,5.62212E-05,5.62212E-05,5.57343E-05,5.57343E-05,5.57343E-05,5.62212E-05,5.62212E-05,5.62212E-05
10310,2.25854E-06,2.25854E-06,2.25854E-06,2.25854E-06,2.25854E-06,2.27827E-06,2.27201E-06,2.27827E-06,2.27827E-06,2.27827E-06,2.25854E-06,2.25854E-06,2.25854E-06,2.27827E-06,2.27827E-06,2.27827E-06
10311,8.19972E-08,8.19972E-08,8.19972E-08,8.19972E-08,8.19972E-08,8.27135E-08,8.24863E-08,8.27135E-08,8.27135E-08,8.27135E-08,8.19972E-08,8.19972E-08,8.19972E-08,8.27135E-08,8.27135E-08,8.27135E-08
10312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10314,1.64691E-07,1.64691E-07,1.64691E-07,1.64691E-07,1.64691E-07,1.6613E-07,1.65674E-07,1.6613E-07,1.6613E-07,1.6613E-07,1.64691E-07,1.64691E-07,1.64691E-07,1.6613E-07,1.6613E-07,1.6613E-07
10315,1.02037E-06,1.02037E-06,1.02037E-06,1.02037E-06,1.02037E-06,1.02929E-06,1.02646E-06,1.02929E-06,1.02929E-06,1.02929E-06,1.02037E-06,1.02037E-06,1.02037E-06,1.02929E-06,1.02929E-06,1.02929E-06
10316,2.36422E-06,2.36422E-06,2.36422E-06,2.36422E-06,2.36422E-06,2.38488E-06,2.37833E-06,2.38488E-06,2.38488E-06,2.38488E-06,2.36422E-06,2.36422E-06,2.36422E-06,2.38488E-06,2.38488E-06,2.38488E-06
10317,0.000208673,0.000208673,0.000208673,0.000208673,0.000208673,0.000210496,0.000209918,0.000210496,0.000210496,0.000210496,0.000208673,0.000208673,0.000208673,0.000210496,0.000210496,0.000210496
10318,0.000240835,0.000240835,0.000240835,0.000240835,0.000240835,0.000242939,0.000242271,0.000242939,0.000242939,0.000242939,0.000240835,0.000240835,0.000240835,0.000242939,0.000242939,0.000242939
10319,0.000240813,0.000240813,0.000240813,0.000240813,0.000240813,0.000242917,0.00024225,0.000242917,0.000242917,0.000242917,0.000240813,0.000240813,0.000240813,0.000242917,0.000242917,0.000242917
10320,0.000240813,0.000240813,0.000240813,0.000240813,0.000240813,0.000242916,0.000242249,0.000242916,0.000242916,0.000242916,0.000240813,0.000240813,0.000240813,0.000242916,0.000242916,0.000242916
10321,0.000240586,0.000240586,0.000240586,0.000240586,0.000240586,0.000242688,0.000242021,0.000242688,0.000242688,0.000242688,0.000240586,0.000240586,0.000240586,0.000242688,0.000242688,0.000242688
10322,0.000240585,0.000240585,0.000240585,0.000240585,0.000240585,0.000242687,0.000242021,0.000242687,0.000242687,0.000242687,0.000240585,0.000240585,0.000240585,0.000242687,0.000242687,0.000242687
10323,0.000240662,0.000240662,0.000240662,0.000240662,0.000240662,0.000242765,0.000242098,0.000242765,0.000242765,0.000242765,0.000240662,0.000240662,0.000240662,0.000242765,0.000242765,0.000242765
10324,0.000240706,0.000240706,0.000240706,0.000240706,0.000240706,0.000242809,0.000242142,0.000242809,0.000242809,0.000242809,0.000240706,0.000240706,0.000240706,0.000242809,0.000242809,0.000242809
10401,0.000245837,0.000245837,0.000245837,0.000245837,0.000245837,0.000247985,0.000247303,0.000247985,0.000247985,0.000247985,0.000245837,0.000245837,0.000245837,0.000247985,0.000247985,0.000247985
10402,0.000230701,0.000230701,0.000230701,0.000230701,0.000230701,0.000232717,0.000232077,0.000232717,0.000232717,0.000232717,0.000230701,0.000230701,0.000230701,0.000232717,0.000232717,0.000232717
10403,0.000227602,0.000227602,0.000227602,0.000227602,0.000227602,0.00022959,0.000228959,0.00022959,0.00022959,0.00022959,0.000227602,0.000227602,0.000227602,0.00022959,0.00022959,0.00022959
10404,0.000220819,0.000220819,0.000220819,0.000220819,0.000220819,0.000222748,0.000222136,0.000222748,0.000222748,0.000222748,0.000220819,0.000220819,0.000220819,0.000222748,0.000222748,0.000222748
