; Use with 2009 calendar year and updated CEC weather data,,,,,,,,,,,,,,,,
; Version ID: 2019 TDV Interim GHG Adder Only,,,,,,,,,,,,,,,,
; MoDaHr,Electricity TDV (CZ1; kBtu/kWh),Electricity TDV (CZ2; kBtu/kWh),Electricity TDV (CZ3; kBtu/kWh),Electricity TDV (CZ4; kBtu/kWh),Electricity TDV (CZ5; kBtu/kWh),Electricity TDV (CZ6; kBtu/kWh),Electricity TDV (CZ7; kBtu/kWh),Electricity TDV (CZ8; kBtu/kWh),Electricity TDV (CZ9; kBtu/kWh),Electricity TDV (CZ10; kBtu/kWh),Electricity TDV (CZ11; kBtu/kWh),Electricity TDV (CZ12; kBtu/kWh),Electricity TDV (CZ13; kBtu/kWh),Electricity TDV (CZ14; kBtu/kWh),Electricity TDV (CZ15; kBtu/kWh),Electricity TDV (CZ16; kBtu/kWh)
10124,1.390176514,1.390176514,1.390176514,1.390176514,1.390176514,1.373116693,1.373116693,1.373116693,1.373116693,1.373116693,1.390176514,1.390176514,1.390176514,1.373116693,1.373116693,1.373116693
10201,1.28838041,1.28838041,1.28838041,1.28838041,1.28838041,1.188326122,1.188326122,1.188326122,1.188326122,1.188326122,1.28838041,1.28838041,1.28838041,1.188326122,1.188326122,1.188326122
10202,1.17767399,1.17767399,1.17767399,1.17767399,1.17767399,1.066224557,1.066224557,1.066224557,1.066224557,1.066224557,1.17767399,1.17767399,1.17767399,1.066224557,1.066224557,1.066224557
10203,1.170565557,1.170565557,1.170565557,1.170565557,1.170565557,1.058222441,1.058222441,1.058222441,1.058222441,1.058222441,1.170565557,1.170565557,1.170565557,1.058222441,1.058222441,1.058222441
10204,1.174643822,1.174643822,1.174643822,1.174643822,1.174643822,0.997451368,0.997451368,0.997451368,0.997451368,0.997451368,1.174643822,1.174643822,1.174643822,0.997451368,0.997451368,0.997451368
10205,1.266072974,1.266072974,1.266072974,1.266072974,1.266072974,1.081317218,1.081317218,1.081317218,1.081317218,1.081317218,1.266072974,1.266072974,1.266072974,1.081317218,1.081317218,1.081317218
10206,1.313934233,1.313934233,1.313934233,1.313934233,1.313934233,1.215196078,1.215196078,1.215196078,1.215196078,1.215196078,1.313934233,1.313934233,1.313934233,1.215196078,1.215196078,1.215196078
10207,1.321836312,1.321836312,1.321836312,1.321836312,1.321836312,1.331386393,1.331386393,1.331386393,1.331386393,1.331386393,1.321836312,1.321836312,1.321836312,1.331386393,1.331386393,1.331386393
10208,1.324043291,1.324043291,1.324043291,1.324043291,1.324043291,1.332771949,1.332771949,1.332771949,1.332771949,1.332771949,1.324043291,1.324043291,1.324043291,1.332771949,1.332771949,1.332771949
10209,1.313683408,1.313683408,1.313683408,1.313683408,1.313683408,1.220690519,1.220690519,1.220690519,1.220690519,1.220690519,1.313683408,1.313683408,1.313683408,1.220690519,1.220690519,1.220690519
10210,1.233827429,1.233827429,1.233827429,1.233827429,1.233827429,1.117452469,1.117452469,1.117452469,1.117452469,1.117452469,1.233827429,1.233827429,1.233827429,1.117452469,1.117452469,1.117452469
10211,1.233713981,1.233713981,1.233713981,1.233713981,1.233713981,0.357967666,0.357967666,0.357967666,0.357967666,0.357967666,1.233713981,1.233713981,1.233713981,0.357967666,0.357967666,0.357967666
10212,1.234017205,1.234017205,1.234017205,1.234017205,1.234017205,1.140362438,1.140362438,1.140362438,1.140362438,1.140362438,1.234017205,1.234017205,1.234017205,1.140362438,1.140362438,1.140362438
10213,1.234694312,1.234694312,1.234694312,1.234694312,1.234694312,1.140610742,1.140610742,1.140610742,1.140610742,1.140610742,1.234694312,1.234694312,1.234694312,1.140610742,1.140610742,1.140610742
