; MoDaHr,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy
; Fuel=,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; CZ=,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16
10106,4.353640279,90.53726733,100,4.353640279,90.53726733,100,4.353640279,90.53726733,100,4.353640279,90.53726733,100,4.353640279,90.53726733,100,4.353640279,89.962624,100,4.353640279,89.64436,100,4.353640279,89.962624,100,4.353640279,89.962624,100,4.353640279,89.962624,100,4.353640279,90.53726733,100,4.353640279,90.53726733,100,4.353640279,90.53726733,100,4.353640279,89.962624,100,4.353640279,89.962624,100,4.353640279,89.962624,100
10107,5.546049884,90.53726733,100,5.546049884,90.53726733,100,5.546049884,90.53726733,100,5.546049884,90.53726733,100,5.546049884,90.53726733,100,5.546049884,89.962624,100,5.546049884,89.64436,100,5.546049884,89.962624,100,5.546049884,89.962624,100,5.546049884,89.962624,100,5.546049884,90.53726733,100,5.546049884,90.53726733,100,5.546049884,90.53726733,100,5.546049884,89.962624,100,5.546049884,89.962624,100,5.546049884,89.962624,100
10108,4.356964324,90.53726733,100,4.356964324,90.53726733,100,4.356964324,90.53726733,100,4.356964324,90.53726733,100,4.356964324,90.53726733,100,4.356964324,89.962624,100,4.356964324,89.64436,100,4.356964324,89.962624,100,4.356964324,89.962624,100,4.356964324,89.962624,100,4.356964324,90.53726733,100,4.356964324,90.53726733,100,4.356964324,90.53726733,100,4.356964324,89.962624,100,4.356964324,89.962624,100,4.356964324,89.962624,100
10109,2.681373328,90.53726733,100,2.681373328,90.53726733,100,2.681373328,90.53726733,100,2.681373328,90.53726733,100,2.681373328,90.53726733,100,2.681373328,89.962624,100,2.681373328,89.64436,100,2.681373328,89.962624,100,2.681373328,89.962624,100,2.681373328,89.962624,100,2.681373328,90.53726733,100,2.681373328,90.53726733,100,2.681373328,90.53726733,100,2.681373328,89.962624,100,2.681373328,89.962624,100,2.681373328,89.962624,100
10110,2.379104209,90.53726733,100,2.379104209,90.53726733,100,2.379104209,90.53726733,100,2.379104209,90.53726733,100,2.379104209,90.53726733,100,2.379104209,89.962624,100,2.379104209,89.64436,100,2.379104209,89.962624,100,2.379104209,89.962624,100,2.379104209,89.962624,100,2.379104209,90.53726733,100,2.379104209,90.53726733,100,2.379104209,90.53726733,100,2.379104209,89.962624,100,2.379104209,89.962624,100,2.379104209,89.962624,100
10111,2.832084785,90.53726733,100,2.832084785,90.53726733,100,2.832084785,90.53726733,100,2.832084785,90.53726733,100,2.832084785,90.53726733,100,2.832084785,89.962624,100,2.832084785,89.64436,100,2.832084785,89.962624,100,2.832084785,89.962624,100,2.832084785,89.962624,100,2.832084785,90.53726733,100,2.832084785,90.53726733,100,2.832084785,90.53726733,100,2.832084785,89.962624,100,2.832084785,89.962624,100,2.832084785,89.962624,100
10112,2.705323741,90.53726733,100,2.705323741,90.53726733,100,2.705323741,90.53726733,100,2.705323741,90.53726733,100,2.705323741,90.53726733,100,2.705323741,89.962624,100,2.705323741,89.64436,100,2.705323741,89.962624,100,2.705323741,89.962624,100,2.705323741,89.962624,100,2.705323741,90.53726733,100,2.705323741,90.53726733,100,2.705323741,90.53726733,100,2.705323741,89.962624,100,2.705323741,89.962624,100,2.705323741,89.962624,100
10113,2.826805655,90.53726733,100,2.826805655,90.53726733,100,2.826805655,90.53726733,100,2.826805655,90.53726733,100,2.826805655,90.53726733,100,2.826805655,89.962624,100,2.826805655,89.64436,100,2.826805655,89.962624,100,2.826805655,89.962624,100,2.826805655,89.962624,100,2.826805655,90.53726733,100,2.826805655,90.53726733,100,2.826805655,90.53726733,100,2.826805655,89.962624,100,2.826805655,89.962624,100,2.826805655,89.962624,100
10114,2.880887266,90.53726733,100,2.880887266,90.53726733,100,2.880887266,90.53726733,100,2.880887266,90.53726733,100,2.880887266,90.53726733,100,2.880887266,89.962624,100,2.880887266,89.64436,100,2.880887266,89.962624,100,2.880887266,89.962624,100,2.880887266,89.962624,100,2.880887266,90.53726733,100,2.880887266,90.53726733,100,2.880887266,90.53726733,100,2.880887266,89.962624,100,2.880887266,89.962624,100,2.880887266,89.962624,100
10115,2.927570286,90.53726733,100,2.927570286,90.53726733,100,2.927570286,90.53726733,100,2.927570286,90.53726733,100,2.927570286,90.53726733,100,2.927570286,89.962624,100,2.927570286,89.64436,100,2.927570286,89.962624,100,2.927570286,89.962624,100,2.927570286,89.962624,100,2.927570286,90.53726733,100,2.927570286,90.53726733,100,2.927570286,90.53726733,100,2.927570286,89.962624,100,2.927570286,89.962624,100,2.927570286,89.962624,100
