;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,CZ:,1,,CZ:,2,,CZ:,3,,CZ:,4,,CZ:,5,,CZ:,6,,CZ:,7,,CZ:,8,,CZ:,9,,CZ:,10,,CZ:,11,,CZ:,12,,CZ:,13,,CZ:,14,,CZ:,15,,CZ:,16,
;,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; MoDaHr,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu
10109,6.3405,1.8476,4.8019,6.3405,1.8476,4.8019,6.3405,1.8476,4.8019,6.3405,1.8476,4.8019,6.3405,1.8476,4.8019,5.942,1.8666,4.8019,6.1647,1.8084,4.8019,5.9478,1.8666,4.8019,5.9039,1.8666,4.8019,5.901,1.8666,4.8019,6.3405,1.8476,4.8019,6.3405,1.8476,4.8019,6.3405,1.8476,4.8019,5.898,1.8666,4.8019,5.9039,1.8666,4.8019,5.8892,1.8666,4.8019
10110,6.1793,1.8476,4.8019,6.1793,1.8476,4.8019,6.1793,1.8476,4.8019,6.1793,1.8476,4.8019,6.1793,1.8476,4.8019,5.8922,1.8666,4.8019,6.1149,1.8084,4.8019,5.898,1.8666,4.8019,5.8541,1.8666,4.8019,5.8512,1.8666,4.8019,6.1793,1.8476,4.8019,6.1793,1.8476,4.8019,6.1793,1.8476,4.8019,5.8482,1.8666,4.8019,5.8541,1.8666,4.8019,5.8394,1.8666,4.8019
10111,6.0943,1.8476,4.8019,6.0943,1.8476,4.8019,6.0943,1.8476,4.8019,6.0943,1.8476,4.8019,6.0943,1.8476,4.8019,5.8101,1.8666,4.8019,6.0328,1.8084,4.8019,5.8189,1.8666,4.8019,5.772,1.8666,4.8019,5.7691,1.8666,4.8019,6.0943,1.8476,4.8019,6.0943,1.8476,4.8019,6.0943,1.8476,4.8019,5.7662,1.8666,4.8019,5.772,1.8666,4.8019,5.7574,1.8666,4.8019
10112,6.0943,1.8476,4.8019,6.0943,1.8476,4.8019,6.0943,1.8476,4.8019,6.0943,1.8476,4.8019,6.0943,1.8476,4.8019,5.4761,1.8666,4.8019,5.7017,1.8084,4.8019,5.4849,1.8666,4.8019,5.438,1.8666,4.8019,5.438,1.8666,4.8019,6.0943,1.8476,4.8019,6.0943,1.8476,4.8019,6.0943,1.8476,4.8019,5.4322,1.8666,4.8019,5.438,1.8666,4.8019,5.4234,1.8666,4.8019
10113,6.1119,1.8476,4.8019,6.1119,1.8476,4.8019,6.1119,1.8476,4.8019,6.1119,1.8476,4.8019,6.1119,1.8476,4.8019,5.3941,1.8666,4.8019,5.6197,1.8084,4.8019,5.4029,1.8666,4.8019,5.3589,1.8666,4.8019,5.356,1.8666,4.8019,6.1119,1.8476,4.8019,6.1119,1.8476,4.8019,6.1119,1.8476,4.8019,5.3531,1.8666,4.8019,5.3589,1.8666,4.8019,5.3413,1.8666,4.8019
10114,6.1119,1.8476,4.8019,6.1119,1.8476,4.8019,6.1119,1.8476,4.8019,6.1119,1.8476,4.8019,6.1119,1.8476,4.8019,5.3238,1.8666,4.8019,5.5464,1.8084,4.8019,5.3296,1.8666,4.8019,5.2857,1.8666,4.8019,5.2827,1.8666,4.8019,6.1119,1.8476,4.8019,6.1119,1.8476,4.8019,6.1119,1.8476,4.8019,5.2798,1.8666,4.8019,5.2857,1.8666,4.8019,5.2681,1.8666,4.8019
10115,5.772,1.8476,4.8019,5.772,1.8476,4.8019,5.772,1.8476,4.8019,5.772,1.8476,4.8019,5.772,1.8476,4.8019,5.0542,1.8666,4.8019,5.2798,1.8084,4.8019,5.063,1.8666,4.8019,5.0161,1.8666,4.8019,5.0132,1.8666,4.8019,5.772,1.8476,4.8019,5.772,1.8476,4.8019,5.772,1.8476,4.8019,5.0103,1.8666,4.8019,5.0161,1.8666,4.8019,5.0015,1.8666,4.8019
10116,5.898,1.8476,4.8019,5.898,1.8476,4.8019,5.898,1.8476,4.8019,5.898,1.8476,4.8019,5.8951,1.8476,4.8019,5.3179,1.8666,4.8019,5.5406,1.8084,4.8019,5.3238,1.8666,4.8019,5.2798,1.8666,4.8019,5.2769,1.8666,4.8019,5.8951,1.8476,4.8019,5.8951,1.8476,4.8019,5.898,1.8476,4.8019,5.274,1.8666,4.8019,5.2798,1.8666,4.8019,5.2622,1.8666,4.8019
10117,6.194,1.8476,4.8019,6.194,1.8476,4.8019,6.194,1.8476,4.8019,6.194,1.8476,4.8019,6.194,1.8476,4.8019,5.7603,1.8666,4.8019,5.983,1.8084,4.8019,5.7662,1.8666,4.8019,5.7222,1.8666,4.8019,5.7193,1.8666,4.8019,6.194,1.8476,4.8019,6.194,1.8476,4.8019,6.194,1.8476,4.8019,5.7164,1.8666,4.8019,5.7222,1.8666,4.8019,5.7076,1.8666,4.8019
10118,6.1676,1.8476,4.8019,6.1647,1.8476,4.8019,6.1647,1.8476,4.8019,6.1647,1.8476,4.8019,6.1647,1.8476,4.8019,5.898,1.8666,4.8019,6.1207,1.8084,4.8019,5.9039,1.8666,4.8019,5.8599,1.8666,4.8019,5.857,1.8666,4.8019,6.1647,1.8476,4.8019,6.1647,1.8476,4.8019,6.1647,1.8476,4.8019,5.8541,1.8666,4.8019,5.8599,1.8666,4.8019,5.8453,1.8666,4.8019
