,,ClimateZone,CodeBase,BldgType,Metric,SpcHtg,SpcClg,WtrHtg,AppCkg,,
,,3,2019,MultiFam,*,0.94,1,0.46,0.56,,
,,4,2019,MultiFam,*,0.9,0.96,0.51,0.56,,
,,5,2019,MultiFam,*,0.84,0.93,0.47,0.56,,
,,6,2019,MultiFam,*,1,0.94,0.54,0.56,,
,,7,2019,MultiFam,*,1.23,0.93,0.52,0.56,,
,,8,2019,MultiFam,*,1.06,0.97,0.57,0.57,,
,,9,2019,MultiFam,*,1.02,0.98,0.57,0.57,,
,,10,2019,MultiFam,*,0.95,0.98,0.56,0.56,,
,,11,2019,MultiFam,*,0.88,0.99,0.55,0.56,,
,,12,2019,MultiFam,*,0.92,0.98,0.52,0.56,,
,,13,2019,MultiFam,*,0.89,0.99,0.53,0.56,,
,,14,2019,MultiFam,*,0.85,0.98,0.55,0.57,,
,,15,2019,MultiFam,*,0.95,0.99,0.62,0.56,,
,,16,2019,MultiFam,*,0.67,0.95,0.47,0.56,,
,,1,2022,SingleFam,TDV_0,0.85,1,0.37,0.57,;,CA T24R 2022 - TDV metric 0 (EDR2)
,,2,2022,SingleFam,TDV_0,0.91,1.04,0.4,0.57,,
,,3,2022,SingleFam,TDV_0,1,1,0.4,0.57,,
,,4,2022,SingleFam,TDV_0,0.92,1.04,0.44,0.57,,
,,5,2022,SingleFam,TDV_0,0.91,1,0.39,0.57,,
,,6,2022,SingleFam,TDV_0,1.02,1.05,0.44,0.58,,
,,7,2022,SingleFam,TDV_0,1.09,1.09,0.43,0.57,,
,,8,2022,SingleFam,TDV_0,1.07,1.02,0.46,0.58,,
,,9,2022,SingleFam,TDV_0,1.03,1.02,0.47,0.58,,
,,10,2022,SingleFam,TDV_0,0.98,1.02,0.46,0.58,,
,,11,2022,SingleFam,TDV_0,0.89,1.01,0.41,0.57,,
,,12,2022,SingleFam,TDV_0,0.94,1.02,0.41,0.57,,
,,13,2022,SingleFam,TDV_0,0.92,1.01,0.44,0.57,,
,,14,2022,SingleFam,TDV_0,0.87,1.01,0.47,0.58,,
,,15,2022,SingleFam,TDV_0,0.99,1.01,0.53,0.58,,
,,16,2022,SingleFam,TDV_0,0.7,1.05,0.39,0.57,,
,,1,2022,MultiFam,TDV_0,0.76,1,0.45,0.56,,
,,2,2022,MultiFam,TDV_0,0.89,0.95,0.49,0.56,,
,,3,2022,MultiFam,TDV_0,0.94,1,0.46,0.56,,
,,4,2022,MultiFam,TDV_0,0.9,0.96,0.51,0.56,,
,,5,2022,MultiFam,TDV_0,0.84,0.93,0.47,0.56,,
,,6,2022,MultiFam,TDV_0,1,0.94,0.54,0.56,,
,,7,2022,MultiFam,TDV_0,1.23,0.93,0.52,0.56,,
,,8,2022,MultiFam,TDV_0,1.06,0.97,0.57,0.57,,
,,9,2022,MultiFam,TDV_0,1.02,0.98,0.57,0.57,,
,,10,2022,MultiFam,TDV_0,0.95,0.98,0.56,0.56,,
,,11,2022,MultiFam,TDV_0,0.88,0.99,0.55,0.56,,
,,12,2022,MultiFam,TDV_0,0.92,0.98,0.52,0.56,,
,,13,2022,MultiFam,TDV_0,0.89,0.99,0.53,0.56,,
,,14,2022,MultiFam,TDV_0,0.85,0.98,0.55,0.57,,
,,15,2022,MultiFam,TDV_0,0.95,0.99,0.62,0.56,,
,,16,2022,MultiFam,TDV_0,0.67,0.95,0.47,0.56,,
,,1,2022,SingleFam,TDV_2,0.85,1,0.37,0.57,;,CA T24R 2022 - TDV metric 2 (EDR2)
,,2,2022,SingleFam,TDV_2,0.91,1.04,0.4,0.57,,
,,3,2022,SingleFam,TDV_2,1,1,0.4,0.57,,
,,4,2022,SingleFam,TDV_2,0.92,1.04,0.44,0.57,,
,,5,2022,SingleFam,TDV_2,0.91,1,0.39,0.57,,
,,6,2022,SingleFam,TDV_2,1.02,1.05,0.44,0.58,,
,,7,2022,SingleFam,TDV_2,1.09,1.09,0.43,0.57,,
,,8,2022,SingleFam,TDV_2,1.07,1.02,0.46,0.58,,
,,9,2022,SingleFam,TDV_2,1.03,1.02,0.47,0.58,,
,,10,2022,SingleFam,TDV_2,0.98,1.02,0.46,0.58,,
,,11,2022,SingleFam,TDV_2,0.89,1.01,0.41,0.57,,
