;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,CZ:,1,,CZ:,2,,CZ:,3,,CZ:,4,,CZ:,5,,CZ:,6,,CZ:,7,,CZ:,8,,CZ:,9,,CZ:,10,,CZ:,11,,CZ:,12,,CZ:,13,,CZ:,14,,CZ:,15,,CZ:,16,
;,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; MoDaHr,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm
10111,3.497939962,103.11,100,3.497939962,103.11,100,3.497939962,103.11,100,3.497939962,103.11,100,3.497939962,103.11,100,3.528499769,101.66,100,3.518806003,101.66,100,3.528499769,101.66,100,3.528499769,101.66,100,3.528499769,101.66,100,3.497939962,103.11,100,3.497939962,103.11,100,3.497939962,103.11,100,3.528499769,101.66,100,3.528499769,101.66,100,3.528499769,101.66,100
10112,3.219201817,103.11,100,3.219201817,103.11,100,3.219201817,103.11,100,3.219201817,103.11,100,3.219201817,103.11,100,3.247326424,101.66,100,3.23840512,101.66,100,3.247326424,101.66,100,3.247326424,101.66,100,3.247326424,101.66,100,3.219201817,103.11,100,3.219201817,103.11,100,3.219201817,103.11,100,3.247326424,101.66,100,3.247326424,101.66,100,3.247326424,101.66,100
10113,3.037087471,103.11,100,3.037087471,103.11,100,3.037087471,103.11,100,3.037087471,103.11,100,3.037087471,103.11,100,3.063621033,101.66,100,3.055204418,101.66,100,3.063621033,101.66,100,3.063621033,101.66,100,3.063621033,101.66,100,3.037087471,103.11,100,3.037087471,103.11,100,3.037087471,103.11,100,3.063621033,101.66,100,3.063621033,101.66,100,3.063621033,101.66,100
10114,3.131799252,103.11,100,3.131799252,103.11,100,3.131799252,103.11,100,3.131799252,103.11,100,3.131799252,103.11,100,3.159160265,101.66,100,3.150481178,101.66,100,3.159160265,101.66,100,3.159160265,101.66,100,3.159160265,101.66,100,3.131799252,103.11,100,3.131799252,103.11,100,3.131799252,103.11,100,3.159160265,101.66,100,3.159160265,101.66,100,3.159160265,101.66,100
10115,3.140463416,103.11,100,3.140463416,103.11,100,3.140463416,103.11,100,3.140463416,103.11,100,3.140463416,103.11,100,3.167900124,101.66,100,3.159197025,101.66,100,3.167900124,101.66,100,3.167900124,101.66,100,3.167900124,101.66,100,3.140463416,103.11,100,3.140463416,103.11,100,3.140463416,103.11,100,3.167900124,101.66,100,3.167900124,101.66,100,3.167900124,101.66,100
10116,3.753047049,103.11,100,3.753047049,103.11,100,3.753047049,103.11,100,3.753047049,103.11,100,3.753047049,103.11,100,3.785835603,101.66,100,3.775434865,101.66,100,3.785835603,101.66,100,3.785835603,101.66,100,3.785835603,101.66,100,3.753047049,103.11,100,3.753047049,103.11,100,3.753047049,103.11,100,3.785835603,101.66,100,3.785835603,101.66,100,3.785835603,101.66,100
10117,4.715639136,103.11,100,4.715639136,103.11,100,4.715639136,103.11,100,4.715639136,103.11,100,4.715639136,103.11,100,4.75683739,101.66,100,4.743769042,101.66,100,4.75683739,101.66,100,4.75683739,101.66,100,4.75683739,101.66,100,4.715639136,103.11,100,4.715639136,103.11,100,4.715639136,103.11,100,4.75683739,101.66,100,4.75683739,101.66,100,4.75683739,101.66,100
10118,4.735973331,103.11,100,4.735973331,103.11,100,4.735973331,103.11,100,4.735973331,103.11,100,4.735973331,103.11,100,4.777349235,101.66,100,4.764224535,101.66,100,4.777349235,101.66,100,4.777349235,101.66,100,4.777349235,101.66,100,4.735973331,103.11,100,4.735973331,103.11,100,4.735973331,103.11,100,4.777349235,101.66,100,4.777349235,101.66,100,4.777349235,101.66,100
10119,4.73577331,103.11,100,4.73577331,103.11,100,4.73577331,103.11,100,4.73577331,103.11,100,4.73577331,103.11,100,4.777147467,101.66,100,4.764023321,101.66,100,4.777147467,101.66,100,4.777147467,101.66,100,4.777147467,101.66,100,4.73577331,103.11,100,4.73577331,103.11,100,4.73577331,103.11,100,4.777147467,101.66,100,4.777147467,101.66,100,4.777147467,101.66,100
10120,4.73486668,103.11,100,4.73486668,103.11,100,4.73486668,103.11,100,4.73486668,103.11,100,4.73486668,103.11,100,4.776232917,101.66,100,4.763111283,101.66,100,4.776232917,101.66,100,4.776232917,101.66,100,4.776232917,101.66,100,4.73486668,103.11,100,4.73486668,103.11,100,4.73486668,103.11,100,4.776232917,101.66,100,4.776232917,101.66,100,4.776232917,101.66,100
