;,CEC Title-24 Residential Compliance Ruleset,,,,,,,,,,
;,Collection of tables based related to VCHP3 Input Processing,,,,,,,,,,
;,Created:,,05/13/24 SAC,,,,,,,,
;,Last modified:,,02/27/25 SAC - updated 2D interpolation tables based on latest NEEP-statistics spreadsheet (from BigLadder/NK),,,,,,,,
;,,,,,,,,,,,
;,Source Data:,,BigLadder OneDrive - NEEP-Statistical-Model,,,,,,,,
;,,,,,,,,,,,
;,Mod history:,,09/18/24 SAC - updated 2D interpolation tables based on latest NEEP-statistics spreadsheet (from BigLadder/NK),,,,,,,,
;,,,07/24/24 SAC - added 2D interpolation tables,,,,,,,,
;,,,05/13/24 SAC - created tables,,,,,,,,
;,,,,,,,,,,,
;,,,,,,,,,,,
,TABLE  VCHP3_NEEPRegressions,,,,,,,,,,
,,quantity,slope,intercept,r2,,,,,,
,,EIRr82min,-0.3241,1.3050,0.1266,;,EIR Ratio at 82F Min vs SEER2 over EER2,,,,
,,Qr95min,-0.1195,0.5096,0.0468,;,Capacity Ratio at 95F Min vs SEER2 over EER2,,,,
,,COP47rated,0.0660,2.8368,0.0545,;,COP Rated 47F vs HSPF2,,,,
,,Cap95ratVsEIR82,0.3686,0.0286,0.0000,;,Capacity Ratio at 95F Min vs EIR Ratio at 82F Min,,,,
,,*,0.0000,0.0000,0.0000,;,error,,,,
,ENDTABLE,,,,,,,,,,
;,,,,,,,,,,,
;,,,,,,,,,,,
,TABLE  VCHP3_NEEPStatistics,,,,,,,,,,
,,quantity,mean,,,,,,,,
,,COPn17max,0.669903791,;,COP Normalized 17°F Max,,,,,,
,,COPn17rated,0.744309562,;,COP Normalized 17°F Rated,,,,,,
,,COPn17min,0.870813416,;,COP Normalized 17°F Min,,,,,,
,,COPn5max,0.577435029,;,COP Normalized 5°F Max,,,,,,
,,COPn5rated,0.572649498,;,COP Normalized 5°F Rated,,,,,,
,,COPn5min,0.717675437,;,COP Normalized 5°F Min,,,,,,
,,COPn95max,0.927713996,;,COP Normalized 95°F Max,,,,,,
,,COPn95min,1.315675758,;,COP Normalized 95°F Min,,,,,,
,,COPn82max,1.224800148,;,COP Normalized 82°F Max,,,,,,
,,COPn82min,1.694040446,;,COP Normalized 82°F Min,,,,,,
,,IPr47rated,0.858017887,;,Input Power Ratio at 47°F Rated,,,,,,
,,IPr47min,0.198500025,;,Input Power Ratio at 47°F Min,,,,,,
,,IPr17rated,0.742997423,;,Input Power Ratio at 17°F Rated,,,,,,
,,IPr17min,0.273114595,;,Input Power Ratio at 17°F Min,,,,,,
,,IPr5rated,0.987730216,;,Input Power Ratio at 5°F Rated,,,,,,
,,IPr5min,0.274033776,;,Input Power Ratio at 5°F Min,,,,,,
,,IPr95rated,0.871396231,;,Input Power Ratio at 95°F Rated,,,,,,
,,IPr95min,0.222309494,;,Input Power Ratio at 95°F Min,,,,,,
,,IPr82min,0.225827076,;,Input Power Ratio at 82°F Min,,,,,,
,,IPm17max,1.08684884,;,Input Power Maintenance at 17°F Max,,,,,,
