;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,CZ:,1,,CZ:,2,,CZ:,3,,CZ:,4,,CZ:,5,,CZ:,6,,CZ:,7,,CZ:,8,,CZ:,9,,CZ:,10,,CZ:,11,,CZ:,12,,CZ:,13,,CZ:,14,,CZ:,15,,CZ:,16,
;,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; MoDaHr,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu
10109,6.0844,1.9201,4.3849,6.0698,1.9201,4.3849,6.0727,1.9201,4.3849,6.0698,1.9201,4.3849,6.0873,1.9201,4.3849,5.8587,1.942,4.3849,5.9672,1.9654,4.3849,5.8617,1.942,4.3849,5.8353,1.942,4.3849,5.8265,1.942,4.3849,6.0756,1.9201,4.3849,6.0785,1.9201,4.3849,6.0727,1.9201,4.3849,5.8265,1.942,4.3849,5.8353,1.942,4.3849,5.8177,1.942,4.3849
10110,5.9379,1.9201,4.3849,5.9203,1.9201,4.3849,5.9232,1.9201,4.3849,5.9203,1.9201,4.3849,5.9408,1.9201,4.3849,5.8324,1.942,4.3849,5.9437,1.9654,4.3849,5.8382,1.942,4.3849,5.8089,1.942,4.3849,5.803,1.942,4.3849,5.9261,1.9201,4.3849,5.9291,1.9201,4.3849,5.9232,1.9201,4.3849,5.803,1.942,4.3849,5.8089,1.942,4.3849,5.7943,1.942,4.3849
10111,5.8646,1.9201,4.3849,5.8499,1.9201,4.3849,5.8529,1.9201,4.3849,5.8499,1.9201,4.3849,5.8675,1.9201,4.3849,5.7679,1.942,4.3849,5.8763,1.9654,4.3849,5.7737,1.942,4.3849,5.7444,1.942,4.3849,5.7386,1.942,4.3849,5.8558,1.9201,4.3849,5.8558,1.9201,4.3849,5.8529,1.9201,4.3849,5.7356,1.942,4.3849,5.7444,1.942,4.3849,5.7298,1.942,4.3849
10112,5.8675,1.9201,4.3849,5.8499,1.9201,4.3849,5.8529,1.9201,4.3849,5.8529,1.9201,4.3849,5.8705,1.9201,4.3849,5.4953,1.942,4.3849,5.6038,1.9654,4.3849,5.5012,1.942,4.3849,5.4719,1.942,4.3849,5.466,1.942,4.3849,5.8587,1.9201,4.3849,5.8587,1.9201,4.3849,5.8529,1.9201,4.3849,5.4631,1.942,4.3849,5.4719,1.942,4.3849,5.4572,1.942,4.3849
10113,5.8998,1.9201,4.3849,5.8822,1.9201,4.3849,5.8851,1.9201,4.3849,5.8851,1.9201,4.3849,5.9027,1.9201,4.3849,5.4132,1.942,4.3849,5.5217,1.9654,4.3849,5.4191,1.942,4.3849,5.3898,1.942,4.3849,5.3839,1.942,4.3849,5.891,1.9201,4.3849,5.891,1.9201,4.3849,5.8851,1.9201,4.3849,5.3839,1.942,4.3849,5.3898,1.942,4.3849,5.3751,1.942,4.3849
10114,5.8998,1.9201,4.3849,5.8822,1.9201,4.3849,5.8851,1.9201,4.3849,5.8851,1.9201,4.3849,5.9027,1.9201,4.3849,5.3546,1.942,4.3849,5.4631,1.9654,4.3849,5.3576,1.942,4.3849,5.3283,1.942,4.3849,5.3224,1.942,4.3849,5.891,1.9201,4.3849,5.891,1.9201,4.3849,5.8851,1.9201,4.3849,5.3224,1.942,4.3849,5.3312,1.942,4.3849,5.3136,1.942,4.3849
10115,5.6213,1.9201,4.3849,5.6067,1.9201,4.3849,5.6096,1.9201,4.3849,5.6067,1.9201,4.3849,5.6243,1.9201,4.3849,5.1348,1.942,4.3849,5.2462,1.9654,4.3849,5.1377,1.942,4.3849,5.1114,1.942,4.3849,5.1026,1.942,4.3849,5.6125,1.9201,4.3849,5.6125,1.9201,4.3849,5.6096,1.9201,4.3849,5.1026,1.942,4.3849,5.1114,1.942,4.3849,5.0938,1.942,4.3849
10116,5.7239,1.9201,4.3849,5.7063,1.9201,4.3849,5.7093,1.9201,4.3849,5.7093,1.9201,4.3849,5.7268,1.9201,4.3849,5.3488,1.942,4.3849,5.4601,1.9654,4.3849,5.3546,1.942,4.3849,5.3253,1.942,4.3849,5.3195,1.942,4.3849,5.7151,1.9201,4.3849,5.7151,1.9201,4.3849,5.7093,1.9201,4.3849,5.3195,1.942,4.3849,5.3253,1.942,4.3849,5.3107,1.942,4.3849
10117,5.9467,1.9201,4.3849,5.9291,1.9201,4.3849,5.932,1.9201,4.3849,5.932,1.9201,4.3849,5.9496,1.9201,4.3849,5.7268,1.942,4.3849,5.8353,1.9654,4.3849,5.7298,1.942,4.3849,5.7005,1.942,4.3849,5.6946,1.942,4.3849,5.9379,1.9201,4.3849,5.9379,1.9201,4.3849,5.932,1.9201,4.3849,5.6946,1.942,4.3849,5.7034,1.942,4.3849,5.6858,1.942,4.3849
10118,5.9115,1.9201,4.3849,5.8939,1.9201,4.3849,5.8968,1.9201,4.3849,5.8939,1.9201,4.3849,5.9144,1.9201,4.3849,5.8441,1.942,4.3849,5.9525,1.9654,4.3849,5.8499,1.942,4.3849,5.8206,1.942,4.3849,5.8148,1.942,4.3849,5.8998,1.9201,4.3849,5.9027,1.9201,4.3849,5.8968,1.9201,4.3849,5.8148,1.942,4.3849,5.8206,1.942,4.3849,5.806,1.942,4.3849
10119,5.8968,1.9201,4.3849,5.8822,1.9201,4.3849,5.8851,1.9201,4.3849,5.8822,1.9201,4.3849,5.8998,1.9201,4.3849,5.8324,1.942,4.3849,5.9408,1.9654,4.3849,5.8353,1.942,4.3849,5.806,1.942,4.3849,5.8001,1.942,4.3849,5.888,1.9201,4.3849,5.888,1.9201,4.3849,5.8851,1.9201,4.3849,5.8001,1.942,4.3849,5.8089,1.942,4.3849,5.7913,1.942,4.3849
10120,5.9086,1.9201,4.3849,5.8939,1.9201,4.3849,5.8968,1.9201,4.3849,5.8939,1.9201,4.3849,5.9115,1.9201,4.3849,5.8441,1.942,4.3849,5.9525,1.9654,4.3849,5.847,1.942,4.3849,5.8177,1.942,4.3849,5.8118,1.942,4.3849,5.8998,1.9201,4.3849,5.8998,1.9201,4.3849,5.8968,1.9201,4.3849,5.8118,1.942,4.3849,5.8206,1.942,4.3849,5.803,1.942,4.3849
10121,5.973,1.9201,4.3849,5.9555,1.9201,4.3849,5.9584,1.9201,4.3849,5.9584,1.9201,4.3849,5.976,1.9201,4.3849,5.8998,1.942,4.3849,6.0082,1.9654,4.3849,5.9056,1.942,4.3849,5.8763,1.942,4.3849,5.8705,1.942,4.3849,5.9642,1.9201,4.3849,5.9642,1.9201,4.3849,5.9584,1.9201,4.3849,5.8705,1.942,4.3849,5.8763,1.942,4.3849,5.8617,1.942,4.3849
10122,5.9203,1.9201,4.3849,5.9027,1.9201,4.3849,5.9056,1.9201,4.3849,5.9056,1.9201,4.3849,5.9232,1.9201,4.3849,5.847,1.942,4.3849,5.9555,1.9654,4.3849,5.8499,1.942,4.3849,5.8206,1.942,4.3849,5.8148,1.942,4.3849,5.9086,1.9201,4.3849,5.9115,1.9201,4.3849,5.9056,1.9201,4.3849,5.8148,1.942,4.3849,5.8236,1.942,4.3849,5.806,1.942,4.3849
