;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,CZ:,1,,CZ:,2,,CZ:,3,,CZ:,4,,CZ:,5,,CZ:,6,,CZ:,7,,CZ:,8,,CZ:,9,,CZ:,10,,CZ:,11,,CZ:,12,,CZ:,13,,CZ:,14,,CZ:,15,,CZ:,16,
;,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; MoDaHr,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu
10110,24.4684796,223.11,492.61,24.2340065,223.11,492.61,24.4032913,223.11,492.61,24.2514128,223.11,492.61,24.3845198,223.11,492.61,23.7213739,225.26,492.61,24.1855419,218.91,492.61,23.4084018,225.26,492.61,23.2940663,225.26,492.61,23.3121552,225.26,492.61,24.1831528,223.11,492.61,24.2104568,223.11,492.61,24.3500485,223.11,492.61,23.4602794,225.26,492.61,23.5415088,225.26,492.61,24.5237702,225.26,492.61
10111,24.3575571,223.11,492.61,24.123084,223.11,492.61,24.2923688,223.11,492.61,24.1408316,223.11,492.61,24.2739386,223.11,492.61,23.6026015,225.26,492.61,24.0671108,218.91,492.61,23.2896294,225.26,492.61,23.1752939,225.26,492.61,23.1933828,225.26,492.61,24.0725716,223.11,492.61,24.0995343,223.11,492.61,24.2394673,223.11,492.61,23.3418483,225.26,492.61,23.4227364,225.26,492.61,24.4049978,225.26,492.61
10112,24.2589214,223.11,492.61,24.0244483,223.11,492.61,24.1940744,223.11,492.61,24.0421959,223.11,492.61,24.1753029,223.11,492.61,23.4288798,225.26,492.61,23.8940717,218.91,492.61,23.116249,225.26,492.61,23.0019135,225.26,492.61,23.0200024,225.26,492.61,23.9739359,223.11,492.61,24.0008986,223.11,492.61,24.1408316,223.11,492.61,23.1681266,225.26,492.61,23.2490147,225.26,492.61,24.2316174,225.26,492.61
10113,24.3363965,223.11,492.61,24.1019234,223.11,492.61,24.2712082,223.11,492.61,24.119671,223.11,492.61,24.252778,223.11,492.61,23.4060127,225.26,492.61,23.8712046,218.91,492.61,23.0933819,225.26,492.61,22.9790464,225.26,492.61,22.9971353,225.26,492.61,24.051411,223.11,492.61,24.0783737,223.11,492.61,24.2183067,223.11,492.61,23.1452595,225.26,492.61,23.2261476,225.26,492.61,24.2087503,225.26,492.61
10114,24.3326422,223.11,492.61,24.0981691,223.11,492.61,24.2674539,223.11,492.61,24.1155754,223.11,492.61,24.2486824,223.11,492.61,23.4387775,225.26,492.61,23.9039694,218.91,492.61,23.1261467,225.26,492.61,23.0118112,225.26,492.61,23.0299001,225.26,492.61,24.0473154,223.11,492.61,24.0746194,223.11,492.61,24.2142111,223.11,492.61,23.1780243,225.26,492.61,23.2589124,225.26,492.61,24.2415151,225.26,492.61
10115,24.4807664,223.11,492.61,24.2462933,223.11,492.61,24.4155781,223.11,492.61,24.2640409,223.11,492.61,24.3971479,223.11,492.61,23.6449227,225.26,492.61,24.109432,218.91,492.61,23.3319506,225.26,492.61,23.2176151,225.26,492.61,23.235704,225.26,492.61,24.1957809,223.11,492.61,24.2227436,223.11,492.61,24.3626766,223.11,492.61,23.3841695,225.26,492.61,23.4650576,225.26,492.61,24.447319,225.26,492.61
10116,25.8968201,223.11,492.61,25.662347,223.11,492.61,25.8316318,223.11,492.61,25.6800946,223.11,492.61,25.8132016,223.11,492.61,25.0524439,225.26,492.61,25.5135402,218.91,492.61,24.7394718,225.26,492.61,24.6251363,225.26,492.61,24.6432252,225.26,492.61,25.6118346,223.11,492.61,25.6387973,223.11,492.61,25.7787303,223.11,492.61,24.7916907,225.26,492.61,24.8725788,225.26,492.61,25.8548402,225.26,492.61
10117,26.2657654,223.11,492.61,26.0312923,223.11,492.61,26.2005771,223.11,492.61,26.0490399,223.11,492.61,26.1821469,223.11,492.61,25.6408451,225.26,492.61,26.1009175,218.91,492.61,25.3282143,225.26,492.61,25.2135375,225.26,492.61,25.2319677,225.26,492.61,25.9807799,223.11,492.61,26.0077426,223.11,492.61,26.1476756,223.11,492.61,25.3800919,225.26,492.61,25.46098,225.26,492.61,26.4435827,225.26,492.61
10118,26.2777109,223.11,492.61,26.0432378,223.11,492.61,26.2125226,223.11,492.61,26.0609854,223.11,492.61,26.1940924,223.11,492.61,25.7729282,225.26,492.61,26.2326593,218.91,492.61,25.4599561,225.26,492.61,25.3456206,225.26,492.61,25.3637095,225.26,492.61,25.9927254,223.11,492.61,26.0196881,223.11,492.61,26.1596211,223.11,492.61,25.512175,225.26,492.61,25.5930631,225.26,492.61,26.5753245,225.26,492.61
10119,26.2787348,223.11,492.61,26.0439204,223.11,492.61,26.2135465,223.11,492.61,26.061668,223.11,492.61,26.194775,223.11,492.61,25.8719052,225.26,492.61,26.3316363,218.91,492.61,25.5592744,225.26,492.61,25.4449389,225.26,492.61,25.4630278,225.26,492.61,25.993408,223.11,492.61,26.020712,223.11,492.61,26.1603037,223.11,492.61,25.611152,225.26,492.61,25.6920401,225.26,492.61,26.6746428,225.26,492.61
