TABLE RetlLrgCECStd16090012TrmlUnit,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,
Side_Entry_2_CoilHtg,BaseSys7 CoilHtg-9,Furnace,BaseAirSys7-9,n/a,322573.513,322573.513,0,-99996,0.8,,,
Side_Shelving_East_CoilHtg,BaseSys7 CoilHtg-10,Furnace,BaseAirSys7-10,n/a,411240.156,411240.156,0,-99996,0.8,,,
Side_Shelving_West_CoilHtg,BaseSys7 CoilHtg-11,Furnace,BaseAirSys7-11,n/a,410118.769,410118.769,0,-99996,0.8,,,
Side_Storage_1_CoilHtg,BaseSys7 CoilHtg-12,Furnace,BaseAirSys7-12,n/a,257616.825,257616.825,0,-99996,0.8,,,
Side_Storage_2_CoilHtg,BaseSys7 CoilHtg-13,Furnace,BaseAirSys7-13,n/a,121664.8,121664.8,0,0.81,0.815,,,
ENDTABLE,,,,,,,,,,,,
TABLE RetlLrgCECStd16090012Fan,,,,,,,,,,,,
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrHP,MtrPos,MtrEff
;,,,,,(cfm),(cfm),,,(inH2O),( hp),,
Back_Office_SupplyFan,BaseSys7 Fan,VariableSpeedDrive,BaseAirSys7,n/a,3652.141,1826.071,0.6,StaticPressure,3,3,InAirStream,0.895
Back_Shelving/Refrig_SupplyFan,BaseSys7 Fan-2,VariableSpeedDrive,BaseAirSys7-2,n/a,13083.066,6541.533,0.62,StaticPressure,3.5,15,InAirStream,0.924
Back_Storage_SupplyFan,BaseSys7 Fan-3,VariableSpeedDrive,BaseAirSys7-3,n/a,11569.915,5784.958,0.62,StaticPressure,3.5,15,InAirStream,0.924
Main_Entry_SupplyFan,BaseSys7 Fan-4,VariableSpeedDrive,BaseAirSys7-4,n/a,9378.713,4689.357,0.6,StaticPressure,3,7.5,InAirStream,0.917
Registers/Aisle_SupplyFan,BaseSys7 Fan-5,VariableSpeedDrive,BaseAirSys7-5,n/a,16780.412,8390.206,0.62,StaticPressure,3.5,15,InAirStream,0.924
Restroom_1_SupplyFan,BaseSys7 Fan-6,VariableSpeedDrive,BaseAirSys7-6,n/a,3343.94,1671.97,0.6,StaticPressure,3,3,InAirStream,0.895
Restroom_2_SupplyFan,BaseSys7 Fan-7,VariableSpeedDrive,BaseAirSys7-7,n/a,3345.802,1672.901,0.6,StaticPressure,3,3,InAirStream,0.895
Side_Entry_1_SupplyFan,BaseSys7 Fan-8,VariableSpeedDrive,BaseAirSys7-8,n/a,9554.698,4777.349,0.6,StaticPressure,3,10,InAirStream,0.917
Side_Entry_2_SupplyFan,BaseSys7 Fan-9,VariableSpeedDrive,BaseAirSys7-9,n/a,9910.024,4955.012,0.6,StaticPressure,3,10,InAirStream,0.917
Side_Shelving_East_SupplyFan,BaseSys7 Fan-10,VariableSpeedDrive,BaseAirSys7-10,n/a,16776.964,8388.482,0.62,StaticPressure,3.5,15,InAirStream,0.924
Side_Shelving_West_SupplyFan,BaseSys7 Fan-11,VariableSpeedDrive,BaseAirSys7-11,n/a,16689.056,8344.528,0.62,StaticPressure,3.5,15,InAirStream,0.924
Side_Storage_1_SupplyFan,BaseSys7 Fan-12,VariableSpeedDrive,BaseAirSys7-12,n/a,10332.154,5166.077,0.62,StaticPressure,3.5,10,InAirStream,0.917
Side_Storage_2_SupplyFan,BaseSys7 Fan-13,VariableSpeedDrive,BaseAirSys7-13,n/a,5396.278,2698.139,0.6,StaticPressure,3,5,InAirStream,0.895
Back_Office_ReliefFan,BaseRelief Fan,VariableSpeedDrive,BaseAirSys7,n/a,3502.141,0,0.4,StaticPressure,0.75,1.5,InAirStream,0.865
Back_Shelving/Refrig_ReliefFan,BaseRelief Fan-2,VariableSpeedDrive,BaseAirSys7-2,n/a,10733.066,0,0.5,StaticPressure,1,5,InAirStream,0.895
