TABLE HotSmlCECStd16070012TrmlUnit,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,
BaseSys5 CoilClg-4,BaseSys5 CoilClg-4,DirectExpansion,BaseAirSys5-4,UNDEFINED,51990.897,54242.655,-99996,13,10.845,2,,
GuestRoom101_FPFC CoilClg,BaseSys2 CoilClg,ChilledWater,BaseZnSys2,UNDEFINED,4545.405,4545.405,0.45437,-99996,-99996,-99996,,
GuestRoom102_FPFC CoilClg,BaseSys2 CoilClg-2,ChilledWater,BaseZnSys2-2,UNDEFINED,4640.684,4640.684,0.46389,-99996,-99996,-99996,,
GuestRoom103_FPFC CoilClg,BaseSys2 CoilClg-3,ChilledWater,BaseZnSys2-3,UNDEFINED,4439.022,4439.022,0.44373,-99996,-99996,-99996,,
GuestRoom104_FPFC CoilClg,BaseSys2 CoilClg-4,ChilledWater,BaseZnSys2-4,UNDEFINED,4222.412,4222.412,0.42208,-99996,-99996,-99996,,
GuestRoom105_FPFC CoilClg,BaseSys2 CoilClg-5,ChilledWater,BaseZnSys2-5,UNDEFINED,4251.536,4251.536,0.42499,-99996,-99996,-99996,,
GuestRoom201_FPFC CoilClg,BaseSys2 CoilClg-6,ChilledWater,BaseZnSys2-6,UNDEFINED,5158.122,5158.122,0.51562,-99996,-99996,-99996,,
GuestRoom202_205_FPFC CoilClg,BaseSys2 CoilClg-7,ChilledWater,BaseZnSys2-7,UNDEFINED,4256.64,4256.64,0.4255,-99996,-99996,-99996,,
GuestRoom206_208_FPFC CoilClg,BaseSys2 CoilClg-8,ChilledWater,BaseZnSys2-8,UNDEFINED,4355.126,4355.126,0.43535,-99996,-99996,-99996,,
GuestRoom209_212_FPFC CoilClg,BaseSys2 CoilClg-9,ChilledWater,BaseZnSys2-9,UNDEFINED,3894.945,3894.945,0.38935,-99996,-99996,-99996,,
GuestRoom213_FPFC CoilClg,BaseSys2 CoilClg-10,ChilledWater,BaseZnSys2-10,UNDEFINED,3889.537,3889.537,0.38881,-99996,-99996,-99996,,
GuestRoom214_FPFC CoilClg,BaseSys2 CoilClg-11,ChilledWater,BaseZnSys2-11,UNDEFINED,3628.214,3628.214,0.36268,-99996,-99996,-99996,,
GuestRoom215_218_FPFC CoilClg,BaseSys2 CoilClg-12,ChilledWater,BaseZnSys2-12,UNDEFINED,3597.199,3597.199,0.35958,-99996,-99996,-99996,,
GuestRoom219_FPFC CoilClg,BaseSys2 CoilClg-13,ChilledWater,BaseZnSys2-13,UNDEFINED,3661.152,3661.152,0.36598,-99996,-99996,-99996,,
GuestRoom220_223_FPFC CoilClg,BaseSys2 CoilClg-14,ChilledWater,BaseZnSys2-14,UNDEFINED,3586.264,3586.264,0.35849,-99996,-99996,-99996,,
GuestRoom224_FPFC CoilClg,BaseSys2 CoilClg-15,ChilledWater,BaseZnSys2-15,UNDEFINED,3626.533,3626.533,0.36252,-99996,-99996,-99996,,
GuestRoom301_FPFC CoilClg,BaseSys2 CoilClg-16,ChilledWater,BaseZnSys2-16,UNDEFINED,4787.415,4787.415,0.47856,-99996,-99996,-99996,,
GuestRoom302_305_FPFC CoilClg,BaseSys2 CoilClg-17,ChilledWater,BaseZnSys2-17,UNDEFINED,3967.778,3967.778,0.39663,-99996,-99996,-99996,,
GuestRoom306_308_FPFC CoilClg,BaseSys2 CoilClg-18,ChilledWater,BaseZnSys2-18,UNDEFINED,4343.402,4343.402,0.43418,-99996,-99996,-99996,,
GuestRoom309_312_FPFC CoilClg,BaseSys2 CoilClg-19,ChilledWater,BaseZnSys2-19,UNDEFINED,3911.832,3911.832,0.39103,-99996,-99996,-99996,,
GuestRoom313_FPFC CoilClg,BaseSys2 CoilClg-20,ChilledWater,BaseZnSys2-20,UNDEFINED,3907.228,3907.228,0.39057,-99996,-99996,-99996,,
GuestRoom314_FPFC CoilClg,BaseSys2 CoilClg-21,ChilledWater,BaseZnSys2-21,UNDEFINED,3659.198,3659.198,0.36578,-99996,-99996,-99996,,
GuestRoom315_318_FPFC CoilClg,BaseSys2 CoilClg-22,ChilledWater,BaseZnSys2-22,UNDEFINED,3663.274,3663.274,0.36619,-99996,-99996,-99996,,
GuestRoom319_FPFC CoilClg,BaseSys2 CoilClg-23,ChilledWater,BaseZnSys2-23,UNDEFINED,3633.673,3633.673,0.36323,-99996,-99996,-99996,,
GuestRoom320_323_FPFC CoilClg,BaseSys2 CoilClg-24,ChilledWater,BaseZnSys2-24,UNDEFINED,3627.791,3627.791,0.36264,-99996,-99996,-99996,,
