TABLE OffMedCECStd16030012STrmlUnit,,,,,,,,,,,,
PerimeterBottom4ReheatCoil,BaseVAVBox CoilHtg-5,HotWater,BaseAirSys5,Perimeter_bot_ZN_4 Thermal Zone,29573.25,29573.25,1.4781,-99996,-99996,,,
CoreMidReheatCoil,BaseVAVBox CoilHtg-6,HotWater,BaseAirSys5-2,Core_mid Thermal Zone,109186.913,109186.913,5.45727,-99996,-99996,,,
PerimeterMid1ReheatCoil,BaseVAVBox CoilHtg-7,HotWater,BaseAirSys5-2,Perimeter_mid_ZN_1 Thermal Zone,50846.362,50846.362,2.54135,-99996,-99996,,,
PerimeterMid2ReheatCoil,BaseVAVBox CoilHtg-8,HotWater,BaseAirSys5-2,Perimeter_mid_ZN_2 Thermal Zone,32657.1,32657.1,1.63223,-99996,-99996,,,
PerimeterMid3ReheatCoil,BaseVAVBox CoilHtg-9,HotWater,BaseAirSys5-2,Perimeter_mid_ZN_3 Thermal Zone,39295.225,39295.225,1.96401,-99996,-99996,,,
PerimeterMid4ReheatCoil,BaseVAVBox CoilHtg-10,HotWater,BaseAirSys5-2,Perimeter_mid_ZN_4 Thermal Zone,34154.412,34154.412,1.70707,-99996,-99996,,,
CoreTopReheatCoil,BaseVAVBox CoilHtg-11,HotWater,BaseAirSys5-3,Core_top Thermal Zone,172017.25,172017.25,8.5976,-99996,-99996,,,
PerimeterTop1ReheatCoil,BaseVAVBox CoilHtg-12,HotWater,BaseAirSys5-3,Perimeter_top_ZN_1 Thermal Zone,56887.55,56887.55,2.8433,-99996,-99996,,,
PerimeterTop2ReheatCoil,BaseVAVBox CoilHtg-13,HotWater,BaseAirSys5-3,Perimeter_top_ZN_2 Thermal Zone,35795.725,35795.725,1.78911,-99996,-99996,,,
PerimeterTop3ReheatCoil,BaseVAVBox CoilHtg-14,HotWater,BaseAirSys5-3,Perimeter_top_ZN_3 Thermal Zone,49706.45,49706.45,2.48438,-99996,-99996,,,
PerimeterTop4ReheatCoil,BaseVAVBox CoilHtg-15,HotWater,BaseAirSys5-3,Perimeter_top_ZN_4 Thermal Zone,38886.487,38886.487,1.94359,-99996,-99996,,,
ENDTABLE,,,,,,,,,,,,
TABLE OffMedCECStd16030012SFan,,,,,,,,,,,,
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrHP,MtrPos,MtrEff
;,,,,,(cfm),(cfm),,,(inH2O),( hp),,
BottomVAV SupplyFan,BaseSys5 Fan,VariableSpeedDrive,BaseAirSys5,UNDEFINED,14709.408,2885.407,0.62,StaticPressure,4,15,InAirStream,0.924
MidVAV SupplyFan,BaseSys5 Fan-2,VariableSpeedDrive,BaseAirSys5-2,UNDEFINED,15143.66,3130.099,0.62,StaticPressure,4,20,InAirStream,0.93
TopVAV SupplyFan,BaseSys5 Fan-3,VariableSpeedDrive,BaseAirSys5-3,UNDEFINED,15355.271,3201.514,0.62,StaticPressure,4,20,InAirStream,0.93
Bottom VAV Relief Fan,BaseRelief Fan,VariableSpeedDrive,BaseAirSys5,UNDEFINED,13815.612,0,0.5,StaticPressure,1,5,InAirStream,0.895
Mid VAV Relief Fan,BaseRelief Fan-2,VariableSpeedDrive,BaseAirSys5-2,UNDEFINED,14249.864,0,0.5,StaticPressure,1,5,InAirStream,0.895
Top VAV Relief Fan,BaseRelief Fan-3,VariableSpeedDrive,BaseAirSys5-3,UNDEFINED,14461.475,0,0.5,StaticPressure,1,5,InAirStream,0.895
ENDTABLE,,,,,,,,,,,,
TABLE OffMedCECStd16030012SOACtrl,,,,,,,,,,,,
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration,,,,,,,,
;,,,,,,,,,,,,
BottomVAV Economizer,BaseSys5 OACtrl,DifferentialDryBulb,BaseAirSys5,Integrated,,,,,,,,
MidVAV OACtrl,BaseSys5 OACtrl-2,DifferentialDryBulb,BaseAirSys5-2,Integrated,,,,,,,,
Top VAV OACtrl,BaseSys5 OACtrl-3,DifferentialDryBulb,BaseAirSys5-3,Integrated,,,,,,,,
ENDTABLE,,,,,,,,,,,,
