TABLE OffLrgCECStd16040012TrmlUnit,,,,,,,,,,,,
BaseSys6 CoilClg-Top,BaseSys6 CoilClg-5,ChilledWater,BaseAirSys6-5,UNDEFINED,1302164.187,1302164.187,130.16696,-99996,-99996,-99996,,
ENDTABLE,,,,,,,,,,,,
TABLE OffLrgCECStd16040012CoilHtg,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,FurnAFUE,FurnThrmlEff,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,
BaseSys6 CoilHtg,BaseSys6 CoilHtg,HotWater,BaseAirSys6,UNDEFINED,106959.95,106959.95,5.34597,-99996,-99996,,,
BaseSys6 CoilHtg-Bot,BaseSys6 CoilHtg-2,HotWater,BaseAirSys6-2,UNDEFINED,91376.1,91376.1,4.56707,-99996,-99996,,,
BaseSys6 CoilHtg-Mid,BaseSys6 CoilHtg-3,HotWater,BaseAirSys6-3,UNDEFINED,73100.462,73100.462,3.65363,-99996,-99996,,,
BaseSys6 CoilHtg-Hi,BaseSys6 CoilHtg-4,HotWater,BaseAirSys6-4,UNDEFINED,73259.087,73259.087,3.66156,-99996,-99996,,,
BaseSys6 CoilHtg-Top,BaseSys6 CoilHtg-5,HotWater,BaseAirSys6-5,UNDEFINED,82705.25,82705.25,4.13369,-99996,-99996,,,
BaseVAVReheatCoil,BaseVAVBox CoilHtg,HotWater,BaseAirSys6,Basement Thermal Zone,242404.8,242404.8,12.11564,-99996,-99996,,,
BaseVAVReheatCoil-2,BaseVAVBox CoilHtg-2,HotWater,BaseAirSys6-2,Core_bottom Thermal Zone,236785.262,236785.262,11.83477,-99996,-99996,,,
BaseVAVReheatCoil-3,BaseVAVBox CoilHtg-3,HotWater,BaseAirSys6-2,Perimeter_bot_ZN_1 Thermal Zone,77768.438,77768.438,3.88694,-99996,-99996,,,
BaseVAVReheatCoil-4,BaseVAVBox CoilHtg-4,HotWater,BaseAirSys6-2,Perimeter_bot_ZN_2 Thermal Zone,50199.575,50199.575,2.50903,-99996,-99996,,,
BaseVAVReheatCoil-5,BaseVAVBox CoilHtg-5,HotWater,BaseAirSys6-2,Perimeter_bot_ZN_3 Thermal Zone,57321.85,57321.85,2.865,-99996,-99996,,,
BaseVAVReheatCoil-6,BaseVAVBox CoilHtg-6,HotWater,BaseAirSys6-2,Perimeter_bot_ZN_4 Thermal Zone,52367.288,52367.288,2.61737,-99996,-99996,,,
BaseVAVReheatCoil-7,BaseVAVBox CoilHtg-7,HotWater,BaseAirSys6-3,Core_mid Thermal Zone,280751.852,280751.852,14.03226,-99996,-99996,,,
BaseVAVReheatCoil-8,BaseVAVBox CoilHtg-8,HotWater,BaseAirSys6-3,Perimeter_mid_ZN_1 Thermal Zone,84187.342,84187.342,4.20777,-99996,-99996,,,
BaseVAVReheatCoil-9,BaseVAVBox CoilHtg-9,HotWater,BaseAirSys6-3,Perimeter_mid_ZN_2 Thermal Zone,53706.625,53706.625,2.68431,-99996,-99996,,,
BaseVAVReheatCoil-10,BaseVAVBox CoilHtg-10,HotWater,BaseAirSys6-3,Perimeter_mid_ZN_3 Thermal Zone,62605.643,62605.643,3.12909,-99996,-99996,,,
BaseVAVReheatCoil-11,BaseVAVBox CoilHtg-11,HotWater,BaseAirSys6-3,Perimeter_mid_ZN_4 Thermal Zone,55696.245,55696.245,2.78375,-99996,-99996,,,
BaseVAVReheatCoil-12,BaseVAVBox CoilHtg-12,HotWater,BaseAirSys6-4,Core_hi Thermal Zone,281670.958,281670.958,14.0782,-99996,-99996,,,
BaseVAVReheatCoil-13,BaseVAVBox CoilHtg-13,HotWater,BaseAirSys6-4,Perimeter_hi_ZN_1 Thermal Zone,84030.505,84030.505,4.19993,-99996,-99996,,,
BaseVAVReheatCoil-14,BaseVAVBox CoilHtg-14,HotWater,BaseAirSys6-4,Perimeter_hi_ZN_2 Thermal Zone,53646.257,53646.257,2.68129,-99996,-99996,,,
BaseVAVReheatCoil-15,BaseVAVBox CoilHtg-15,HotWater,BaseAirSys6-4,Perimeter_hi_ZN_3 Thermal Zone,62553.808,62553.808,3.1265,-99996,-99996,,,
BaseVAVReheatCoil-16,BaseVAVBox CoilHtg-16,HotWater,BaseAirSys6-4,Perimeter_hi_ZN_4 Thermal Zone,55632.132,55632.132,2.78055,-99996,-99996,,,
BaseVAVReheatCoil-17,BaseVAVBox CoilHtg-17,HotWater,BaseAirSys6-5,Core_top Thermal Zone,466777.963,466777.963,23.33003,-99996,-99996,,,
BaseVAVReheatCoil-18,BaseVAVBox CoilHtg-18,HotWater,BaseAirSys6-5,Perimeter_top_ZN_1 Thermal Zone,95742.975,95742.975,4.78533,-99996,-99996,,,
BaseVAVReheatCoil-19,BaseVAVBox CoilHtg-19,HotWater,BaseAirSys6-5,Perimeter_top_ZN_2 Thermal Zone,60603.688,60603.688,3.02903,-99996,-99996,,,
BaseVAVReheatCoil-20,BaseVAVBox CoilHtg-20,HotWater,BaseAirSys6-5,Perimeter_top_ZN_3 Thermal Zone,84408.163,84408.163,4.2188,-99996,-99996,,,
BaseVAVReheatCoil-21,BaseVAVBox CoilHtg-21,HotWater,BaseAirSys6-5,Perimeter_top_ZN_4 Thermal Zone,65086.587,65086.587,3.25309,-99996,-99996,,,
ENDTABLE,,,,,,,,,,,,
TABLE OffLrgCECStd16040012Fan,,,,,,,,,,,,
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrHP,MtrPos,MtrEff
;,,,,,(cfm),(cfm),,,(inH2O),( hp),,
BaseSys6 Fan,BaseSys6 Fan,VariableSpeedDrive,BaseAirSys6,UNDEFINED,27232.74,5752.946,0.62,StaticPressure,4.5,40,InAirStream,0.941
BaseSys6 Fan-Bot,BaseSys6 Fan-2,VariableSpeedDrive,BaseAirSys6-2,UNDEFINED,29857.13,6823.685,0.62,StaticPressure,4.5,40,InAirStream,0.941
BaseSys6 Fan-Mid,BaseSys6 Fan-3,VariableSpeedDrive,BaseAirSys6-3,UNDEFINED,32834.204,7339.815,0.62,StaticPressure,4.5,40,InAirStream,0.941
BaseSys6 Fan-Hi,BaseSys6 Fan-4,VariableSpeedDrive,BaseAirSys6-4,UNDEFINED,32808.742,7328.988,0.62,StaticPressure,4.5,40,InAirStream,0.941
BaseSys6 Fan-Top,BaseSys6 Fan-5,VariableSpeedDrive,BaseAirSys6-5,UNDEFINED,31281.03,7126.121,0.62,StaticPressure,4.5,40,InAirStream,0.941
BaseAir6 ReliefFan,BaseRelief Fan,VariableSpeedDrive,BaseAirSys6,UNDEFINED,25315.091,0,0.5,StaticPressure,1,10,InAirStream,0.917
BaseAir6 ReliefFan-Bot,BaseRelief Fan-2,VariableSpeedDrive,BaseAirSys6-2,UNDEFINED,27939.481,0,0.5,StaticPressure,1,10,InAirStream,0.917
BaseAir6 ReliefFan-Mid,BaseRelief Fan-3,VariableSpeedDrive,BaseAirSys6-3,UNDEFINED,23245.96,0,0.5,StaticPressure,1,7.5,InAirStream,0.917
BaseAir6 ReliefFan-Hi,BaseRelief Fan-4,VariableSpeedDrive,BaseAirSys6-4,UNDEFINED,23220.498,0,0.5,StaticPressure,1,7.5,InAirStream,0.917
BaseAir6 ReliefFan-Top,BaseRelief Fan-5,VariableSpeedDrive,BaseAirSys6-5,UNDEFINED,29363.381,0,0.5,StaticPressure,1,10,InAirStream,0.917
ENDTABLE,,,,,,,,,,,,
TABLE OffLrgCECStd16040012OACtrl,,,,,,,,,,,,
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration,,,,,,,,
;,,,,,,,,,,,,
BaseSys6 OACtrl,BaseSys6 OACtrl,DifferentialDryBulb,BaseAirSys6,Integrated,,,,,,,,
BaseSys6 OACtrl-Bot,BaseSys6 OACtrl-2,DifferentialDryBulb,BaseAirSys6-2,Integrated,,,,,,,,
BaseSys6 OACtrl-Mid,BaseSys6 OACtrl-3,DifferentialDryBulb,BaseAirSys6-3,Integrated,,,,,,,,
BaseSys6 OACtrl-Hi,BaseSys6 OACtrl-4,DifferentialDryBulb,BaseAirSys6-4,Integrated,,,,,,,,
BaseSys6 OACtrl-Top,BaseSys6 OACtrl-5,DifferentialDryBulb,BaseAirSys6-5,Integrated,,,,,,,,
ENDTABLE,,,,,,,,,,,,
