TABLE OffMedCECStd16030012TrmlUnit,,,,,,,,,,,,
PerimeterBottom4ReheatCoil,BaseVAVBox CoilHtg-5,HotWater,BaseAirSys5,Perimeter_bot_ZN_4 Thermal Zone,29688.113,29688.113,1.48384,-99996,-99996,,,
CoreMidReheatCoil,BaseVAVBox CoilHtg-6,HotWater,BaseAirSys5-2,Core_mid Thermal Zone,109245.762,109245.762,5.46021,-99996,-99996,,,
PerimeterMid1ReheatCoil,BaseVAVBox CoilHtg-7,HotWater,BaseAirSys5-2,Perimeter_mid_ZN_1 Thermal Zone,50995.537,50995.537,2.54881,-99996,-99996,,,
PerimeterMid2ReheatCoil,BaseVAVBox CoilHtg-8,HotWater,BaseAirSys5-2,Perimeter_mid_ZN_2 Thermal Zone,32706.3,32706.3,1.63469,-99996,-99996,,,
PerimeterMid3ReheatCoil,BaseVAVBox CoilHtg-9,HotWater,BaseAirSys5-2,Perimeter_mid_ZN_3 Thermal Zone,39457.85,39457.85,1.97214,-99996,-99996,,,
PerimeterMid4ReheatCoil,BaseVAVBox CoilHtg-10,HotWater,BaseAirSys5-2,Perimeter_mid_ZN_4 Thermal Zone,34257.338,34257.338,1.71222,-99996,-99996,,,
CoreTopReheatCoil,BaseVAVBox CoilHtg-11,HotWater,BaseAirSys5-3,Core_top Thermal Zone,172168.7,172168.7,8.60517,-99996,-99996,,,
PerimeterTop1ReheatCoil,BaseVAVBox CoilHtg-12,HotWater,BaseAirSys5-3,Perimeter_top_ZN_1 Thermal Zone,57013.125,57013.125,2.84957,-99996,-99996,,,
PerimeterTop2ReheatCoil,BaseVAVBox CoilHtg-13,HotWater,BaseAirSys5-3,Perimeter_top_ZN_2 Thermal Zone,35867.8,35867.8,1.79271,-99996,-99996,,,
PerimeterTop3ReheatCoil,BaseVAVBox CoilHtg-14,HotWater,BaseAirSys5-3,Perimeter_top_ZN_3 Thermal Zone,49830.75,49830.75,2.49059,-99996,-99996,,,
PerimeterTop4ReheatCoil,BaseVAVBox CoilHtg-15,HotWater,BaseAirSys5-3,Perimeter_top_ZN_4 Thermal Zone,38965.613,38965.613,1.94754,-99996,-99996,,,
ENDTABLE,,,,,,,,,,,,
TABLE OffMedCECStd16030012Fan,,,,,,,,,,,,
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrHP,MtrPos,MtrEff
;,,,,,(cfm),(cfm),,,(inH2O),( hp),,
BottomVAV SupplyFan,BaseSys5 Fan,VariableSpeedDrive,BaseAirSys5,UNDEFINED,14716.976,2887.523,0.62,StaticPressure,4,15,InAirStream,0.924
MidVAV SupplyFan,BaseSys5 Fan-2,VariableSpeedDrive,BaseAirSys5-2,UNDEFINED,15143.418,3131.815,0.62,StaticPressure,4,20,InAirStream,0.93
TopVAV SupplyFan,BaseSys5 Fan-3,VariableSpeedDrive,BaseAirSys5-3,UNDEFINED,15337.653,3203.322,0.62,StaticPressure,4,20,InAirStream,0.93
Bottom VAV Relief Fan,BaseRelief Fan,VariableSpeedDrive,BaseAirSys5,UNDEFINED,13823.179,0,0.5,StaticPressure,1,5,InAirStream,0.895
Mid VAV Relief Fan,BaseRelief Fan-2,VariableSpeedDrive,BaseAirSys5-2,UNDEFINED,14249.622,0,0.5,StaticPressure,1,5,InAirStream,0.895
Top VAV Relief Fan,BaseRelief Fan-3,VariableSpeedDrive,BaseAirSys5-3,UNDEFINED,14443.857,0,0.5,StaticPressure,1,5,InAirStream,0.895
ENDTABLE,,,,,,,,,,,,
TABLE OffMedCECStd16030012OACtrl,,,,,,,,,,,,
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration,,,,,,,,
;,,,,,,,,,,,,
BottomVAV Economizer,BaseSys5 OACtrl,DifferentialDryBulb,BaseAirSys5,Integrated,,,,,,,,
MidVAV OACtrl,BaseSys5 OACtrl-2,DifferentialDryBulb,BaseAirSys5-2,Integrated,,,,,,,,
Top VAV OACtrl,BaseSys5 OACtrl-3,DifferentialDryBulb,BaseAirSys5-3,Integrated,,,,,,,,
ENDTABLE,,,,,,,,,,,,
