;,,,,,,,,,,,,,,
TABLE OffLrgCECStd22040012TrmlUnit,,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,,,
BaseVAVTrmlUnit,BaseVAVBox TrmlUnit,VAVReheatBox,BaseAirSys6,Basement Thermal Zone,25684.137,5752.946,12842.068,DualMaximum,,,,,,
BaseVAVTrmlUnit-2,BaseVAVBox TrmlUnit-2,VAVReheatBox,BaseAirSys6-2,Core_bottom Thermal Zone,21428.836,4088.646,10714.418,DualMaximum,,,,,,
BaseVAVTrmlUnit-3,BaseVAVBox TrmlUnit-3,VAVReheatBox,BaseAirSys6-2,Perimeter_bot_ZN_1 Thermal Zone,3838.174,506.042,1919.087,DualMaximum,,,,,,
BaseVAVTrmlUnit-4,BaseVAVBox TrmlUnit-4,VAVReheatBox,BaseAirSys6-2,Perimeter_bot_ZN_2 Thermal Zone,2442.223,326.108,1221.111,DualMaximum,,,,,,
BaseVAVTrmlUnit-5,BaseVAVBox TrmlUnit-5,VAVReheatBox,BaseAirSys6-2,Perimeter_bot_ZN_3 Thermal Zone,2566.386,506.045,1283.193,DualMaximum,,,,,,
BaseVAVTrmlUnit-6,BaseVAVBox TrmlUnit-6,VAVReheatBox,BaseAirSys6-2,Perimeter_bot_ZN_4 Thermal Zone,2675.576,326.105,1337.788,DualMaximum,,,,,,
BaseVAVTrmlUnit-7,BaseVAVBox TrmlUnit-7,VAVReheatBox,BaseAirSys6-3,Core_mid Thermal Zone,23626.481,4088.646,11813.241,DualMaximum,,,,,,
BaseVAVTrmlUnit-8,BaseVAVBox TrmlUnit-8,VAVReheatBox,BaseAirSys6-3,Perimeter_mid_ZN_1 Thermal Zone,3923.715,506.042,1961.857,DualMaximum,,,,,,
BaseVAVTrmlUnit-9,BaseVAVBox TrmlUnit-9,VAVReheatBox,BaseAirSys6-3,Perimeter_mid_ZN_2 Thermal Zone,2496.871,326.108,1248.436,DualMaximum,,,,,,
BaseVAVTrmlUnit-10,BaseVAVBox TrmlUnit-10,VAVReheatBox,BaseAirSys6-3,Perimeter_mid_ZN_3 Thermal Zone,2715.777,506.045,1357.889,DualMaximum,,,,,,
BaseVAVTrmlUnit-11,BaseVAVBox TrmlUnit-11,VAVReheatBox,BaseAirSys6-3,Perimeter_mid_ZN_4 Thermal Zone,2720.459,326.105,1360.23,DualMaximum,,,,,,
BaseVAVTrmlUnit-12,BaseVAVBox TrmlUnit-12,VAVReheatBox,BaseAirSys6-4,Core_hi Thermal Zone,23590.975,4088.646,11795.487,DualMaximum,,,,,,
BaseVAVTrmlUnit-13,BaseVAVBox TrmlUnit-13,VAVReheatBox,BaseAirSys6-4,Perimeter_hi_ZN_1 Thermal Zone,3910.52,506.042,1955.26,DualMaximum,,,,,,
BaseVAVTrmlUnit-14,BaseVAVBox TrmlUnit-14,VAVReheatBox,BaseAirSys6-4,Perimeter_hi_ZN_2 Thermal Zone,2489.288,326.108,1244.644,DualMaximum,,,,,,
BaseVAVTrmlUnit-15,BaseVAVBox TrmlUnit-15,VAVReheatBox,BaseAirSys6-4,Perimeter_hi_ZN_3 Thermal Zone,2705.79,506.045,1352.895,DualMaximum,,,,,,
BaseVAVTrmlUnit-16,BaseVAVBox TrmlUnit-16,VAVReheatBox,BaseAirSys6-4,Perimeter_hi_ZN_4 Thermal Zone,2718.611,326.105,1359.305,DualMaximum,,,,,,
BaseVAVTrmlUnit-17,BaseVAVBox TrmlUnit-17,VAVReheatBox,BaseAirSys6-5,Core_top Thermal Zone,22425.766,4088.646,11212.883,DualMaximum,,,,,,
