; Tables for Std model AutoHardSize capacity look-up rules,,,,,,,,,,,,,
TABLE HighRiseRes10StoryCECStd220110012TrmlUnit,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,
CoilCooling 5,BaseSys1 CoilClg-14,DirectExpansion,BaseZnSys1-14,Thermal Zone: F10 2-Bed NE,16166.214,16866.382,-99996,14,12.2,-99996,,,
CoilCooling 6,BaseSys1 CoilClg-15,DirectExpansion,BaseZnSys1-15,Thermal Zone: F10 2-Bed NW,22926.056,23918.998,-99996,14,12.2,-99996,,,
CoilCooling 7,BaseSys1 CoilClg-16,DirectExpansion,BaseZnSys1-16,Thermal Zone: F10 2-Bed SE,20029.545,20897.036,-99996,14,12.2,-99996,,,
CoilCooling 8,BaseSys1 CoilClg-17,DirectExpansion,BaseZnSys1-17,Thermal Zone: F10 2-Bed SW,24403.553,25460.486,-99996,14,12.2,-99996,,,
CoilCooling 9,BaseSys1 CoilClg-18,DirectExpansion,BaseZnSys1-18,Thermal Zone: F10 Studio N,5919.557,6175.937,-99996,14,12.2,-99996,,,
ENDTABLE,,,,,,,,,,,,,
TABLE HighRiseRes10StoryCECStd220110012CoilHtg,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,FurnAFUE,FurnThrmlEff,,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,
PropSys6 CoilHtg,BaseSys6 CoilHtg,HotWater,BaseAirSys6,UNDEFINED,110104.95,110104.95,5.50316,-99996,-99996,,,,
PropSys6 CoilHtg-2,BaseSys6 CoilHtg-2,HotWater,BaseAirSys6-2,UNDEFINED,5636.898,5636.898,0.28174,-99996,-99996,,,,
PropSys6 CoilHtg-3,BaseSys6 CoilHtg-3,HotWater,BaseAirSys6-3,UNDEFINED,5428.925,5428.925,0.27134,-99996,-99996,,,,
CoilHtg 10,BaseSys1 CoilHtg,Furnace,BaseZnSys1,Thermal Zone: F2-9 1-Bed N,8539.245,8539.245,0,0.8,0.81,,,,
CoilHtg 11,BaseSys1 CoilHtg-2,Furnace,BaseZnSys1-2,Thermal Zone: F2-9 1-Bed SE,7626.181,7626.181,0,0.8,0.81,,,,
CoilHtg 12,BaseSys1 CoilHtg-3,Furnace,BaseZnSys1-3,Thermal Zone: F2-9 1-Bed SW,7633.37,7633.37,0,0.8,0.81,,,,
CoilHtg 13,BaseSys1 CoilHtg-4,Furnace,BaseZnSys1-4,Thermal Zone: F2-9 2-Bed N Core,10895.663,10895.663,0,0.8,0.81,,,,
CoilHtg 14,BaseSys1 CoilHtg-5,Furnace,BaseZnSys1-5,Thermal Zone: F2-9 2-Bed NE,15197.997,15197.997,0,0.8,0.81,,,,
CoilHtg 15,BaseSys1 CoilHtg-6,Furnace,BaseZnSys1-6,Thermal Zone: F2-9 2-Bed NW,15203.348,15203.348,0,0.8,0.81,,,,
CoilHtg 16,BaseSys1 CoilHtg-7,Furnace,BaseZnSys1-7,Thermal Zone: F2-9 2-Bed SE,15175.792,15175.792,0,0.8,0.81,,,,
CoilHtg 17,BaseSys1 CoilHtg-8,Furnace,BaseZnSys1-8,Thermal Zone: F2-9 2-Bed SW,15156.028,15156.028,0,0.8,0.81,,,,
CoilHtg 18,BaseSys1 CoilHtg-9,Furnace,BaseZnSys1-9,Thermal Zone: F2-9 Studio N,5742.588,5742.588,0,0.8,0.81,,,,
CoilHtg 1,BaseSys1 CoilHtg-10,Furnace,BaseZnSys1-10,Thermal Zone: F10 1-Bed N,9966.638,9966.638,0,0.8,0.81,,,,
CoilHtg 2,BaseSys1 CoilHtg-11,Furnace,BaseZnSys1-11,Thermal Zone: F10 1-Bed SE,9018.075,9018.075,0,0.8,0.81,,,,
CoilHtg 3,BaseSys1 CoilHtg-12,Furnace,BaseZnSys1-12,Thermal Zone: F10 1-Bed SW,9016.325,9016.325,0,0.8,0.81,,,,
CoilHtg 4,BaseSys1 CoilHtg-13,Furnace,BaseZnSys1-13,Thermal Zone: F10 2-Bed N Core,13034.813,13034.813,0,0.8,0.81,,,,
CoilHtg 5,BaseSys1 CoilHtg-14,Furnace,BaseZnSys1-14,Thermal Zone: F10 2-Bed NE,16436.975,16436.975,0,0.8,0.81,,,,
CoilHtg 6,BaseSys1 CoilHtg-15,Furnace,BaseZnSys1-15,Thermal Zone: F10 2-Bed NW,16436.525,16436.525,0,0.8,0.81,,,,
CoilHtg 7,BaseSys1 CoilHtg-16,Furnace,BaseZnSys1-16,Thermal Zone: F10 2-Bed SE,16420.9,16420.9,0,0.8,0.81,,,,
CoilHtg 8,BaseSys1 CoilHtg-17,Furnace,BaseZnSys1-17,Thermal Zone: F10 2-Bed SW,16411.112,16411.112,0,0.8,0.81,,,,
CoilHtg 9,BaseSys1 CoilHtg-18,Furnace,BaseZnSys1-18,Thermal Zone: F10 Studio N,6979.044,6979.044,0,0.8,0.81,,,,
PropVAVBox CoilHtg-1,BaseVAVBox CoilHtg,HotWater,BaseAirSys6,Thermal Zone: F1 Business Center,9236.113,9236.113,0.46163,-99996,-99996,,,,
PropVAVBox CoilHtg-2,BaseVAVBox CoilHtg-2,HotWater,BaseAirSys6,Thermal Zone: F1 Fitness Center,15495.563,15495.563,0.77448,-99996,-99996,,,,
PropVAVBox CoilHtg-3,BaseVAVBox CoilHtg-3,HotWater,BaseAirSys6,Thermal Zone: F1 Leasing Office,4702.775,4702.775,0.23505,-99996,-99996,,,,
PropVAVBox CoilHtg-4,BaseVAVBox CoilHtg-4,HotWater,BaseAirSys6,Thermal Zone: F1 Lounge,30510.675,30510.675,1.52495,-99996,-99996,,,,
PropVAVBox CoilHtg-5,BaseVAVBox CoilHtg-5,HotWater,BaseAirSys6,Thermal Zone: F1 Retail E Core,22433.875,22433.875,1.12127,-99996,-99996,,,,
PropVAVBox CoilHtg-6,BaseVAVBox CoilHtg-6,HotWater,BaseAirSys6,Thermal Zone: F1 Retail E Outer,27553.975,27553.975,1.37718,-99996,-99996,,,,
PropVAVBox CoilHtg-7,BaseVAVBox CoilHtg-7,HotWater,BaseAirSys6,Thermal Zone: F1 Retail W Core,22508.15,22508.15,1.12498,-99996,-99996,,,,
PropVAVBox CoilHtg-8,BaseVAVBox CoilHtg-8,HotWater,BaseAirSys6,Thermal Zone: F1 Retail W Outer,27580.9,27580.9,1.37852,-99996,-99996,,,,
PropVAVBox CoilHtg-9,BaseVAVBox CoilHtg-9,HotWater,BaseAirSys6-2,Thermal Zone: F2-9 Corridor,8505.35,8505.35,0.42511,-99996,-99996,,,,
PropVAVBox CoilHtg-10,BaseVAVBox CoilHtg-10,HotWater,BaseAirSys6-2,Thermal Zone: F2-9 Laundry,1382.202,1382.202,0.06908,-99996,-99996,,,,
PropVAVBox CoilHtg-11,BaseVAVBox CoilHtg-11,HotWater,BaseAirSys6-3,Thermal Zone: F10 Corridor,12718.163,12718.163,0.63567,-99996,-99996,,,,
PropVAVBox CoilHtg-12,BaseVAVBox CoilHtg-12,HotWater,BaseAirSys6-3,Thermal Zone: F10 Laundry,1943.737,1943.737,0.09715,-99996,-99996,,,,
ENDTABLE,,,,,,,,,,,,,
TABLE HighRiseRes10StoryCECStd220110012Fan,,,,,,,,,,,,,
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrBHP,MtrHP,MtrPos,MtrEff
;,,,,,(cfm),(cfm),,,(inH2O),(hp),(hp),,
