; Tables for Std model AutoHardSize capacity look-up rules,,,,,,,,,,,,,,
TABLE SchSmlCECStd22010012TrmlUnit,,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,,,
Common_Mech/Elec_TU,BaseVAVNoReheatTrmlUnit,Uncontrolled,BaseAirSys7or3b,Common_Mech/Elec_Zn,558.332,-99996,-99996,,,,,,,
Wing1_Side1_TU,BaseVAVNoReheatTrmlUnit-2,Uncontrolled,BaseAirSys7or3b-2,Wing1_Side1_Zn,904.231,-99996,-99996,,,,,,,
Wing1_Corridor_TU,BaseVAVNoReheatTrmlUnit-3,Uncontrolled,BaseAirSys7or3b-3,Wing1_Corridor_Zn,960.931,-99996,-99996,,,,,,,
Wing1_Side2_TU,BaseVAVNoReheatTrmlUnit-4,Uncontrolled,BaseAirSys7or3b-4,Wing1_Side2_Zn,710.965,-99996,-99996,,,,,,,
Common_Lobby_TU,BaseVAVNoReheatTrmlUnit-5,Uncontrolled,BaseAirSys7or3b-5,Common_Lobby_Zn,595.875,-99996,-99996,,,,,,,
Common_Corridor_TU,BaseVAVNoReheatTrmlUnit-6,Uncontrolled,BaseAirSys7or3b-6,Common_Corridor_Zn,990.01,-99996,-99996,,,,,,,
Wing2_Side1_TU,BaseVAVNoReheatTrmlUnit-7,Uncontrolled,BaseAirSys7or3b-7,Wing2_Side1_Zn,889.525,-99996,-99996,,,,,,,
Wing2_Corridor_TU,BaseVAVNoReheatTrmlUnit-8,Uncontrolled,BaseAirSys7or3b-8,Wing2_Corridor_Zn,967.313,-99996,-99996,,,,,,,
Wing2_Side2_TU,BaseVAVNoReheatTrmlUnit-9,Uncontrolled,BaseAirSys7or3b-9,Wing2_Side2_Zn,749.512,-99996,-99996,,,,,,,
Common_Office_TU,BaseVAVNoReheatTrmlUnit-10,Uncontrolled,BaseAirSys7or3b-10,Common_Office_Zn,2052.387,-99996,-99996,,,,,,,
Common_Cafeteria_TU,BaseVAVNoReheatTrmlUnit-11,VAVNoReheatBox,BaseAirSys7or3b-11,Common_Cafeteria_Zn,3335.225,1667.613,-99996,,,,,,,
ENDTABLE,,,,,,,,,,,,,,
TABLE SchSmlCECStd22010012CoilClg,,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,,
Common_Mech/Elec_CoilClg,BaseSys7or3b CoilClg,DirectExpansion,BaseAirSys7or3b,n/a,15828.891,16514.45,-99996,14,11.407,1,,,,
Wing1_Side1_CoilClg,BaseSys7or3b CoilClg-2,DirectExpansion,BaseAirSys7or3b-2,n/a,27478.48,28668.59,-99996,14,11.407,1,,,,
Wing1_Corridor_CoilClg,BaseSys7or3b CoilClg-3,DirectExpansion,BaseAirSys7or3b-3,n/a,27242.719,28422.618,-99996,14,11.407,1,,,,
Wing1_Side2_CoilClg,BaseSys7or3b CoilClg-4,DirectExpansion,BaseAirSys7or3b-4,n/a,20156.096,21029.068,-99996,14,11.407,1,,,,
Common_Lobby_CoilClg,BaseSys7or3b CoilClg-5,DirectExpansion,BaseAirSys7or3b-5,n/a,16893.238,17624.894,-99996,14,11.407,1,,,,
Common_Corridor_CoilClg,BaseSys7or3b CoilClg-6,DirectExpansion,BaseAirSys7or3b-6,n/a,34897.144,36408.56,-99996,14,11.407,1,,,,
Wing2_Side1_CoilClg,BaseSys7or3b CoilClg-7,DirectExpansion,BaseAirSys7or3b-7,n/a,27111.923,28286.157,-99996,14,11.407,1,,,,
