;,,,18,HSPF2Valid - (0/1) flag indicating whether or not the HSPF2 data is valid for the corresponding system type,,,,,,,,,,,,,,,,,,,,,,,,
;,,,19,COP47Valid - (0/1) flag indicating whether or not the COP47 data is valid for the corresponding system type,,,,,,,,,,,,,,,,,,,,,,,,
;,,,20,SetbackTstatReqd - (0/1) flag indicating whether or not a setback thermostat is required (based on Res Std section 110.2c),,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,,,,
;,,,,,(%),(ratio),(ratio),(ratio),(ratio),,,,,,,,,,,,,,,,,,,
,TABLE T24RHeatingEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CodeBase,StdVer,SysType,AFUE,HSPF,HSPF2,HSPF2perHSPF,COP47,SysAvail,DuctFlag,IsHP,UseElec,UseGas,CanDHW,ConstHtgSetpt,PropEqStd,DuctedStdSys,DuctlessStdSys,AFUEValid,HSPFValid,HSPF2Valid,COP47Valid,SetbackTstatReqd,,,,
,,2013,2014,CntrlFurnace   ,78,Warning2,Warning4,Warning4,Warning3,1,1,0,0,1,0,-1,0,CntrlFurnace   ,N/A,1,0,0,0,-1,;,CntrlFurnace - Fuel-fired central furnace                         ,,
,,2013,2014,WallFurnaceFan,75,Warning2,Warning4,Warning4,Warning3,1,0,0,0,1,0,-1,0,N/A,CntrlFurnace   ,1,0,0,0,-1,;,WallFurnaceFan - Ductless fan forced wall furnace,,
,,2013,2014,WallFurnaceGravity,65,Warning2,Warning4,Warning4,Warning3,1,0,0,0,1,0,-1,0,N/A,CntrlFurnace   ,1,0,0,0,-1,;,WallFurnaceGravity - Ductless gravity flowed wall furnace,,
,,2013,2014,FloorFurnace,57,Warning2,Warning4,Warning4,Warning3,1,0,0,0,1,0,-1,0,N/A,CntrlFurnace   ,1,0,0,0,-1,;,FloorFurnace - Ductless floor heating system,,
,,2013,2014,RoomHeater,61,Warning2,Warning4,Warning4,Warning3,1,0,0,0,1,0,-1,0,N/A,CntrlFurnace   ,1,0,0,0,-1,;,Heater - Non-central fuel-fired space heater                      ,,
,,2013,2014,Boiler         ,80,Warning2,Warning4,Warning4,Warning3,1,-1,0,0,1,0,-1,0,CntrlFurnace   ,CntrlFurnace   ,1,0,0,0,-1,;,Boiler - Gas or oil boiler                                        ,,
,,2013,2014,WoodHeat,Warning1,Warning2,Warning4,Warning4,Warning3,1,0,0,0,0,0,-1,1,CntrlFurnace   ,CntrlFurnace   ,0,0,0,0,-1,;,WoodHeat - Wood heat meeting exceptional method criteria,,DR 8/22/16 - added
,,2013,2014,SplitHeatPump  ,Warning1,7.7,Warning4,Warning4,Warning3,1,1,1,1,0,0,68,0,SplitHeatPump  ,N/A,0,1,0,0,-1,;,SplitHeatPump - Heating side of central split heat pump           ,,
,,2013,2014,SDHVSplitHeatPump,Warning1,7.2,Warning4,Warning4,Warning3,1,1,1,1,0,0,68,0,SplitHeatPump  ,N/A,0,1,0,0,-1,;,"SDHVSplitHeatPump - Small duct, high velocity, central split heat pump           ",,
,,2013,2014,DuctlessMiniSplitHeatPump,Warning1,7.7,Warning4,Warning4,Warning3,1,0,1,1,0,0,68,1,N/A,SplitHeatPump  ,0,1,0,0,-1,;,DuctlessMiniSplitHeatPump – Ductless mini-split heat pump system,,DR 8/29/16 - revised
,,2013,2014,DuctlessMultiSplitHeatPump,Warning1,7.7,Warning4,Warning4,Warning3,1,0,1,1,0,0,68,1,N/A,SplitHeatPump  ,0,1,0,0,-1,;,DuctlessMultiSplitHeatPump - Ductless multi-split heat pump system,,DR 8/22/16 - added
,,2013,2014,DuctlessVRFHeatPump,Warning1,7.7,Warning4,Warning4,Warning3,1,0,1,1,0,0,68,1,N/A,SplitHeatPump  ,0,1,0,0,-1,;,DuctlessVRFHeatPump - Ductless variable refrigerant flow (VRF) heat pump system,,DR 8/22/16 - added
,,2013,2014,PkgHeatPump    ,Warning1,7.7,Warning4,Warning4,Warning3,1,1,1,1,0,0,68,0,SplitHeatPump  ,N/A,0,1,0,0,-1,;,PkgHeatPump - Heating side of central packaged heat pump          ,,
,,2013,2014,LrgPkgHeatPump ,Warning1,0,Warning4,Warning4,Warning3,0,1,1,1,0,0,68,0,SplitHeatPump  ,N/A,0,0,0,0,-1,;,LrgPkgHeatPump - Heating side of large (>= 65 kBtuh) packaged unit,,
,,2013,2014,RoomHeatPump   ,Warning1,7.4,Warning4,Warning4,Warning3,1,0,1,1,0,0,68,1,N/A,SplitHeatPump  ,0,1,0,0,-1,;,RoomHeatPump - Heating side of non-central room A/C system        ,,
,,2013,2014,Electric       ,Warning1,7.7,Warning4,Warning4,Warning3,1,-1,0,1,0,0,-1,0,SplitHeatPump  ,SplitHeatPump  ,0,1,0,0,-1,;,Electric - All electric heating systems other than heat pump      ,,
,,2013,2014,CombHydro      ,Warning1,Warning2,Warning4,Warning4,Warning3,1,-1,0,0,1,0,-1,0,CntrlFurnace   ,CntrlFurnace   ,0,0,0,0,-1,;,CombHydro - Water heating system can be storage gas/elec/ht pump  ,,
,,2013,2014,ElecCombHydro,Warning1,Warning2,Warning4,Warning4,Warning3,1,-1,0,1,0,0,-1,0,SplitHeatPump  ,SplitHeatPump  ,0,0,0,0,-1,;,CombHydro - Water heating system can be storage gas/elec/ht pump  ,,
